"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11437-1","light",2000,20,0.1625,0.952688432181431,0.556763688913099,0.281880102307207,0.944609974522639,0.588762167782343,0.291238262718171,0.043992310061364,0.0726128100299937,0.0617234403153397,0.95130583302664,0.563987852760198,0.282976699710723,0.0463235947275783,0.0664644738514922,0.0642953478032079,2.06100000000001,2.541
"11437-2","light",2000,20,0.1705,0.961892966216441,0.492909538760958,0.18877736174511,0.945134376481448,0.540390558457102,0.192293788065563,0.0458200788716342,0.0667571753305365,0.0686669468035748,0.96887163717818,0.492181614434266,0.179292814118172,0.0445712551789325,0.0554977603725792,0.0585551431270259,2.13499999999999,2.65299999999999
"11437-3","light",2000,20,0.159,1.02111541245688,0.483494833403787,0.149331762091005,1.00832660375362,0.528706282237843,0.149762264208129,0.0502966766500532,0.0707221079109059,0.0616695582523061,1.01180697848169,0.523978212102197,0.149441222158199,0.0530410807976175,0.0648874405709862,0.0669362829425012,2.31299999999999,2.49000000000001
"11437-4","light",2000,20,0.176,0.982589513573635,0.474032229719258,0.295598015958153,0.97523740653556,0.466224087018244,0.314752356879391,0.0539983491200588,0.0647544690472682,0.0669877949927911,0.987991897875067,0.450784295699231,0.300460194415476,0.0468211515832036,0.0627221627430791,0.0809452568569379,2.20600000000002,2.47300000000001
"11437-5","light",2000,20,0.16,1.02867420319972,0.48566930302724,0.255486049852203,1.02660430921841,0.512398506795683,0.256436507944772,0.0480289308272122,0.056233672396918,0.0674707789961777,1.03445213826841,0.481985800445201,0.267550693935619,0.0461114154390193,0.0572850973591656,0.0653650793013449,2.208,2.39100000000002
"11437-6","light",2000,20,0.1625,0.943527667642832,0.481417529568561,0.361865675294502,0.918244288064994,0.510460308838077,0.376625456717489,0.050794340829446,0.0601995331938336,0.0710790189827105,0.944900910138241,0.513648484613024,0.342625176872852,0.046018084610174,0.0672613279331947,0.0716791765416427,2.04600000000002,2.357
"11437-7","light",2000,20,0.172,0.983606562644924,0.561861601895568,0.189054945009607,0.986981889026829,0.571265203367432,0.18279876437877,0.0484208349836303,0.0698706253121391,0.075730548187831,0.989504635672035,0.581284771111718,0.176537649481432,0.0491788797281586,0.0572849159241988,0.056131308880738,2.27699999999999,2.42099999999999
"11437-8","light",2000,20,0.166,1.00099056726374,0.564830393687189,0.13420858308461,0.975775391706533,0.616915676387653,0.156709031776362,0.0544478491683168,0.0705858943256527,0.0728277495283325,0.990233792990374,0.589669041870173,0.138515012370496,0.0412021738396316,0.0674250142072784,0.0566386119544614,2.11600000000001,2.548
"11437-9","light",2000,20,0.159,1.02180292698327,0.481688292518618,0.269174151439614,0.997030214389304,0.501518180066099,0.291811444004739,0.0452150677727185,0.0548999578083095,0.0657915743138622,1.01769986603913,0.498248350055318,0.258752349436027,0.0475769324519367,0.0514887888001816,0.0737338308498662,2.08199999999999,2.32499999999999
"11437-10","light",2000,20,0.1765,0.993677840999442,0.533204357653791,0.272008393718297,0.992408029198343,0.544030094716439,0.268235475260817,0.049603429591134,0.0671934493696378,0.0723646395478859,0.988442227193902,0.548355069732964,0.272589478827819,0.0477060249190375,0.060886620700226,0.0721479965569775,2.23400000000001,3.173
