"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11435-1","extra_heavy",100,80,0.83,1.25933734419103,0.446814117184957,0.154182330708307,0.99866293759561,0.107293092631596,0.261992696052255,0.56430004552552,0.664396150403364,0.665770325797796,1.01729082275524,3.47137565042729,0.250335521707741,0.392330228024745,3.04347270669785,0.282930780372473,23.463,1.662
"11435-2","extra_heavy",100,80,0.81,1.11191522839443,0.536337927517595,0.100691445123305,1.26049812275551,0.544962558572174,0.216925199313111,0.347514094313483,2.19781329234148,0.509324588261498,1.1975572657202,0.163910091591983,0.378610805461439,0.438872099372259,2.6399766784229,0.361321796864425,34.976,1.666
"11435-3","extra_heavy",100,80,0.78,0.821021126760654,0.578304766421066,0.45224767715018,0.893276770509248,0.283973090035303,0.587706473468296,0.304343832856802,1.42646635350161,0.411465367819394,0.951261929337385,0.474045407567257,0.588451472130791,0.40253027326497,3.52518626057538,0.30504085117894,34.572,1.626
"11435-4","extra_heavy",100,80,0.76,0.976640361200669,0.117780901718473,0.40367403547586,1.05096536263078,-0.126401328176032,0.539776632620466,0.206933189816177,0.808579115340024,0.520897339607014,1.17022963451095,-1.51397942712128,0.549837123688127,0.306944404010016,2.46690416111921,0.313564998735021,24.997,1.74799999999999
"11435-5","extra_heavy",100,80,0.84,0.820668403897542,0.212040031333428,0.473849120376038,0.931303034124589,0.181041285810848,0.404008764960737,0.326508471050917,1.30951528339738,0.452314077345577,1.00993814250996,-0.761475905264293,0.498934811134787,0.401691713502945,2.63192992844974,0.276927755414855,29.094,1.67699999999999
"11435-6","extra_heavy",100,80,0.8,0.612720335239314,0.787092071818525,0.388268965217844,0.780179750171217,0.0429398747182283,0.779038284677269,0.28154438462526,0.789305205152581,0.583193665818929,0.794824584127343,-0.152428770589169,0.837328926635261,0.394976949465295,2.81037181625568,0.370608415253706,38.012,1.607
"11435-7","extra_heavy",100,80,0.86,1.01830316403826,0.289545757663763,0.504827987088481,0.816719309560688,1.3728726315021,0.394084675513274,0.378563431873923,1.9464468377826,0.434236874356475,0.713399698947564,3.30814887026524,0.490309704693731,0.424279659619549,3.2035515978712,0.274035958667716,31.265,1.63200000000001
"11435-8","extra_heavy",100,80,0.84,1.0817998529968,0.381985008817602,-0.120378165785658,1.23029979668155,-0.347841884918388,-0.177680364660118,0.25256768281183,1.24309445297309,0.428485423166271,1.15647662633262,0.225216268547672,-0.0155752551706015,0.299410225257793,1.77900389557693,0.282177632659194,35.466,1.64600000000002
"11435-9","extra_heavy",100,80,0.82,1.13624568144015,0.71978106698046,-0.0420871099369929,1.11333467975147,1.12396291092928,-0.0928520774275151,0.378985840816705,1.5012991257536,0.402005636859107,0.935643570622604,3.21817015393699,-0.0196435483455564,0.430030145849196,2.76165376513982,0.290537618009697,32.1,1.58099999999996
"11435-10","extra_heavy",100,80,0.89,1.37244380346995,0.507338133340361,-0.0191263273059744,1.27735111141745,0.322026367305365,0.2841567778164,0.597581240911732,1.30465638674202,0.692037794103781,1.16238721237928,2.04432958856159,0.312941418282219,0.652108157846038,3.50798845151024,0.314783725962629,28.888,1.68599999999998
"11435-11","extra_heavy",100,80,0.84,1.20163919911903,0.473128172346478,-0.0211773251148328,1.3800754376726,0.0534159506293628,0.251511071004034,0.323376873576746,1.16845316785858,0.692209809313614,1.61253391342749,-2.24653697155929,0.231166933367723,0.558219264971471,3.79067336684499,0.340740256446761,26.967,1.59000000000003
"11435-12","extra_heavy",100,80,0.81,1.32967294496754,0.31238147494419,-0.00687242502859219,1.41082735253495,0.0330066134673204,-0.0120656480820049,0.266920775729335,0.487681407042619,0.564204974678279,1.40111446297664,0.118962235528797,0.128483033373665,0.434236280172177,3.00297609662499,0.356980941263868,31.933,1.58699999999999
"11435-13","extra_heavy",100,80,0.78,0.96777553241685,0.512965058590298,0.23019522419684,0.991127360129118,0.461301661852272,0.0653386390741963,0.270504541771501,0.673046247515991,0.552810029599856,0.974603708762748,0.993931324292752,0.442547585758215,0.370182760586361,2.97379090344212,0.31494928097153,31.18,1.58299999999997
"11435-14","extra_heavy",100,80,0.82,0.961507328122462,0.50124527840965,0.348986383705178,1.07198177154338,0.184697138868793,0.437542733449985,0.356085989768354,1.16812844208757,0.514159957188601,1.01172611335995,0.92890531954356,0.509924232505696,0.393806918850621,2.85063160701466,0.279989101961145,32.493,1.61599999999999
"11435-15","extra_heavy",100,80,0.85,0.8888695439174,0.790079068276447,0.266896331007308,0.878901173200614,0.698676114659202,0.183469662465098,0.361311130476954,1.26037512107716,0.62318507332024,0.412072188466646,5.83513012315197,0.448708783460835,0.483681783374919,3.59998623870289,0.321002839672356,29.763,1.64300000000003
"11435-16","extra_heavy",100,80,0.84,0.872181770988695,0.799208440015429,0.25277921014418,0.830130240413875,1.18164863707898,0.506574795008061,0.379836714244906,2.27118797319136,0.449712350938771,0.683082132066462,3.09781433308407,0.454888913950663,0.425216304457689,3.11437879214361,0.310177779502151,28.048,1.59299999999996
"11435-17","extra_heavy",100,80,0.87,1.00199955351132,0.554088593848213,0.251083149046737,0.876192877773097,0.381789904777554,0.382487271601599,0.477936157673311,1.69232797220264,0.671160707930037,0.596031815887229,4.39856389084838,0.392066273631515,0.47555647831283,3.08912529003367,0.276899158394327,29.081,1.65899999999999
"11435-18","extra_heavy",100,80,0.78,1.08059789489688,0.583924314191315,-0.107949619006621,0.918432054736165,0.10955993735607,-0.234970727490246,0.343675647335679,0.602907293846627,0.602415535162768,0.501816971327047,5.13934784769839,0.0609247410105991,0.307212228062504,2.35724478640805,0.275879984281744,23.793,1.57299999999998
"11435-19","extra_heavy",100,80,0.87,0.910056871261036,0.53983453509918,0.18121768365637,0.920921052322738,3.37167475045894,0.342157342491866,0.30357009985048,3.63864057320014,0.311799387643039,1.33717456346572,-1.19218378482137,0.250366802429916,0.477997600408658,2.12424321213725,0.308065970727392,29.955,1.66600000000005
"11435-20","extra_heavy",100,80,0.82,1.2240937333025,0.577740104543846,0.0812563958405655,1.26678006725964,0.358165117573836,0.0167112655205447,0.314057076513221,0.747738118313653,0.498554843305905,0.968665838440932,2.88018718041053,0.165804939293422,0.392649452372777,2.3735114257124,0.358469122556776,31.547,1.60699999999997
"11435-21","extra_heavy",100,80,0.79,0.864491029619714,0.463269806756385,0.372534393611983,0.893949787748273,0.340176146058653,0.261605628611267,0.339492914207154,1.10069321957836,0.398385943717195,0.819405851791437,1.71585904784048,0.341882936454748,0.364739021351975,2.61421387412308,0.317090133451666,38.261,1.60599999999999
"11435-22","extra_heavy",100,80,0.78,1.01200219643862,0.563736266368225,0.208151531045708,1.11259733778906,0.0400454829919914,0.438165291362681,0.246079744123143,0.209536424709874,0.633429018670129,1.02410476211066,1.57099005307482,0.414421344044573,0.355367977542825,2.99688045240149,0.397071437035562,26.093,1.56200000000001
"11435-23","extra_heavy",100,80,0.83,0.872739616698759,0.489813184277356,0.375482541330777,0.876484812907754,0.00435633166875111,0.427211728808638,0.434654451845258,0.0153117729329499,0.559220048604381,0.638317740884045,2.78764044277605,0.378479976620925,0.455605552448682,2.51959795734112,0.339300398250737,24.5890000000001,1.60800000000006
"11435-24","extra_heavy",100,80,0.88,0.873092393609388,0.407132510298649,0.335060919542668,0.923960210293082,0.754448825960364,0.464238878666909,0.33162633700142,1.9125055085666,0.391954193709293,0.639083243066637,1.85681859226271,0.421338995262403,0.391455869655549,1.79889114928487,0.245563815011595,38.414,1.71299999999997
"11435-25","extra_heavy",100,80,0.79,1.06121946197207,0.56719434131609,0.169599225638851,0.938367028588982,1.38127882588133,0.317779627887897,0.415823864361664,1.94805401380773,0.52753441349104,0.762661383771855,5.06830676550078,0.363388478221311,0.489090610745663,4.59703086468723,0.374027587858204,36.004,1.57600000000002
