"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11438-1","heavy",500,50,0.488,1.11644093650237,0.499658253571266,0.106495332149905,1.15397866024217,0.325834680397993,0.186755110299228,0.0962654587265198,0.196765691867225,0.138531674719776,1.13471672178215,0.430908597351923,0.140896677424389,0.112567320298093,0.215730943880975,0.147391255858771,252.114,2.24399999999997
"11438-2","heavy",500,50,0.488,0.970675870594878,0.611648502453813,0.128532949994983,0.96684105571463,0.764464927803395,0.157369948667398,0.0968099034327464,0.191562129973292,0.136255169268548,0.891014485318462,0.888685085850547,0.158871946129721,0.101913011813986,0.22820247378123,0.147875590915638,257.73,2.36500000000001
"11438-3","heavy",500,50,0.452,1.08067368209052,0.482497701917015,0.241348191346111,1.1397563882156,0.335639306863908,0.315339715694516,0.105648406551106,0.259161129900995,0.143593830792329,1.08953635076543,0.540014030356685,0.275619965905878,0.103454613842691,0.269466657285992,0.129994544107443,242.165,2.1099999999999
"11438-4","heavy",500,50,0.49,0.936035397654245,0.532957211113052,0.284456567254142,0.961894085443265,0.519343596161168,0.392810883926713,0.0940624967180329,0.203480217241334,0.13587826175049,0.888310673237738,0.775031754162886,0.314707681253709,0.104307954214683,0.248427026446308,0.133256571008581,274.828,2.22000000000003
"11438-5","heavy",500,50,0.512,1.00135679230985,0.563661164438623,0.165099434502055,1.10402555734032,0.322750732680014,0.23636678832132,0.110040305539586,0.158525901409615,0.130968634287034,1.01230671174124,0.552696647575594,0.161238639330034,0.116265529143046,0.187663826625663,0.152949185295132,293.857,2.30199999999991
"11438-6","heavy",500,50,0.47,0.900118368289963,0.452131160686351,0.361631902845283,0.970369590528398,0.2934262457891,0.427651159390388,0.103380652276073,0.201048502167583,0.12870568508947,0.920065496330974,0.484197137726097,0.388976601009808,0.114180433308974,0.246925628141593,0.136444138288289,266.278,2.22000000000003
"11438-7","heavy",500,50,0.498,0.920048353415705,0.531062955423371,0.405284134549396,0.976574906333368,0.465495836379338,0.502858287203101,0.0912572807936439,0.15776126167361,0.11709035810378,0.883592122969988,0.627127360424279,0.482457189620599,0.106547289974671,0.209345478255182,0.123937081423131,286.281,2.25699999999983
"11438-8","heavy",500,50,0.484,1.01339842467635,0.422104395043652,0.419144262891609,1.03665083798735,0.443744636026685,0.445410747396081,0.0981173278000883,0.165215687392554,0.136921179723877,1.0016738185854,0.500523919891536,0.399859520796474,0.0988804924121921,0.175831113460581,0.133976174979102,257.818,2.20400000000018
"11438-9","heavy",500,50,0.5,1.12470343677643,0.474682245987367,0.203194030746646,1.15053936688252,0.577490275933106,0.268696749458979,0.115559386221022,0.215117219141894,0.142226632196888,1.06483531674891,0.663742599552108,0.250264508346469,0.126398966847576,0.261128973243267,0.138704149259972,299.597,2.29999999999973
"11438-10","heavy",500,50,0.494,0.970873706539574,0.528427189897304,0.245236191322795,0.976584154614718,0.609447965300209,0.280168925906173,0.105229658970091,0.218018525195791,0.142085598940083,0.879927063486011,0.86399189570226,0.237538034899359,0.111752370382071,0.249009675131172,0.158433893591157,261.487,2.22600000000011
