"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11427-1","extra_heavy",2000,80,0.816,1.02042459502642,0.487227935120722,0.226048973032175,1.01619358774054,0.482357495830755,0.217875831600497,0.0496718039288177,0.106501965773282,0.0632904567169143,0.962855498531365,1.08818347930979,0.315158398450614,0.0584537733970454,0.246408236853441,0.0496528579535702,20.1500000000001,39.919
"11427-2","extra_heavy",2000,80,0.819,1.0200014568398,0.472053062666487,0.184129921048637,1.09327501580011,0.1366347849433,0.223683487816916,0.0447832014260623,0.0549448845472173,0.0616990667828677,1.04672481758532,0.803563239244513,0.288441410643113,0.0608599927293613,0.344411915461966,0.0473039607335029,19.0260000000001,40.29
"11427-3","extra_heavy",2000,80,0.8205,1.01125666206004,0.469192150475409,0.269042679122772,0.997166397205824,0.0332341348635964,0.229725238763044,0.0473629222422242,0.00695908197941314,0.0622446967465388,0.90785717374295,1.27394137946206,0.32500357768676,0.0587457757889301,0.254768991736658,0.0500861048584912,19.723,40.059
"11427-4","extra_heavy",2000,80,0.833,0.964819623482335,0.524927465946953,0.277297944956684,0.950254357670553,0.0111207911020659,0.30143869169899,0.051802147798659,0.00236692833995152,0.0620725075841519,0.890218377827028,1.27917019397035,0.382248503514644,0.0629785329654939,0.287695094016166,0.0497362656396284,19.437,40.854
"11427-5","extra_heavy",2000,80,0.832,1.00538641955412,0.534454514779481,0.205613314171819,0.89510994557546,1.07771960259206,0.257697637370852,0.0589058270007286,0.189524434354096,0.062106085927206,0.865708362647177,1.34336103178712,0.33625766287538,0.0645929637189529,0.245366624073158,0.0498107882832176,19.275,39.249
"11427-6","extra_heavy",2000,80,0.814,0.996862627730175,0.461362851315057,0.320055748529397,0.970696813661089,0.104979170822013,0.351893686287639,0.0505465315577728,0.0240243585413547,0.0621498018249401,0.929133340877631,1.14046130012742,0.418557890380023,0.0603556144527923,0.289481046038656,0.0483971756981118,19.6369999999999,39.739
"11427-7","extra_heavy",2000,80,0.8245,1.01502735055527,0.525856616838364,0.255752033811365,0.968548892715891,0.0898224290110015,0.214463938282688,0.0499814301520367,0.0149498465082011,0.0687262713617095,0.866275567652559,1.81476279589528,0.33928672022419,0.0608618770988713,0.306236547778376,0.0488757218061262,19.6369999999999,39.6180000000002
"11427-8","extra_heavy",2000,80,0.808,0.972752447748026,0.53495754622739,0.235917861639201,1.07336496498022,0.0301817160523363,0.307292478253511,0.0456566658003824,0.0132784471072536,0.0588857973833579,1.04449461143731,0.529400381402124,0.349159334470867,0.0569924014598088,0.247608541081845,0.0499378664745073,20.4490000000001,39.232
"11427-9","extra_heavy",2000,80,0.8005,0.990225766180311,0.544210148133635,0.221194842717825,1.02822221034311,0.493146994518584,0.18261700119886,0.0439232897786963,0.119224390733862,0.0705634609298666,0.930514461189464,1.42946878190138,0.300924138940415,0.0563250968014132,0.314586898753493,0.0520929072487591,19.3199999999999,40.3680000000002
"11427-10","extra_heavy",2000,80,0.8125,0.981761261923113,0.533608018939763,0.239982058962084,1.04734669478017,0.133444946742911,0.269742515223311,0.0440800446628373,0.0401235896305633,0.0701483760733216,0.957577046053618,1.14550086499807,0.364442318597012,0.0589094597082423,0.309138890424515,0.0521423860941578,19.998,40.1959999999999
"11427-11","extra_heavy",2000,80,0.7965,0.979590044619985,0.481639318980133,0.227651527056807,1.01417262003184,0.0182428231989403,0.267592942225927,0.0428902159925954,0.00489365005946765,0.0566709624506516,0.966162377250432,0.802774144482696,0.318059614227516,0.0515676851145909,0.214700719428545,0.0487098192876351,19.796,39.49
"11427-12","extra_heavy",2000,80,0.811,0.983814533162553,0.538613674333445,0.2421435675906,1.0724750481948,0.119836958825405,0.302404664477215,0.0430545143975679,0.054619507806736,0.0664656560694147,0.998745949196118,0.729626114372925,0.355107214854514,0.0558584680970877,0.248648931288219,0.0499158888295092,19.931,38.749
"11427-13","extra_heavy",2000,80,0.8145,1.04486604289163,0.482305312810013,0.258241519543637,1.00163897401627,0.364192931520039,0.184412130870158,0.0490128038551082,0.0617085339569788,0.0696350602763115,0.915910140499728,1.35528334397048,0.31895648512011,0.0574481389730205,0.238204959995975,0.0509878931968444,19.6120000000001,40.2430000000002
"11427-14","extra_heavy",2000,80,0.826,1.01720736005578,0.520266046632078,0.232163256833783,0.953138095463099,0.289281063428702,0.188268336623688,0.0538332803407842,0.0455783480174776,0.0680986085120887,0.856956392608194,1.84253194275865,0.304355286872603,0.0624818874577668,0.299064127533755,0.0494048495915761,19.9779999999998,40.5550000000001
"11427-15","extra_heavy",2000,80,0.813,1.0485513873283,0.461662564274957,0.224144077502199,1.05569814860309,0.188131107520775,0.173576370591388,0.0459064676315104,0.0422632308643703,0.0665845746348178,0.982511092073901,1.19249947947306,0.281453334711652,0.0575426414225397,0.277265336621714,0.0495349026054679,19.885,38.933
"11427-16","extra_heavy",2000,80,0.8095,0.950028089545577,0.53817152319743,0.282280214260572,0.932259639753145,0.257864088377101,0.284275756316595,0.0490057394489522,0.0515598983645702,0.0655524424402959,0.848623777013299,1.4633577415099,0.402742952921475,0.0598798021168767,0.289842202053173,0.0485995471282149,19.155,39.4169999999999
"11427-17","extra_heavy",2000,80,0.814,1.00487516698212,0.492438730297733,0.199147513817139,1.06185082232456,0.134734888319835,0.270950799180926,0.047275236069414,0.0529299590972978,0.0591510616783512,1.04329712504493,0.643205598218176,0.325804449469642,0.0605187036317898,0.315456135512019,0.0473883610509593,19.5330000000001,39.53
"11427-18","extra_heavy",2000,80,0.819,0.997657058271167,0.469528061014958,0.279177084139265,0.945208684450398,0.175357912988368,0.2415606933263,0.050270223611966,0.0318751349532621,0.0679446184417336,0.863994355460748,1.40645168351739,0.344172935435657,0.0595342091231059,0.255958078822868,0.0492750239956857,19.482,40.3220000000001
"11427-19","extra_heavy",2000,80,0.789,1.0020864451623,0.468638145888545,0.185266909640065,1.05507060871482,0.295339367184282,0.168538395812651,0.0420989779692083,0.0859535672756092,0.0652533869122959,0.984592751804862,1.06003691334363,0.250012956311938,0.0551130139511103,0.305521511357123,0.0507984002596372,19.9269999999999,39.0049999999999
"11427-20","extra_heavy",2000,80,0.8125,1.02967833673636,0.528996437429697,0.209013200974615,1.02941487469421,0.195892096001559,0.160112383024585,0.0471299349930052,0.0364034129715605,0.0658098074608327,0.926563673956343,1.63572665740561,0.277721146517255,0.0581107079957693,0.300235025703095,0.0500745755791612,20.2860000000001,39.6679999999999
"11427-21","extra_heavy",2000,80,0.8235,1.00743257674167,0.393182397725804,0.327240108418395,1.07333223073828,0.00150875574296334,0.424788802802343,0.0517743417450882,0.00117640103185131,0.0494748054953653,1.04528136887501,0.419275290859697,0.43278043409383,0.0608061209200899,0.271315083864027,0.0467748878285067,19.5409999999999,40.4680000000001
"11427-22","extra_heavy",2000,80,0.7855,1.04259428696503,0.521460197127116,0.212591178876817,1.07036372749194,0.17962633459822,0.198741761587762,0.0444720476339356,0.0390181350634317,0.0658732258297778,1.01270938231887,1.00713132477901,0.299563298280536,0.0546420654920718,0.238240471801414,0.0510083729396146,19.6510000000001,38.181
"11427-23","extra_heavy",2000,80,0.8155,1.01833939061804,0.509844704428234,0.178922409575308,1.00663830888577,0.0765254598206237,0.199898566531509,0.0491280676500754,0.0158551402626158,0.0622755583177765,0.931459118865986,1.14172116688227,0.292250392576915,0.0583995481699168,0.232289811466832,0.048832427428733,20.3430000000003,40.7489999999998
"11427-24","extra_heavy",2000,80,0.812,1.03479402827458,0.469132149225374,0.241397000819936,1.05549536269056,0.056257391458912,0.31194481489594,0.0522452411751499,0.0192571522071829,0.0524565760430058,1.01582621176827,0.760596329501506,0.3374532936821,0.0609714787587164,0.251329157390091,0.0481469737050709,20.0889999999999,40.0589999999997
"11427-25","extra_heavy",2000,80,0.808,0.972955722243185,0.510906466182376,0.306598390374863,1.06039162064322,0.016571140311573,0.380984766759704,0.0468911680484325,0.00710108424484687,0.0599999631863426,0.997258751857262,0.931285588496917,0.424951261298968,0.0609974181189436,0.343401725105174,0.0502188525075513,19.6530000000002,38.759
"11427-26","extra_heavy",2000,80,0.8045,1.02871649436707,0.462747346202646,0.21225941422155,1.02283023322371,0.120914421270009,0.211226910038056,0.0478124355877546,0.0263257640404211,0.0601112380998316,0.959165537028299,1.04614205620182,0.275069858881178,0.0558565359455287,0.223431325718235,0.0502681410145543,19.587,39.2950000000001
