"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11434-1","heavy",100,50,0.53,1.08865227787912,0.396963287827107,0.162170072411881,1.10400264968379,0.522394854958233,0.129690258988954,0.167518639908712,0.273519869063644,0.212768011794068,1.07623005008057,0.609066030585695,0.131227419558343,0.170876849463321,0.296638956344632,0.210154553337881,0.856,0.911
"11434-2","heavy",100,50,0.44,0.845635387410868,0.500773338116444,0.399654545223455,0.811828422152971,0.620631769447347,0.342158326237959,0.157120971845062,0.294056130581306,0.216942783863375,0.773470990726323,0.767401018774282,0.370425344561141,0.16006844191005,0.32996608522803,0.207852877751378,0.78,0.867999999999999
"11434-3","heavy",100,50,0.44,1.13426518160917,0.487193719840254,0.250931478090815,0.996690013423114,0.952301625471964,0.317161396168818,0.171325981038111,0.357557191235079,0.195471924718154,0.966463481033363,1.11165783218975,0.323490330899642,0.1759949085775,0.401398796768373,0.192529342851743,0.781000000000001,0.82
"11434-4","heavy",100,50,0.51,0.902132997476954,0.799639712803981,0.243949429749493,0.825580985402131,0.816976925767025,0.543921102235656,0.20048105994115,0.292387208899007,0.243223358319962,0.78941160217774,1.10192851581514,0.560157127948639,0.206261553857434,0.387047522567667,0.230971073869282,0.814,0.875
"11434-5","heavy",100,50,0.47,0.87020667122782,0.676876342450354,0.179157010558577,0.735601592662617,0.976446703873044,0.167153977042646,0.175384363416545,0.251029965538333,0.229673296804229,0.696976546113307,1.11750505110161,0.177916817068981,0.17551016412532,0.274158173306413,0.221965349106762,0.837,0.853
"11434-6","heavy",100,50,0.56,0.990839356776163,0.425954294192415,0.26778708113918,1.0003424462372,0.357111177708773,0.297758219086663,0.186518145981296,0.273242789195682,0.25208514309932,0.969585434201333,0.479736190461346,0.329519546021445,0.198432505377721,0.366348477399861,0.241984811320835,0.828000000000001,0.908000000000001
"11434-7","heavy",100,50,0.54,0.821477077859809,0.661177291505654,0.600874122089791,0.692322493700842,1.01366736407776,0.545400097150971,0.176270101784566,0.316807397196532,0.218430972823297,0.649095444004498,1.1143452248169,0.584884967345576,0.180831745946982,0.340217840338505,0.210799843555182,0.808,0.904999999999998
"11434-8","heavy",100,50,0.5,1.16337770144008,0.218796077713802,0.130586023439163,1.21227606172857,0.0594615443955501,0.198218588374986,0.169847256621495,0.308682729416031,0.208324534405156,1.23792756092041,-0.0246829542112728,0.21380865203841,0.181046830365832,0.394722363500413,0.203606595074798,0.839000000000002,0.873000000000001
"11434-9","heavy",100,50,0.57,0.941631412987699,0.669739009435346,0.174677164389892,1.13951072428273,0.175488447520916,0.298085069503165,0.202583487300446,0.202954706644912,0.212659996090534,1.1579384753955,0.230505884292132,0.288254421719656,0.210090946765082,0.339457265940578,0.209324227974081,0.836000000000002,0.901999999999997
"11434-10","heavy",100,50,0.46,0.77938845361882,0.374354519838064,0.507103894526302,0.720432206000138,0.649351539105964,0.486749957946485,0.157760232356539,0.382665430366107,0.212587323108366,0.710720194230808,0.656044998147568,0.52395424340445,0.163365951034796,0.416652224924256,0.20615325986518,0.804000000000002,0.828999999999997
"11434-11","heavy",100,50,0.48,0.970481117066927,0.619594843437401,0.130451728093219,0.856511227972702,1.11611012832748,0.197485408999003,0.163714512054324,0.383350114250252,0.17832929918032,0.844280581822376,1.11795994830545,0.213472419535419,0.165128186321551,0.377267135128465,0.175846312259775,0.795999999999999,0.976999999999997
"11434-12","heavy",100,50,0.43,0.932482866245589,0.561438565051891,0.436506368326063,0.939451369999073,0.779518144187967,0.309551193706655,0.155241135509718,0.395143429518262,0.271358458848887,0.927456975483918,0.82609372153327,0.310823306803918,0.156563086542438,0.402798331231511,0.266780491272055,0.809000000000001,0.829000000000001
"11434-13","heavy",100,50,0.4,1.03169729588266,0.735047626720185,0.135858535250641,0.928226577931426,1.01622115414256,0.149124890472252,0.163836073605949,0.314533071253126,0.2195633269818,0.894153651584895,1.27573977606646,0.160294632865359,0.166688427901939,0.380030129524075,0.210768297000019,0.756,0.819999999999997
"11434-14","heavy",100,50,0.5,1.29544497374255,0.423064075588827,-0.0827930382766193,1.23541635269896,0.755586042118243,-0.106058583217478,0.17622120939357,0.43815111110427,0.222717924938531,1.22586791839354,0.805948969732978,-0.0546581146607038,0.19167299669899,0.540509288165883,0.213347169237235,0.795000000000002,0.890000000000001
"11434-15","heavy",100,50,0.55,1.03564495284863,0.147273789123886,0.349752276670828,1.04697794067346,0.13567243719826,0.259686227631337,0.155578095318438,0.197548881537845,0.312797642957113,0.994976640143332,0.417884661020421,0.24641674387413,0.177834497395043,0.505805070574661,0.296173118158785,0.824000000000002,0.918999999999997
"11434-16","heavy",100,50,0.54,0.992129043190641,0.628037376521411,0.351996151365179,0.945031438919526,0.971591280529976,0.278459921222704,0.22000792211939,0.323841062019505,0.266468151644061,0.913016910582179,1.19430938072679,0.34405378895819,0.228539984358516,0.430310651708002,0.24560150167213,0.831000000000003,0.870999999999995
"11434-17","heavy",100,50,0.53,1.01405516671327,0.835098313338507,0.184692536312291,0.977387771564892,0.865216501601086,0.245136068181128,0.198043306530769,0.328053091187305,0.229967383863563,0.936592379740727,1.15626719446438,0.243101107153262,0.197640355783939,0.415724200524202,0.21652400845508,0.835000000000001,0.905999999999999
"11434-18","heavy",100,50,0.5,0.869729507969724,0.382628501651383,0.411679052028092,0.715981945340108,0.851957635008919,0.33623156351042,0.180309589904781,0.295856164660969,0.228601076439293,0.687904305176736,0.822813263230742,0.368356709682671,0.178542981223998,0.265924253721089,0.219044639548316,0.802,0.859999999999999
"11434-19","heavy",100,50,0.55,1.13833843805425,0.383851259134417,0.312647038327512,1.19496820418151,0.10081373923716,0.262793945099026,0.156540801547435,0.0977932509345677,0.258386235758082,1.10086255543085,0.714832669822829,0.306192671964913,0.194361382204181,0.630385823701203,0.23113882432157,0.818000000000005,0.896999999999998
"11434-20","heavy",100,50,0.42,0.972807874742146,0.851304691805812,0.00971797088281,0.960750092908673,1.22228772380696,-0.101249658433752,0.173433997972529,0.447545810034396,0.215583301514353,0.956658602433352,1.20948128684363,-0.101371360895502,0.172874186063815,0.432485520067235,0.214583842879069,0.757000000000005,0.811
"11434-21","heavy",100,50,0.55,1.03974010560007,0.444985773997509,0.414700601550299,1.22170337371664,-0.333301899068385,0.721431750506615,0.219118525619725,0.649751820787067,0.351224656830311,1.16048955829589,-0.00280663065524849,0.600268837592067,0.242932159463337,0.838284431821227,0.341519919985925,0.803000000000004,0.892000000000003
"11434-22","heavy",100,50,0.45,0.772710360253508,0.522397720638033,0.70501813505801,0.828760928768318,0.306512789637328,0.75065089711344,0.161623835741372,0.290906435362571,0.193187635632534,0.805846332027861,0.472327796570418,0.744299982991153,0.168539653122453,0.410847170573075,0.191885694132031,0.771000000000001,0.829999999999998
"11434-23","heavy",100,50,0.45,0.875597874392661,0.634587443930416,-0.0739813278773498,0.810738590359157,0.584137673959855,-0.220517796046608,0.158154900694692,0.159274988524802,0.230365791512883,0.745030123341593,1.30063786281765,-0.134338893603358,0.165194700899896,0.373843756620487,0.226294223274589,0.788000000000004,0.819000000000003
"11434-24","heavy",100,50,0.52,1.23065905308596,0.45212906317072,0.0645923778310188,1.10661717905875,0.888313480845622,0.144625930515187,0.178161986369724,0.374853681923398,0.218188806936322,1.09821088639785,0.90456207011903,0.209164464666296,0.190632712852487,0.445590106537674,0.212192217927835,0.805,0.895000000000003
"11434-25","heavy",100,50,0.59,1.1996586526153,0.605625491724843,0.0279206935538968,1.25436900800357,0.547250977178117,0.0693185545080754,0.189743729546757,0.420814453531089,0.216486997576566,1.20737721182776,0.705498936805603,0.0863164646760248,0.193632466059944,0.44899622237024,0.204793629375861,0.835999999999999,0.906999999999996
"11434-26","heavy",100,50,0.52,0.92845825124894,0.450083836425238,0.315540197518269,1.00332018062142,0.116480704406117,0.410056840236509,0.16030625771229,0.150219087371023,0.229091652524164,0.963178316009182,0.333652550788814,0.39740216512137,0.168026425661552,0.307402270477709,0.222068048703803,0.794999999999995,0.870999999999995
"11434-27","heavy",100,50,0.47,1.02386142194916,0.388479545579296,0.320483362759706,0.899526917741459,0.992946113367058,0.295252474961552,0.178575566249383,0.474882184988747,0.224982477959183,0.867298108118571,1.16798267781251,0.329971707182998,0.190675403094837,0.57726328319086,0.218627800036379,0.768999999999998,0.838999999999999
"11434-28","heavy",100,50,0.55,1.12142354936336,0.253233048162751,0.29984448410048,1.23680004490535,-0.200902468034433,0.404785286014998,0.175609716643421,0.535513928065495,0.258942980196305,1.23263540317696,-0.164613313480748,0.381473704234217,0.189963522796178,0.634605568428883,0.246742608367158,0.802,0.893000000000001
"11434-29","heavy",100,50,0.49,0.799962943494402,0.390571630931953,0.592362882830102,0.780042491139491,0.193306893974461,0.692556817080357,0.156510384747881,0.129945478378795,0.194290853209706,0.731524500694189,0.490385026660419,0.698708235975308,0.167250073817386,0.289679162653208,0.189018895626623,0.788000000000004,0.869
"11434-30","heavy",100,50,0.57,1.1618890581567,0.359268920150642,0.0981194027799499,1.17892981079737,0.108352257185623,0.138031562248209,0.205764297211801,0.107354148585691,0.223507630443449,1.10320202465706,0.538130642572029,0.136856551404427,0.217141595346255,0.39516128768426,0.215912299402516,0.826000000000001,0.887
"11434-31","heavy",100,50,0.58,1.04244523890942,0.392949213218529,0.552226685019614,0.961938855160459,0.598286164113573,0.44954475874982,0.168806179899703,0.281716321974735,0.230808383776391,0.91615825033245,0.682057716399823,0.452177708827225,0.169885183533847,0.270353625739206,0.22169362908546,0.830999999999996,0.887999999999998
"11434-32","heavy",100,50,0.43,0.96935283718645,0.343787656620594,0.332127953868708,0.819210147927613,0.594176935800146,0.310480293130196,0.179644740787915,0.203783246562089,0.226528031834687,0.672557935077561,1.56759444054987,0.319198472648132,0.192588319328657,0.459995860569904,0.21469280212745,0.799000000000007,0.934999999999988
"11434-33","heavy",100,50,0.47,0.903129980302426,0.782297162906511,0.341509306702621,0.730655091398432,1.69624799774263,0.387719350284558,0.191952853253723,0.612062960112014,0.232091902118501,0.727142808384335,1.68764383673623,0.410194942689218,0.191999599733023,0.612112441770499,0.223405057324684,0.807999999999993,0.858999999999995
"11434-34","heavy",100,50,0.47,1.16714952726239,0.400945393571541,0.179008925551126,1.15520529299697,0.535515933867162,0.122603677250302,0.168408753083804,0.25212845870724,0.228857971280686,1.11864373195686,0.751192606973287,0.167767126216224,0.179480004203027,0.385511819613632,0.221795186545332,0.775999999999996,0.840000000000003
"11434-35","heavy",100,50,0.43,0.754902875089914,0.598041705666807,0.406673849779562,0.741034128316186,0.828272104700476,0.491676539984176,0.185885620678973,0.459138751579322,0.213579088381801,0.714845668136892,0.959183376690674,0.492925199998604,0.190562774310096,0.503216039889736,0.212148641800188,0.753,0.814999999999998
"11434-36","heavy",100,50,0.46,0.814545298030099,0.614670244839326,0.373854210586703,0.965226471033742,0.188610012746029,0.422148776399718,0.211135407728155,0.393161255094211,0.237501525149756,0.982554260023755,0.143581256052355,0.430742044315654,0.220755408284239,0.499196844428516,0.23634395530316,0.778999999999996,0.832999999999998
"11434-37","heavy",100,50,0.44,1.20460730497774,0.355761548501213,0.0825293802090586,1.19310622637784,0.266139875223714,0.124361580272888,0.142552459954139,0.147319064519467,0.194374611807403,1.11410825060079,0.883470964456096,0.15350451706892,0.160037824556521,0.450815049002666,0.185952856061492,0.769999999999996,0.806000000000012
"11434-38","heavy",100,50,0.52,0.617570474872142,0.532183380837434,0.515413012774668,0.576391750966722,0.823189024884695,0.426599468704771,0.177626468735699,0.407474439510746,0.234963189296337,0.57572875358667,0.780124317672028,0.444591945473907,0.178571984663806,0.393121451143381,0.230768235684214,0.802999999999997,0.851000000000013
"11434-39","heavy",100,50,0.38,0.673396826022916,0.304971642798542,0.61645933946466,0.643807863906667,0.412151272202708,0.613098352804958,0.181212937388089,0.342224599550055,0.213195734960672,0.645814302977156,0.410470734509663,0.614073062884117,0.18128475403121,0.347186954719638,0.21282355002973,0.74499999999999,0.813000000000002
"11434-40","heavy",100,50,0.54,1.11533808661106,0.552136242725721,0.024482491632089,1.16264063596148,0.233671387181632,-0.0419075358061033,0.169283323597962,0.114696875579838,0.232436880127182,1.07830976729844,0.705090958123658,-0.0115708213192035,0.175702440626125,0.276779256123488,0.220433389185835,0.817000000000007,0.879999999999995
"11434-41","heavy",100,50,0.49,1.37496187314153,0.785137352748705,-0.296798379873644,1.36405476101821,1.09116008443243,-0.250413857317519,0.236699981031142,0.521069253653023,0.258554355734393,1.3639199643692,1.01915254940601,-0.2252913341234,0.238076969577954,0.499642945694568,0.253774082645382,0.781000000000006,0.852999999999994
"11434-42","heavy",100,50,0.51,0.90312791590972,0.493108137672808,-0.167849890200259,0.937448458145444,0.500758519535498,-0.250709552368369,0.148991547317044,0.288613889053949,0.241486992151965,0.889725425197043,0.65414341691381,-0.2417385039128,0.154403811722964,0.322874182308569,0.228402673074346,0.783000000000001,0.864999999999995
