"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11429-1","light",100,20,0.23,1.06894046014126,0.546168788425898,0.0863882545174954,1.07231596154605,0.482484191003333,0.135921379499118,0.152795050345009,0.210058535508408,0.203726947607698,1.07067621900823,0.480199192079305,0.131899485274288,0.153310514100666,0.21048616299732,0.20449584155886,0.322,0.315
"11429-2","light",100,20,0.2,1.06255989296502,0.734627663644802,0.0617167659013705,1.1514768276572,0.591789837760584,0.0511790288346169,0.165002361805788,0.281125886030711,0.244864212751488,1.14200888919964,0.607528531891746,0.0524998512675797,0.165095557375354,0.273943389600181,0.242232991797611,0.265,0.277
"11429-3","light",100,20,0.19,0.891303132007372,0.559966315648576,0.198046880184888,0.920147914435495,0.520559516309279,0.194690005055427,0.17165987702611,0.270683711818574,0.220902659846742,0.91113107551633,0.54264298146411,0.193785549772503,0.171730443100534,0.269595040502607,0.219896040762657,0.269,0.287
"11429-4","light",100,20,0.13,0.854870039940803,0.582419215810702,0.381724407302091,0.821628454455035,0.683850796852194,0.435124436903225,0.142389786975265,0.222122123778479,0.187775741112931,0.821034343992129,0.674799433868601,0.442343942789534,0.142909933435193,0.221657333102184,0.187439015550239,0.256,0.250999999999999
"11429-5","light",100,20,0.15,1.18839087275472,0.237647403684344,0.458692911979571,1.19378083762882,0.208034753617161,0.498281686316079,0.145618400534968,0.20743113052208,0.219247070468273,1.19071794156509,0.207637221797586,0.498779789073041,0.145329974326424,0.193013524646399,0.216980157123458,0.257000000000001,0.264000000000001
"11429-6","light",100,20,0.1,0.92298973134767,0.352792999878629,0.656712436915464,0.90161600883597,0.367965195495427,0.667445143597092,0.183274029199441,0.210099922490887,0.233685027769381,0.899973470963085,0.368388778088623,0.66850120447475,0.183357903540397,0.208761612735422,0.233624327648864,0.246,0.243
"11429-7","light",100,20,0.25,0.894540823175633,0.517689580323158,0.522520670077932,0.792317174447582,0.873806142250867,0.565455292007054,0.181558257625318,0.306170523651913,0.209761304718543,0.809011674672574,0.802057659963419,0.56872202688774,0.182046712257178,0.297397809578244,0.211341209973317,0.282,0.282999999999999
"11429-8","light",100,20,0.14,1.06941095807083,0.472125860573018,0.393806123090241,1.06769878078507,0.486517718955751,0.385358339308828,0.132551452511583,0.234339864575129,0.19481852578388,1.06556808905908,0.492996558216558,0.385126904409905,0.132940716263059,0.238131052035577,0.194922975720722,0.255999999999998,0.251999999999999
"11429-9","light",100,20,0.15,0.973445314554274,0.44876660655127,0.487169607561213,0.966728668371133,0.469118341930195,0.515204018610469,0.174246643111753,0.288698661258405,0.224396264125353,0.966448801643948,0.469671303109214,0.512665413044495,0.173727206069856,0.283741070708399,0.224370665547691,0.254999999999999,0.253
"11429-10","light",100,20,0.17,0.98269796477309,0.199891352080682,0.494118014496914,0.93964273380721,0.37372122283568,0.441110651090063,0.183723697943332,0.243704629250573,0.235473717415433,0.937809281135243,0.374274517292768,0.443215587571132,0.184043496087234,0.243414747194106,0.235024261609308,0.266,0.274000000000001
"11429-11","light",100,20,0.22,1.00703931850066,0.592513592259899,0.255771692152884,1.01689247507949,0.633811655615364,0.232473272955992,0.15731452574229,0.196694714392359,0.212199038279309,1.00688554504138,0.671890512597092,0.211708850962815,0.156150190910871,0.195661500144574,0.211339309093277,0.279999999999999,0.276999999999999
"11429-12","light",100,20,0.12,1.33790612842172,0.0284580426694732,0.24666084065946,1.36534406746154,-0.0784008404502569,0.248516614548856,0.161076257088421,0.376096082025695,0.188138784681715,1.3667203156083,-0.0838636487597445,0.248576496610013,0.160920823297975,0.375684365641823,0.188122105946393,0.290000000000001,0.247
"11429-13","light",100,20,0.15,1.0131951907427,0.172258286722586,0.584469556596382,1.06472584304193,-0.00230904659119911,0.637252122551318,0.146533542077276,0.258958267868771,0.214244428243481,1.04346448303118,0.0751251911908088,0.620703946457529,0.148506961349745,0.272638925825636,0.213293275062239,0.259,0.26
"11429-14","light",100,20,0.17,0.974212974870536,0.263833398442891,0.294131306936563,0.951176242251523,0.322118419400763,0.277694626576022,0.166381667884467,0.193358343150595,0.20719105193266,0.953767700263567,0.316930334290447,0.282473226545764,0.168027318088455,0.202212102476034,0.207353161421474,0.266000000000002,0.263999999999999
"11429-15","light",100,20,0.14,1.17295691585104,0.600232434548171,0.0925998797136856,1.15080821616732,0.67863051373285,0.0768077900234535,0.153475559099306,0.2384686817734,0.218737718641541,1.16085735989711,0.634827870617908,0.0815177910651778,0.153173332205595,0.230473726578856,0.219404479227064,0.255000000000003,0.253
"11429-16","light",100,20,0.16,1.1717170919609,0.530887380785076,0.159943613666146,1.14029913432102,0.72592287752791,0.108264901886975,0.166598540387125,0.225090071982495,0.231018934856544,1.14319189383389,0.700439957312597,0.107224623546312,0.165885627228946,0.214848346653616,0.230795856898479,0.259999999999998,0.263999999999999
