"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11436-1","extra_heavy",100,80,0.86,1.25163624471966,0.367435930062529,0.234687804483817,1.3008537993238,1.04938802847595e-07,0.238305724966023,0.251957210720254,6.11652734167062e-07,0.409472300484956,1.29143512303003,0.561925375578429,0.368081009384977,0.44820142664272,3.71244969453279,0.33663245318639,1.556,1.839
"11436-2","extra_heavy",100,80,0.84,1.088657357453,0.627742082074625,0.358609831315718,1.28044682293888,-0.000689391710891527,0.691777035771074,0.263925289587655,0.00374168129314351,0.445599934036636,1.16225907080224,0.317951768729896,0.682273645885054,0.440625387010157,3.80536588774397,0.306010952718326,1.493,1.721
"11436-3","extra_heavy",100,80,0.79,1.01569377361131,0.650663671624072,0.114737923905537,1.21275566098415,1.29334499744741e-07,0.375818715091177,0.276320920297742,1.61424763803579e-06,0.364393761557835,1.12371620007847,0.611684354764888,0.386316284655337,0.37692491349644,2.16291810178839,0.334243326061344,1.45,1.663
"11436-4","extra_heavy",100,80,0.81,1.07116253451038,0.422811177033117,0.219664643500437,1.16980273121337,0.00095771062505401,0.26796355243279,0.27792287826936,0.00250609481289068,0.362819795931519,1.03095480004967,1.73210365579582,0.257193334091543,0.340590628871063,2.94519422438444,0.275556976421722,1.472,1.627
"11436-5","extra_heavy",100,80,0.86,0.930893599739423,0.517812380385563,0.25134460040912,1.00321872636397,5.41649949456461e-05,0.262857656217034,0.295717327436483,0.000169199706240142,0.494339247667289,0.785928352557111,2.95571932149904,0.357797398586262,0.538736257279289,4.68437122116878,0.395176073162283,1.531,1.84
"11436-6","extra_heavy",100,80,0.81,0.908692613260633,0.634799789048341,0.441281922322501,1.0464428844392,0.242765999671277,0.323091792592284,0.293783482171386,0.474959769749908,0.379788165074354,0.846071249543193,2.27556759147034,0.386202074742451,0.37687419867738,2.22118046208232,0.264848206394092,1.477,1.651
"11436-7","extra_heavy",100,80,0.79,0.864905413943895,0.139929587163031,0.230188038942024,0.827499100917284,0.000436053731480105,0.220544884785796,0.30922130047592,0.00170152636414899,0.327259345514851,0.895536350671379,0.150436519345483,0.237767663632775,0.378463890816968,1.99904581919126,0.275110294413728,1.501,1.661
"11436-8","extra_heavy",100,80,0.79,1.13364073334478,0.342379819262244,0.187453434531409,1.0633802673768,0.000324612569899729,0.113853493233962,0.209106724998622,0.000559472080437796,0.371057207167414,0.903432138726401,2.68628262499246,0.207786888069935,0.311515524458631,2.3979235159862,0.268782807664755,1.468,1.61
"11436-9","extra_heavy",100,80,0.82,0.93724352300621,0.838205919250464,0.183212973556166,1.01591263713682,0.053523354683567,0.339986519333633,0.289637314934036,0.144417722436555,0.400271949686848,0.743188189988294,2.99728509558784,0.386482781817759,0.352205373074678,2.42626240165706,0.303595254313127,1.486,1.713
"11436-10","extra_heavy",100,80,0.84,0.846253819103426,0.356900350147097,0.465598052116339,0.97141501869157,0.00427974323802501,0.612728480536509,0.248428811301968,0.178682738839872,0.329777445273507,0.650557961254085,2.01557312784116,0.526597531067209,0.39715834017771,2.23665331741854,0.307258523725139,1.479,1.73
