"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11431-1","heavy",100,50,0.55,0.870210831885964,0.597704093171355,0.251100434202474,0.928954904318301,0.379668527642401,0.300626442317574,0.249870612356962,0.519285262689038,0.286549337939503,0.931745384499234,0.437826417937689,0.302551708589673,0.246414898016632,0.496787617879369,0.289517637805544,0.850000000000001,0.905
"11431-2","heavy",100,50,0.48,1.06539268907676,0.626767671781843,0.350715072614776,0.991857026941021,0.88476962603104,0.438182937206204,0.303952065430898,0.671722241035058,0.319001581049407,0.981757331390847,0.795723518196466,0.493025414738466,0.306152060013426,0.860254493469931,0.301890373437261,0.802,0.867
"11431-3","heavy",100,50,0.5,0.988724387869428,0.623798203733536,0.250255489863416,1.02163494717774,0.606311907369482,0.302486194797432,0.238147878238659,0.588770039023703,0.323241472906937,0.996046318928463,0.74832608567792,0.35531065213346,0.259342355092795,0.695008461379653,0.33907336631626,0.802,0.847999999999999
"11431-4","heavy",100,50,0.47,1.23319612386478,0.00624755323015728,0.367366095680011,1.28581187697471,-0.153417363130968,0.406046312698487,0.251247740044857,0.425914053341135,0.307613670737793,1.30586718064964,-0.336530954762861,0.434123680953279,0.236764691750596,0.668427114403092,0.336810991629331,0.786999999999999,0.834
"11431-5","heavy",100,50,0.49,0.879178881695981,0.947990251071305,0.0241356952913834,0.842461186099492,1.3702091970442,-0.0156057161876267,0.209302945692292,0.892416460294059,0.355702025289782,0.66846739351167,2.27489171004818,0.0446052556983326,0.221088899594733,0.766086434632346,0.348454816072487,0.833,0.851999999999999
"11431-6","heavy",100,50,0.48,1.0037944743779,0.776343078431343,0.0151948438046481,1.0710263728356,0.690685695896568,0.000469702950065813,0.282282844320174,0.588571863395184,0.38775591103539,0.976867189290526,0.827375928301889,0.12788778751364,0.285489904714815,0.662968173660335,0.352754307691067,0.77,0.840999999999999
"11431-7","heavy",100,50,0.47,0.94406849667246,0.475131395648586,0.586027066828677,0.964660234291322,0.265925721245687,0.801944387195204,0.274430573715481,0.47364877975605,0.335268440643447,0.95226765968702,0.277783522071493,0.785403319075886,0.269676943666319,0.628063513178341,0.302032429105514,0.77,0.839000000000002
"11431-8","heavy",100,50,0.45,1.10499337682538,0.562796477336455,0.0199022705035859,1.13685486650034,0.610017448909197,-0.0666386404743014,0.224193777759996,0.358826670143481,0.309259721715995,1.0748078671768,0.828191129412362,-0.061981699791425,0.235794453685945,0.481335121154632,0.328919555226614,0.772000000000002,0.881
"11431-9","heavy",100,50,0.52,1.1340132284844,0.411571922176387,0.41071977817342,1.12283527483065,0.417943123336815,0.415102233525615,0.238512875178196,0.395834910580771,0.34278067990091,1.18412004332106,0.264881891894729,0.481976057618685,0.242120324425172,0.524488227376167,0.355233388423513,0.805000000000003,0.855
"11431-10","heavy",100,50,0.48,0.970324042814844,0.659299781952429,0.277769440714424,0.962344023376234,0.417121681282784,0.369545687733812,0.24626087790642,0.414416738354785,0.366848909417202,0.938943477513408,0.697091378951256,0.298794716424418,0.244736554783092,0.544420211769197,0.3519170065996,0.783999999999999,0.831000000000003
"11431-11","heavy",100,50,0.53,0.865954412450492,0.550369848497602,0.472384426192175,0.809108969430036,0.779753290862214,0.531136803288915,0.224074822149577,0.565017336569846,0.285757821692063,0.768932536519951,1.04848019152713,0.562293527821145,0.23924194141356,0.606804348287462,0.322650766193293,0.808,1.026
