"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11433-1","light",2000,20,0.168,1.03725073800923,0.554825781597324,0.1740287053937,1.01929566435394,0.613386220237541,0.153974540563237,0.0574150285928389,0.0723401106993009,0.0712782448723337,1.02809988605626,0.597269796838986,0.168274871567612,0.0526433190375986,0.069040399669772,0.0663589970815629,2.059,2.456
"11433-2","light",2000,20,0.1735,0.988100012260092,0.518504395514594,0.236914702885001,0.977299082519163,0.536816957784166,0.238003951954299,0.0521306798690091,0.0637468977600648,0.0630751368357139,0.982943603315571,0.541858404597929,0.208102990442418,0.0511557646761137,0.0652918661066607,0.0560837977644173,2.087,2.41099999999999
"11433-3","light",2000,20,0.172,1.02528435433907,0.521270591119318,0.215182493387089,1.02672482888167,0.545216443455053,0.196067418974568,0.0555864118414884,0.0503393182269161,0.0642561763685055,1.03483168633561,0.523310281602264,0.19859938817681,0.0493389277661729,0.0501844808202152,0.0593102647455252,2.235,2.41499999999999
"11433-4","light",2000,20,0.1695,0.992263429758684,0.496944109062369,0.226266350827376,0.978307024643573,0.525000008479697,0.263862968444483,0.0482584932921865,0.0738706995645184,0.0642919436973907,1.00644714869069,0.488138098044776,0.230012845211719,0.0463016996595409,0.0646775391299494,0.0677047525181947,2.04300000000001,2.339
"11433-5","light",2000,20,0.1695,1.00106646831777,0.468035609114633,0.268141346371285,0.994443131173326,0.487680329262949,0.269520050507978,0.0461076460080571,0.0670499393785636,0.0657140019601619,0.996837951679037,0.48194564948571,0.269568677049362,0.0446738516892961,0.0609407669508164,0.0687847098267623,2.178,2.339
"11433-6","light",2000,20,0.1765,1.04610269501559,0.526450221819177,0.217114886894809,1.04201134337964,0.548719920316702,0.204820452561782,0.0604001696527715,0.0615586803219547,0.0720238159484538,1.04524762894417,0.527849253853184,0.205544642476747,0.0419353170132475,0.0558977762428236,0.0694622572766474,2.124,2.542
"11433-7","light",2000,20,0.1645,1.01614350440671,0.499138261785301,0.180459945057829,1.01272607771557,0.507606683333329,0.191507908445068,0.0491987351932478,0.0715464269709278,0.0644764424813033,1.00205424418611,0.516068663376988,0.192486579959711,0.0486810604033469,0.0565046404947104,0.0712946812852276,2.06700000000001,2.30500000000001
"11433-8","light",2000,20,0.181,0.92015672224461,0.533148665035152,0.310448053909567,0.934517650108058,0.542849817267523,0.30584122142765,0.0482031318097039,0.0588234175915388,0.0711963042926818,0.918542952896456,0.522712948186625,0.325742491054603,0.0453192723585509,0.0557103916589929,0.0616240039085549,2.16900000000001,2.601
"11433-9","light",2000,20,0.1765,1.05555075086868,0.47483744874821,0.211822184118659,1.03527669473603,0.506856716385468,0.207869983059539,0.0453325723695038,0.0560321067423931,0.0579029877744313,1.03710749973639,0.504546493101749,0.214629913024524,0.0509254025602919,0.0603154312507341,0.0694075263922095,2.12100000000001,2.53899999999999
"11433-10","light",2000,20,0.18,0.963010284737392,0.502980582390489,0.259025810717067,0.95829961397028,0.557525860566298,0.243542239266309,0.052916098739843,0.0725663250442922,0.0635507895544483,0.951936600075124,0.537942526704793,0.273052408967638,0.0498962781052768,0.0746093903108339,0.0633516469573682,2.16400000000002,2.447
