"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11437-1","extra_heavy",100,0.81,0.67307791200986,0.711058004627105,0.482940424459647,0.670405798520999,0.00447682548661731,0.534786638947644,0.305836506801704,0.00376000928343746,0.464768211511957,0.412979530527792,4.20791713285983,0.678262882057804,0.308164246043764,2.23009259355623,0.230292796119658
"11437-2","extra_heavy",100,0.81,0.781717691849873,0.579272936275856,0.425418195135901,0.850673356771136,0.267759972617266,-0.127511879064273,0.162382578850393,0.201785676766717,0.394495890646295,0.519610920936578,3.8574649530213,0.629359360966312,0.275081166371283,2.29014709007809,0.193739300301187
"11437-3","extra_heavy",100,0.81,1.01192811681436,0.418147806048763,0.221789293403311,1.10039234050739,0.011897877759354,0.579069523152969,0.162300581917389,0.162189253641901,0.537385471356212,0.95564955049017,0.996162180004885,0.458623056711398,0.269958880436595,1.52085921420845,0.211731382355921
"11437-4","extra_heavy",100,0.82,0.878586822711715,0.510596858476761,0.381270886159019,1.25169699704728,-0.530794472626001,0.585614489453907,0.34501678376353,0.620147358663653,0.352092627560643,1.41691510579813,-2.86912604485218,0.629144678105326,0.324004876496479,2.0134422033359,0.223751707199876
"11437-5","extra_heavy",100,0.75,0.91204617967418,0.753013093679529,0.142139503000976,0.828340373174842,2.41525576472599,0.2565040470216,0.288642356945364,2.32227506033834,0.240815151198648,0.75578511385973,3.61121096626611,0.271976839308801,0.30450270848407,2.91485922884211,0.223571513144783
"11437-6","extra_heavy",100,0.72,0.960775760811902,0.592756044912209,0.211975759508317,1.03892530124329,0.166385284758532,0.0457224815781114,0.184375513714574,0.183595332253164,0.380966442956422,0.777417551709595,3.18632862418323,0.300379201664426,0.243012160651992,1.82302757706087,0.222241274534323
"11437-7","extra_heavy",100,0.78,0.78998330061698,0.441411726179356,0.501343858018757,0.84116125718234,0.33741539076395,0.671939676643619,0.247393633849537,0.751380411648392,0.234925370821101,0.711631365621454,1.98197353827891,0.672507074366667,0.280064431137563,2.27424942184528,0.19900122840988
"11437-8","extra_heavy",100,0.79,0.929628966232596,0.416965322793587,0.627777428187066,0.84748485770933,0.0666440196828647,0.484116217186679,0.204348715876414,0.0430931144752877,0.368678100304875,0.725849621854056,1.97956357483027,0.793905439871307,0.262981013541458,1.4372634719293,0.209796714006401
"11437-9","extra_heavy",100,0.74,1.05110681239765,0.402058924421086,0.0880046013633603,1.02242795241496,0.409385739366831,0.250514326680816,0.278559223911743,0.610183910493009,0.248128153975417,1.01193056008727,0.855594937573878,0.242856203253639,0.281513262767667,1.24796446996061,0.231948843885154
"11437-10","extra_heavy",100,0.8,1.07993903962641,0.45183496953133,0.0328298589212507,1.22403366532501,-0.053376040982269,0.186125856875403,0.219832317162235,0.301135389215581,0.308865944135185,1.21512220522113,-0.156246133125402,0.200360966482326,0.294405088145127,1.53137231201038,0.226093784961684
"11437-11","extra_heavy",100,0.84,1.05337529299567,0.43747409236576,0.39848028224602,0.84252486150563,1.4007416586558,0.447557420486813,0.305653470606756,0.925245281169688,0.311656286152588,0.806502495582421,1.86228423430713,0.555590168425419,0.327559788181874,1.27672871680374,0.218145914277907
"11437-12","extra_heavy",100,0.79,1.14591416986945,0.260909171903741,0.214511360559865,1.11455293209344,0.0755993592723685,0.215101757772372,0.236010457832375,0.131887460742835,0.301473396051775,1.02675405555008,1.16993573558397,0.242692929795237,0.282608002037048,1.47215374607039,0.222380803997627
"11437-13","extra_heavy",100,0.82,1.1592381946272,0.294440604429122,0.106671712329505,1.25585825208563,0.0837119286479617,0.0891083292313972,0.269946420617552,1.10303500441063,0.335890995098775,1.4320366806435,-1.13277963395458,0.193649466117319,0.32413746085275,1.93679760027913,0.230246136855641
"11437-14","extra_heavy",100,0.82,0.755777978979159,0.831994035515531,0.41530163260056,0.753477507582887,1.36267488791563,0.383698812527725,0.276059136419685,1.21882429736345,0.318897883323039,0.497902851327473,4.10701921219861,0.536141105273895,0.304423380670828,2.14872474246515,0.218184665611854
"11437-15","extra_heavy",100,0.82,1.32126041192669,0.369659751153339,0.154911372253921,1.3697494311232,0.147833209495127,0.230152278673657,0.172611053400584,0.573099269235756,0.406042859690579,1.19253305457487,1.67668191972801,0.318044639997807,0.285029957110063,2.05869057690992,0.200055332870453
