"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11441-1","heavy",100,0.48,0.89806821446899,0.509918271622747,0.289419087904106,0.859206716431655,0.585828114058704,0.233484451627882,0.18217642087225,0.276294095995929,0.246038242405721,0.771412755908688,0.90204028111933,0.334011959678726,0.197756858549958,0.39150229150651,0.233300601375973
"11441-2","heavy",100,0.5,0.92908646496013,0.402521503926936,0.59994328308761,0.971993443272819,0.316062434673572,0.656101222782348,0.167227352646062,0.332986245573359,0.221323901106926,0.970989638715869,0.194426639586549,0.725878724840752,0.184306417538756,0.313562602323841,0.20356921434021
"11441-3","heavy",100,0.59,0.969079240125531,0.332120239106807,0.187639516441629,0.937054621770208,0.417058621410849,0.133927364892902,0.177058490786783,0.300998120955546,0.220708185460249,0.865257515670813,0.58265085020183,0.214467742359028,0.19864005773638,0.375584423963032,0.204184631785642
"11441-4","heavy",100,0.4,0.862375555030592,0.590343799714063,0.104449001073271,0.672743271230627,1.54698047883836,0.0974227050986819,0.164237604786699,0.414182088353884,0.212836262177624,0.649489737168662,1.40621320413414,0.246455714893731,0.174225033456775,0.447889925745839,0.201706681754782
"11441-5","heavy",100,0.5,0.77226613081966,0.536878603124332,0.283010894179901,0.803068602588208,0.402998460178385,0.330590627251474,0.181723170689048,0.295927010526966,0.212392314254959,0.802636499564073,0.393596378666011,0.368853587604369,0.190842648617335,0.319748837358682,0.203861885671577
"11441-6","heavy",100,0.45,1.12663630315157,0.601033619143505,-0.168630779327452,0.955150779264105,1.47542906860736,-0.159767226524659,0.188460961848278,0.533454773271065,0.217460838662498,0.931504227282352,1.40379148680479,-0.0536087374751717,0.201509073197725,0.576046136142146,0.210945956760459
"11441-7","heavy",100,0.48,1.11208306346227,0.60557343972906,0.160726252740299,1.04850703553071,0.955978141442001,0.123289002224891,0.182643652826541,0.37781932105572,0.269063728496078,1.03302416716709,0.790879124350628,0.366929549246801,0.204993758408801,0.440085996642056,0.235620307742513
"11441-8","heavy",100,0.45,1.04111315563663,0.580027774931637,0.384345464232966,0.945720062281177,1.24123879864499,0.354336649555065,0.180878213669206,0.568406529005459,0.196267306051182,0.91400545340269,1.39168901634841,0.378540048741615,0.184176034479492,0.596931333568491,0.193312080512364
"11441-9","heavy",100,0.43,1.02714739458335,0.528586779415914,0.275466825066903,1.03843793798351,0.682347365513506,0.165387812455648,0.144858722642401,0.310891762467759,0.208426564105634,0.999291883596367,0.582988768761655,0.314963391235095,0.160764834455236,0.313306275076397,0.188016787577534
"11441-10","heavy",100,0.46,1.04238707891212,0.495159167239446,0.202772108284712,1.01842809156055,0.718776381686096,0.171115553446265,0.172007511964457,0.383222415345291,0.237646960628846,0.922034619790785,0.955534383419528,0.311051507492096,0.189214677776972,0.449389164111745,0.215394117406051
"11441-11","heavy",100,0.48,1.22222086296324,0.419392505936804,0.0753161854846474,1.23504609455575,0.344931006729684,0.0103650138896355,0.152031866605415,0.162783823296907,0.213661764184961,1.1726041747271,0.435182848568095,0.173157022588407,0.170576139216709,0.250919850776429,0.196851350975087
"11441-12","heavy",100,0.5,1.01003157813413,0.508391036667263,0.188964167588735,0.900565825954642,0.684748739613747,0.226689064695944,0.171157915257314,0.235900641978932,0.213327133590274,0.811011619713364,0.822612979094888,0.347057295914762,0.183560247775372,0.272114569227712,0.201476798822857
"11441-13","heavy",100,0.57,1.12384721240176,0.340817534054474,-0.0139438701003494,1.10070668457139,0.207075578568838,0.0417598570023003,0.157581028745679,0.148428706111852,0.196705694044451,1.10265858929241,0.193083213716284,0.112136671751971,0.172717316596693,0.182905452972862,0.182655051321112
"11441-14","heavy",100,0.52,0.963579398781943,0.373920448412803,0.463269104067826,0.961077330218032,0.490621638026062,0.4747863529006,0.183064791272781,0.278904834013834,0.195179199180949,0.947581959454725,0.560361536134143,0.504961644484108,0.193050191079332,0.338436515972298,0.19230122642888
"11441-15","heavy",100,0.52,1.03773113680244,0.466227880405368,0.419174060790683,0.88718707876399,0.763900662426786,0.508040089379779,0.183551532211632,0.249067257363207,0.216382374269892,0.820151528234933,0.938369757477938,0.570218584657921,0.188910855087987,0.295494796171324,0.201605802123968
"11441-16","heavy",100,0.51,0.901243219140298,0.545858647988482,0.26849759625458,0.833157615401784,0.811243284190595,0.258829390638424,0.193397456651232,0.355734935930695,0.242626725324873,0.80154533339962,0.891659639963939,0.39294617961802,0.218911474322403,0.496564852052268,0.231527979740541
"11441-17","heavy",100,0.51,0.993014774634904,0.464774545157017,0.253461506097218,0.994630259165323,0.459630958276141,0.299831573898044,0.158477050511469,0.345877364303562,0.206489101317027,0.971522750463729,0.500614152387494,0.362600824841017,0.168755223782772,0.377722712267894,0.195440602943733
"11441-18","heavy",100,0.48,0.831789261344915,0.589112824215249,0.423792430557091,0.751593438406852,0.784907071852916,0.349785888520014,0.152779417110969,0.268112015439822,0.213810198179934,0.734681669490745,0.677051201441396,0.515915656220596,0.170346717694016,0.311294513574867,0.202109059448041
"11441-19","heavy",100,0.46,0.969543949819263,0.341687179500693,0.424708019253534,0.789211228673628,1.0780014709425,0.449069660246738,0.189097614571548,0.409690550694667,0.201479997519032,0.786706966920126,1.08221927983086,0.484025850237446,0.19572757016393,0.449726206296485,0.201539653897222
"11441-20","heavy",100,0.45,0.907217321595763,0.335418975254158,0.587125773441379,0.842341110937263,0.516311327101708,0.591424927885921,0.161621751930036,0.273598307903285,0.211573740989957,0.835175100399524,0.412824608775431,0.689160862046986,0.175962752453607,0.281376453790652,0.201413318476032
"11441-21","heavy",100,0.48,0.708198425621402,0.448025569547986,0.38749165892214,0.624822367959139,0.659047194263174,0.521209925918891,0.191713612360289,0.361116062546843,0.234805582077962,0.584143518558863,0.690268422806244,0.600005791144362,0.206561354498847,0.391786217275841,0.225005508278835
"11441-22","heavy",100,0.5,0.908863129106763,0.567954364952567,0.343878489951373,0.951847197532234,0.470824023687589,0.302359335791317,0.167405760555508,0.295131017066935,0.234994474017142,0.923776616695208,0.432161503643073,0.434786172014264,0.187095677667819,0.322764482198342,0.210623243467686
"11441-23","heavy",100,0.48,1.11823993087,0.425030705708797,-0.136288560731573,1.11469994751649,0.544822574359904,-0.137302147202215,0.156326396281256,0.37006296912833,0.227600733222565,1.12143204439102,0.376990349182243,0.000253758406129944,0.174084961527752,0.377243891660062,0.197683014207568
"11441-24","heavy",100,0.52,0.915634128961861,0.385685178104509,0.428744614923361,0.802099722866325,0.662910353203092,0.421239709239393,0.201160334371055,0.301566813664186,0.233857062235811,0.776359959772789,0.71920148538109,0.506651853117238,0.225622391046063,0.385439920731802,0.226762568746732
"11441-25","heavy",100,0.48,1.11507717075135,0.435024479829581,-0.0390764893691678,1.15052409382475,0.266268456240375,-0.00185756729436943,0.159466565765174,0.275493116981335,0.206906470430998,1.13060611029976,0.285382249488157,0.0529195913005178,0.174382447602292,0.323191847873028,0.193204262131662
"11441-26","heavy",100,0.49,1.2755253949715,0.16843743157424,0.12527836969962,1.32545377611176,-0.0262233180206342,0.177371322191456,0.156659890461807,0.286307640491706,0.226484875604917,1.35245771465625,-0.104199107086684,0.174015374978541,0.178063554846528,0.353106779729281,0.205437275529024
"11441-27","heavy",100,0.38,1.06715386609084,0.549318895322206,0.238598338660545,0.990705411822536,1.10172207989293,0.159473244323049,0.15895044479716,0.483230183730121,0.207025726978662,0.967417022845313,0.954437003097874,0.269313569700727,0.166763705246371,0.429491058695612,0.195283015128555
"11441-28","heavy",100,0.46,1.10933413214391,0.730719329107526,-0.112649226078499,1.15990274939302,0.565298897913755,-0.155590899270585,0.166210331367385,0.287867711509206,0.262659518616822,1.14288296182927,0.524184464659851,0.0678652457958084,0.18980259527549,0.393900756832922,0.228869683416308
"11441-29","heavy",100,0.52,0.709181260232184,0.814392820704462,0.423557308907058,0.760004221306007,0.695481953482064,0.49784913085019,0.220395033403562,0.38741976746622,0.253827734549962,0.763275802474769,0.639275466557823,0.594246696700104,0.243891991016344,0.465773687032609,0.244385279845918
"11441-30","heavy",100,0.46,0.850143723589621,0.515202203375304,0.426668775547668,0.750142588216155,1.14197605622555,0.460278644402987,0.169347684207336,0.490861086896104,0.21039468006889,0.766034783398232,0.862036893172673,0.584320379603127,0.182120471698409,0.480765135983966,0.199372953386151
"11441-31","heavy",100,0.48,1.15621062051202,0.614332704851012,0.146450037277928,1.15175330437515,0.63493764110122,0.0393232874324111,0.153222444829577,0.20387778669602,0.215791030074616,1.00250952393613,1.03040086352509,0.239330364990635,0.166886609074563,0.313164670125168,0.200012790590257
"11441-32","heavy",100,0.51,1.24325553516041,0.100238096768999,0.248394572541322,1.21081722011448,0.250257721928342,0.209336403918303,0.152788973214235,0.353567870457609,0.191791776944101,1.22867069064601,0.163238309746542,0.248788931216357,0.167881315296254,0.377453114585462,0.179745110234086
"11441-33","heavy",100,0.46,0.616343228292112,1.11432243523736,0.305706644676123,0.635371373826115,1.04547418896723,0.237674540460768,0.15983975292657,0.227815152151725,0.221310704584978,0.475584870968747,1.37168921907186,0.470377134785182,0.170948567715301,0.316249816819434,0.202322994898366
"11441-34","heavy",100,0.52,1.1093536474669,0.564368258420454,-0.102934619270994,1.05274124181677,0.45280701926393,-0.023014856113791,0.172817690362953,0.168594000869595,0.217576848464633,0.978896377184419,0.605787247148078,0.101575057996648,0.188952587758981,0.237392769270348,0.206176601069206
"11441-35","heavy",100,0.53,1.01159968561749,0.564909240094258,0.0421337780258895,1.00040670205678,0.664291472495035,0.0431451769568154,0.174632661819711,0.392543254729385,0.210084748119608,0.94696720204128,0.798652677531365,0.115040260520272,0.186893665781139,0.431022144138358,0.200121340984577
"11441-36","heavy",100,0.49,0.792625805040551,0.703443191976411,0.360915402764518,0.839077855301873,0.698396436479753,0.352889179090393,0.182718727213109,0.296252689919763,0.278209233021899,0.813485081050278,0.578583158602467,0.604521289345632,0.209587316546415,0.351689447560516,0.243683283538892
"11441-37","heavy",100,0.44,1.17917292741502,0.404719269332785,0.138893422475181,1.15271179988023,0.640354430679074,0.108952747917725,0.180719735965804,0.544133466116015,0.242693973080176,1.05553338303057,0.857130643146029,0.169560495100393,0.194783755970963,0.497614242502156,0.216280561768497
"11441-38","heavy",100,0.46,1.11714236593319,0.456801761065909,0.0667799578781575,1.17312960257847,0.280737903848427,0.0839865107120192,0.165953789108644,0.273089718887454,0.224466649659315,1.08705296405598,0.501467759836309,0.117547451538379,0.183343952415292,0.343156838835029,0.206421068372858
"11441-39","heavy",100,0.48,1.30607981186481,0.446045773151976,0.259302475483315,1.21812494770668,0.807448797287537,0.24598343331056,0.160601771299889,0.296128052567093,0.213968789110828,1.07226404155415,1.19712660831798,0.416203361337833,0.174743661807853,0.372804771939149,0.195048014196371
"11441-40","heavy",100,0.5,1.0483865305593,0.339963122096562,0.387748529988374,1.09815329553256,0.172238642572204,0.386167309716684,0.171144914161242,0.222902412504988,0.27432066344771,1.04831334806011,0.215272340792869,0.475298435968225,0.197480262703527,0.260487438252078,0.2344811785417
"11441-41","heavy",100,0.46,1.12960710499925,0.342868811810641,0.148100695657659,1.14162281358482,0.220482019764429,0.272744627332506,0.177989338071427,0.228939017029434,0.229717976767274,1.05206875325527,0.448874616384232,0.315705518250627,0.198042251262982,0.32344350780906,0.217122080658327
"11441-42","heavy",100,0.46,1.02994707901696,0.604626726854824,0.0966825793861708,0.865927269822192,1.35325161883206,0.0558632533888688,0.171713565790703,0.415179636598291,0.221532617240269,0.690110737643032,2.2175566920183,0.215011015289696,0.186936004245455,0.572491490077464,0.201419387308678
"11441-43","heavy",100,0.53,1.25894483136298,0.377973684204409,-0.157398971577771,1.26920831868818,0.341642806435319,-0.128592778439701,0.168770120147871,0.254522030229599,0.228425212896368,1.22673381492141,0.363626591427984,-0.020430133237263,0.189096208067233,0.291550580333119,0.206587343011853
"11441-44","heavy",100,0.53,1.10214865375645,0.283592826456025,0.148323103151301,1.03932035197793,0.373752817559987,0.245939173583192,0.189973359362457,0.328876793750515,0.197166903971267,1.04116881716133,0.579066714567339,0.204456383300819,0.186139080831307,0.488963241415199,0.189045019259692
"11441-45","heavy",100,0.5,1.2429619474811,0.36932545943043,-0.241157055715352,1.27560157085637,0.235368777542137,-0.146850180235279,0.170544640010136,0.299018507058242,0.235314113275593,1.30351223194069,0.103233905750155,-0.0822319356733467,0.188893624478632,0.326521529748108,0.217902798862344
"11441-46","heavy",100,0.49,0.906632391642392,0.224030982588851,0.529424100782547,0.931129658312499,0.13832938624254,0.570747192053561,0.18040980099395,0.442301289864252,0.23252271752329,0.960262831584992,0.00828666449545435,0.598299683123061,0.193862212150563,0.437327096479252,0.217359361851491
"11441-47","heavy",100,0.51,1.08516133786592,0.764540375650563,-0.112188771850565,1.10732710747761,0.748580618311542,-0.0981993605347526,0.162823419306281,0.265852197029938,0.230093793498937,1.03561952459192,0.828438780382124,0.0948614617310487,0.183533314216277,0.342297733359088,0.206701855281385
"11441-48","heavy",100,0.5,1.20099427823501,0.605183898860779,-0.0987594331002651,1.28669791952493,0.525017572348333,-0.183037033548394,0.150524871697371,0.3059377414923,0.240333750075745,1.08095328835581,1.12009926048067,-0.0194369232011348,0.166984198580945,0.367330755863604,0.19123673746562
"11441-49","heavy",100,0.55,1.00569248391564,0.659613840179952,0.096843105911545,0.965097618237145,0.636702735543688,0.235044377415367,0.206787845261631,0.330175020409796,0.213881914163858,0.965998461698225,0.797140568332409,0.192112115686313,0.205544004124056,0.401936913714012,0.203447685249852
"11441-50","heavy",100,0.51,0.931765767772981,0.506014019582885,0.618079039136858,0.89265268182392,0.341711593333293,0.697658090669149,0.159127826330856,0.150036349723607,0.195785852140257,0.86219341760804,0.477754288172552,0.753799333979096,0.166582680829229,0.215676721296631,0.185821710875139
