"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11429-1","light",100,0.23,1.06894046014126,0.546168788425898,0.0863882545174954,1.09894533815985,0.392184945814759,0.133212966129266,0.148984551696809,0.176600525128452,0.204700883288275,1.07663978189523,0.425655066251598,0.172781536741614,0.157614420066446,0.214191030882609,0.202702832566601
"11429-2","light",100,0.2,1.06255989296502,0.734627663644802,0.0617167659013705,1.14849453606455,0.581537155236827,0.0392583239202962,0.162770555746774,0.253840771464578,0.243005620041084,1.13032359145179,0.489221640831381,0.146646590959354,0.169807785089483,0.261648432190062,0.235514955205819
"11429-3","light",100,0.19,0.891303132007372,0.559966315648576,0.198046880184888,0.920940578150677,0.508204542814467,0.194218465505036,0.171056211446563,0.261970612512946,0.220749467494336,0.890055078998358,0.550903241121058,0.221768163775763,0.173803364394387,0.257785523651139,0.21556809790222
"11429-4","light",100,0.13,0.854870039940803,0.582419215810702,0.381724407302091,0.820335436323022,0.655539203646934,0.432741197043,0.140639888646282,0.202634008724684,0.187238373323463,0.819817448295317,0.662646539096638,0.450884036945953,0.143335166414606,0.219171193432988,0.1874247045724
"11429-5","light",100,0.15,1.18839087275472,0.237647403684344,0.458692911979571,1.19881849755348,0.173097197870003,0.499529948729994,0.143600184145098,0.168529828012032,0.218069131420092,1.17580325375082,0.205831379039183,0.519202015102867,0.145401214092912,0.156405997342926,0.208458606674979
"11429-6","light",100,0.1,0.92298973134767,0.352792999878629,0.656712436915464,0.901588763659154,0.356456459030179,0.666617004704991,0.183104495507085,0.202492371864112,0.233727419826423,0.904995473471514,0.362044626404725,0.663643451537066,0.182714828139083,0.208439992452261,0.233677960631621
"11429-7","light",100,0.25,0.894540823175633,0.517689580323158,0.522520670077932,0.823025513868502,0.742348512874712,0.557916275307467,0.17845761599177,0.271000125638109,0.210925725795337,0.785684081159206,0.804441496006073,0.601790850385514,0.184241726055703,0.29015114617473,0.20959805380344
"11429-8","light",100,0.14,1.06941095807083,0.472125860573018,0.393806123090241,1.07879458321576,0.421600003804028,0.391484275793277,0.131400979062064,0.209477208842651,0.194709774656328,1.07248404679603,0.313310866132885,0.471321552168773,0.135516924630628,0.21223387600507,0.189618566243479
"11429-9","light",100,0.15,0.973445314554274,0.44876660655127,0.487169607561213,0.964633189753877,0.476287377571175,0.505146684978735,0.172694507025756,0.274273529931214,0.224370196515455,0.997314325553478,0.317701525908218,0.563514287886834,0.176912051714737,0.28395061609489,0.222762845293266
"11429-10","light",100,0.17,0.98269796477309,0.199891352080682,0.494118014496914,0.9459282592087,0.342622512906794,0.444397040626667,0.183203635123494,0.231589890903421,0.235676775669431,0.90305784159741,0.394233570820951,0.474458814086718,0.189345136267909,0.233121056780896,0.229480868916827
