"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"128-1","extra_heavy",500,0.802,0.873503481217709,0.494324166438349,0.335025000783233,0.882565726038564,0.599928644289413,0.113248299967164,0.725670887399808,1.47450736560308,0.500004082650827
"128-2","extra_heavy",500,0.828,0.967803821210867,0.510556490429854,0.243295276881657,1.04456678464039,0.658374190220685,0.128746815309459,0.933297794969538,1.47153809164424,0.336921422570319
"128-3","extra_heavy",500,0.802,0.986182533995649,0.476267919069851,0.392179621899833,1.00644385822684,0.206592219247353,0.136546033220246,0.881567361026102,1.38109691769088,0.527145461820493
"128-4","extra_heavy",500,0.776,1.01364251829299,0.478954225698456,0.230556499222895,0.966258117825823,0.728319550506474,0.247754871917559,0.932242574091888,1.41190719603217,0.291158467197679
"128-5","extra_heavy",500,0.8,0.871565067855931,0.454813028144314,0.449514040982172,0.880288629728858,0.519413707744688,0.555896377872466,0.827859497976692,1.13201561566573,0.626552103045744
"128-6","extra_heavy",500,0.796,0.940084081189798,0.635475380171636,0.198086551833848,0.980192364894912,0.650184896092672,0.136313312413069,0.962521207711948,1.13193914438825,0.314713380196172
"128-7","extra_heavy",500,0.804,0.954905620037985,0.435265914859924,0.351044804060106,1.0318016838338,0.0721776080674869,0.338381822761905,0.968056472917415,0.61834241343784,0.508231853470617
"128-8","extra_heavy",500,0.826,1.03556736491781,0.639592748439566,0.0644640230630583,0.914975160654333,1.27583632585196,0.107930201774879,0.799216619622416,2.64287349504461,0.250760687974017
"128-9","extra_heavy",500,0.828,0.907106641679343,0.325379243373457,0.469786429899084,0.808825601909125,0.847848314737467,0.356036629907066,0.670659967547018,1.83289983182096,0.547862078492035
"128-10","extra_heavy",500,0.798,1.07978940554105,0.396701466349859,0.258975784210934,1.12772436503209,0.279197388911184,0.339673984685497,1.17784671352723,0.0985298431452662,0.395638593751825
"128-11","extra_heavy",500,0.83,1.00426519330068,0.46766449033557,0.397760735207304,1.04171061023004,0.428966588606358,0.473853672968272,0.956035401561038,1.06711276121436,0.609007910690979
"128-12","extra_heavy",500,0.822,0.954933793558694,0.416630700349987,0.20873056361375,0.961069022853633,0.15281565342577,0.135348063824384,0.880069992062417,1.13070430371076,0.301558392775291
"128-13","extra_heavy",500,0.828,0.825233025187552,0.516233341862023,0.488224455887407,0.682101614694266,0.670615741375495,0.357732037144356,0.501680854925814,2.1844102372866,0.603096452009748
"128-14","extra_heavy",500,0.834,1.00470149007066,0.508570421211965,0.0890841975067097,0.990830277449991,0.658765287166049,0.0396163354487677,0.902196857720995,1.34775188543617,0.261149755756159
"128-15","extra_heavy",500,0.818,0.856675780797049,0.562189953709054,0.318855173678328,0.899060595737991,0.568578057969616,0.375858664126072,0.875184800277984,0.932786107143081,0.451047780979649
"128-16","extra_heavy",500,0.846,1.04222208166116,0.52317406446169,0.185441698530307,1.07361668736497,0.490228720639056,0.103552360358839,0.902010906434923,1.99341490669761,0.362692524558816
"128-17","extra_heavy",500,0.802,1.00678666179929,0.490044204489342,0.339974772339538,1.04933642282603,0.131147479960325,0.382154370227841,0.942130529425921,0.942524478049909,0.47249549869659
"128-18","extra_heavy",500,0.83,0.97797521270674,0.578843254184854,0.179930041653368,1.02579599685656,0.264761231673866,0.0901594333733375,0.832810911039901,1.6070326987048,0.356955693173596
"128-19","extra_heavy",500,0.836,0.871666921327207,0.603572502344327,0.407128446660843,0.89097070323135,0.330047315923624,0.321350119153297,0.759099774448229,1.44892142556062,0.547622683485076
"128-20","extra_heavy",500,0.826,1.04683836637765,0.577527256300823,0.0700842131928383,1.05471435278996,0.113140121542956,0.138037141206698,0.995301016685911,1.2246626531566,0.233590634874969
"128-21","extra_heavy",500,0.82,0.954298348789582,0.412974514607987,0.3036391365258,0.968542882066748,0.199694447409329,0.349608972126764,0.90159828861197,1.00359580452341,0.440795165761498
"128-22","extra_heavy",500,0.834,0.945126690250598,0.538460225518754,0.275123176707615,0.972285880510545,0.11236945932046,0.30137027068697,0.89127836248782,1.1502159617666,0.411839487156794
"128-23","extra_heavy",500,0.812,0.861615467660891,0.578279025798706,0.355857072524756,0.931753355014706,0.115622823002551,0.376896859110882,0.791342385331018,1.53373238545672,0.516715107989209
"128-24","extra_heavy",500,0.794,0.982617020075941,0.462363194468598,0.18561444007677,1.01984895476452,0.337827214890122,0.241683456931873,1.00866105219142,0.674360209760069,0.261190279654378
"128-25","extra_heavy",500,0.818,0.913591384827261,0.613555735094391,0.313604579815619,0.799687112921201,1.22609130056722,0.26580389113953,0.700426936416111,2.04531276110402,0.491330258719
"128-26","extra_heavy",500,0.842,1.1005118641098,0.522877175398855,0.166076896783531,1.03610725902101,0.96996402161488,0.200613168594421,0.977694221047471,1.29549838096321,0.315180398640253
"128-27","extra_heavy",500,0.802,1.0188848023369,0.470705704917227,0.195531828392213,1.04755406519907,0.43043586488439,0.22639078978568,0.957495860382179,1.10674027048917,0.357073641318228
"128-28","extra_heavy",500,0.812,0.952216013723487,0.381188610538129,0.26879010360084,0.952375764458035,0.166019547312759,0.272166967244562,0.901046519357872,0.934889307828472,0.368156067548226
"128-29","extra_heavy",500,0.8,0.966241622771241,0.460410701490047,0.321493699248728,0.939325848524597,0.703045536075743,0.34332459203835,0.896616629413803,1.5791728497573,0.430872859037808
"128-30","extra_heavy",500,0.798,1.02688486349166,0.564190325870559,0.166404840328085,1.01526487156178,0.592717406933767,0.0877959816232539,0.895423010459836,1.44122873041871,0.357520152032739
"128-31","extra_heavy",500,0.804,1.00306850486615,0.513588979207206,0.32139769971685,1.03197441648997,0.333283070982221,0.416647213069981,1.02245423295554,0.70619314253271,0.485741243753245
"128-32","extra_heavy",500,0.822,1.09225220422512,0.394240652595181,0.256484007708967,1.1321585288321,0.209453085926453,0.255664989362447,1.01945011183568,0.883512448152475,0.37874903909135
"128-33","extra_heavy",500,0.796,1.03545050762139,0.477327766278399,0.238568561865276,0.959607912815779,0.962376784312362,0.252867743735934,0.882600532360253,1.48391278708167,0.402357277287244
"128-34","extra_heavy",500,0.866,0.926479338973529,0.46741920928226,0.357140140733095,0.961061468990532,0.336595394337484,0.3985929509857,0.921671015821326,0.734855322658651,0.51582973781198
"128-35","extra_heavy",500,0.826,0.9905487306356,0.435744710577471,0.244910336189368,0.970202190196931,0.362070657701476,0.189877762800322,0.781982285464405,2.04401429572844,0.358124096995607
"128-36","extra_heavy",500,0.83,0.932779855069167,0.547161433095897,0.276928603344802,0.99754369504587,0.425214438355158,0.318565018625769,0.971768883206239,0.642565384662309,0.411959148420064
"128-37","extra_heavy",500,0.818,1.06772951959965,0.449681639395053,0.206421160563552,1.04950677796683,0.692782180180833,0.241092314072052,1.00374105695296,1.32223289426651,0.338533894228923
"128-38","extra_heavy",500,0.822,1.09544074822011,0.448410663837737,0.126734519884647,1.01467590736466,1.10158625456337,0.155945606940873,0.989047316204275,1.69133326780519,0.233713562434016
"128-39","extra_heavy",500,0.824,1.02302103191188,0.394629741399097,0.374323484613749,0.907604196114398,0.427310198609436,0.293186018741252,0.806818737961739,1.65852306403013,0.461937013923655
"128-40","extra_heavy",500,0.842,1.06847381896149,0.43257594653705,0.153725413154845,1.15048802907147,0.0811863193905991,0.164349273436496,1.0448824221023,0.92338109784167,0.234565957071457
"128-41","extra_heavy",500,0.792,0.947721874184285,0.603656830783288,0.190238848505445,0.959054559831199,0.901562919957888,0.233838862503728,0.918246939952563,1.37364035108926,0.365734136160528
"128-42","extra_heavy",500,0.818,0.87727346173824,0.490941596680832,0.410052427430456,0.934784771556005,0.326487096022941,0.272658381512761,0.75749393960862,1.85024023818461,0.501087291416082
"128-43","extra_heavy",500,0.836,0.916919405635276,0.585233753495682,0.3099989460165,0.832953796956484,0.210156762770541,0.233206873328501,0.685283709357418,1.42010014703851,0.484956487815672
"128-44","extra_heavy",500,0.81,0.947076240275839,0.466472082396428,0.349678986086667,0.996861730032415,0.29253395775691,0.367804791450977,0.962011759528365,0.567965637758899,0.492519513804459
"128-45","extra_heavy",500,0.85,0.981778194075638,0.538430926364875,0.273491520236234,0.807959407576231,1.4840673340835,0.0963845687125891,0.577844436263183,3.21473415932742,0.461460433534294
"128-46","extra_heavy",500,0.8,1.03180962253877,0.482277154642428,0.234500698461467,1.09020976612049,0.453214935633815,0.160246368902402,0.932721142203945,1.62404490535295,0.326637599270496
"128-47","extra_heavy",500,0.834,1.11598563681307,0.486335726588982,0.142072159043519,1.14114825995284,0.316566665642782,0.129454543341451,0.993793187287254,1.40078671029518,0.246414195901475
"128-48","extra_heavy",500,0.832,1.00224688076087,0.545525333924949,0.283805130223252,0.878587811163656,1.30129824032843,0.0821923743743239,0.659419202630388,2.96977249949083,0.474462723960975
"128-49","extra_heavy",500,0.818,0.930261705884368,0.462800868123932,0.283558249766525,0.978741655594418,0.707959244245409,0.0336445470846455,0.805608905673681,1.32722847508966,0.42230265711702
"128-50","extra_heavy",500,0.854,0.921095784646345,0.550335523060049,0.384690713136234,1.00927233002973,0.119564634934076,0.469026033328997,0.945058378237227,1.02445970123033,0.522076332832077
