"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"115-1","extra_heavy",100,0.72,1.20066231255966,0.661812001904931,0.217120236854222,1.41186551510683,-0.00344909038813489,0.223064310212871,1.35246984739107,0.070208738878551,0.260932015074569
"115-2","extra_heavy",100,0.68,0.831653502655312,0.568200753386412,0.28082784410169,0.588630010938098,1.27858636718837,0.659377970622665,0.231021248286011,9.40390196441384,0.418304683807999
"115-3","extra_heavy",100,0.77,1.03448275418816,0.423683323462216,0.571867546218337,0.622609848116389,0.874415610032815,1.09243751758308,0.5952447515839,3.71868567938872,0.809284458926902
"115-4","extra_heavy",100,0.78,0.950884160381267,0.350025889662081,0.601783107584227,0.709556337406753,0.832430920535764,0.790296528007262,0.565423099044267,4.85237870594589,0.6539866765987
"115-5","extra_heavy",100,0.79,0.787511309820435,0.423146135996009,0.680279262868966,1.24797013078488,-0.0247771489677404,0.5626590860242,1.06848983336583,-1.31338557795606,0.82240519341123
"115-6","extra_heavy",100,0.82,1.13911573415245,0.581178714812549,0.0415204791318836,0.996032223996544,0.188761128701311,0.149303610197313,0.834983170246237,3.07382697612161,0.158119694747469
"115-7","extra_heavy",100,0.75,0.820515595345774,0.562644448022974,0.343383038664459,0.992614193964287,-0.0424924819013647,0.420598443695748,0.949823841902959,0.214752890094402,0.425352371774356
"115-8","extra_heavy",100,0.67,0.880683169101771,0.544096978154975,0.172741980615568,1.1173851485104,-0.47261131946279,0.213841782969995,1.09351337544515,-0.540200448160038,0.237633485927986
"115-9","extra_heavy",100,0.68,0.87995940889168,0.76554235846985,0.0723337266403826,0.82140943461512,0.0200149350058706,0.22807156645428,0.817925681842879,1.55962926831389,0.133035460758856
"115-10","extra_heavy",100,0.66,0.95695195922239,0.499874430266639,0.345148648627501,0.907187159074239,1.20718930221162,0.424337959381975,0.889663691820339,1.79197755045136,0.400041806233869
"115-11","extra_heavy",100,0.62,1.1721612450371,0.557214866218895,0.262782077644653,0.929968312897989,0.00588200420317125,0.764827745720892,0.871265353428333,5.26128840894411,0.42608502822983
"115-12","extra_heavy",100,0.69,0.922279976577742,0.565778537559618,-0.0949615168022565,0.80865712860016,0.267375183442748,0.218189712384395,0.778477027466025,2.73407055776389,0.0640070418522225
"115-13","extra_heavy",100,0.75,0.934708104774496,0.701984454287859,0.0833035972111911,1.18293283270458,-0.0701419203758128,0.202231697125186,1.14566655226011,-0.0222306513109334,0.18950835930606
"115-14","extra_heavy",100,0.74,1.09196083033875,0.358882027042273,0.219363042942206,1.16541257350908,0.042857589101129,0.258335615902828,0.993347349609905,2.06226512008299,0.238040232486984
"115-15","extra_heavy",100,0.76,1.18753528511381,0.481615258120408,-0.283764742079358,0.949878728734575,0.146260821704492,0.0991740212225912,0.856631077840392,4.45380464350332,-0.198414253242886
