"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"125-1","heavy",100,0.34,1.16424235114438,0.309652085248684,0.140956467309464,1.17537238161546,0.425464436865518,0.19988878025946,1.16553890803198,0.507822800267434,0.203422455817702
"125-2","heavy",100,0.41,0.867035695088151,0.519133823967874,0.234734459760784,0.760279095160138,0.675757808617653,0.418937669249386,0.755091298576737,0.811417061673017,0.427368606409143
"125-3","heavy",100,0.43,1.00969788179031,0.398062819683261,0.174096488847621,0.745972727990546,0.994850421061048,0.275088765663452,0.741934992140721,1.09408967720275,0.27810030928227
"125-4","heavy",100,0.42,1.17094686311126,0.451428320901185,0.137349994030365,1.14072579389785,0.383740925637921,0.227145416179393,1.14961167912273,0.458614847890205,0.211578904575026
"125-5","heavy",100,0.37,0.980535559722604,0.478071232758287,0.283152194034885,0.632917084642949,0.921425127929926,0.583398852717084,0.647411924450275,1.76323298137416,0.408837472865726
"125-6","heavy",100,0.36,0.997337194192037,0.403832218977884,0.286456709381683,0.991354291171826,0.255346072588824,0.37524564359806,0.962392332804527,0.412020387979459,0.410744080279935
"125-7","heavy",100,0.42,1.26214997012462,0.470251474756518,0.0377868259333396,1.17972785891572,0.794389582695948,0.0693412271487497,1.1055176719364,1.00829727815726,0.17321109293991
"125-8","heavy",100,0.37,0.851655090263285,0.700690695253931,0.413284981333019,0.759224311073206,1.00175749021732,0.584609316863532,0.788351696691918,1.04342526971717,0.548054631015693
"125-9","heavy",100,0.38,1.06356972634125,0.666312373313228,-0.16638215756526,0.96239228799313,1.1928139624702,-0.106832041181953,0.936522857999455,1.10952288568592,0.00514871977408669
"125-10","heavy",100,0.45,1.00715221368771,0.64686226159027,-0.0313396973001365,0.862210277111706,0.809062206637695,0.0711539887249495,0.85046283460904,1.1221045862853,0.0321992788720043
"125-11","heavy",100,0.47,1.15650930808709,0.458474655100918,-0.169275544953144,0.936818122004095,0.944615074759264,0.0749752676640323,0.910670074040241,1.34841854052657,-0.00937831925285447
"125-12","heavy",100,0.33,0.915453167373472,0.382270512547248,0.552327867553998,1.01373331575762,0.0183648748694335,0.666948951177824,0.952537661645031,0.297594944518142,0.674689929327775
"125-13","heavy",100,0.35,1.12675373255899,0.255008126485745,0.448627056208129,1.23059252416925,-0.146247160236389,0.444597519246873,1.19122515921074,-0.0112414417935387,0.466000773034205
"125-14","heavy",100,0.43,0.89160082367692,0.589247106204368,0.186824477649534,0.615394012450055,0.868004627658058,0.631287585309105,0.611506637530164,1.35118835846814,0.498797508428302
"125-15","heavy",100,0.38,1.19242375752743,0.419426877237113,0.123231793015512,1.16510246310926,0.555536304450535,0.141699182419957,1.13716868318633,0.742601916351082,0.175328100255673
"125-16","heavy",100,0.53,1.09176348970637,0.535619134776065,0.135369584947683,1.11339949163578,0.385047268151662,0.391285765029789,1.116956677774,0.461387903687679,0.391700564723013
"125-17","heavy",100,0.45,0.947560988760907,0.57858871067314,0.495421575829429,0.895680233065173,0.543013751104952,0.502214761914715,0.850243453957637,0.697956449664208,0.576327898802284
"125-18","heavy",100,0.4,0.863054152090823,0.701628420864013,0.571507104968243,1.02305306354453,0.189429190770117,0.539422632165432,1.01725637910411,0.272557979461868,0.525716234471524
"125-19","heavy",100,0.45,0.989698865550627,0.402583402996255,0.17325930204039,1.05766322895673,0.0948136811656411,0.325394518667891,1.10559816442844,-0.0540325904086235,0.339510150897862
"125-20","heavy",100,0.49,1.07171775921831,0.411099298808216,0.150483541076721,0.944779955985029,0.447217410394083,0.338701863276811,0.929830557695372,0.703006925259128,0.279190874118737
"125-21","heavy",100,0.53,0.974837430218155,0.481511946725009,0.453764311929555,0.86928828783448,0.586455634905222,0.523441349429768,0.878729596651565,0.784252837161683,0.482182424510724
"125-22","heavy",100,0.36,1.20563351053697,0.512280371795291,0.00715678734719201,1.20316691120572,0.656766414067232,0.0109584729437768,1.17871585052689,0.750298570445281,0.0518943590883838
"125-23","heavy",100,0.34,0.725199384688622,0.643061560550924,0.563991702455433,0.706644714781403,0.873990668270886,0.644546929125651,0.67401443714235,1.09796231738114,0.646535757898433
"125-24","heavy",100,0.41,1.04827918429242,0.477447022985465,0.362939861572641,0.966877856576394,0.51461174740748,0.565295633663769,0.928746455172761,0.837986303405801,0.53769412486499
"125-25","heavy",100,0.5,1.02545249268938,0.526116450087586,0.197175204347106,1.08215354712238,0.325067373385923,0.333210818532333,0.994156042513312,0.651672986589902,0.362376372283578
"125-26","heavy",100,0.4,0.986311969443304,0.613093433714917,0.222434034156057,0.944513152917941,0.634130388847497,0.415197243905658,0.912277783055744,0.915178922676827,0.385771809837372
"125-27","heavy",100,0.47,1.36307109214998,0.552752527623306,-0.159247046636611,1.1695509167681,0.559172459070562,0.00518648271586013,1.18490021915594,1.02806595704737,-0.119726711334142
"125-28","heavy",100,0.35,0.953332911236169,0.503768379475745,0.545664168528288,0.723310245947808,1.30669673631741,0.743588379649466,0.703136824749326,1.53714884937193,0.742083120703924
"125-29","heavy",100,0.36,1.02719880940025,0.383542761250784,0.161574208079847,0.961320640275386,0.452721379800023,0.297484310227733,0.987643798623,0.453624460413608,0.249628118708672
"125-30","heavy",100,0.38,1.0831095332057,0.650476005321031,0.303583073192974,0.988912227770753,0.881521149320999,0.569968570284688,0.955104858140424,1.23547741845365,0.537750214279001
"125-31","heavy",100,0.38,1.03151225109444,0.62422302184641,0.13953115063615,0.904058074564191,0.82235437349148,0.35537086567539,0.911200865342862,1.00178477717297,0.268938988684376
"125-32","heavy",100,0.4,1.1200247340703,0.308711754108516,0.150748688915102,1.12240738311316,0.275348576421497,0.158047884541835,1.13192220707305,0.251952062997371,0.176870316999498
"125-33","heavy",100,0.44,0.917880674211393,0.556782908398308,0.197121647092258,0.569631800598104,0.435686840513194,0.750476869146465,0.815668469566099,0.549106323555233,0.303106819819218
"125-34","heavy",100,0.4,1.24661067674502,-0.0824209722350794,0.116743433401223,1.22402054555502,-0.00656887543668797,0.114904119994821,1.25251760904676,-0.110955931398679,0.110365343678118
"125-35","heavy",100,0.38,0.72843908672674,0.587748158089129,0.574028029763857,0.681976434816218,0.695438429843681,0.585919358397777,0.666288869348535,0.83429707231511,0.613537201410821
"125-36","heavy",100,0.31,0.896488607823933,0.714649185217286,0.168972494603731,0.781055906787918,1.05769378159848,0.393726187095206,0.714113132903211,1.49471767360261,0.335486228266627
"125-37","heavy",100,0.37,1.17847004202279,-0.0234369940636698,0.188704917434417,1.14994251745959,0.0971107903861922,0.173685066746761,1.14835510472858,0.106445957224444,0.181750283377886
"125-38","heavy",100,0.36,0.863503457540828,0.677690459826272,0.410970682871499,0.773809929750574,0.861358751543443,0.42167356009982,0.749720414604505,1.05061673460988,0.444007223929746
