"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"123-1","extra_heavy",2000,0.765,0.965340888427334,0.540510104090088,0.265844436104208,0.934706206439079,0.831906500790346,0.285164643726666,0.939111444097406,1.13227315738467,0.256760814945193
"123-2","extra_heavy",2000,0.773,1.02984200557441,0.4250918849457,0.21831921140165,1.07245180867255,0.331041555124725,0.232610004697236,1.07088320531916,0.503385476568187,0.228430728346991
"123-3","extra_heavy",2000,0.7685,1.06640162473521,0.455543411016394,0.197605315222612,1.1441980598137,0.244233164793078,0.199182856449887,1.13757284697842,0.379301628966962,0.201311135393495
"123-4","extra_heavy",2000,0.773,1.060326132462,0.45358334745455,0.21044235696791,1.05025016835351,0.813182617708684,0.222010797889956,1.07337195081608,0.975963712114019,0.201451161252108
"123-5","extra_heavy",2000,0.7665,1.01187293660914,0.398142470676314,0.308397937341237,1.07459899290929,0.173270957226018,0.311981197638239,1.07121640630539,0.316018097874764,0.308391482617018
"123-6","extra_heavy",2000,0.766,0.93998980631713,0.446235750469002,0.370863680809985,0.918184749617566,0.843447806219679,0.356849983569217,0.902946737509129,1.05938473431567,0.377302357546661
"123-7","extra_heavy",2000,0.792,0.988894591482194,0.480127104011315,0.282407886898091,1.04210483121961,0.454601866555963,0.267637251603231,1.00887053844237,0.697802518611322,0.291110711380176
"123-8","extra_heavy",2000,0.771,1.03900144550601,0.55902120546749,0.20028565584786,0.986112925034699,0.902910188812422,0.201374457607371,0.974137675238194,1.25976079317085,0.211831646669692
"123-9","extra_heavy",2000,0.772,1.04106483373983,0.470549177378144,0.211833122967054,0.987014018579057,0.354368231841553,0.238847288228571,0.982887213827301,1.16272992671038,0.209711541290523
"123-10","extra_heavy",2000,0.7785,0.980367228272441,0.474003639193452,0.304140097797924,1.05509384691235,0.292121637984882,0.298461075058785,1.04579524535546,0.405875345598004,0.307755890755378
"123-11","extra_heavy",2000,0.773,0.931745275628608,0.563839726054139,0.320339545725969,0.873099627703934,0.855476604198273,0.307886129445414,0.844153809097272,1.59891059218498,0.313754284344679
"123-12","extra_heavy",2000,0.771,1.00299295704239,0.541981226878149,0.189104062617409,1.04295292092715,0.529534555792586,0.174215877428474,1.02978822296249,0.730497855204071,0.189433871995885
"123-13","extra_heavy",2000,0.776,0.984539790106905,0.509678931153106,0.319304897221289,0.890209347868168,1.08516089317952,0.357216554883073,0.900419142202091,1.36821167816341,0.320162835613613
"123-14","extra_heavy",2000,0.764,0.957783909846571,0.52524918701458,0.282799856579475,0.985583453552135,0.389998250821731,0.291491867261881,0.974636005565893,0.767150531278035,0.306874829068741
"123-15","extra_heavy",2000,0.759,1.01107932705126,0.587168937862815,0.220799763899409,0.981105547551361,0.708886950777092,0.227869519087179,0.967735435065599,1.33385916656767,0.202289053992577
"123-16","extra_heavy",2000,0.7785,0.988273094324475,0.591996432733884,0.152394686568303,0.998490642892892,0.701916978010718,0.157440238837826,0.987700626692496,0.988603049681219,0.158251253113454
"123-17","extra_heavy",2000,0.7715,0.995268343140749,0.531193861196063,0.247813661068013,0.97388393674416,0.45363539597031,0.270459964209746,0.985570550666927,0.93429950294927,0.245596214573738
"123-18","extra_heavy",2000,0.791,0.941604876532354,0.526645741738114,0.32724947147902,0.936334305066228,0.780924319375137,0.336504568427017,0.934431246901563,0.993402455756764,0.326635908381978
"123-19","extra_heavy",2000,0.77,1.01089883190701,0.502612483820886,0.283984567958984,0.884117867707162,0.947717574953082,0.308112075239747,0.880578589104955,1.60826024324195,0.288350021380562
"123-20","extra_heavy",2000,0.7685,1.03547486333469,0.374102019287752,0.251124345883812,1.01889063412628,0.629636087396363,0.247678669768614,1.01339144615441,0.765058626850902,0.263059722628665
"123-21","extra_heavy",2000,0.767,1.07653218814929,0.417382735343218,0.208659194063076,1.03915719676469,0.504262902900039,0.211013084362556,1.03318262263263,0.842340313166628,0.209489794716491
"123-22","extra_heavy",2000,0.7705,0.985399499943426,0.493313733355784,0.282725001029431,0.948132991924818,0.773454141460604,0.277497362047651,0.940253624343439,1.19435807874986,0.268194278760887
"123-23","extra_heavy",2000,0.768,1.05297171054973,0.451717779603057,0.192518015809159,1.09225229957263,0.37929743041772,0.195491067199886,1.0825709425144,0.562181780620477,0.203900755969794
"123-24","extra_heavy",2000,0.7685,0.909226017249341,0.571093913899203,0.314662526490967,0.951617638493553,0.603399837495314,0.304235593330535,0.934852973165699,0.963067339034974,0.303531662833843
"123-25","extra_heavy",2000,0.7735,0.989665216265941,0.521955695410876,0.23666029163737,1.03609630017017,0.593340427512035,0.241697171017274,1.03423840371629,0.70201967449195,0.242976997265169
"123-26","extra_heavy",2000,0.767,0.984426988038889,0.525348347389614,0.27500235481208,1.01901242697342,0.538607913973219,0.242447766493945,0.994894170682733,0.743672198121311,0.270534644682896
"123-27","extra_heavy",2000,0.7735,0.983836966868692,0.590018069113573,0.218337103153466,0.912556178261276,1.16147114579602,0.20582842603357,0.900972518885535,1.44699760707872,0.214242048038524
"123-28","extra_heavy",2000,0.7705,1.0701928826051,0.441623262066264,0.191994454182988,1.13476881765837,0.334014393039672,0.194106302974742,1.13626591932385,0.375184581292121,0.192735626513586
"123-29","extra_heavy",2000,0.77,1.00870059779456,0.407887885940548,0.260083538982697,0.958550424737118,0.609177186734016,0.286852597075681,0.949608864353275,0.979140252993066,0.27379856347378
"123-30","extra_heavy",2000,0.777,0.942883542222149,0.563345645440108,0.305613688405061,0.919063642320657,0.82084975917545,0.309221727280142,0.914079522200025,1.11234139114713,0.301484563633042
"123-31","extra_heavy",2000,0.7705,0.982981352727419,0.43931613345588,0.312477075517696,0.985378447311528,0.515269615554826,0.318204719729062,0.981279713616315,0.883107068890059,0.309739810495152
"123-32","extra_heavy",2000,0.785,0.990536118237866,0.526313867658948,0.234612181439065,1.05414515146929,0.393991182810352,0.232014535875894,1.04889300065628,0.554457532985421,0.2450694984675
"123-33","extra_heavy",2000,0.784,0.944565737798571,0.625682118266593,0.292934287260422,0.913182310157923,0.896149496480455,0.286717643169928,0.901541882955306,1.31083199704161,0.285555536667553
"123-34","extra_heavy",2000,0.7735,1.01499395822639,0.400053659722519,0.277138756540068,1.00549373283553,0.427649308748618,0.286476742399854,1.00517638562358,0.841888949547207,0.269440477168675
"123-35","extra_heavy",2000,0.7705,1.00540805054469,0.57873126827934,0.224095793017459,1.03771565574561,0.518910882508823,0.256601705961002,1.04662071608618,0.808768224345643,0.228615913590842
"123-36","extra_heavy",2000,0.776,0.976657210843357,0.513621897091073,0.242174991635209,0.970752903670344,0.642558115833308,0.244417209517668,0.963403600091841,0.922542423074836,0.233099451783523
"123-37","extra_heavy",2000,0.7705,0.998566549066719,0.516039854569478,0.205165898009701,0.965759804966255,0.666635801262425,0.181350178634477,0.936948847423602,1.33958983032644,0.198304375633717
"123-38","extra_heavy",2000,0.785,0.950667927229353,0.659189990214643,0.243694797112695,0.969574229503505,0.61590432449302,0.253058396195457,0.957642521557795,1.04400668318637,0.247106442233884
"123-39","extra_heavy",2000,0.7765,0.995229940402585,0.564396473814753,0.251411523265012,0.937715566256065,0.638124362718173,0.27998886763772,0.939098601097009,1.34431451641637,0.257751362115227
"123-40","extra_heavy",2000,0.7775,0.966269759238782,0.519725297030291,0.266324700547283,0.886896947607352,0.624755767392019,0.239394644045593,0.849175460034051,1.62559561279604,0.258183080343086
"123-41","extra_heavy",2000,0.7835,1.02373179664913,0.496982680662514,0.200622336210307,1.04436045583728,0.299513315741079,0.204777825500904,1.04507792295533,0.765238954077291,0.207152705860958
"123-42","extra_heavy",2000,0.781,0.980637618242003,0.583527700206094,0.225525436918807,0.939790085110846,0.856580405786329,0.204654792644879,0.922242430483405,1.25681789103798,0.221268531439288
"123-43","extra_heavy",2000,0.783,0.998817948805866,0.455682356629842,0.268548554581983,0.954851208164208,0.835341704666403,0.285242022107432,0.959896192871487,1.05363956278294,0.264549931533689
"123-44","extra_heavy",2000,0.775,0.952765660654967,0.537287540938603,0.326775056173045,0.945891676699842,0.666869865382021,0.324392019273532,0.936982199675368,1.03504526378839,0.327521359997357
"123-45","extra_heavy",2000,0.782,0.946300141654286,0.547451714590053,0.282126121711398,0.934158619919969,0.572670824651977,0.283269185908218,0.92615439194993,1.05009063096079,0.271067809224147
"123-46","extra_heavy",2000,0.784,0.999538324786595,0.50560755951772,0.280067477670647,1.05721633051785,0.333398043705571,0.289324788652729,1.05026735200462,0.529245692130551,0.287566437419556
"123-47","extra_heavy",2000,0.766,1.0218827197441,0.503026580914186,0.255772927100544,1.04710332066824,0.378954066144833,0.278296462722604,1.03146001055002,0.773305262312146,0.253242013149477
"123-48","extra_heavy",2000,0.775,0.943139565872786,0.47558818748647,0.307801894719187,1.01944419927563,0.24564745486748,0.288273048115033,1.0075254523472,0.545835544911741,0.293773515782228
"123-49","extra_heavy",2000,0.7735,1.08126818021065,0.468379825428383,0.163471128952892,1.06087738027274,0.541142760080919,0.180270248442033,1.04557467600628,1.20420843503054,0.153861332545297
"123-50","extra_heavy",2000,0.76,0.97719521480128,0.485898341783525,0.251031284734775,1.0187495014091,0.42396679614414,0.252987932114199,1.01141707489604,0.669881398239516,0.254182464616041
