"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11441-1","extra_heavy",500,0.744,0.993511372064938,0.574637491155823,0.212374774796063,0.936081126209402,0.715400930857435,0.144132036672752,0.126345480516094,0.315517507836481,0.134782238082169,0.867030837631914,2.055475462559,0.219302656478999,0.14742902052188,0.879603412923925,0.129970359501041,4.301,0.711999999999989
"11441-2","extra_heavy",500,0.802,0.981419542903289,0.490299688589799,0.309446382775255,0.998826343655994,0.407229243904157,0.278077014407641,0.148037421345366,0.342790312272451,0.129307499727307,0.985840550052295,1.0296746212037,0.305853283222675,0.182824865392411,1.05145784328021,0.130045720733178,4.875,0.688000000000002
"11441-3","extra_heavy",500,0.77,0.945891426057195,0.485008952940488,0.182055513704005,1.06944165143123,0.0625704924548152,0.179135794940167,0.177843324213909,0.413108862203767,0.141371491397531,1.0519679938306,0.245972730196448,0.179971376293978,0.17545139618479,1.14047986413196,0.140252023484375,4.67700000000001,0.695000000000007
"11441-4","extra_heavy",500,0.818,1.01823241697574,0.496058048587036,0.147859163360402,0.875438536268448,1.32593357134701,0.15103925406795,0.161581150764135,0.621205248515989,0.124438996669814,0.85918958690902,1.67007498264677,0.175764834298921,0.170732219354685,0.805504301884324,0.127859169954973,6.697,0.689999999999998
"11441-5","extra_heavy",500,0.782,1.07615607161907,0.447357339156434,0.250509854256758,1.19093016470771,0.0770962733096721,0.249514521166343,0.147117886079014,0.368060153480836,0.124460614581904,1.18109004110482,0.160812284850674,0.245039751106918,0.159147544217805,0.666169490702235,0.123374679486884,5.33199999999999,0.706000000000017
"11441-6","extra_heavy",500,0.78,1.0073694140801,0.550426132377457,0.292906150854557,0.882729840549653,0.86533891177878,0.262138976112473,0.13314228425732,0.3303536104656,0.125087405140571,0.820703586089963,2.1113161565466,0.31896915220723,0.156892588156476,0.843420136403137,0.11946889690654,4.95000000000002,0.701999999999998
"11441-7","extra_heavy",500,0.776,0.957184259348327,0.504282766270168,0.260143497181156,0.954421668586374,0.495705685860073,0.290330357986079,0.160397292468755,0.453424148371613,0.132453872240914,0.946380256986673,0.717415853924495,0.268797504363033,0.157772907166855,0.610204260527182,0.131708156399907,5.46000000000001,0.711999999999989
"11441-8","extra_heavy",500,0.774,0.95721231905138,0.582923065522171,0.2532389525102,1.0413954547183,0.454203048231689,0.258457275947892,0.159006078462927,0.827865844878989,0.134567727532261,1.03349135671908,0.59946172312822,0.285170402314254,0.168977140483894,1.10744041170794,0.129137686140884,7.172,0.745000000000005
"11441-9","extra_heavy",500,0.758,1.02812503500195,0.500163634776617,0.191366976624698,1.03873230354238,0.430372574608722,0.165584258740186,0.141790975072004,0.322546112759578,0.137414142850689,1.02020394726096,0.822004313117496,0.197039409230018,0.155045533245276,0.651346865329695,0.135078531735151,4.81899999999999,0.805000000000007
"11441-10","extra_heavy",500,0.766,1.01632470157384,0.50244233850449,0.170634277731387,0.904276761405014,0.510294066597395,0.160425797357416,0.15090203740406,0.232463155162864,0.132387635563617,0.860436603542514,1.7489746244352,0.164641529954871,0.158383831620889,0.762995653712455,0.123456461808729,3.732,0.782999999999987
"11441-11","extra_heavy",500,0.764,1.10858369211056,0.691094356201138,0.159336909109681,1.0092633918749,1.36755359064158,0.119393159969276,0.163424705329119,0.581948395912855,0.140114429730074,0.999726523958078,1.76603964153014,0.13261506492214,0.165938859869966,0.747807879224789,0.137193533593979,6.38800000000001,0.700000000000017
"11441-12","extra_heavy",500,0.778,1.04489998169828,0.484399788965138,0.344148643170106,1.07404446317,0.208185827605551,0.340762456995195,0.14356381246028,0.211818417224867,0.136297968253806,1.0346424001668,0.907332872725822,0.371170669184922,0.169093376416009,0.887797514536313,0.134862783920011,4.10599999999999,0.686000000000007
"11441-13","extra_heavy",500,0.734,1.07849850212091,0.279639285611733,0.218617725209241,1.17933064639088,-0.168427708990688,0.244218938978403,0.132519035942034,0.581756312113323,0.138632644979299,1.22455363228865,-0.547215004914858,0.235319721017647,0.153042100265361,0.937665884990562,0.128582824351306,5.232,0.769000000000005
"11441-14","extra_heavy",500,0.776,0.944658616373817,0.468458758503734,0.20059218108256,0.878954289225219,0.516560448458667,0.165123490659303,0.14394259328565,0.268387399444625,0.124963122881969,0.816288508438358,1.59002606540176,0.175145865670394,0.153886279135316,0.73506394439074,0.126909353093571,3.797,0.692999999999984
"11441-15","extra_heavy",500,0.786,0.901617923064055,0.64502526080008,0.400535291967632,0.935208791645347,0.272468628897272,0.39451981024998,0.135061071496984,0.193974167937367,0.12412633620358,0.927535256155257,1.2446861667948,0.393919617696713,0.164914288276223,1.03551554038407,0.12245926924369,3.935,0.676999999999992
"11441-16","extra_heavy",500,0.766,1.02122836509291,0.527647171773901,0.141167281489017,1.10560390670773,0.245779766600218,0.085749870299514,0.125952015824631,0.33092282778417,0.149595773217467,1.05520721775371,0.694900460417555,0.142755821599298,0.158534739323075,0.811931425079937,0.131597463958319,5.39000000000001,0.766999999999996
"11441-17","extra_heavy",500,0.796,1.01530269286745,0.420866644309193,0.288085170758255,1.13226381909369,0.0304083359388923,0.28664133665715,0.14417950180254,0.405452011504872,0.131992171764489,1.12315430204082,0.0943820318318513,0.281022313764266,0.16760057765571,0.798462383926946,0.127065399574023,5.71700000000001,0.692000000000007
"11441-18","extra_heavy",500,0.772,1.18014429254493,0.312448675819542,0.0794295649257166,1.13176769260498,0.364391941714538,0.0764069714688361,0.150068712516451,0.312453069527668,0.122695057223274,1.1227078095246,1.06261980262602,0.075134901926371,0.16222025716843,0.958498465782479,0.123423353509639,4.42100000000002,0.802999999999997
"11441-19","extra_heavy",500,0.784,0.956230703482498,0.525028567609123,0.285924600373716,1.05875739718001,0.164386288672325,0.274932363599135,0.129619593406998,0.322914256721666,0.127336075454669,1.03408265943052,0.320401378523606,0.294547556173468,0.156864358076165,0.58154565010572,0.127282261243351,4.63500000000002,0.686999999999983
