"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11440-1","heavy",2000,0.405,1.00388002167589,0.420539690032486,0.28447085712386,1.003346351643,0.405254642500823,0.282518398843217,0.0540799735749793,0.100434823633163,0.0630536165728407,0.995284043276212,0.470696782798894,0.276319935308998,0.0546414970208886,0.110439342331279,0.0613090894199967,75.0410000000001,1.49300000000005
"11440-2","heavy",2000,0.4015,1.04524557208915,0.54852591488961,0.225503009171395,1.02455217574079,0.648155074988935,0.228063726678941,0.0580386005648204,0.134485821503598,0.0645637084209721,1.02661608225692,0.671510425282333,0.21651283796411,0.0581122736978724,0.135406632105522,0.0643224674030301,76.337,1.61799999999994
"11440-3","heavy",2000,0.4155,1.021654900611,0.493248808312089,0.23388710899609,1.02646551454128,0.531008670984694,0.224447195205207,0.0574331158377688,0.126747446015585,0.0650525285057323,1.01910809558916,0.58183769453057,0.221390895452827,0.0574089109947381,0.140290443763828,0.0635884570644568,67.192,1.46999999999991
"11440-4","heavy",2000,0.42,1.04422674192057,0.541098691042362,0.219380949740166,1.05402570433017,0.529186404842817,0.213171348485075,0.0574155366256802,0.124749484064042,0.0619757056717109,1.05098581466788,0.548832177754336,0.213587628157965,0.0568337697684555,0.127848222916995,0.0627667987971216,99.7740000000001,1.50600000000009
"11440-5","heavy",2000,0.418,0.9810646914429,0.485284101260557,0.303516896678884,1.01362482020794,0.373118511099404,0.300602666268109,0.0542961348564549,0.112328220831553,0.063924665079533,0.997248910488153,0.455607149310639,0.308800522866869,0.0567929721950303,0.130429301178306,0.0630469025569155,65.1070000000002,1.46800000000007
"11440-6","heavy",2000,0.42,1.06395140827888,0.483919829975436,0.163053281018242,1.09464926645729,0.404255025598401,0.158501667697326,0.0572508246825216,0.120905291869152,0.0638268376938561,1.09298632478217,0.427668184810747,0.156306562053243,0.058362283025136,0.129609671430374,0.0633280462640604,66.634,1.46699999999987
"11440-7","heavy",2000,0.415,1.02882440895759,0.457440031407798,0.230920913848826,1.02553340069078,0.479845174708341,0.233352554657801,0.0580770363699939,0.121136261072093,0.0662279144868084,1.02136406905555,0.524965660996982,0.22551266320689,0.0570358682208148,0.122476329058546,0.0650564401484987,69.663,1.78100000000018
"11440-8","heavy",2000,0.416,0.985099915790984,0.522223267795719,0.246441977736717,0.985765895868972,0.497709225609712,0.2461590584533,0.05493733305012,0.10888668975331,0.0634607928870703,0.971612598052345,0.564906660909594,0.255113187366021,0.0563372293484452,0.122861692421931,0.0615099025790197,66.3129999999999,1.68799999999987
"11440-9","heavy",2000,0.429,1.00131815836729,0.563988305070093,0.225059841947086,1.00089320613281,0.535106971038199,0.217839325837458,0.0538802083600023,0.0992783907282409,0.0633676571669377,0.984876754915512,0.624561493856446,0.22070217460067,0.0565850172209886,0.113794926454127,0.0636868116029968,85.434,1.83899999999994
"11440-10","heavy",2000,0.3915,1.02384265912895,0.511022943878688,0.182958056340231,1.00713370070375,0.568950708372031,0.176911453757118,0.0538742189765369,0.11388474838148,0.0631548176298968,0.998219194958976,0.599018011739719,0.188136194536802,0.0562748986768272,0.125214223409169,0.0638864403268262,104.662,1.61300000000006
