"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11425-1","light",500,0.136,1.09758332752006,0.498333115756978,0.137499509111291,1.11020612585199,0.455715358634073,0.126733324706357,0.0993577756574426,0.151264290836513,0.120693489249554,1.11348744527914,0.476577125924396,0.122514728253215,0.101362800127545,0.16027885685578,0.120669776297157,4.36000000000001,0.659000000000006
"11425-2","light",500,0.118,1.00315797460671,0.522045598679959,0.181225604942544,0.997607621088282,0.514376824494498,0.19328283132646,0.106644053983587,0.187065786229761,0.129620704715844,1.00219242538757,0.52333478470106,0.189989820468803,0.106715602995851,0.189135553347608,0.129201556327121,4.47500000000001,0.667999999999992
"11425-3","light",500,0.108,0.933934080956034,0.530795399918994,0.300804590946132,0.901017785816343,0.660418832098879,0.292836239889597,0.0917623809874609,0.154762688000096,0.120202107667661,0.890606736861802,0.683540945451701,0.30463840402707,0.0954570252303089,0.164968404664314,0.121501911473134,4.26600000000001,0.664999999999992
"11425-4","light",500,0.122,1.00655164513364,0.381763354672547,0.26306361787611,0.992719700449976,0.416158911701281,0.268370030800591,0.103677256354,0.186236602440102,0.120310482583889,0.982028266845605,0.450073621821251,0.270746014663319,0.103237794916519,0.19122725961402,0.122083139890601,4.081,0.689000000000007
"11425-5","light",500,0.124,0.987331195626974,0.462918026709043,0.185463985681125,1.01523909543758,0.41165087970303,0.171955739049392,0.103154808670796,0.148267864301616,0.131393750492942,1.00718268583292,0.437878196630933,0.17157769211818,0.103061963826429,0.164590334500845,0.131153069241592,3.89099999999999,0.692999999999998
"11425-6","light",500,0.106,0.924118746400511,0.474435656483363,0.337344261421931,0.924903466185477,0.457407078387004,0.348368611353626,0.106527869556863,0.203328063336889,0.128973231287417,0.935514854976217,0.444090395475516,0.339444018944626,0.108586423682622,0.199721119010536,0.130085832118363,3.721,0.727999999999994
"11425-7","light",500,0.118,0.923107122746449,0.506561149720377,0.339914982057693,0.908019249031056,0.530273108597171,0.348517583070017,0.0956093584640091,0.159265024679578,0.120649883033375,0.90770082529542,0.55438072504577,0.346415911470243,0.0940637455089728,0.159382206606099,0.116189180224481,4.58799999999999,0.686999999999998
"11425-8","light",500,0.126,1.04869678082812,0.400847317691262,0.174334602703621,1.01471318276045,0.483733049985595,0.184106771287138,0.101291277085019,0.190114657611769,0.121467205696378,1.01791110797405,0.494788250184646,0.182710973974573,0.099204381246921,0.197966637456009,0.123902683591333,5.137,0.688000000000017
"11425-9","light",500,0.124,0.932877689437957,0.619719654918335,0.352377345335828,0.941177224719799,0.585842322646156,0.344847738749547,0.104877780914959,0.155049888908095,0.129719353241113,0.932553972417206,0.62945536609916,0.34121442282953,0.10666553295585,0.167225180133398,0.128741757768331,5.42399999999998,0.674000000000007
"11425-10","light",500,0.134,1.20014293692258,0.37395916184756,0.0989524669291538,1.17111961514187,0.440725158307747,0.103236712769414,0.106595041737408,0.161898800932431,0.125418946160138,1.17600720203348,0.435940082350991,0.0992448691271101,0.105942105043358,0.164035369829466,0.121662925230531,5.334,0.694999999999993
"11425-11","light",500,0.112,0.994964952336991,0.598524577075538,0.14878691507013,1.02498687954292,0.499594875611554,0.153509034752023,0.0993759686955727,0.197926352909466,0.124058143983612,1.02384065772393,0.491106712012764,0.158370108456657,0.100347145187292,0.204176137250505,0.126720978608445,4.05600000000001,0.872000000000014
"11425-12","light",500,0.122,1.05019440215619,0.440732154794743,0.241564743531569,1.05725650387076,0.424502751779449,0.245676656639191,0.10592443395456,0.15814160575604,0.123645581700762,1.04684589974258,0.443418044367273,0.252255318910301,0.101407668980144,0.158440901894056,0.121667683258132,5.506,0.689000000000021
"11425-13","light",500,0.128,0.93021323068419,0.472184980393372,0.415749466977191,0.932531112168327,0.471990108225853,0.408525953142579,0.103527416705327,0.165774174448797,0.125892020303825,0.90909167620074,0.567682593133807,0.4121205287533,0.102079056403435,0.177538444839506,0.125037878767093,4.01500000000001,0.634000000000015
"11425-14","light",500,0.122,1.01267075371776,0.535691525646697,0.153367170261105,0.991346350102102,0.588218770906832,0.161675716565348,0.111970501659099,0.187757306943704,0.132423432407919,1.00195245121717,0.582962883777546,0.143806163699946,0.112964300465419,0.186051513806904,0.131112714663034,5.126,0.614999999999981
"11425-15","light",500,0.122,1.07038977310256,0.380263136976249,0.192160195309841,1.07334708740679,0.34255921270548,0.195819917972635,0.0962902756285398,0.153300112161407,0.117037199062942,1.07590521485424,0.345145240273283,0.187949587474643,0.092281599697931,0.156169497034498,0.11815847522281,4.18200000000002,0.658000000000015
"11425-16","light",500,0.124,0.986084766214983,0.52059425779392,0.272657735450485,0.960543440166669,0.612108928154047,0.265615096206937,0.1031651298082,0.203991222710368,0.124054256939992,0.971378160824702,0.598082146187982,0.265377680232269,0.104531750968524,0.213963729129318,0.120097787892707,4.15099999999998,0.677999999999997
"11425-17","light",500,0.134,0.978418069752698,0.511185196771293,0.288662006517084,0.967472265748459,0.573263777454857,0.290455951401803,0.100871933916051,0.17417708684641,0.121639534631347,0.967176256234936,0.58223977327343,0.278490088210332,0.102175932565582,0.175896554254528,0.125692895288861,4.703,0.673000000000002
"11425-18","light",500,0.118,0.869602131604878,0.59596553451043,0.261126632105528,0.870274123783872,0.608278236366365,0.256442939471621,0.0965281132008228,0.19165591007116,0.127252972109367,0.868439497162334,0.604533708628973,0.267150520246034,0.0981436951755866,0.190802548916413,0.126750307767514,3.86199999999999,0.683999999999997
"11425-19","light",500,0.106,0.897258868411716,0.627388474289221,0.278861185695425,0.911424977851088,0.568976925316472,0.273997729886836,0.107828469252168,0.165099512309879,0.126344111114351,0.906291051730601,0.611288009421376,0.270501347538347,0.104437428825619,0.17999780730956,0.127869675110439,3.29799999999997,0.671999999999997
"11425-20","light",500,0.128,0.95348567502911,0.503855038193735,0.326496351541245,0.93595092312628,0.556664636223915,0.332900033748749,0.107379025947331,0.167766414748003,0.129269119510543,0.928223663063845,0.582172815155248,0.334055244832075,0.106730477239029,0.176362090414806,0.126478064829204,5.37100000000001,0.675999999999988
"11425-21","light",500,0.128,0.985982927932794,0.577100638327166,0.18934854634379,1.01195451429994,0.437694043361779,0.189547798647533,0.101717885377504,0.143084789129806,0.128881709606622,1.00460113894152,0.479504302315627,0.18699273727656,0.102710920123657,0.152492718592325,0.126864715706064,4.72999999999999,0.692000000000007
"11425-22","light",500,0.156,1.00894841442684,0.376824978059515,0.246292565447741,1.01205514111241,0.350749404755774,0.257683500252463,0.0956888370028586,0.126438648083757,0.120992068513104,1.00797555801644,0.369623587959078,0.249836915349513,0.0925893872268051,0.127527343405792,0.116634125652725,6.273,0.687000000000012
"11425-23","light",500,0.116,1.14112638943113,0.411145412093132,0.112543303008594,1.15014703938892,0.400292498772422,0.110786537456522,0.10217733893726,0.196805467079564,0.124474169751574,1.14532774419785,0.426989709154046,0.104792618787452,0.102163260829896,0.19753071771537,0.125532864829389,3.90700000000001,0.676999999999992
"11425-24","light",500,0.13,1.07703072133766,0.430290052171546,0.155857256772583,1.10402788842101,0.346282652793993,0.150085146280961,0.1072109145024,0.169544342856703,0.133090769483822,1.10380918586242,0.359008176372579,0.149356111473795,0.106681251043751,0.177047064408982,0.129186397724255,4.60900000000001,0.675000000000011
