"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11439-1","heavy",2000,50,0.4065,0.980663913243007,0.507560319019908,0.242712557989138,1.02295089020837,0.440313787629583,0.243638351069394,0.050093317160102,0.114755868698682,0.0593090805286778,0.972564650416955,0.538330073692354,0.250434632819933,0.0558688089366239,0.124009190919364,0.0603635991328895,1535.996,10.6220000000012
"11439-2","heavy",2000,50,0.4065,0.985948284138834,0.516160542860785,0.224931641033446,1.04080236144268,0.413337091519412,0.223229393025853,0.049886141093905,0.118421578521105,0.0657858438926,0.975148428336275,0.525586694027388,0.246398543041602,0.0576706617436297,0.1231965819647,0.064330079466401,1516.64,10.762999999999
"11439-3","heavy",2000,50,0.418,0.999535256882501,0.456770527448003,0.286212709531637,1.02633891943781,0.487067581049211,0.273764450745352,0.0547174409404172,0.123219414528958,0.0658268821170287,0.95813224055254,0.605973674663549,0.296486793673395,0.0540007770299923,0.131021568559611,0.0571244508885221,1549.109,10.8559999999998
"11439-4","heavy",2000,50,0.4145,0.95619743344458,0.482971694812554,0.317870606213672,0.960564127920711,0.611676153207559,0.325827752399425,0.0541002522829424,0.128997419120383,0.0662786337135646,0.90780916226212,0.655217499730268,0.326067911497236,0.0627845356836331,0.131907595522613,0.0724095126860021,1604.066,10.7939999999981
"11439-5","heavy",2000,50,0.407,0.942494497717251,0.608977644876497,0.243344933051391,1.01919143527975,0.466963794515695,0.240767727552579,0.0507707164254841,0.123937244335259,0.062391891223665,0.963953049789575,0.599723147126878,0.222126552163017,0.0546152650848674,0.12584401536298,0.0611714699385205,1571.842,10.6110000000008
"11439-6","heavy",2000,50,0.413,1.02690142555887,0.465160875266738,0.227373630400553,1.08721969310143,0.354625381134609,0.226722770816465,0.0573981130066758,0.126554059890845,0.0686467801602892,1.03630929498204,0.481484479117813,0.217869884904654,0.0557848751934584,0.13290020654251,0.06492648530054,1497.512,10.7519999999968
"11439-7","heavy",2000,50,0.4315,1.01720509911106,0.546741126620092,0.227089259408882,1.04131223437923,0.544438718452245,0.241732051773673,0.0552772631581972,0.119762432699474,0.0660490771988209,0.982349307429942,0.625261772263335,0.244880705899139,0.0629129742572124,0.13229622675053,0.0643150603707643,1639.24,11.1560000000027
"11439-8","heavy",2000,50,0.434,0.962533757115423,0.425138596698062,0.267395455442752,1.01349191980045,0.344090011391552,0.25853937992414,0.0580820528744032,0.148010446347086,0.0617525649667278,0.952755055191924,0.462319949925807,0.274693170793078,0.0586108450605613,0.12791751803841,0.0697452152749756,1627.468,11.1939999999995
"11439-9","heavy",2000,50,0.4165,1.08844410579003,0.47082142120895,0.151471429169893,1.12455872083335,0.491385159183883,0.144758150774749,0.0570799667026052,0.13418295906261,0.0639181619447621,1.03524016111001,0.657582096707517,0.15749913187662,0.0629325147176425,0.12659469410935,0.0684655105045152,1651.78,10.9789999999994
"11439-10","heavy",2000,50,0.4095,1.00584048446907,0.58740177211857,0.199000615777869,1.08096123563181,0.479194131936527,0.183022992674923,0.0506467163602647,0.12367782491044,0.0688619116973935,1.02693873222289,0.6008572490745,0.188793350345563,0.0574356337884112,0.131829942666371,0.0694175827693749,1526.756,11.030999999999
"11439-11","heavy",2000,50,0.405,0.965698935838331,0.477425909539809,0.30801414381134,1.01537770142405,0.385825839555883,0.317576084817963,0.0524025810266523,0.109771236696239,0.0658978981529457,0.94741590005556,0.534175434793984,0.321440948222572,0.0600333756666854,0.115632075268649,0.0680562650055245,1557.849,10.6080000000002
"11439-12","heavy",2000,50,0.413,1.0256562144744,0.515312959087849,0.184734162032039,1.04756364692158,0.627553040935206,0.161592943131677,0.0515840644405508,0.136880376614849,0.0654797506091717,0.984422374546404,0.752869607768107,0.163395335645431,0.0552870825107076,0.138629680604151,0.0650080275454007,1550.548,10.823000000004
"11439-13","heavy",2000,50,0.427,1.03570391274618,0.466300333662332,0.300409377533646,1.05690836416308,0.524930738148604,0.301057346887783,0.0516608030033864,0.125806447148218,0.0636972846630026,1.00277044251209,0.610361307537191,0.304312088024583,0.0618148117467179,0.140768515885427,0.05868014344606,1565.097,11.2019999999975
"11439-14","heavy",2000,50,0.419,0.990838657395824,0.472863464365332,0.282789644001021,1.02623555791151,0.482536301384414,0.277469204662312,0.0536660308681136,0.13330090891134,0.0617351897358231,0.961382961232559,0.596067293701781,0.28095269014213,0.0538439536018741,0.126501546663712,0.0626436152819926,1556.393,10.9119999999966
"11439-15","heavy",2000,50,0.4125,1.04303167071751,0.453583838483357,0.244728501051942,1.08131391520322,0.462597855627519,0.227371502690708,0.0507239422984997,0.129478141478602,0.0669092038442027,1.0381846605003,0.543112241884125,0.231118888717749,0.0542041479947435,0.125265119880517,0.0622536485593763,1478.242,10.7949999999983
