"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"125-1","heavy",100,0.36,1.21546659582969,0.15670741988824,0.0920973706072074,1.28946906793126,-0.1100937581836,0.0917303050595995,1.29797407045959,-0.150653068232875,0.0898606564798408
"125-2","heavy",100,0.42,0.87050310110512,0.507125773210104,0.241051274398059,0.798545533680861,0.601055789463162,0.254343071986435,0.778527622794965,0.746127572251954,0.286417337225041
"125-3","heavy",100,0.42,0.986334773454086,0.471584388116571,0.149078963118759,0.841997558432471,0.826585663344635,0.147094359974421,0.828055271226797,0.892874571008869,0.15730996786692
"125-4","heavy",100,0.41,1.18685874219437,0.382013739564892,0.133631387000307,1.18562784099328,0.375383749979174,0.150051472000483,1.18255615636617,0.411234606131127,0.149441924816418
"125-5","heavy",100,0.37,0.906401532969984,0.798312870527752,0.277602003672094,0.629892190917499,1.27052939927908,0.471247178937355,0.666398378392939,1.70357055512819,0.333151594070441
"125-6","heavy",100,0.35,0.997915557962545,0.401406452847929,0.263127413010859,1.07028835372806,0.0771404361402388,0.290935652032864,1.04842903315726,0.154793535410486,0.298048118325019
"125-7","heavy",100,0.41,1.23811256598263,0.562590174910872,0.0185323461871391,1.17444157977909,0.898220076812487,-0.0212032070440446,1.12328213583044,1.04775434657303,0.0488671657283279
"125-8","heavy",100,0.39,0.808858850206691,0.85640764285555,0.447078649066452,0.887565420390816,0.621447406784321,0.457669585909508,0.892336846505543,0.655061485053939,0.451979303793662
"125-9","heavy",100,0.38,1.01320856206518,0.943117062911108,-0.162636901024772,1.04019851945679,0.903805433541561,-0.144622195406299,1.02811572455766,0.822054453125357,-0.0807673491162127
"125-10","heavy",100,0.43,0.985384367907597,0.727436793820208,-0.0127981296046156,0.888686339228408,0.865508106157445,-0.00187636124650592,0.883864267952175,1.05341725437032,-0.0190308324835628
"125-11","heavy",100,0.49,1.16737330996039,0.430937626321565,-0.185474032016955,1.19405444547069,0.46822171611769,-0.187857168306084,1.17335765928753,0.61231810140808,-0.203921104237618
"125-12","heavy",100,0.34,0.988275416688991,0.112320427104731,0.536898576940164,1.04987327120396,-0.124199066740779,0.533386834646985,0.997574795709227,0.0932242379545558,0.544382545611669
"125-13","heavy",100,0.36,1.21182337603108,-0.0959661559661663,0.407586580962184,1.25522804047886,-0.251870343885134,0.384785222912782,1.24120441291088,-0.225042328725231,0.403550396166547
"125-14","heavy",100,0.43,0.872326964916451,0.654400009475616,0.219430499249181,0.829241662685202,0.538539802747093,0.324505290145235,0.831422743867878,0.722511190720433,0.281456352994206
"125-15","heavy",100,0.37,1.19952861968342,0.400346188734114,0.105921275689548,1.22937917853473,0.456062864984103,0.0623633075362192,1.21111263585244,0.544550484020821,0.076592148537541
"125-16","heavy",100,0.55,1.09549683247914,0.525890704678514,0.150842600259683,1.19614354387845,0.20745314005317,0.164587320850348,1.20055764397168,0.226417002517462,0.181428445999877
"125-17","heavy",100,0.44,0.929046731464704,0.649367848142132,0.505344319592077,0.931936988072167,0.518445221645862,0.455759095842727,0.888908003464096,0.667906471778507,0.507803208008931
"125-18","heavy",100,0.41,0.850988074406463,0.738180815398337,0.583514142286438,1.05261947795637,0.133694151056106,0.506307908113891,1.0460147455592,0.179409961041732,0.500984096942732
"125-19","heavy",100,0.45,1.0540907322773,0.139634053963933,0.176959631807933,1.17341344222601,-0.331786437364791,0.23719948386674,1.21237820075221,-0.437946502425698,0.205850650896496
"125-20","heavy",100,0.49,1.11137642560695,0.280821665790015,0.132285635836342,1.03269400507757,0.28563012241924,0.182634475719958,1.03659133542143,0.424252009872324,0.150615721681191
"125-21","heavy",100,0.53,1.06231169103486,0.263273198259591,0.428888026218615,0.955150111713368,0.49194154459669,0.430487716287761,0.957035995964188,0.580556307339058,0.410995141932437
"125-22","heavy",100,0.35,1.25408250266773,0.357254580657705,0.00558070105472925,1.26606357655941,0.47224954490444,-0.0401319775416296,1.23838065234393,0.566822278111999,-0.0181373580702416
"125-23","heavy",100,0.34,0.741287023519199,0.579608716900898,0.582199484401345,0.685508053317719,1.10434145177563,0.570865924532021,0.692963622129229,1.05451346628069,0.584691820186548
"125-24","heavy",100,0.4,1.02936701130284,0.539713942464959,0.351761310455788,1.090098784259,0.257513472095851,0.379015682691728,1.05926279265045,0.431822711614051,0.370545417560567
"125-25","heavy",100,0.5,1.02769603108785,0.519260463373365,0.205115926192163,1.18539165636228,0.0364277667624406,0.219098099538991,1.09793396080271,0.328710451984219,0.218726999538881
"125-26","heavy",100,0.39,0.972159295964257,0.663631471591745,0.245356345033262,0.96890382916098,0.576435912884833,0.297493654388738,0.950934426824127,0.753127265701989,0.277358241150266
"125-27","heavy",100,0.49,1.34381443885314,0.608042230751728,-0.147727446390864,1.18593475724949,0.993221795605934,-0.128207172592121,1.19332293839797,1.1790077372611,-0.179083044908818
"125-28","heavy",100,0.37,0.931236270569536,0.581800826772013,0.54230760697276,0.879624094253136,0.94046354764031,0.543296069344153,0.844395120996912,1.07072299855341,0.564783966264065
"125-29","heavy",100,0.4,1.0661935355325,0.23285146325572,0.139437666957151,1.04947684364485,0.236564943986783,0.154959893328971,1.05982609465772,0.230583746174307,0.145902847116959
"125-30","heavy",100,0.38,1.06745291867593,0.712831103997854,0.341556705422923,1.03403615774283,0.869338959383287,0.40516903830489,1.03534612510283,0.965326871421508,0.397170783060869
"125-31","heavy",100,0.4,1.00583786353345,0.733207733154677,0.153724803091445,0.911847354454078,1.046482338052,0.242715923288773,0.93357203633028,1.02732954269386,0.191988530778063
"125-32","heavy",100,0.39,1.14434917243951,0.211740706989196,0.131554635154118,1.15240918854384,0.206074408988807,0.118059489567976,1.14511420120711,0.242729549556837,0.127157918485849
"125-33","heavy",100,0.44,0.873820647952158,0.65014827072865,0.228535934459904,0.616971906669926,0.466071163198254,0.55951025911928,0.892557335728157,0.437751458640838,0.170226785075629
"125-34","heavy",100,0.4,1.30150476607616,-0.264338710801749,0.0603544841494422,1.24000234942641,-0.0567321854834676,0.071552165444978,1.27238413558551,-0.190649980193079,0.070773440825519
"125-35","heavy",100,0.38,0.672992024671832,0.814196888813576,0.581238157368595,0.677842283831509,0.98479923592373,0.518617444431287,0.646856859239804,1.05004168694831,0.566504886349474
"125-36","heavy",100,0.31,0.881367135403743,0.76869700452013,0.213318939606139,0.848674858321606,0.952221497626753,0.256318587816319,0.856785985979885,1.00183845807041,0.223338530580205
"125-37","heavy",100,0.35,1.24332123015838,-0.336960990575809,0.146513054924024,1.2216858976762,-0.245657047555883,0.147096540682291,1.22184239815841,-0.223304652436672,0.135335456653125
"125-38","heavy",100,0.36,0.892478609949926,0.565693808994425,0.424717005260378,0.759106231466464,1.4004340745057,0.32994216006071,0.743311077256539,1.33694164708857,0.393332293745222
"125-39","heavy",100,0.45,1.06880054214542,0.342566172502033,0.393749200760021,1.10442775683025,0.302465687832005,0.392542947917185,1.13171456532539,0.199027121996264,0.403160085728237
"125-40","heavy",100,0.41,0.97300011426602,0.394374483888448,0.528895409378816,1.11823273783241,-0.0776162342183887,0.526020329150529,1.12268879283802,-0.109133730982627,0.528503736757449
"125-41","heavy",100,0.42,1.24153806201645,0.187534014625215,0.0671632580703558,1.11704061918237,1.06299242920274,-0.0652181065130204,1.06300717447083,1.2335515775635,0.0269106072307825
"125-42","heavy",100,0.4,1.05731276486781,0.764445663742286,0.160883582419229,1.00444351530634,1.08839955494253,0.186867271060781,1.05847028755558,1.01880750464891,0.128911890591472
"125-43","heavy",100,0.4,0.933726042918252,0.514795668128522,0.306696288525614,0.822322301625989,1.25375815978974,0.238294023456843,0.773076225133652,1.51770746840071,0.281800271858701
"125-44","heavy",100,0.4,1.01748764795832,0.640700983412806,0.372491118479845,0.863282036304673,1.71375871918505,0.380426730407487,0.852224988931956,1.76513602480349,0.421654683493086
