"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"133-1","heavy",2000,0.3825,1.08029516671311,0.471435171296918,0.205426010379534,1.1127768673904,0.449812008378614,0.198540147088412,1.10596202322687,0.427196460481883,0.26277632309863
"133-2","heavy",2000,0.4005,0.986799943546038,0.521814552625565,0.28336622062908,0.980030581182457,0.53176148409996,0.283628584926907,0.990973281544815,0.483651174762389,0.378043496050605
"133-3","heavy",2000,0.3875,1.03039429031419,0.485667130208243,0.267738797481641,1.06136797343921,0.454395814886652,0.259128051006723,1.07754270369885,0.405921794799152,0.346204017448691
"133-4","heavy",2000,0.3845,0.9281406441724,0.588746922945438,0.192690743454073,0.908846981305394,0.602345894353518,0.186473520175116,0.967968938318782,0.502112550041727,0.305983427052938
"133-5","heavy",2000,0.36,0.981063686156595,0.544787836702737,0.199816135014155,0.96922812335609,0.558672684232909,0.169781501085447,1.01972439379119,0.453147749280744,0.308395064162813
"133-6","heavy",2000,0.3795,0.981867043360392,0.512654402289024,0.244914071599445,1.0245424015289,0.473645157827788,0.249327332214775,0.993105943380673,0.457984018390109,0.330374349779391
"133-7","heavy",2000,0.3765,0.977413943064722,0.568545753101745,0.13302937884928,0.969514644266631,0.577826874945499,0.129280822036489,0.971847164906364,0.539929254412535,0.211071907925911
"133-8","heavy",2000,0.389,0.99437843765172,0.480601850936761,0.26012502515885,0.979271630448102,0.487908456335378,0.272630434901782,0.973483057393076,0.458495016634893,0.347192047768974
"133-9","heavy",2000,0.391,1.0435222931375,0.455870015640367,0.277694301994772,1.02591807740198,0.470284689718396,0.25532635575198,1.02107831468365,0.434201477847909,0.347338304720284
"133-10","heavy",2000,0.362,1.05958519345936,0.478863172484335,0.257074516291264,1.0760224654102,0.473647282450247,0.24705484399382,1.08834982592984,0.427050344663924,0.329278556867976
"133-11","heavy",2000,0.4075,1.03685759533646,0.50560494718938,0.239965776377621,1.11790602472528,0.42804713624707,0.229822867706136,1.12824951830626,0.368269832136398,0.357066478164566
"133-12","heavy",2000,0.3625,1.01433876934205,0.510703202454502,0.227834839510136,1.05414959077258,0.474635408817644,0.23256872194883,1.06094298659359,0.435067407257078,0.315290400575389
"133-13","heavy",2000,0.3865,1.04896063922733,0.478063978566556,0.191827730252165,1.13933475380608,0.39759925209152,0.207969424801061,1.12629102686554,0.367905197296914,0.290337942018684
"133-14","heavy",2000,0.38,0.968494402106709,0.494498705932217,0.294945618244478,0.965304575031813,0.509350596251089,0.272240957560245,0.975227573569508,0.455200775108183,0.367597652237914
"133-15","heavy",2000,0.3895,0.975553144456226,0.501066905103479,0.259439912666557,0.970998706408278,0.509439139967007,0.242673591066365,0.990675657317825,0.445484963858651,0.341423589147158
"133-16","heavy",2000,0.3765,0.952426658020206,0.536278856671339,0.226395853790811,1.00399800426566,0.491842584777909,0.245460572387515,1.06319331599742,0.403813306313764,0.341815608178603
"133-17","heavy",2000,0.3975,0.984191258315289,0.45003046183486,0.363485719793131,1.03556271921463,0.408513044922042,0.363664151028388,1.01899187641007,0.390330227068618,0.430415189546228
"133-18","heavy",2000,0.3995,1.05449941443084,0.489674399959876,0.17042020109615,1.05850676711971,0.494134702733945,0.14426317682549,1.07804194954783,0.43478585729092,0.24397338939449
"133-19","heavy",2000,0.3935,0.95829564907901,0.549690309407131,0.220833086564149,1.02451907185843,0.489546488069325,0.22166613443563,0.969956204647873,0.494827510297171,0.311753624865755
"133-20","heavy",2000,0.3845,1.01276226219905,0.515456941247266,0.211092830374342,1.02837627825149,0.504889066547016,0.199922329661543,1.04307879211967,0.441538048504958,0.312832368401417
"133-21","heavy",2000,0.3725,0.970561684176068,0.548983547141259,0.25117343872062,1.0241415061496,0.502307162761456,0.255250465820819,1.02984745323395,0.46166981885057,0.339914916533642
"133-22","heavy",2000,0.3925,0.97470152767881,0.527529732501385,0.233695464420067,0.995332398884773,0.524535122814132,0.20930316338391,0.997951276989369,0.474657201332591,0.316474125162682
"133-23","heavy",2000,0.375,0.914092884986143,0.521998808824129,0.356335265646935,0.940464333749738,0.502113961977527,0.358426374146357,0.932326044852551,0.477428362989199,0.428738962848037
"133-24","heavy",2000,0.374,0.929353503790688,0.565473303950678,0.205068565480119,0.917835112299246,0.583077635859554,0.16495646053136,0.929550166942226,0.523950988601547,0.278052493595695
"133-25","heavy",2000,0.384,1.03742098903605,0.499390296209279,0.180429390018115,1.08930819354812,0.463894978466772,0.17242560285175,1.1908569674405,0.341890496966584,0.270079630823584
"133-26","heavy",2000,0.3825,0.945045277700084,0.542743851255122,0.204659655314621,0.966944027059165,0.523242891313714,0.187566966324525,0.943755160068636,0.498224404455784,0.282590684816608
"133-27","heavy",2000,0.3695,1.02187976437839,0.493642241728252,0.282574401996488,1.0964481825289,0.428532991720757,0.300090448163864,1.13489048611162,0.354043859781081,0.392981776463012
"133-28","heavy",2000,0.4025,0.990487980013234,0.523244713786285,0.153913161205913,0.999337976606648,0.503609807966796,0.171896618346085,0.993403614622739,0.485587994834569,0.227302457667489
"133-29","heavy",2000,0.3745,1.01948582764443,0.480794901689741,0.23219792734047,1.03702307808192,0.464879585462662,0.236179142779826,1.07362702868807,0.393796375778108,0.328625698244124
"133-30","heavy",2000,0.3795,0.996801090861668,0.519028247271622,0.226747378770247,1.02142453565122,0.499401092931819,0.223693364654943,1.01608478208129,0.465535889559519,0.308113054370875
"133-31","heavy",2000,0.3895,1.04639140313594,0.473801105602439,0.213943611737165,1.03550364014506,0.49281087627549,0.206804478295844,1.02564797258896,0.465049143142987,0.289720672637033
"133-32","heavy",2000,0.402,1.02692746396525,0.525750700793265,0.200526133811487,1.01341751204029,0.536785971963117,0.174889849261907,1.07247354589378,0.439338290779924,0.294736542854848
"133-33","heavy",2000,0.372,0.978606335120805,0.522918752872745,0.288167077224695,0.98774669530665,0.518154420371771,0.275584251994395,0.990548025610246,0.479169513678033,0.356491723947877
"133-34","heavy",2000,0.378,1.0221493487079,0.495287758004793,0.279809707824245,1.06434613774146,0.457731822493162,0.286689693607557,1.07339787118639,0.414395609073132,0.363180394577509
"133-35","heavy",2000,0.3855,1.01029506847877,0.51424284729039,0.239802279313974,1.0169707844461,0.510873850600325,0.233995457167811,1.03776920790111,0.443662779618343,0.342366723188592
"133-36","heavy",2000,0.383,1.04706364203467,0.48254284296261,0.231214508955057,1.0486982095248,0.497163670837662,0.212310440356509,1.08299316988262,0.418383149652261,0.322770344734055
"133-37","heavy",2000,0.3545,1.10034467370195,0.469259947758824,0.228948901570941,1.11324899384434,0.468405535576767,0.226587092094346,1.09488580945788,0.441698485539355,0.306408192556916
"133-38","heavy",2000,0.376,1.0101595574716,0.492037324773095,0.229087284291386,1.03117053704227,0.472965651474211,0.232533289509721,1.03730102876437,0.427241182455289,0.328282469548944
"133-39","heavy",2000,0.388,0.945214991851318,0.515515291614187,0.293848634459524,0.95587477459206,0.515567162982018,0.288987169103304,0.950429255680962,0.481025570915432,0.365477491423973
"133-40","heavy",2000,0.372,1.11050399824551,0.467992927108125,0.204211812550093,1.08090121186905,0.49471306451961,0.174398520256167,1.06659226621664,0.470820763167617,0.253411437030152
"133-41","heavy",2000,0.384,0.999647009552491,0.507519411631175,0.218024563991931,1.05849734862888,0.466556133759663,0.212817762960479,1.03950412291969,0.44160068934144,0.293480718726785
"133-42","heavy",2000,0.39,1.04293906445782,0.510438552609056,0.137555343332865,1.1335104515446,0.426995819193666,0.170439862039531,1.11362814894651,0.405848648742156,0.244323527974913
"133-43","heavy",2000,0.383,1.064209017803,0.475462253657385,0.183277863726861,1.05957318640521,0.490818176178237,0.132952498159045,1.06631385328823,0.435829939453197,0.248432179239925
"133-44","heavy",2000,0.3855,0.913266398567118,0.5317554617251,0.260321231913803,0.899769455853784,0.537685326671357,0.268285130930245,0.912844077675998,0.489154057434413,0.354680002550031
"133-45","heavy",2000,0.3845,1.0563490014615,0.419923893410929,0.376389922262528,1.08169083118308,0.408139616249859,0.349463919269998,1.13416859699112,0.314152847060988,0.47047122627773
"133-46","heavy",2000,0.3865,1.05927121227653,0.502927484648168,0.231289016283022,1.02407565174468,0.532282639808589,0.226018500630236,1.04513396158655,0.473586150751573,0.313704614101487
"133-47","heavy",2000,0.398,0.996276517818659,0.506165695088355,0.234313710923938,1.01068563464051,0.499171047223375,0.222709506773642,1.02809859595105,0.441144925831397,0.328365506423778
"133-48","heavy",2000,0.391,0.937264962008991,0.488886571026124,0.387833347686721,0.893826174309432,0.534591606050346,0.366247000494514,0.907201060152167,0.479799514227879,0.459554894052486
"133-49","heavy",2000,0.4035,0.958902990678459,0.48709556658317,0.307829927990675,0.978248531196981,0.479695679567685,0.273826779287487,1.06025883372654,0.358055853433461,0.402397595397627
"133-50","heavy",2000,0.388,1.01610313951068,0.471850466753282,0.348057517184623,1.02648466165572,0.476073576714481,0.322062614178621,1.06621367059175,0.403325124152511,0.417504932836926
