"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"118-1","light",1000,0.222,0.976419839343483,0.546114875854017,0.232710146839976,0.955663405296993,0.563219521215106,0.213808739443174,0.993226571677423,0.496264219594354,0.299440625971509
"118-2","light",1000,0.216,1.01379895090723,0.533783502371818,0.169400965200185,1.03509576703643,0.529343718116353,0.158994715908047,1.03316936028792,0.510152720120552,0.207826600748493
"118-3","light",1000,0.234,1.01385381676302,0.477136922840382,0.184953174380897,0.962463647694657,0.50434167424543,0.199357239341379,0.976371866709819,0.47309622609885,0.245839093552536
"118-4","light",1000,0.218,1.02185727827405,0.536508487690281,0.197674468112478,1.03485242316101,0.533183341247108,0.187338204210698,1.03877999428013,0.506003885191979,0.243511375473534
"118-5","light",1000,0.232,0.904438315656126,0.530709053819544,0.356174942163518,0.933504076994844,0.50361658151828,0.355981463724186,0.976508984042092,0.432913842691031,0.434495189633512
"118-6","light",1000,0.219,0.957965656412736,0.519783735061217,0.287369955389285,0.961957946258833,0.51792078031487,0.268507708667404,0.958319946762904,0.496371854225974,0.326345569403568
"118-7","light",1000,0.229,0.929495550200674,0.55859468160217,0.13296625854304,0.902037223169025,0.593081900653115,0.103887713880366,0.881590460503178,0.583844020266438,0.155390689491464
"118-8","light",1000,0.207,0.913235235130576,0.534936391488037,0.296321843450197,0.914263091529923,0.539813470570827,0.278167294482061,1.10996431493181,0.329629904878883,0.402825053096444
"118-9","light",1000,0.232,1.02463181112264,0.486472233932799,0.214444064101853,1.06183488001605,0.445706597105202,0.253532131230766,1.0748496385727,0.40767574783646,0.313772392640896
"118-10","light",1000,0.227,0.888674128571908,0.464444974122326,0.430943795773047,0.91789136271912,0.440554197610134,0.437213771534496,0.929518189400488,0.411039600637692,0.48636585614005
"118-11","light",1000,0.217,0.956342093243057,0.524233001026033,0.217612312130548,0.969574088251477,0.515480060997826,0.206954038270703,0.978459024844234,0.480470940928548,0.265905901174858
"118-12","light",1000,0.252,1.01502714634655,0.555746302806662,0.217956272096448,1.02640860239039,0.548209551211414,0.185099581700468,1.01297768858001,0.516951110750779,0.278050909181177
