"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"120-1","light",100,0.19,0.686190074412813,0.530167116609237,0.910263084168275,0.789300023866169,0.439298270951323,0.882788243381056,0.789224925413538,0.448190007461047,0.869490440891222
"120-2","light",100,0.18,0.953246548081758,0.493755535404567,0.410516546766276,0.956969974017546,0.453686765887822,0.433412731468548,0.948837523728453,0.47047655643365,0.417859098602233
"120-3","light",100,0.17,0.658976967152185,0.923822332436611,0.194036668034915,0.639487008922545,0.919728652622987,0.234013979630601,0.655680187527654,0.918084390109575,0.219868511381213
"120-4","light",100,0.23,0.592095682382037,0.785548242594991,0.304082058120108,0.559675836521368,0.856379537876817,0.215319599247993,0.520982248132378,0.887327319678035,0.241909332026961
"120-5","light",100,0.19,0.19539024676488,1.1010939959642,0.313546799654253,0.228377043040349,1.07780534477675,0.327536673257098,0.155199199872341,1.14023556849223,0.351595733950221
"120-6","light",100,0.22,1.04862500622684,0.553344701753856,0.451428902287589,1.07893458185272,0.544014934656499,0.481017945118896,1.06624326692878,0.557202996319552,0.485980408385147
"120-7","light",100,0.22,0.885583249767147,0.46853237960282,0.343793328984396,0.955472929697203,0.400298016143102,0.327665223734005,0.963246476787424,0.393422661612382,0.338715908031695
"120-8","light",100,0.14,1.01113655872739,0.489504653223502,-0.0878205041193142,1.02399759868818,0.490823752417404,-0.120996265176418,1.03064316017266,0.48478108469487,-0.115924245997155
"120-9","light",100,0.19,1.0512928960312,0.439629486412916,0.222010168741476,1.09333781218212,0.377960375116693,0.262407003897288,1.0858316727514,0.383067516986362,0.271374673858632
"120-10","light",100,0.18,0.937139995484552,0.61780763335721,-0.0720065973991302,1.00341003256227,0.586093846606114,-0.113988051934094,0.987218114201782,0.591055673920898,-0.09075454714821
"120-11","light",100,0.23,1.50572544807496,0.169700541873272,0.0819711744041708,1.61000886738209,0.0825445409576668,0.0641946346883143,1.625627891992,0.0733758946541872,0.0535768428582923
"120-12","light",100,0.22,0.874548277099107,0.372193085021249,0.546522436255134,0.739898963268466,0.507431354812405,0.527764421672087,0.715957517684892,0.531033762855448,0.534788258528606
"120-13","light",100,0.18,1.08225315650109,0.337067581671199,0.11945683645817,1.02879466755137,0.378634567207999,0.129394845377301,1.01508886335858,0.391778066362628,0.130358523425178
"120-14","light",100,0.21,0.976501517580499,0.616678337623234,0.0700353881984682,0.827779578318725,0.725494163087236,0.126070511727078,0.832333760868824,0.734342829048176,0.111092953099275
"120-15","light",100,0.23,0.999042632942722,0.406253587865657,0.269762763451404,1.00115886297607,0.426076239988031,0.263834960489945,0.998642234937087,0.418388987744559,0.290077662478054
"120-16","light",100,0.22,0.798145462031986,0.617071686522199,0.208231219931614,0.736201902890743,0.674674459188987,0.215751893206149,0.740415423903253,0.678778373396053,0.205736366583093
