"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"130-1","extra_heavy",100,0.8,0.79111723313915,0.50106610225577,0.50018422195474,-0.0422546763086752,1.1324122433794,0.659812393495828,-0.00756887000921793,1.23204719142438,0.571419246733687
"130-2","extra_heavy",100,0.81,0.652713635794387,0.650522789080139,0.45844887403622,0.224592764725559,0.921411926150506,0.504615643207736,0.128470006079006,1.15465023246169,0.42015953561881
"130-3","extra_heavy",100,0.76,0.90055897685839,0.457136952493484,0.27849268052786,0.919296083072196,0.446210132224024,0.320775020026075,1.06632407858564,0.333799465663714,0.251571553349787
"130-4","extra_heavy",100,0.81,1.0702147044215,0.484569470303253,0.087806123148133,1.03034373481524,0.472098758291599,0.230476023843806,1.03634427236413,0.577325552831139,0.112604875332647
"130-5","extra_heavy",100,0.75,0.980515873708108,0.611165830434111,0.191966507529179,0.714637059385879,0.876968678337389,-0.0451101959248162,0.402195977495039,1.17961860484776,0.153577673456697
"130-6","extra_heavy",100,0.77,1.23796427311729,0.286064080568282,0.317016559119952,1.08979929493821,0.425513507103667,0.389767195131761,1.22679149077373,0.339365802271725,0.308897782054791
"130-7","extra_heavy",100,0.82,0.727614233188213,0.584116553467172,0.483001814659958,0.776873087281905,0.546368037186228,0.558787294687043,0.72385484853396,0.598966025256393,0.620002998324385
"130-8","extra_heavy",100,0.81,0.9170174541975,0.391474518581948,0.470735648052504,1.42097388922019,-0.111317993249095,0.567200945124105,1.39687467249111,-0.0860626170684283,0.531276417279573
"130-9","extra_heavy",100,0.85,0.489803740045576,0.750112725009257,0.406126371106516,1.22284683611381,0.126461109896036,0.349313017248744,1.08607910081093,0.22158125843231,0.430934696495717
"130-10","extra_heavy",100,0.79,0.50852180473443,0.899941414359171,0.386606139809489,0.677631390919838,0.495025941518061,0.611051357453817,0.551471419433689,0.709632209015799,0.61654959428565
"130-11","extra_heavy",100,0.74,1.27213813421474,0.175320721978019,0.247280676128104,1.19278651850697,0.296985360577919,0.161944468934825,1.07006980200878,0.409087102523957,0.204864467633726
"130-12","extra_heavy",100,0.77,1.05497934228582,0.30169782113361,0.291800502413783,1.00276052957065,0.381109128841934,0.235227466610632,1.06067648566468,0.354273427144986,0.242581323938429
"130-13","extra_heavy",100,0.83,1.23636766085342,0.389811685473344,-0.0634356510675053,-0.376996589114244,1.92088483285885,0.117504256076418,-0.128766960860731,1.83063462322163,-0.102374423727077
"130-14","extra_heavy",100,0.75,0.950436309498538,0.403728916548989,0.323918739846869,0.797024158865319,0.463762859659443,0.428108393881669,0.762576369801428,0.584527646109925,0.331776035543118
"130-15","extra_heavy",100,0.84,1.08270491954291,0.443005119573161,0.116547963205522,0.766418474404752,0.600676446575832,0.232001464111184,0.702695699570356,0.757858657601278,0.151258813060734
