"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_sol","beta_sol","gamma_sol","se_alpha_sol","se_beta_sol","se_gamma_sol","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","time_tr","time_sol"
"11435-1","extra_heavy",100,0.83,1.25933734419103,0.446814117184957,0.154182330708307,NA,NA,NA,NA,NA,NA,1.29836612452721,1.92256236270757e-05,0.242488113753731,0.378693141097437,4.94937061445293e-05,0.27823453654082,0.886586725692765,6.53697254307468,0.215587572351065,0.38087051653315,3.99807327832768,0.275761308671012,NA,0.694000000000415,0.907000000000153
"11435-2","extra_heavy",100,0.78,1.22722483574275,0.667787195598117,0.169575239267625,NA,NA,NA,NA,NA,NA,1.19904006370505,0.00908471692889498,0.188120186349263,0.251114136739348,0.0097424921878708,0.337425337318874,1.18046213529574,3.38617138540209,0.282090922217575,0.36344400805554,5.40506251139322,0.307789275162774,NA,0.639999999999418,1.05100000000039
"11435-3","extra_heavy",100,0.79,0.882972918902247,0.42417179860423,0.398319116695335,NA,NA,NA,NA,NA,NA,0.745215904081982,0.00243129705091738,0.398113805078557,0.315478005017929,0.00224457672145786,0.306032312683546,0.754584663932028,3.72995089837933,0.471756746081961,0.343547215313109,3.99050608693674,0.290744862071592,NA,0.588999999999942,0.993999999999687
"11435-4","extra_heavy",100,0.77,0.98678268961875,0.447514269491096,-0.0891172242630648,NA,NA,NA,NA,NA,NA,0.939627732330673,0.0766873365610281,-0.146360077165089,0.227544608279076,0.0694700472310893,0.285278920820324,0.954857821572839,1.83453111722833,-0.00140617729437681,0.257856699687667,2.93152972717485,0.264539010366715,NA,0.557999999999993,1.07100000000082
"11435-5","extra_heavy",100,0.83,1.0036694936032,0.411547519086633,0.136828588403156,NA,NA,NA,NA,NA,NA,1.02373819188009,3.64538083771011e-05,0.184891192784848,0.275526655352045,8.72121650062341e-05,0.330422935547353,0.688740346701218,5.6031805907284,0.155103144325545,0.399126649676063,4.63105892744611,0.283323343903263,NA,0.554000000000087,0.818000000000211
"11435-6","extra_heavy",100,0.83,1.06582651102197,0.136203899603056,0.412366151487603,NA,NA,NA,NA,NA,NA,1.07679088832692,0.0198987762380918,0.392401407519274,0.271878648083926,0.154122861961648,0.644428691439072,0.952636574605422,1.85583213042282,0.395435801771584,0.388257789692765,4.14111495646908,0.381948210277482,NA,0.527999999999338,0.947000000000116
"11435-7","extra_heavy",100,0.82,0.885615964904199,0.401412345266982,0.509616614189836,NA,NA,NA,NA,NA,NA,1.03369134110151,-5.98981413643302e-08,0.735525302345035,0.250795845132159,1.51960057390377e-07,0.415217735146787,0.676359114598974,5.01887702822461,0.503849686625365,0.367621980177655,5.50068575414925,0.30181262876862,NA,0.693000000000211,0.926000000000386
"11435-8","extra_heavy",100,0.82,0.789590949797163,0.845974200583887,0.29493114251032,NA,NA,NA,NA,NA,NA,0.827929168479892,0.730603091375469,0.641173966001426,0.37246287367472,1.42408212252444,0.315005782171555,0.935645224386301,0.823657036869018,0.634076327422407,0.353630527331054,3.82292276274491,0.315265865084671,NA,0.675999999999476,1.26800000000003
"11435-9","extra_heavy",100,0.77,0.964287495509002,0.568778900298225,0.264484781834421,NA,NA,NA,NA,NA,NA,1.13294287147104,0.0287508859101408,0.395226493982067,0.348610794905221,0.145814760963917,0.363084514351614,1.20546869465752,-0.370774143785806,0.449086701486243,0.357607458519536,3.35503512704589,0.348771186380869,NA,0.684999999999491,0.96100000000024
"11435-10","extra_heavy",100,0.85,1.13688021309325,0.451197075850521,0.446675548584508,NA,NA,NA,NA,NA,NA,1.08267379779356,2.87281199453654e-06,0.5765565047548,0.330460733767898,3.64388021641769e-06,0.300044817010921,1.07818580298155,1.51525481181969,0.596689821331743,0.423092255756404,2.59822151004897,0.293832339304571,NA,0.689000000000306,1.0619999999999
"11435-11","extra_heavy",100,0.79,0.909365284912849,0.280814303225983,0.577163136175139,NA,NA,NA,NA,NA,NA,1.0298984584377,-0.00168226945222796,0.80817393418088,0.253534044801102,0.00470873345404063,0.504659000973815,1.15529405404688,-2.30936784209785,0.740655435965211,0.311292004067943,3.47028230379569,0.356130692150156,NA,0.702000000000226,0.99199999999928
"11435-12","extra_heavy",100,0.78,1.03948855781808,0.478317508500193,0.173804750895257,NA,NA,NA,NA,NA,NA,0.837163512341066,0.11088989675344,0.239678594459827,0.282014573832653,0.0721475243830564,0.273757471938496,0.714821426702519,4.3621431439936,0.286546810267264,0.323631735122509,2.62578728033886,0.258987849248377,NA,0.622999999999593,1.01199999999972
"11435-13","extra_heavy",100,0.86,0.910230895116131,0.678190281171608,0.318228609836819,NA,NA,NA,NA,NA,NA,0.900367511323423,0.0142523489576013,0.459400786196904,0.279766248217136,0.0225242234132983,0.387907780594615,0.867393222131819,1.73579389628397,0.582133029432027,0.387112381240922,3.6120878791576,0.307513667397756,NA,0.66399999999976,0.98200000000088
"11435-14","extra_heavy",100,0.9,0.949853510499176,0.773367541303898,-0.150747192165897,NA,NA,NA,NA,NA,NA,1.06035644267484,0.00139436681854446,0.147688993855634,0.499428960575695,0.00706207959342232,0.310360552057931,0.761388366330313,3.09500000024852,0.149179348073044,0.60996208958759,4.37828747989341,0.316432942113372,NA,0.681000000000495,0.900000000000546
"11435-15","extra_heavy",100,0.83,0.794049575906379,0.625206778083476,0.435048273300682,NA,NA,NA,NA,NA,NA,1.0190052862712,-3.42941269706447e-06,0.734119744700912,0.306709412395762,1.79864538017273e-05,0.461170373613297,1.33616813864263,-5.16419478315722,0.82086557874845,0.445059721137022,5.80685271423214,0.372272170098902,NA,0.677000000000589,0.927000000000589
"11435-16","extra_heavy",100,0.75,1.083096985408,0.478555432999437,0.0454710659092308,NA,NA,NA,NA,NA,NA,1.15118523606561,0.000719001688065481,-0.0604399314150591,0.255085807832114,0.000997729630458692,0.507778836731327,1.10308941431301,2.44556204336467,0.137161789959307,0.33803475619933,4.99733192954518,0.373846119250196,NA,0.664999999999964,1.10800000000017
