"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_sol","beta_sol","gamma_sol","se_alpha_sol","se_beta_sol","se_gamma_sol","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","time_tr","time_sol"
"11422-1","heavy",2000,0.478,0.974700191731677,0.486013165072482,0.312215084858155,NA,NA,NA,NA,NA,NA,1.03943322223163,0.343706675213801,0.408065319715318,0.0502986985064344,0.0924408396903265,0.0696897442527638,1.03033690775161,0.572127809831241,0.427655972635106,0.0539482910174918,0.16962580145018,0.0657140545291771,NA,1.42599999999993,49.4840000000002
"11422-2","heavy",2000,0.483,0.967813797682527,0.525315037009705,0.232768645172007,NA,NA,NA,NA,NA,NA,1.00472141299258,0.410912227403587,0.300665820591354,0.0512870856231052,0.0924114974508505,0.0669116330005684,0.984023766864338,0.836764113802581,0.305199930627573,0.0528771269261606,0.182818615930952,0.0648828614562365,NA,1.41599999999971,45.6869999999999
"11422-3","heavy",2000,0.485,0.972018176412064,0.532449870286171,0.238521477824162,NA,NA,NA,NA,NA,NA,1.01027950361792,0.519775629832597,0.311948633718561,0.0493626620995287,0.0991393270715663,0.0655708380262254,0.998848371618047,0.865958899225251,0.324723709847654,0.0510126285725928,0.183800071219153,0.0639306430972046,NA,1.41700000000037,44.2949999999996
"11422-4","heavy",2000,0.472,1.01269332708456,0.453109722577193,0.245278180125725,NA,NA,NA,NA,NA,NA,1.02713064743528,0.472982614295039,0.293126326007207,0.0522738503104085,0.106950881306785,0.0680006419227004,1.01859584607463,0.756302981833479,0.311449032117718,0.052749014586166,0.172497263386471,0.0676356665496024,NA,1.40800000000036,46.8290000000002
"11422-5","heavy",2000,0.4875,1.06852604103475,0.500386016259753,0.115066739864076,NA,NA,NA,NA,NA,NA,1.12201069722013,0.3625180390117,0.246453533518986,0.0497904280183208,0.099542104637869,0.0662601128015851,1.09362835176148,0.70217760317622,0.228944840869538,0.0535497947400009,0.16924756375086,0.0682555728497195,NA,1.42000000000007,53.556
"11422-6","heavy",2000,0.4755,1.00645511632764,0.494009237081817,0.214006396926347,NA,NA,NA,NA,NA,NA,1.07612918948039,0.357898583450849,0.296908277410474,0.0505379783431159,0.0996801636571614,0.0642178154679021,1.05018616803313,0.656134362547139,0.302650566111065,0.0522505024945843,0.164591610221007,0.0642285866101384,NA,1.42100000000028,47.9970000000003
"11422-7","heavy",2000,0.502,1.02324838634187,0.491378671291439,0.209820922531449,NA,NA,NA,NA,NA,NA,1.05939285375993,0.454871264482568,0.271876690117523,0.0537350324794584,0.099781840832897,0.0702522312510912,1.02048422736319,0.921566689501625,0.28337371028444,0.0564902525611439,0.185273212942872,0.0698657035200486,NA,1.43100000000004,47.5150000000003
"11422-8","heavy",2000,0.5,0.978285750786514,0.482880437340308,0.289703682392361,NA,NA,NA,NA,NA,NA,1.01820689573551,0.389304469409122,0.377986542310088,0.0529994376808244,0.0884311437790485,0.0676873649501745,0.977187174390884,0.875134884776016,0.37166933249922,0.0562737861533727,0.181037586488985,0.0696662342377781,NA,1.42299999999977,49.8109999999997
"11422-9","heavy",2000,0.4845,1.04359159728807,0.443414456734616,0.222038407585069,NA,NA,NA,NA,NA,NA,1.07400735611594,0.435826989256306,0.278166394037974,0.0515915330040295,0.105813242943113,0.0677240862169506,1.04230130677715,0.893228218323537,0.275731257490143,0.0524572406136487,0.174778629966189,0.0660324326366728,NA,1.42099999999982,44.9589999999998
"11422-10","heavy",2000,0.4715,1.02057490430527,0.472327833433207,0.212219266242001,NA,NA,NA,NA,NA,NA,1.04587233878961,0.4621135460282,0.271059176965173,0.0495251047718793,0.0886787085238605,0.0659103140084935,1.05469516301823,0.700653005350375,0.295852174489524,0.0539317342237955,0.173117108603012,0.0654064869445832,NA,1.40700000000015,45.7659999999996
