"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_sol","beta_sol","gamma_sol","se_alpha_sol","se_beta_sol","se_gamma_sol","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","time_tr","time_sol"
"11431-1","light",500,0.138,0.971085072541944,0.543869388963561,0.276210335908432,NA,NA,NA,NA,NA,NA,0.981315390103191,0.516377694000223,0.310004168537567,0.098073319056967,0.1265633820088,0.134502005511057,0.984481034575148,0.571237880723929,0.311239881341245,0.0997075419855491,0.143529498602297,0.133292597945332,NA,0.760999999999996,4.64
"11431-2","light",500,0.174,1.06812795075417,0.56872474350031,0.233883134699829,NA,NA,NA,NA,NA,NA,1.066886807129,0.638242264953031,0.260199778677005,0.0971774536516733,0.13546905723072,0.129751930669475,1.08517891426128,0.630965691310717,0.273688169718839,0.0967492025104965,0.146770451324175,0.130873983123855,NA,0.629000000000019,4.89100000000001
"11431-3","light",500,0.16,1.0293352035427,0.525193858898186,0.192061534861752,NA,NA,NA,NA,NA,NA,1.04554088926296,0.483914836582469,0.210419549406933,0.0974156481177345,0.107280788873128,0.133997584521109,1.02076484072134,0.658592834993814,0.216648505047509,0.0995587242186421,0.132370203827777,0.134686183130716,NA,1.303,4.114
"11431-4","light",500,0.158,1.01477877232966,0.491706541172334,0.308622401991648,NA,NA,NA,NA,NA,NA,1.01990896917016,0.46967368328655,0.340202871820536,0.093057280380532,0.100558136684859,0.13367408131475,1.01547356671834,0.539120360748209,0.354718259147548,0.0947541584091781,0.132402030457719,0.132700968348644,NA,0.90300000000002,6.22900000000001
"11431-5","light",500,0.192,1.06981284813802,0.362755072955851,0.169036562517556,NA,NA,NA,NA,NA,NA,1.08626371202521,0.328185420535545,0.187138103082418,0.0946095131562282,0.109408985281315,0.131052874734623,1.0869981702467,0.390119549606411,0.192164283259164,0.0931827567958426,0.125843918977833,0.131528486283868,NA,1.41,5.626
"11431-6","light",500,0.148,1.09990618755642,0.482164539678706,0.0911102214392497,NA,NA,NA,NA,NA,NA,1.10719211743547,0.484681771102309,0.119146489773845,0.0933788147655658,0.129664764043312,0.128892651319163,1.11622122550173,0.486218694107397,0.127889355519997,0.0917857269903076,0.141572302811381,0.1311262515307,NA,1.45099999999999,5.60599999999999
"11431-7","light",500,0.14,0.961520632241344,0.554893211808348,0.198721966029712,NA,NA,NA,NA,NA,NA,0.966461160023877,0.552433379396973,0.236143019075085,0.102147536302784,0.132108922959115,0.13844837278704,0.96494025038178,0.630073767687581,0.237516875617495,0.100851659232308,0.158066618120991,0.134418869167341,NA,0.766999999999996,5.01900000000001
"11431-8","light",500,0.158,1.14363100033599,0.541756626760018,0.0829968241807755,NA,NA,NA,NA,NA,NA,1.11787584706722,0.700324188645321,0.0988070396880974,0.0973459424904128,0.137520999619195,0.137160462051304,1.11864533100011,0.737594429093834,0.122310059127698,0.0994001115937112,0.159301271233038,0.137977374113244,NA,0.615999999999985,3.67699999999999
"11431-9","light",500,0.19,0.955497786006086,0.494176570080675,0.42159916341547,NA,NA,NA,NA,NA,NA,0.974711115772546,0.448358782863596,0.435036288988359,0.0950299665226621,0.10457006710799,0.135693204051888,0.957711089998921,0.556891914705128,0.461770212084874,0.0965612307117988,0.139938426020052,0.136385857536218,NA,0.720000000000027,3.95600000000002
"11431-10","light",500,0.198,1.11219362118771,0.435902571161247,0.297202681681495,NA,NA,NA,NA,NA,NA,1.13839514690741,0.384574117600845,0.366393332656076,0.101123877896461,0.145442929929947,0.133377496065155,1.12999432450447,0.460342910571704,0.353316173372981,0.104444695768067,0.165068084959414,0.136501254800135,NA,0.990999999999985,6.21299999999999
"11431-11","light",500,0.158,1.04648117579013,0.524983899128017,0.135092626020558,NA,NA,NA,NA,NA,NA,1.04952469330953,0.562357684295726,0.147360694724506,0.0974524249773339,0.128039546952762,0.132045258259025,1.05931868541155,0.598322156940697,0.181765507507432,0.0989893206065704,0.167757692506631,0.130737420161608,NA,0.74199999999999,3.55099999999999
"11431-12","light",500,0.164,1.06990498165358,0.482665463991748,0.152279157576295,NA,NA,NA,NA,NA,NA,1.09852262191819,0.425651352848234,0.192773623651374,0.094716436607037,0.117262086587138,0.132454498786067,1.10789173418205,0.4843208702844,0.176059225688495,0.0948869969652357,0.135159880701885,0.136716602068653,NA,0.74799999999999,3.61700000000002
"11431-13","light",500,0.162,1.06998370935031,0.596962449139125,0.166471570551072,NA,NA,NA,NA,NA,NA,1.0722090945692,0.638122044141933,0.161981001650918,0.0901150033365803,0.132643205953,0.131641901138905,1.05998927566095,0.738199362460583,0.182921742876632,0.0937558367318623,0.169909356384637,0.130993558211243,NA,0.625,3.31799999999998
"11431-14","light",500,0.158,0.961734374460407,0.45537903806994,0.251494052284397,NA,NA,NA,NA,NA,NA,0.96655488545509,0.481688268943273,0.265389462520832,0.0962883003354717,0.13491748990497,0.131382125862816,0.970148292240326,0.479206282761763,0.299162652013078,0.0967853957201844,0.159746234491336,0.12985229707048,NA,0.621000000000009,3.55000000000001
"11431-15","light",500,0.174,1.04147082445952,0.503440166613978,0.224929576402441,NA,NA,NA,NA,NA,NA,1.03934044590239,0.558372940605509,0.273308761262076,0.0968266111372347,0.116248314498311,0.129787763509169,1.03660368798705,0.609649629902985,0.293406225671609,0.0976447264539331,0.149781470756135,0.129949582248855,NA,0.704999999999984,3.971
"11431-16","light",500,0.156,0.895425414301338,0.591063491514865,0.256732751817941,NA,NA,NA,NA,NA,NA,0.911254147509743,0.54353750408103,0.315205067385469,0.100852650516276,0.147417508538961,0.135497069999522,0.903465087188768,0.646944404545252,0.319295597663195,0.100503173796234,0.170745930885563,0.1284244258765,NA,0.609999999999985,4.196
"11431-17","light",500,0.21,0.954298110333196,0.556055106880464,0.124421527908568,NA,NA,NA,NA,NA,NA,0.950432386208254,0.632011870105213,0.141191858782435,0.0967285885382499,0.129519197713788,0.12741662742906,0.952918300757354,0.75262436085748,0.127346376753066,0.096285959162928,0.151960777469635,0.132050544832162,NA,0.780000000000001,6.74600000000001
"11431-18","light",500,0.18,1.03686541173976,0.404924449842579,0.268589468679273,NA,NA,NA,NA,NA,NA,1.0071864987989,0.531382988421891,0.300260507613821,0.100241097064402,0.133678491909471,0.131825683779055,1.00674911597917,0.581676653437743,0.301020479281982,0.101460415674914,0.161220754012373,0.131440186874494,NA,0.61099999999999,4.999
"11431-19","light",500,0.164,0.950749733824591,0.404518554405417,0.282810226458555,NA,NA,NA,NA,NA,NA,0.972982901400572,0.405290833709538,0.28715267500631,0.0987039221886941,0.14803548779886,0.123842200556028,0.983003539779558,0.429410878366625,0.281018173479245,0.100252425595746,0.168480838109218,0.129884655416514,NA,0.823000000000008,6.09800000000001
"11431-20","light",500,0.17,0.911152653007724,0.529709410656213,0.388275753304399,NA,NA,NA,NA,NA,NA,0.928816359582893,0.506385311465224,0.448768061109497,0.100632240217613,0.120694183161283,0.139924265954184,0.906051058554863,0.669069008666828,0.454312022946428,0.100634282088589,0.150577087962007,0.140284898705524,NA,0.606999999999999,4.80799999999999
"11431-21","light",500,0.188,1.04671136434627,0.444028743128706,0.1869653321626,NA,NA,NA,NA,NA,NA,1.0569277866019,0.4107509725058,0.237227553664036,0.100734321114338,0.118800874033687,0.134359312399528,1.04636288986388,0.500452933235053,0.240234726064726,0.100629971091481,0.141416186625446,0.134721335069265,NA,0.723000000000013,6.56
"11431-22","light",500,0.166,0.95593625605366,0.514742025520939,0.255208756471684,NA,NA,NA,NA,NA,NA,0.975445451857329,0.450315349099552,0.28603995908435,0.100901018057078,0.103910578262103,0.125830548866816,0.951849069532172,0.608160786176106,0.281220072747454,0.0982799974953106,0.129883194157393,0.123676130186396,NA,0.60499999999999,4.63
"11431-23","light",500,0.198,0.99443331328614,0.540166801713287,0.256873332202259,NA,NA,NA,NA,NA,NA,1.04871722342506,0.386613478808413,0.369372229106643,0.117869430584495,0.23009184014381,0.155950155536312,0.972675621932534,0.759717512735191,0.297362106029199,0.1040303762619,0.17786407476435,0.137959486478549,NA,0.718999999999994,6.30099999999999
"11431-24","light",500,0.138,0.89039974887892,0.469960461982415,0.445307923970417,NA,NA,NA,NA,NA,NA,0.911366625022042,0.449303753770099,0.466514885026699,0.0984476797181474,0.130219324351493,0.134273587205628,0.923396293335523,0.440526626666615,0.48466858307572,0.10256357463839,0.156313857659382,0.13574913038051,NA,0.61099999999999,4.31700000000001
"11431-25","light",500,0.174,0.91902607666934,0.509647921443457,0.138551059761956,NA,NA,NA,NA,NA,NA,0.915105655046396,0.514618009017511,0.178429450046008,0.0898931038436536,0.101743506391206,0.124369478606057,0.913337929393291,0.591171971177607,0.162508624209798,0.0902858080167694,0.111771658285203,0.121501062697889,NA,0.716000000000008,5.37299999999999
"11431-26","light",500,0.162,1.17993791354072,0.233974296803469,0.178596145605234,NA,NA,NA,NA,NA,NA,1.18575715163154,0.21280444932265,0.20387527198007,0.0973031769292035,0.108878804063898,0.130586984852457,1.16840859084473,0.325914192547448,0.190379622536997,0.0971557903411894,0.153019112130062,0.128905975119347,NA,0.59899999999999,4.39000000000004
"11431-27","light",500,0.164,1.03349603960998,0.425753649096478,0.236672187156362,NA,NA,NA,NA,NA,NA,1.03231975517657,0.447723901199805,0.264839640964467,0.107896324570715,0.150591511014073,0.141289347047683,1.04161796303339,0.506284402722842,0.248671098614488,0.10308510009111,0.184753463555469,0.143274504813983,NA,0.70999999999998,4.95699999999999
"11431-28","light",500,0.186,0.999423575191192,0.431392514547706,0.275273679556565,NA,NA,NA,NA,NA,NA,1.01390890719657,0.41726864714629,0.336587775646445,0.0900811046389007,0.131537607939857,0.118924553740322,1.02165238379357,0.415798580695625,0.354038024272827,0.0930460205501617,0.151655753469059,0.122835700261344,NA,0.994999999999948,4.82399999999996
"11431-29","light",500,0.176,0.947370787640735,0.46682052011708,0.350445569109691,NA,NA,NA,NA,NA,NA,0.984952242676254,0.390859871757757,0.369689807984349,0.106345297867475,0.122193330240753,0.137106543711129,0.972578412617686,0.499531965297111,0.374511835424191,0.108315323351345,0.161508151933944,0.141679440715952,NA,0.97199999999998,4.43799999999999
"11431-30","light",500,0.158,0.999721112210857,0.606033431231246,0.264084146195294,NA,NA,NA,NA,NA,NA,1.0224056412361,0.545926966160306,0.30070090771968,0.0930008662251909,0.118108560850696,0.131092279748855,0.999310738394827,0.696182078018034,0.305043621384836,0.0911149259422639,0.129711805037981,0.130424168384856,NA,1.25899999999996,4.096
"11431-31","light",500,0.172,1.03383506060295,0.497732925916203,0.196793533456498,NA,NA,NA,NA,NA,NA,1.05119325289597,0.455027680088258,0.242243600610556,0.095796991091175,0.134808087343863,0.128338590145349,1.04542514758784,0.520283790356024,0.246036417931731,0.0981153360767917,0.172666314697572,0.12547978492096,NA,0.978000000000009,4.23099999999999
"11431-32","light",500,0.188,1.12590812675391,0.56320486635709,0.0181277963140189,NA,NA,NA,NA,NA,NA,1.16208208807879,0.414825584260668,0.0680839435226312,0.0944955029807008,0.0915082780842804,0.128914430842239,1.11983822624005,0.691531423809954,0.0619980597221629,0.0948796631916651,0.139383675801334,0.129296148571444,NA,0.711999999999989,4.77200000000005
"11431-33","light",500,0.17,0.998884563119952,0.498265952643549,0.394561410623853,NA,NA,NA,NA,NA,NA,1.03012513846768,0.419198183519599,0.449246449310853,0.0924740332185131,0.0991374459773508,0.132042140455422,1.00808987969033,0.556271689330905,0.446534362765393,0.0888610999857108,0.126603370688045,0.126384157096154,NA,1.01799999999997,4.214
"11431-34","light",500,0.152,1.02226497380832,0.47305305106804,0.237118882621486,NA,NA,NA,NA,NA,NA,1.00605161392117,0.531458959346365,0.274873599308591,0.0983719139694467,0.116884103295139,0.138137080515814,1.02338980980822,0.54122920163999,0.290574799740516,0.0981269037610774,0.146797945669765,0.13638791531001,NA,1.13900000000001,4.14100000000002
"11431-35","light",500,0.152,0.975786426914305,0.625746268671069,0.256532867554974,NA,NA,NA,NA,NA,NA,0.951707133029798,0.716347911609219,0.32837108269905,0.101678209750815,0.154521389972374,0.133469307252771,0.963115137194098,0.780279201966512,0.334713805134704,0.10245764791102,0.185990742516831,0.133624940885175,NA,0.763000000000034,4.23400000000004
"11431-36","light",500,0.192,1.03683952792016,0.393363210149,0.271507523036424,NA,NA,NA,NA,NA,NA,1.04875800965541,0.393965709128468,0.310641517786439,0.103576589880056,0.139081299460836,0.12881029673124,1.06287637489775,0.382512883690627,0.315606559227903,0.107368243270161,0.163008922092051,0.132500509482032,NA,1.34300000000002,6.108
"11431-37","light",500,0.188,1.0204106603566,0.562170023096264,0.0932170024932421,NA,NA,NA,NA,NA,NA,1.03945668794857,0.468523350230858,0.166240349761618,0.0928208536732312,0.101578041714554,0.128755176455057,1.03587944982486,0.555457658781514,0.192403213583112,0.0946889475287423,0.136385156859562,0.132768278389432,NA,1.39400000000001,5.91500000000002
"11431-38","light",500,0.178,0.898501428930516,0.640768392319542,0.304918918044347,NA,NA,NA,NA,NA,NA,0.937495744755124,0.615629189889197,0.306703486472168,0.0968373225263112,0.136092972913093,0.128245245739548,0.943195178189325,0.682610816616121,0.329966985163561,0.10246421077955,0.173037904537422,0.128632954884848,NA,0.750999999999976,4.51799999999997
"11431-39","light",500,0.162,1.01703993952142,0.566466361774692,0.31685299282754,NA,NA,NA,NA,NA,NA,1.00526426495497,0.683588976534729,0.327866960941827,0.104377979576217,0.173811528790454,0.132022099676885,1.00040519785688,0.792121542120347,0.323492150449917,0.104495827137933,0.204199248326232,0.131510327758954,NA,0.59899999999999,3.36500000000001
"11431-40","light",500,0.166,0.950861541205483,0.539668344724359,0.265797436841935,NA,NA,NA,NA,NA,NA,0.988042612242389,0.475416754080829,0.311260968783168,0.102175400774592,0.11983928116276,0.134750726379978,0.997143300106676,0.513273530794552,0.315586756088111,0.101639534657163,0.153743044752758,0.131369901909025,NA,1.23700000000002,5.221
"11431-41","light",500,0.214,0.960807624060193,0.507738344283601,0.246440336540159,NA,NA,NA,NA,NA,NA,0.968732627674348,0.518966838907462,0.310849350598909,0.0888540826369733,0.110508494294284,0.118670523050691,0.977193063430872,0.596071127925857,0.289901275269323,0.0901481403496835,0.112744301627354,0.120544002658625,NA,0.611000000000047,5.01600000000002
"11431-42","light",500,0.16,0.995041169183022,0.496052760691532,0.244544243599611,NA,NA,NA,NA,NA,NA,1.01644161484623,0.422694346809888,0.29665109549812,0.0991107145516962,0.139943458706565,0.140183904899041,0.995267157710396,0.576039817926387,0.2820913202737,0.101610428186354,0.196620223100056,0.139472065744765,NA,0.600000000000023,3.22000000000003
"11431-43","light",500,0.19,0.974110422312567,0.555747593087082,0.272183572106363,NA,NA,NA,NA,NA,NA,0.991534730501655,0.538242611447857,0.357608714227901,0.10130491968401,0.130239996788749,0.139974515323028,0.997530050951328,0.604888311264387,0.358365777572212,0.106771907099006,0.164695884666427,0.141570842608599,NA,0.610000000000014,3.85300000000001
"11431-44","light",500,0.182,0.902781386427756,0.645214972778775,0.269477482469772,NA,NA,NA,NA,NA,NA,0.957958802858643,0.51095805913887,0.337280811654074,0.105020750617021,0.116524766340944,0.143426312936451,0.952670022425936,0.604038564085406,0.341222794678825,0.10409183016246,0.146002908698741,0.146165912749624,NA,0.738999999999976,3.78399999999999
