"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_sol","beta_sol","gamma_sol","se_alpha_sol","se_beta_sol","se_gamma_sol","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","time_tr","time_sol"
"11429-1","heavy",500,0.498,0.955242595169614,0.572371946390059,0.207025849551696,NA,NA,NA,NA,NA,NA,0.95682556284208,0.565459602830091,0.245477445374201,0.11604408124883,0.192540178458051,0.137997759893025,0.943576663124389,0.628377839782424,0.258171527355486,0.122310308279495,0.210316680900417,0.139704417734079,NA,1.149,0.975000000000023
"11429-2","heavy",500,0.466,1.11705534669177,0.48530343405486,0.179265425346016,NA,NA,NA,NA,NA,NA,1.07875399136629,0.666426992358912,0.190017994341805,0.110987847711282,0.203608043972186,0.14051411876055,1.07644082969231,0.678633307556719,0.201673908401501,0.115072959274312,0.210024413082823,0.138037070538859,NA,0.942999999999984,0.954000000000008
"11429-3","heavy",500,0.514,1.0287159722937,0.624468459575297,0.143034334391869,NA,NA,NA,NA,NA,NA,1.07710418336406,0.573590101228152,0.15671828622904,0.118696707755801,0.221206454684556,0.151749648602726,1.04322309682595,0.693416259072282,0.19314712549967,0.123016020858513,0.255985397958536,0.149313568730976,NA,0.937999999999988,0.918999999999983
"11429-4","heavy",500,0.488,1.05649677931711,0.457222056922226,0.160506678047668,NA,NA,NA,NA,NA,NA,1.09744792350281,0.352098276005109,0.221371640440234,0.11392472481952,0.207072465417516,0.137000804844124,1.08672581734688,0.385695275783898,0.228405058663647,0.117461896524315,0.217798819340405,0.137680309960079,NA,1.36099999999999,1.02600000000001
"11429-5","heavy",500,0.474,0.910016740557276,0.537275502422323,0.347011572561666,NA,NA,NA,NA,NA,NA,0.864695015052897,0.795646377109387,0.31988453654656,0.104640439508887,0.20978014288073,0.144488673732016,0.873244274522416,0.761886664704466,0.33047796001925,0.104671592542454,0.20012946086304,0.140780920507485,NA,1.05699999999996,1.31299999999999
"11429-6","heavy",500,0.492,1.03747107636517,0.444089888630553,0.228505050164443,NA,NA,NA,NA,NA,NA,0.973909763015848,0.685855344875708,0.252701251371899,0.116873460923757,0.25739282785602,0.139216027982139,0.971637633690643,0.716564151716047,0.245036317659783,0.1190082113223,0.264347330204006,0.137795687780829,NA,0.713999999999999,0.855999999999995
"11429-7","heavy",500,0.48,0.951082358765345,0.51290220972721,0.270429334090459,NA,NA,NA,NA,NA,NA,0.932613444339021,0.57646646169954,0.273750978219007,0.10375218316505,0.182162566491069,0.132007735397108,0.926345471385041,0.544826719414651,0.290610322262647,0.100860675053438,0.173560550935607,0.129635407051632,NA,0.709000000000003,0.694999999999993
"11429-8","heavy",500,0.486,0.924680212235821,0.462352106131987,0.390850896786436,NA,NA,NA,NA,NA,NA,0.929417726268141,0.474847959941702,0.427016316074674,0.110544519042944,0.215837067213219,0.139627196963848,0.910874687821375,0.542599517720787,0.437860087856099,0.11449140355774,0.238730175603594,0.138235805548856,NA,0.682000000000016,0.696000000000026
"11429-9","heavy",500,0.468,0.988683230220733,0.587059930812519,0.247825063724214,NA,NA,NA,NA,NA,NA,0.966046924062233,0.634494274469517,0.241156925603406,0.107604844388879,0.16968829531424,0.140221709601578,0.95512807228266,0.667559202666439,0.26075213026649,0.106681954801223,0.179143691799167,0.137587447843467,NA,0.63900000000001,0.636000000000024
"11429-10","heavy",500,0.462,1.14700827148823,0.488166600026129,0.146427763249787,NA,NA,NA,NA,NA,NA,1.15082410342083,0.557334225636526,0.15963371589167,0.108444516209254,0.216992317050456,0.148707381410686,1.14257497780411,0.571875828195866,0.170529147927862,0.11179250467724,0.221510435148345,0.14486629246503,NA,0.641999999999996,0.651999999999987
"11429-11","heavy",500,0.434,1.02621643753735,0.496810634946741,0.35236058722882,NA,NA,NA,NA,NA,NA,1.01964890301843,0.651336320857242,0.349701018994145,0.102388039567061,0.257001911828791,0.13496609777604,1.01952885814234,0.623884076609801,0.364203829193761,0.105534183962807,0.263881327330135,0.14293250444922,NA,0.718999999999994,0.65100000000001
"11429-12","heavy",500,0.474,0.975458436658076,0.500814394459032,0.281897352150466,NA,NA,NA,NA,NA,NA,0.948671953570733,0.593263982205859,0.315968999135689,0.112697535391172,0.207966447769345,0.134391614994195,0.933704201292002,0.617284986174043,0.33862867342323,0.113689290961755,0.217595620016246,0.135193673869691,NA,0.909999999999968,0.843000000000018
"11429-13","heavy",500,0.478,1.07376891446462,0.383652084716448,0.157801856963984,NA,NA,NA,NA,NA,NA,1.08474846234682,0.381048007225398,0.143643891372846,0.10769404798595,0.199905768703603,0.145797115806174,1.08327130052595,0.3816618544831,0.138904260956994,0.106899154385212,0.182514539394339,0.146057742025974,NA,0.651999999999987,0.810000000000002
"11429-14","heavy",500,0.504,1.01260200382889,0.478556635626731,0.259297879275843,NA,NA,NA,NA,NA,NA,1.0271720751695,0.454900863535166,0.291781685037571,0.0993152579598768,0.207866836214552,0.128937877464077,1.02885427348418,0.450772513928014,0.29521103507044,0.103018396729683,0.219531530758042,0.12933804848246,NA,0.880999999999972,0.838000000000022
"11429-15","heavy",500,0.512,0.980474333271139,0.385856342096447,0.265527426643708,NA,NA,NA,NA,NA,NA,0.9802013070797,0.363368782191487,0.248937400697934,0.0984406433759715,0.163391789764296,0.138103366898441,0.958260346105651,0.456845074344534,0.264082119852176,0.106055811555481,0.198183008400014,0.13661563615429,NA,0.846000000000004,0.860000000000014
"11429-16","heavy",500,0.466,0.912576478327258,0.680535425636258,0.263465286181943,NA,NA,NA,NA,NA,NA,0.924772006957715,0.692462034597092,0.330310816789544,0.110461220927701,0.250369506516204,0.138017005183198,0.910254718320913,0.765648504369612,0.345936809691994,0.111817076511893,0.267276186284281,0.134119841730468,NA,0.758000000000038,0.98399999999998
"11429-17","heavy",500,0.476,0.986512402588305,0.535084395731078,0.248701375822326,NA,NA,NA,NA,NA,NA,0.977570997511032,0.582152744183132,0.278884841413761,0.110411638182736,0.22870049096852,0.137856101556429,0.970879027584494,0.624763481534518,0.280143796811691,0.115194019859282,0.241216527379168,0.135229844043648,NA,0.706999999999994,0.692000000000007
"11429-18","heavy",500,0.464,1.04092979162192,0.46033487534917,0.272146014840434,NA,NA,NA,NA,NA,NA,1.02261390532773,0.580726333774422,0.316469293794675,0.117612901232964,0.278701066515445,0.135865882364229,1.03625498383176,0.577377618998081,0.303566124260003,0.115269512423319,0.27822565688435,0.133262651441566,NA,0.739000000000033,0.701999999999998
"11429-19","heavy",500,0.482,0.950101279441804,0.573407427667086,0.302150426629074,NA,NA,NA,NA,NA,NA,0.934225185627104,0.655951827017337,0.281004562860604,0.0993094918555262,0.182754334029281,0.149971344946915,0.929837705401998,0.67302881279302,0.308341960285278,0.104582395310356,0.19869593183889,0.146866217305695,NA,0.805000000000007,0.91500000000002
"11429-20","heavy",500,0.51,0.985921002291854,0.437070234770517,0.344229864422234,NA,NA,NA,NA,NA,NA,0.959741412824467,0.531555238451482,0.375046537916944,0.110863352544159,0.21243989254402,0.134193192437384,0.949365006509083,0.577103485689433,0.381456310132066,0.110277751623296,0.229301627104224,0.132357713043102,NA,0.64100000000002,0.775999999999954
"11429-21","heavy",500,0.506,1.08075515769789,0.56025169507839,0.0487465686178187,NA,NA,NA,NA,NA,NA,1.08233195741048,0.504558089040164,0.0776606699307833,0.10453798316635,0.169368714522737,0.130326209238633,1.05394238133978,0.641440525805209,0.098250585153813,0.106485275301921,0.218987991237334,0.125474924936803,NA,0.637999999999977,0.639999999999986
"11429-22","heavy",500,0.49,0.954248573003707,0.551037356848353,0.310163066408205,NA,NA,NA,NA,NA,NA,0.951666337868805,0.589865368693106,0.32651910180977,0.101423351026549,0.183651929558507,0.135090003128446,0.940762746866608,0.646733127996491,0.345524127467643,0.10479150109301,0.205280167049994,0.131803705089974,NA,0.637999999999977,0.631999999999948
"11429-23","heavy",500,0.51,1.16484694386996,0.342657443918586,0.157129197011817,NA,NA,NA,NA,NA,NA,1.16851230265537,0.371279522037798,0.179578161465025,0.118258913360524,0.217464576020596,0.144559265300414,1.16295253828425,0.376794194844345,0.180382943108572,0.117997211193098,0.218413817542859,0.14190165769604,NA,0.658000000000015,0.649000000000001
"11429-24","heavy",500,0.486,1.04601746663147,0.445298390147385,0.203433613305602,NA,NA,NA,NA,NA,NA,1.06506920961272,0.396636831853908,0.248154701047416,0.113045532249793,0.19939947228068,0.135852255450568,1.05427767128561,0.427143879782643,0.251572468522832,0.111803895617109,0.204886484190696,0.132447680733877,NA,0.652999999999963,0.64100000000002
"11429-25","heavy",500,0.534,0.985485173328779,0.485614136277559,0.313016518852992,NA,NA,NA,NA,NA,NA,0.984118515447348,0.492373826781287,0.244378658800546,0.106352781781344,0.157322669708694,0.149623875295594,0.956139428472044,0.6123923974007,0.308406606342978,0.114379707242756,0.216592999858565,0.144214719428626,NA,0.657999999999959,0.642999999999972
"11429-26","heavy",500,0.488,0.988996741115552,0.612044283417789,0.127599079419896,NA,NA,NA,NA,NA,NA,1.03039097621783,0.505787067692701,0.188485734122803,0.109825519478943,0.232066340449387,0.14230297080003,1.02548597992292,0.547074733099209,0.192160018384176,0.110483435018981,0.251812192865184,0.140730929193278,NA,0.703000000000031,0.65100000000001
"11429-27","heavy",500,0.438,0.945676042889181,0.502332310207114,0.354535799410857,NA,NA,NA,NA,NA,NA,0.864394482946972,0.886639667696635,0.404415666293278,0.110366000631503,0.267553595571633,0.13191670547949,0.853370227920391,0.916452812173916,0.405261130361007,0.110730846575341,0.280557529113739,0.129169955671618,NA,0.798000000000002,0.822000000000003
"11429-28","heavy",500,0.472,0.992864290686761,0.490384745176076,0.309527499922104,NA,NA,NA,NA,NA,NA,1.01105064496494,0.452094874354597,0.333530308343081,0.104602511921988,0.21210670031925,0.148549034848043,0.990144070904389,0.548255783776903,0.342158429323914,0.104942875122059,0.239936372692976,0.147767012282285,NA,0.644000000000005,0.797000000000025
"11429-29","heavy",500,0.476,1.11129497652811,0.514989392967814,0.0855671690420339,NA,NA,NA,NA,NA,NA,1.09675765234888,0.577594423555275,0.119622325951676,0.108919992586015,0.190240151134682,0.145731474342588,1.0917788999767,0.542055959520656,0.123841775069272,0.104216718026888,0.191091677991554,0.145638675108072,NA,0.696000000000026,0.676999999999964
"11429-30","heavy",500,0.508,0.871650027570986,0.522808572611013,0.288520022982252,NA,NA,NA,NA,NA,NA,0.871700257199713,0.526454756785803,0.286349355189363,0.104105498808665,0.176939437351545,0.132747468810811,0.857556263186137,0.597694858871985,0.29306930735357,0.106785991390314,0.204314813598595,0.136639088652162,NA,0.658000000000015,0.738999999999976
"11429-31","heavy",500,0.536,0.969849092886642,0.548369901563906,0.208240444486494,NA,NA,NA,NA,NA,NA,0.953016505238831,0.666477279639486,0.222664289556021,0.108715479184829,0.210161329659506,0.129970939729324,0.949915944412207,0.684980965841386,0.228546098184556,0.113546328609799,0.233542584533061,0.132764093587093,NA,0.664999999999964,0.70799999999997
"11429-32","heavy",500,0.48,1.02915474395363,0.381909698263851,0.333216501442125,NA,NA,NA,NA,NA,NA,0.991043007849774,0.569026298777983,0.301776849122434,0.106447959202965,0.204548977933122,0.135592234669087,0.977375757286912,0.632044370746015,0.315016464617606,0.110778638463383,0.226395035659494,0.133712427146689,NA,0.701999999999998,0.644000000000005
"11429-33","heavy",500,0.538,1.07294020658898,0.440479092299553,0.23039270594947,NA,NA,NA,NA,NA,NA,1.0275791484326,0.48225524316521,0.249216355302458,0.113803247799543,0.162477728551045,0.133103322863824,1.00203975589875,0.601037129685379,0.27103091382592,0.119566312445636,0.20645843429831,0.133532706366691,NA,0.768000000000029,0.757000000000005
"11429-34","heavy",500,0.502,1.02430156921117,0.42352201781577,0.333426325776835,NA,NA,NA,NA,NA,NA,0.994200163982676,0.597005535520359,0.267206972372789,0.107020209946866,0.222402380306865,0.154011195146631,0.973382924261295,0.710284549413394,0.281706786164175,0.110597896604059,0.254859739516918,0.148587706180268,NA,1.16500000000002,0.776999999999987
"11429-35","heavy",500,0.492,0.961119409197978,0.567295242932473,0.352812591322202,NA,NA,NA,NA,NA,NA,0.968349170744835,0.574280594737049,0.346379460129098,0.10749879376921,0.18648538211782,0.134740665615555,0.959626850797954,0.609044922805888,0.364821759584639,0.109069135990516,0.193016202925182,0.134979479222801,NA,0.867999999999995,1.10699999999997
