"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_sol","beta_sol","gamma_sol","se_alpha_sol","se_beta_sol","se_gamma_sol","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","time_tr","time_sol"
"11440-1","light",100,0.12,1.12309785728401,0.18791789969937,0.314148375227218,NA,NA,NA,NA,NA,NA,1.11654466157484,0.21701828608381,0.310051357711753,0.204614010031184,0.263498919206552,0.265252459936304,1.11520049743842,0.212297500122141,0.318044215230039,0.209914296931244,0.265746301796911,0.266821468558286,NA,0.568,0.521
"11440-2","light",100,0.16,1.15546950563828,0.321743515490351,0.356170086060698,NA,NA,NA,NA,NA,NA,1.14711462343477,0.379835990247003,0.368520009944996,0.258695274220902,0.304913268142423,0.306766393679098,1.13660662978394,0.410326661534422,0.37601896009045,0.254642362867712,0.301987712027726,0.298825275701657,NA,0.493,0.6
"11440-3","light",100,0.14,0.751813786744403,0.51212034236403,0.448035302694662,NA,NA,NA,NA,NA,NA,0.775934471483421,0.535144951376077,0.423289645886423,0.233384297065831,0.310377899400121,0.324531416688008,0.754721033991713,0.524783910405566,0.423951037469463,0.230456417186713,0.302419677765138,0.322319603631673,NA,0.614000000000001,0.590999999999999
"11440-4","light",100,0.19,0.800409020522227,0.667897868060269,0.108126621272268,NA,NA,NA,NA,NA,NA,0.723124219890402,0.755346839228141,0.138825299397654,0.165357423453619,0.154810936142292,0.251715669782772,0.735369175894326,0.729823963758342,0.128620703941031,0.171676106310223,0.155873605934296,0.248398248196616,NA,0.567,0.557
"11440-5","light",100,0.19,1.01453301667506,0.468107157975063,0.0413514902417197,NA,NA,NA,NA,NA,NA,0.999185318987327,0.536335048437617,0.0339261220245178,0.232277250051185,0.374930732101454,0.318380549885422,1.01245941585413,0.513228980754201,0.0142652657787381,0.231072506826397,0.366200575483748,0.322078976765545,NA,0.507,0.564
"11440-6","light",100,0.17,0.856302873814728,0.572580863805,0.321992231894613,NA,NA,NA,NA,NA,NA,0.828889985174281,0.760881284379828,0.241764074043811,0.263041551576835,0.336243767440313,0.316246987778935,0.829775525933181,0.758747259538837,0.268753778357289,0.259235910606258,0.330542139441192,0.322252529260538,NA,0.535,0.501000000000001
"11440-7","light",100,0.18,1.07477657365234,0.500430910421483,0.318911693147393,NA,NA,NA,NA,NA,NA,1.06512336785993,0.650627397536021,0.226404736941552,0.235357896314297,0.230150168349366,0.306228079631596,1.08203684694911,0.578144729839176,0.250807865889921,0.233713576587178,0.223679745157424,0.306261059397152,NA,0.591999999999999,0.593
"11440-8","light",100,0.16,0.85106084238954,0.738079568887079,0.0769900472629605,NA,NA,NA,NA,NA,NA,0.830725501765183,0.802535094017651,0.0954191127411538,0.20964139415548,0.269348058055081,0.282708969571574,0.832535700261285,0.808259642481484,0.0727813793248336,0.214162974551958,0.262885821493576,0.288021964976848,NA,0.598000000000001,0.588000000000001
"11440-9","light",100,0.18,0.95693052382673,0.0699227860237897,0.42611950896073,NA,NA,NA,NA,NA,NA,0.985896782696443,-0.00831599506326536,0.427291480217918,0.20411691380968,0.296479295274993,0.261359582802657,0.981959654098671,0.00533502962931259,0.43129364621469,0.20343247741376,0.302671330961718,0.257853099310729,NA,0.600000000000001,0.592000000000001
"11440-10","light",100,0.22,0.962472088027013,0.388315035277386,0.0714264765433362,NA,NA,NA,NA,NA,NA,0.887915812187538,0.631875893386174,-0.00414676944978712,0.214687639842797,0.277444028756391,0.291642984766303,0.879690473609598,0.654119478049625,-0.00226831946789998,0.218937944711829,0.282224380977789,0.306509001207249,NA,0.613,0.589000000000002
