"sim","censoring","n","subdivisions","perc_censored","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","time_extrap","time_extrap_no"
"11437-1","light",100,150,0.17,0.726764983131265,0.646451909669039,0.489469975263198,0.226298716058391,0.267212723525976,0.320818963709428,0.903999999999996,NA
"11437-2","light",100,150,0.16,0.887311962721359,0.475940744528735,0.142378716369587,0.213400816692881,0.204217079578071,0.305524396679817,1.01700000000001,NA
"11437-3","light",100,150,0.14,1.20336002492596,0.161625428728062,0.00989935283761649,0.218067262310489,0.185797115901803,0.305557068152058,0.801000000000002,NA
"11437-4","light",100,150,0.14,0.805359653299443,0.620761630531048,0.348846730382128,0.225666958488744,0.365832025671552,0.311012787092449,0.882000000000005,NA
"11437-5","light",100,150,0.15,0.890438487150082,0.310033166147114,0.579217520503382,0.207621336305378,0.141789844583595,0.295341187981725,1.06599999999999,NA
"11437-6","light",100,150,0.14,0.913890623125112,0.377079758639103,0.449117607236367,0.210947387349717,0.151440501178588,0.279858811897017,1.54300000000001,NA
"11437-7","light",100,150,0.11,0.939664884255152,0.507486726998697,0.323816348356848,0.218187542782151,0.447978015208721,0.294540817217983,1.571,NA
"11437-8","light",100,150,0.22,1.20587374465508,0.860270971391963,-0.187708692394521,0.237781944327486,0.367886694837108,0.310042927318466,1.68599999999999,NA
"11437-9","light",100,150,0.19,1.13275130885862,0.339852483983461,0.105864413600564,0.175667449377512,0.251315489201374,0.336964951723345,1.158,NA
"11437-10","light",100,150,0.2,0.63056610268389,0.196716648601671,0.54233722865927,0.205719538317135,0.238776119250448,0.310764726259278,1.202,NA
"11437-11","light",100,150,0.23,1.1970255466068,0.272798670932444,0.290586436295883,0.197608495151538,0.195995596521237,0.276236497785154,1.04300000000001,NA
"11437-12","light",100,150,0.15,0.908157632233477,0.449997797014768,0.477390119174951,0.242743979991945,0.293277044173186,0.303071578587156,0.852999999999994,NA
"11437-13","light",100,150,0.16,0.999754366064186,0.369628434264985,0.491334438138283,0.252384686387904,0.26475303841046,0.318357599111055,0.856999999999999,NA
"11437-14","light",100,150,0.13,0.975746049095572,0.7887634616209,-0.0564959372779647,0.241175083019192,0.268622409148147,0.292159466462431,0.741,NA
"11437-15","light",100,150,0.12,1.02208730176517,0.811858809339459,0.208647049776767,0.188766774200251,0.278317866140634,0.2689920188276,0.766999999999996,NA
"11437-16","light",100,150,0.16,0.949459136380883,0.5278300382967,0.409566964020721,0.270890189951984,0.510400124435927,0.325624083735308,0.988,NA
"11437-17","light",100,150,0.15,0.764667518603338,0.652342337599389,0.472205300896316,0.211111244581882,0.222828993449748,0.268558476396118,0.932999999999993,NA
"11437-18","light",100,150,0.15,0.908427682509851,0.520163180325039,0.450572585802758,0.243506612332591,0.274354478474494,0.354144827601816,0.924999999999997,NA
"11437-19","light",100,150,0.17,1.07419004834577,0.517428086192084,0.20746941133044,0.240522688876753,0.277697565336345,0.313699450492817,0.887,NA
"11437-20","light",100,150,0.19,0.997983248107333,0.518187724652059,0.320568742940215,0.227991479135614,0.34614309689654,0.303131381882699,1.027,NA
"11437-21","light",100,150,0.16,1.08257806315642,0.944415008171267,-0.386900641867133,0.219122156890379,0.384850527679178,0.348406692509222,0.896000000000001,NA
"11437-22","light",100,150,0.12,1.13987899502131,0.188395589565286,0.0114378650571253,0.201207410891233,0.175807456933648,0.319833706212862,0.792999999999992,NA
"11437-23","light",100,150,0.15,0.904350612400363,0.171315798592623,0.58288776201585,0.23643605701701,0.332292567078724,0.303812500621304,0.890000000000001,NA
"11437-24","light",100,150,0.16,1.06060221027295,0.489661251968821,0.286079620790131,0.258459935089195,0.415831007295449,0.323231022888561,0.917000000000002,NA
"11437-25","light",100,150,0.11,1.06040460706647,0.524159929604002,0.443335446888419,0.202711768732289,0.422591707798464,0.319990007940876,0.719000000000008,NA
"11437-26","light",100,150,0.21,0.956096675373891,0.423608970539276,0.236376202001887,0.223553850914122,0.204761397843744,0.326153569447673,1.104,NA
"11437-27","light",100,150,0.21,1.06139542807007,0.500046412725995,0.241741697947949,0.195322296033348,0.155614677284115,0.281637739048165,1.05199999999999,NA
"11437-28","light",100,150,0.13,1.03963851727158,0.48897338849535,0.394897831271477,0.194687158854448,0.305059558457544,0.298390200881821,0.807000000000002,NA
"11437-29","light",100,150,0.12,0.866047278764464,0.321159095166825,0.42909761813745,0.249860988825769,0.389341603428694,0.323166564762016,0.86099999999999,NA
"11437-30","light",100,150,0.19,1.00155210161348,0.811212459266347,0.0889906319632841,0.26333229208333,0.487852247971061,0.306359099237033,1.08200000000001,NA
"11437-31","light",100,150,0.19,0.838938378606471,0.470206836977773,0.250110584246309,0.251251669464524,0.317423474415683,0.325001124713687,0.996000000000009,NA
"11437-32","light",100,150,0.12,0.761902351650029,1.43869976420316,-0.0347863967007682,0.242341771500558,0.518656153529603,0.317349549972633,0.657000000000011,NA
"11437-33","light",100,150,0.21,0.921257035212704,0.302843018090921,0.463164656025423,0.238442621400934,0.241583664475362,0.297530710641209,1.069,NA
"11437-34","light",100,150,0.17,0.775428899960781,0.715164853324734,0.256204208400737,0.198687159465762,0.238846671805237,0.268226891619958,1.027,NA
"11437-35","light",100,150,0.13,0.848349227610576,0.472048680776964,0.269207833945664,0.173679162354407,0.231086508606898,0.268100561716463,0.803000000000011,NA
"11437-36","light",100,150,0.22,0.84911977826374,0.509257896576571,0.668165164935389,0.244432318778228,0.370019537299035,0.340724468644605,0.975999999999999,NA
"11437-37","light",100,150,0.22,1.14102829627316,0.300220699596556,0.166023932353155,0.289471040865478,0.474924858725168,0.372763126301439,1.18000000000001,NA
"11437-38","light",100,150,0.17,1.20682212945509,0.250517219120044,0.18826343308966,0.248407938534227,0.278900825496593,0.319328618170568,0.946999999999989,NA
"11437-39","light",100,150,0.2,0.955504332248816,0.701831747238803,0.297051645172699,0.216780280214544,0.315100238484803,0.310590326327232,0.98599999999999,NA
"11437-40","light",100,150,0.2,0.916171487127636,0.27961107215767,0.412159766785235,0.218524667665601,0.185696687717259,0.284408784953785,0.930999999999997,NA
"11437-41","light",100,150,0.18,1.03128812471822,0.465129500134043,-0.113744461210182,0.208875832907803,0.263670378918012,0.295867213337544,0.956000000000003,NA
