"sim","censoring","n","distX","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11430-1","heavy",2000,"gamma",50,0.514,1.0087322772544,0.497514542386372,0.252045445744804,1.90974746803309,0.316664228012716,0.5235840950176,0.0958019910008295,0.0446334392388646,0.0992928160586468,1.79092189001091,0.384175835867976,0.52947658808454,0.086305142935312,0.0292851802532829,0.107715892147405,1.79282049438245,0.404528204956739,0.518037595049213,0.0881646712899941,0.0299351453742463,0.106402792773693,2314.243,2331.877,2334.616
"11430-2","heavy",2000,"gamma",50,0.5055,0.994251102935857,0.504287575849645,0.241093496617226,1.7365323963139,0.393511966444915,0.56937048095685,0.074899184218407,0.0265501167041974,0.0949374255609116,1.72120303435987,0.405295770334615,0.553679998179008,0.0732930915989726,0.0237452014476536,0.0981432298164808,1.71367471267783,0.407919184321874,0.561877969457418,0.0786203715597098,0.0247507219499427,0.0990341697952099,2320.593,2286.93,2239.849
"11430-3","heavy",2000,"gamma",50,0.508,0.944590993879049,0.512860097212853,0.304044876094367,1.81261094741908,0.359701108412982,0.646376445696421,0.103947343361775,0.0386272725549779,0.101172310404723,1.73490231909629,0.408180253434387,0.630518722986712,0.0820192043214696,0.0266297050063934,0.106244013172516,1.68430069207359,0.424195926593492,0.684496725256116,0.0907618066764965,0.0259354796349563,0.107979161766439,2236.96,2251.561,2241.938
"11430-4","heavy",2000,"gamma",50,0.522,0.978941300103855,0.499352326939179,0.290267650585368,1.85745273057384,0.367336036717574,0.509854648083398,0.104907112788832,0.0430402147300359,0.111285435027837,1.81216348375014,0.390042282765143,0.527841708783073,0.0892583961023612,0.0300487050587022,0.100416707297777,1.79465162607413,0.406090598790846,0.528661079336724,0.0859694589042677,0.0278769410171847,0.0999339355484847,2273.055,2292.186,2290.121
"11430-5","heavy",2000,"gamma",50,0.51,1.02698384726535,0.495131125293549,0.232532321977101,1.91135625622221,0.342040142989798,0.495963682369389,0.0987522423594282,0.0435210760652145,0.0880482587173021,1.86320313074789,0.374079788883579,0.485441440775604,0.0779636045459661,0.0287396391525385,0.102376528529188,1.848839896968,0.385908861091026,0.483833948029116,0.0829509024038332,0.0297492540573177,0.0918334214723974,2260.76,2286.528,2270.26
"11430-6","heavy",2000,"gamma",50,0.514,0.963811412357051,0.505909083413951,0.271545260222757,1.82741618203283,0.388322635821494,0.490553429243987,0.0878143082294684,0.0295646081436997,0.0953030222513226,1.80936432829575,0.396257486213644,0.498742429849161,0.0869807388389227,0.026536041335609,0.0987284536574399,1.79505301919532,0.405074954083567,0.510893914269662,0.0844139940346664,0.0282127647238571,0.0965583402150359,2285.035,2286.806,2292.259
"11430-7","heavy",2000,"gamma",50,0.4885,1.00410410991879,0.496233946284568,0.268705828258361,1.83773444939749,0.373710357616789,0.456452253976941,0.0828596964261298,0.0258988897266812,0.0973656634706117,1.82864147863961,0.382758773977319,0.4404453868613,0.079812515596923,0.0282054966774854,0.101811507517791,1.8193391428104,0.386166856202445,0.449365738542372,0.0870796780951521,0.0292631056842171,0.0866556124782172,2215.018,2224.828,2219.009
"11430-8","heavy",2000,"gamma",50,0.509,1.05428398056716,0.499380657257461,0.2234254362927,1.84567625218156,0.368853727546677,0.55132115087592,0.0809575735149571,0.0271745699308847,0.0889232016305679,1.83834817278019,0.372467116901155,0.547924089389361,0.0793986599096832,0.0271561832878933,0.098811315231492,1.84728842228146,0.37666492094151,0.545017828615984,0.0907190656064027,0.0285198966510234,0.10306329662148,2276.677,2279.82,2285.208
"11430-9","heavy",2000,"gamma",50,0.5115,1.01024944920494,0.503842775192643,0.229200079069685,1.78828677056093,0.381870400814055,0.535611178502573,0.0871209799285611,0.033183143771926,0.107245753233043,1.7455994395946,0.4080021510145,0.533848304192618,0.0875450152494239,0.0295020584431746,0.0996683567352512,1.71757927242724,0.42407641871717,0.546253978889662,0.078090276917686,0.0281685703249489,0.0878915798389788,2266.981,2277.519,2263.465
"11430-10","heavy",2000,"gamma",50,0.52,1.00345592540615,0.485668514412099,0.280498456753252,1.86656461030226,0.322602261893905,0.599810533571055,0.10651412755076,0.0421558432250065,0.101846323735991,1.85214796611954,0.334670047090462,0.591992411064452,0.0849579446801404,0.0291775503734071,0.0959754996779108,1.83757936266013,0.346615769252377,0.596947582761655,0.0895018805722852,0.0288347099179035,0.0936251312361799,2284.526,2301.517,2285.749
