"sim","censoring","n","distX","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11429-1","heavy",500,"lognormal",50,0.522,0.904790372529128,0.537475728040063,0.300838679878697,1.38836709911586,0.181050408903448,0.311625366209342,0.118657328104496,0.1105713093254,0.127112477247121,1.3924998686261,0.203210746893738,0.284039602632442,0.128863390929749,0.123902177047295,0.128346202325453,1.39283884028176,0.195370877618103,0.291289106083731,0.132080621541538,0.1221732377376,0.125364947109386,440.673999999999,443.862999999999,446.654
"11429-2","heavy",500,"lognormal",50,0.476,0.962900134226566,0.489232596111818,0.326916804720668,1.38559123417543,0.173267016094822,0.349509355283785,0.143833715616307,0.126183089297298,0.125064371504037,1.35892137236827,0.192086183118586,0.365716997780571,0.127079605079802,0.116228320420793,0.123856546034264,1.41471090091581,0.135667688802591,0.359027797187169,0.129006757857789,0.119278098922408,0.123827399498801,413.133,408.093000000001,410.645
"11429-3","heavy",500,"lognormal",50,0.494,1.09232754630999,0.463631667830447,0.217193804759388,1.36828821822268,0.285946226525092,0.254386469554003,0.129001411065569,0.103738863308717,0.123651870579664,1.40513373376929,0.258030321606861,0.235375854767243,0.131722313011004,0.110042173889405,0.132990450281169,1.40917653542382,0.258254824539558,0.220152324133963,0.152554485235625,0.111844017746783,0.126320861263671,425.053,419.878000000001,420.841
"11429-4","heavy",500,"lognormal",50,0.516,0.751701867740446,0.611355953814238,0.423452737500848,1.14692275953785,0.360837199683304,0.478790605188563,0.137137758824798,0.120862774680116,0.138119185957734,1.1501343764832,0.356770840334914,0.480523469377888,0.139985946957391,0.11974868865199,0.135390529130513,1.15984811639881,0.378052596097086,0.450972378266029,0.142696982156682,0.134674584261766,0.136777079216099,441.758000000002,438.942999999999,437.511999999999
"11429-5","heavy",500,"lognormal",50,0.51,0.915216970101485,0.572218257264063,0.358298009996406,1.23740913606494,0.355679068935487,0.389581831444306,0.116736021319462,0.0960882779136167,0.132570276437219,1.27009946106837,0.332794945980223,0.390006622035809,0.12670707725111,0.112521894826787,0.126661418610203,1.27293500306978,0.350336114116525,0.378479262387131,0.116890144100451,0.101708509742199,0.135508749241218,429.732,433.327000000001,430.213999999998
"11429-6","heavy",500,"lognormal",50,0.478,1.17692247946787,0.468717051525276,0.0688765546737783,1.48713057624224,0.254678379083082,0.0999098451293985,0.131601625207499,0.123337782246294,0.130044326696882,1.51621924623554,0.249083025659917,0.071519996219206,0.137800287164764,0.131267519791691,0.123100818399676,1.46705037184044,0.288624642584391,0.0806803132917152,0.143708502469618,0.135158167377622,0.139731723241002,414.285,410.113999999998,416.238000000001
"11429-7","heavy",500,"lognormal",50,0.512,0.972568762434127,0.503779011445689,0.221362390996258,1.30268539197466,0.285279543660573,0.245807176838685,0.13770399705201,0.119169772074149,0.12870639401564,1.2892162486524,0.300603459434591,0.232704133992547,0.129428423939108,0.115680301920083,0.141531732591294,1.29738349072753,0.294529415049893,0.232142859247074,0.11526739892347,0.11316731629504,0.133045629061254,438.710999999999,435.549999999999,430.121999999999
"11429-8","heavy",500,"lognormal",50,0.504,1.0772757938287,0.519150733626585,0.0261225436075229,1.49820401068987,0.192779299098294,0.0512136379534606,0.117197002220329,0.0985471447689632,0.137633763714196,1.5029491782342,0.193794494648481,0.0577030375824521,0.124004326190007,0.105500444172306,0.131973547695952,1.48999791456635,0.203116175132439,0.0714665017973054,0.130479565893252,0.110546848074359,0.125714735350314,427.899000000001,419.214,423.151000000002
"11429-9","heavy",500,"lognormal",50,0.476,0.966002331404133,0.473340550645182,0.286505958680716,1.33629436804516,0.215654784671643,0.288563419124476,0.121723482450475,0.106743233462139,0.125619135765394,1.29544331702435,0.22566612548515,0.28909997599499,0.121003887988863,0.103162154926952,0.116742602704235,1.30957787743938,0.228461841055056,0.293153949396725,0.121189216160248,0.107665704165153,0.110252278272932,411.766,406.589,392.704999999998
"11429-10","heavy",500,"lognormal",50,0.486,0.912923290027509,0.56940611114759,0.182030693544392,1.3428964530527,0.294138211332222,0.195529863826764,0.141650850194235,0.114417874485076,0.148581778358287,1.3146694379452,0.299521169014634,0.201883776672637,0.150302245042413,0.125979927386238,0.140921568781565,1.32418656050999,0.313720373396691,0.201059395904329,0.135096348182559,0.116318333098497,0.133474451741903,416.338,410.311000000002,405.708999999999
"11429-11","heavy",500,"lognormal",50,0.492,1.0934565642265,0.46847177180037,0.239128350044089,1.48384993129735,0.163410874627022,0.2543057152164,0.136322652402583,0.111650889557669,0.129829369433554,1.46545316281687,0.174065331402771,0.255324857481661,0.15160861124035,0.119289723143501,0.13511773101202,1.4519858372026,0.193244768575176,0.280937481021841,0.140191928160052,0.121195833615846,0.133050808510826,393.576000000001,408.764000000003,405.041999999998
"11429-12","heavy",500,"lognormal",50,0.514,1.16046919280925,0.526662334233294,0.159242707911644,1.50035337346061,0.318388488966472,0.17256357914214,0.129924954017358,0.113793801823537,0.119424351205683,1.48836093203048,0.298236727469374,0.215692375928396,0.135303647619087,0.111890678007513,0.139158007343359,1.4924797681332,0.306523377376394,0.220160233836805,0.123721288196126,0.11404761132656,0.121653441302198,426.541000000001,435.849000000002,437.050999999999
"11429-13","heavy",500,"lognormal",50,0.442,1.10582541946995,0.477799709210684,0.144442645132306,1.3995385419336,0.287315316812596,0.143388766960951,0.135246377362742,0.114941429460797,0.132033522342402,1.39785645718966,0.267444259483315,0.181643813957586,0.133737637560025,0.108398525761253,0.131830937101656,1.4084064233251,0.271092323498155,0.160548735013071,0.15014012490375,0.127970832158731,0.131509197665042,367.451000000001,380.964999999997,376.859
"11429-14","heavy",500,"lognormal",50,0.5,1.07261430945827,0.49448589906147,0.293203547352775,1.43306431051624,0.274663003748365,0.265579354154394,0.121310473229636,0.100695751022211,0.136820953834996,1.42742072705428,0.276463622895335,0.289583095249953,0.119830239782738,0.106899370368883,0.139862429312214,1.41341252578927,0.287418089625935,0.290262303658716,0.12498533571325,0.109995943972133,0.133186460112088,420.631000000001,424.223999999998,424.803
"11429-15","heavy",500,"lognormal",50,0.482,0.888542747348711,0.569373124228668,0.243774304074759,1.24145624644963,0.313300560779892,0.330430457189494,0.129206765723751,0.108927303111131,0.150878008776452,1.23233617963455,0.333344609670765,0.324955491676087,0.127109468214928,0.104191133953679,0.135348936074414,1.24974439663476,0.312755171928554,0.347206637040113,0.120520810709294,0.110399742686921,0.129527785452046,407.41,412.615000000002,408.157000000003
"11429-16","heavy",500,"lognormal",50,0.462,1.16847578196553,0.439158548860672,0.161521326774514,1.49670981584215,0.195788168708151,0.179113077777243,0.125519958653122,0.11667476357277,0.122400013625564,1.4850467825398,0.218127561400575,0.187984707240931,0.135178627265303,0.112272872180524,0.130798627419466,1.4837206455042,0.22041265874992,0.164143827786361,0.119460332048431,0.1186875637038,0.130048186521616,389.767,387.226999999999,391.004000000001
"11429-17","heavy",500,"lognormal",50,0.494,0.889858911000707,0.61826473177076,0.344795104132786,1.23347830833985,0.411493541606523,0.400410745236796,0.14741108094836,0.119950112859582,0.153048876961499,1.26176802821649,0.40441108691373,0.378647080993464,0.125848322803176,0.108095642501528,0.134523779682593,1.26632835696435,0.400467470164929,0.383142806556406,0.133337796828075,0.124915780607206,0.1351592993866,426.838,421.52,423.920999999998
"11429-18","heavy",500,"lognormal",50,0.46,0.950917800668764,0.534007375539517,0.347753482730529,1.26249908842828,0.320153758289173,0.366090247397733,0.144669202701321,0.130832120129021,0.133086601098931,1.25357813318556,0.351968489230599,0.365740544112814,0.129023513504687,0.115677126587241,0.125589596977472,1.24232274534049,0.353028244633547,0.3676406681855,0.134682646155452,0.127847579695148,0.121817020729714,388.951000000001,377.705999999998,402.855
"11429-19","heavy",500,"lognormal",50,0.478,0.913986597110879,0.571969284589178,0.313749913435602,1.27059617428752,0.330186227655701,0.370155721639608,0.132986555899067,0.117062763834039,0.12354897696716,1.30647423818202,0.315152739377111,0.354774767973184,0.137116279063897,0.113812856741423,0.134958249101357,1.27709662881696,0.349097435338982,0.357440574180369,0.126445300633678,0.110062694308015,0.129830268860338,408.906999999999,406.834000000003,404.328999999998
"11429-20","heavy",500,"lognormal",50,0.536,0.706653871263548,0.644294002745257,0.207470554176169,1.33132066587653,0.167827986854352,0.274750012669499,0.142357575579306,0.14099735004633,0.152398690910752,1.33222321215838,0.156596787203579,0.263226134251752,0.146107340158457,0.132590460401286,0.151842123282525,1.33047930509459,0.163845501160112,0.25684003663222,0.146575052668824,0.141868700656143,0.129889332826122,448.870999999999,435.461000000003,439.636999999995
"11429-21","heavy",500,"lognormal",50,0.508,0.911893771422269,0.535466402061704,0.377682192956931,1.25286251493036,0.301001169890706,0.43523296454399,0.131771255793936,0.10388200882424,0.127828306362229,1.26473368140429,0.292744810425826,0.46216522253954,0.133790635115923,0.119057166910657,0.126652837462191,1.27956778284813,0.302272873615388,0.407378311784036,0.13885935065557,0.115182952588299,0.130954526648454,430.564000000006,434.776999999995,430.669999999998
"11429-22","heavy",500,"lognormal",50,0.482,1.13802896751835,0.418099617618733,0.208502835959194,1.41879700732741,0.265603232294161,0.193124445990593,0.122616499507253,0.0982340842089552,0.123331666081227,1.40769553236844,0.260414603445147,0.232583277793812,0.130817512010711,0.114232255548859,0.132096745771301,1.38821395794753,0.276261547781236,0.234769907318139,0.142464877992207,0.117449032799293,0.127366068065704,415.938000000002,407.809000000001,411.404000000002
"11429-23","heavy",500,"lognormal",50,0.508,1.06309887519252,0.437626336528485,0.26325170007853,1.32149906333309,0.288369278556537,0.276995354666446,0.12435364794258,0.1211419564832,0.145219361480953,1.36556820209881,0.278553951044544,0.250597912905182,0.150098176015756,0.132900525927719,0.124743649279726,1.32858779478222,0.293900815664521,0.251955258641247,0.143681088677326,0.134916983636903,0.128925199042984,428.436999999998,431.449000000001,427.328000000001
"11429-24","heavy",500,"lognormal",50,0.492,0.944437088666531,0.521989113232989,0.330748454338425,1.38636704376958,0.177725806469509,0.399353883245867,0.123818430305322,0.106192231443519,0.130107904381584,1.40331883688003,0.164487413112208,0.396001410009185,0.11577416477318,0.105529857641761,0.118629083797672,1.38849786731737,0.170614316993017,0.404085482838077,0.136983989021776,0.120829352610571,0.130322511748106,421.567000000003,415.222000000002,416.987000000001
"11429-25","heavy",500,"lognormal",50,0.52,0.967971163860778,0.42140730856101,0.398597813608532,1.34985303887722,0.139092308890316,0.368075478883487,0.129179596009094,0.125512169822528,0.12173548070056,1.32431919668542,0.155792803382854,0.405576454234635,0.139766496408852,0.126436502656014,0.131690018731312,1.33385306008213,0.156865744155748,0.405881036747748,0.137008794954276,0.136835467989442,0.132377358082372,443.150000000001,448.513000000006,444.454000000005
"11429-26","heavy",500,"lognormal",50,0.504,0.955626272754584,0.576936111845813,0.233056381923268,1.36507632683862,0.295545971269694,0.257917337077376,0.133282027430536,0.111767958319399,0.126676409130036,1.35722188043122,0.289910800978494,0.267278024202548,0.119649805466437,0.106613489743048,0.141416596551817,1.33658879358775,0.326915207960916,0.255818025582457,0.138750236474045,0.120820597145795,0.135942135411639,436.091,423.337,434.381999999998
"11429-27","heavy",500,"lognormal",50,0.492,0.860782137568503,0.624784538065783,0.193389465044445,1.28891536754017,0.357941731008413,0.242225521468735,0.138029224923348,0.104743275929524,0.141570772951718,1.27991420673739,0.357282437190787,0.255370166906389,0.135798727607355,0.110634732111924,0.133979592217342,1.31136060656618,0.351363506253145,0.211305080528258,0.127537627824257,0.106236291413058,0.128504664354775,421.923000000003,426.328000000001,423.410000000003
"11429-28","heavy",500,"lognormal",50,0.496,0.938383467954673,0.582105936983954,0.137674396324698,1.37687093006231,0.256020777280454,0.167129703833556,0.120635076739488,0.121167304098886,0.128451643461658,1.3829592971075,0.259381449751237,0.18979976848996,0.124449609847891,0.126141044117869,0.136754269735124,1.38230013655612,0.250024054552433,0.212058398018268,0.139871554250791,0.125586647826827,0.135472578488083,425.497000000003,420.296999999999,428.042000000001
"11429-29","heavy",500,"lognormal",50,0.49,0.895297524749859,0.576806807761563,0.300771237222265,1.28138844618956,0.302692536807531,0.362250404437885,0.145188743029982,0.134594523242985,0.130753283880719,1.2932505626378,0.277739630936384,0.372158496965019,0.130092536703269,0.122545222563863,0.132949435378868,1.28277019620076,0.296962284163632,0.361328918797539,0.147080694446655,0.12477569779805,0.134162994190789,420.231,422.629000000001,419.302000000003
"11429-30","heavy",500,"lognormal",50,0.522,1.08709582058915,0.434796047987263,0.135820626895152,1.32902159449607,0.330229293827673,0.172837296763544,0.116696548003862,0.112084067220362,0.12735149339245,1.31168860859414,0.329165824383453,0.197560337438708,0.131450057859392,0.118462542604213,0.119549100907911,1.32488314936076,0.350974799326556,0.167942905246592,0.136001087588993,0.133904001212991,0.126117659650032,429.933000000005,426.875,434.292000000001
