"sim","censoring","n","distX","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11424-1","heavy",500,"normal",50,0.49,1.08966448722703,0.458373972558709,0.24156772383631,1.66161518516269,0.115769529760463,0.423373096668742,0.13607679390976,0.0946525746885657,0.121465167874119,1.65867784287333,0.1212414432004,0.406974646438181,0.153312342150147,0.0899861126711741,0.128751386787679,1.64874518512664,0.120113791607427,0.423823382948887,0.137585576390386,0.0943896894684997,0.130039812097223,355.281000000001,352.373,353.491
"11424-2","heavy",500,"normal",50,0.442,0.965784695991769,0.506706405842928,0.268989455862382,1.56297582926743,0.136807204217897,0.490050427300503,0.142453360490819,0.090804600457297,0.135234185264249,1.59589076313257,0.102976989623558,0.479425710314948,0.138537923188571,0.0935835798315913,0.12029444643897,1.58848614193451,0.113485467574357,0.476769468981079,0.136520956556786,0.0878691341906291,0.126039175929057,329.066000000001,333.513000000001,330.205
"11424-3","heavy",500,"normal",50,0.444,1.14489161950134,0.427483776867508,0.26281902849129,1.71538088450331,0.0684767789444549,0.434374412061842,0.142791697996526,0.0994276270861812,0.126146604363681,1.71003034019723,0.0718964595655458,0.441879198657489,0.14367172737093,0.0927767394989468,0.122967830271194,1.69206781698058,0.0676065418241705,0.488869894170704,0.13541619289906,0.0855460323874663,0.132555991174152,325.558999999999,325.107,323.224
"11424-4","heavy",500,"normal",50,0.492,1.15157225452335,0.378709521742385,0.305737996350288,1.5124571622878,0.180371622458532,0.458928109768704,0.131284854188727,0.0866182387236383,0.114953620360121,1.47483671851766,0.195050487736541,0.461221578376638,0.132007198804217,0.0807062643057219,0.119487099428054,1.47151922343786,0.207228115521969,0.458132854762088,0.124005089407127,0.0846928330871018,0.131108358318835,358.812,357.268,355.375
"11424-5","heavy",500,"normal",50,0.472,1.17357089771354,0.407319276083873,0.264133930746237,1.64744414724626,0.12776907655344,0.427670556316387,0.132790978072733,0.0902284485579841,0.134219659986975,1.66056539056662,0.126977414332887,0.408170255631275,0.170941716541788,0.0995270396022266,0.133544730218934,1.6605820243465,0.127613611286999,0.40091654266976,0.151708789840873,0.096799489299679,0.126683146809603,348.212,347.036,343.969000000001
"11424-6","heavy",500,"normal",50,0.5,1.30559203255084,0.401986514760216,0.21056114709535,1.74231568626323,0.140370519978333,0.385826445379696,0.119455959866326,0.0864077435326042,0.132065121407438,1.7572439144769,0.125844840314471,0.375182183975353,0.129395045505493,0.0981617631640924,0.130971168957506,1.77593040192871,0.122437291732618,0.364339644529423,0.142936274889911,0.102103565178188,0.123102768891937,365.906000000001,363.683000000001,365.82
"11424-7","heavy",500,"normal",50,0.506,0.931189088437719,0.58958380195643,0.2178902218288,1.59269179059514,0.190115663575618,0.437149433076937,0.143137515351923,0.0882845439833307,0.12688154480376,1.58942823817601,0.198514445880372,0.414722401082942,0.144419563363024,0.103085232350617,0.122610018443649,1.60505229220431,0.184214402814052,0.433764084473527,0.140040736010384,0.0887239766622179,0.139944561520383,367.305,370.290000000001,371.460000000001
"11424-8","heavy",500,"normal",50,0.498,1.25115454959119,0.35809682633594,0.271060038786321,1.62512988521748,0.159317076083842,0.402677322249182,0.147537759773334,0.105460818010398,0.140899882616412,1.57595357163663,0.176808497492201,0.42188472036905,0.142526831031258,0.0971504745306163,0.137492189006919,1.6042691446062,0.161451462354666,0.414280333355198,0.14206390509434,0.0981123655663017,0.147057837634123,364.438999999998,362.828000000001,366.958000000002
"11424-9","heavy",500,"normal",50,0.512,0.990767434248294,0.540669788306708,0.0756648879052853,1.63998206910994,0.169095474455734,0.263278120073717,0.133991964361569,0.0850921817905536,0.119198312959009,1.63325283193335,0.160713663754161,0.276879520684523,0.135126443697947,0.0878560057851206,0.127297448924959,1.65276584708227,0.164812657972121,0.2698820820352,0.129487856806712,0.078070207794235,0.110587505457397,372.348999999998,374.076000000001,370.985000000001
"11424-10","heavy",500,"normal",50,0.464,0.815451788164955,0.678628045421639,0.0621881522288842,1.79447527074476,0.0757653931711353,0.339611522753993,0.158140497602433,0.103293830026571,0.121022365383708,1.77623319628868,0.0771832220841692,0.339927512855872,0.1531162213971,0.101562002809971,0.138358744105483,1.80135513748828,0.0663409518943788,0.332205672386372,0.150425883344762,0.0977331164313384,0.132471984920833,341.386999999999,340.207000000002,340.764000000003
