"sim","censoring","n","distX","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11431-1","heavy",100,"weibull",50,0.55,0.870210831885964,0.597704093171355,0.251100434202474,0.905352078387203,0.421675874518723,0.297275701019861,0.245431603336415,0.463650528891569,0.282926533252656,0.933923359353382,0.399757185462247,0.284342147343003,0.24162973642459,0.416022750623833,0.291984780710523,0.912079715983409,0.551291713160319,0.304790458478267,0.258207689970391,0.56495130062666,0.285333389903786,43.607,45.28,44.839
"11431-2","heavy",100,"weibull",50,0.48,0.987483728314359,0.581814744324581,0.296015336051062,0.878866778947535,0.984675752429892,0.248179944836783,0.22475581973294,0.376295762787221,0.329195416985485,0.839670816139879,1.26179525911973,0.236438511936089,0.215650893554711,0.486382911498971,0.31787997361795,0.748477790469627,1.73235675733024,0.33347176272577,0.229079590941116,0.596642906969845,0.297847520816681,28.626,28.434,32.89
"11431-3","heavy",100,"weibull",50,0.5,0.921170267879365,0.340520035583716,0.301946757118516,0.893379999032251,0.497439245375635,0.334395076105079,0.233579432673626,0.506655691229471,0.326439406302661,0.87924069316593,0.578217044401746,0.35306044163702,0.232244652910905,0.536393882265206,0.266517676628745,0.818747022273305,1.00108117398345,0.378785552671671,0.249967676359751,0.814613137370149,0.280213732910308,24.542,26.478,27.5
"11431-4","heavy",100,"weibull",50,0.44,0.869442015411495,0.657999088288509,0.0519985239029452,0.704853516333172,1.3060845333494,0.136192027674549,0.23644122603151,0.476555357801739,0.317512804829935,0.739917134149169,1.23003202818526,0.147771408451864,0.224562970267013,0.514645098474336,0.261599370543303,0.688931903561767,1.47034998842112,0.212444365585944,0.241703915040253,0.638113037811914,0.307919795341159,31.863,30.9,29.414
"11431-5","heavy",100,"weibull",50,0.5,0.763038166805107,0.668408304066834,0.337527898339657,0.726434484988424,0.901277693542292,0.168459341598754,0.247272555673112,0.351385480022273,0.31735822697793,0.778977417074837,0.982725443875343,0.111468184697728,0.279064520604448,0.402573897573533,0.356600307904641,0.730048260164852,1.14741085098834,0.181620796296191,0.254199819455022,0.449332830720178,0.32271474333989,39.1540000000001,41.401,42.5700000000001
"11431-6","heavy",100,"weibull",50,0.42,0.863766308622918,0.319925449352381,0.329337306854489,0.819060867671868,0.476226908354703,0.310802553105586,0.23562843125865,0.676200364693216,0.294062049143726,0.889315144022479,0.387197547291052,0.301892069745854,0.259262872049652,0.762636996283569,0.317198312101537,0.868905889560145,0.279516563508529,0.331794495194177,0.297631005688558,0.985486684461962,0.324255859775494,28.427,27.1329999999999,30.3829999999999
"11431-7","heavy",100,"weibull",50,0.55,0.884582241912653,0.750769629384368,0.31148191971192,0.624817900528903,1.89781013490452,0.229532367346097,0.235630192451728,0.606697349705575,0.266646423641207,0.64028706390988,1.79832498781558,0.239471930521959,0.225817834216757,0.666345527869817,0.271539216539451,0.62669344966781,2.04009719599628,0.238976048612157,0.225972419552303,0.722120914383301,0.274766580815997,44.381,44.2800000000001,46.154
"11431-8","heavy",100,"weibull",50,0.53,0.944753590211795,0.588947274108282,0.365371632717953,0.955013246328879,0.599093228174386,0.43393839286534,0.216480241738888,0.401758699897225,0.316903135147122,0.901245211676468,0.831835253041997,0.509753589230012,0.244895317856644,0.540312011974536,0.292473544131208,0.92516231598815,1.0243520549343,0.573090818669276,0.259289082187917,0.774680193644328,0.301692562871612,26.604,27.337,31.217
"11431-9","heavy",100,"weibull",50,0.54,0.68139239029386,0.483955024233971,0.381231129157071,0.786318241318076,0.139956820604075,0.435873049763669,0.218819241314072,0.32840499186037,0.253359760079272,0.777876235834748,0.301303158250638,0.421083246321345,0.238049065263787,0.478193549914938,0.265023228309865,0.674971122869875,0.667411057985465,0.465297935922718,0.24636127946589,0.638076826797814,0.278204023529986,26.293,26.9749999999999,31.996
"11431-10","heavy",100,"weibull",50,0.48,1.07495496336691,0.431766001311967,0.256921761459099,1.07505119011657,0.837789531355803,-0.100563776655027,0.206861869645584,0.528463848418899,0.332834450969162,0.985595391498223,1.16944376066726,-0.0248978326027955,0.222963098432473,0.577603219860111,0.345013656417664,1.01338564621464,1.53256052696525,0.0472972168960247,0.21867141431987,0.790867028186268,0.309539025736736,22.309,21.874,23.3629999999999
