"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11429-1","extra_heavy",100,0.78,1.06894046014126,0.546168788425898,0.0863882545174954,0.903223652711588,1.82649005371627,-0.0411880258719712,0.206301830615131,0.861011709844346,0.237186033893667,0.832365636047424,2.87245187584463,0.132622482245944,0.244818804899585,1.46207370453972,0.206513776837558
"11429-2","extra_heavy",100,0.8,1.15066709031706,0.529246428896455,-0.0338840600833705,1.35395779275667,0.00953378837584965,-0.177202320495597,0.158029060255532,0.0166179342887417,0.444669802233137,1.34189685614228,0.275506278475996,0.0319656061639749,0.282135654490256,2.28174516097223,0.242555424188626
"11429-3","extra_heavy",100,0.79,0.80915973271002,0.716673123375157,0.0686012762764832,0.96308780117486,0.742460088787987,-0.215838949498836,0.179520604794533,0.553754596196825,0.3931008399745,1.04098785927943,0.415024622214315,0.204839105152796,0.259338627365598,1.61155240653736,0.231293944793899
"11429-4","extra_heavy",100,0.82,1.0464248080093,0.578432870376701,0.0110207013003502,1.11318810919424,0.00631297487395017,-0.341305685891676,0.148792937285666,0.0038749488512645,0.385685678719391,0.851644409036279,2.45838392038112,0.12025485684306,0.269514703195913,1.6307851181683,0.214534656248396
"11429-5","extra_heavy",100,0.83,1.14646264452107,0.429069187966584,0.215998669819422,1.32146081685707,0.00843037610197396,0.292670852681014,0.152106852103656,0.0403873861153704,0.52761774169793,1.16307443370954,1.38523235729809,0.303005241316151,0.29508907019042,2.16579761047615,0.260759264425043
"11429-6","extra_heavy",100,0.84,1.22958166250575,0.221598082690489,0.382509139407432,1.30473306363539,-0.00771401276368774,0.560761226109364,0.149130543987568,0.0327670203374466,0.489828715571704,1.18591100993685,0.69296083938221,0.358755977083787,0.248371120257811,1.20168713606878,0.260732647756779
"11429-7","extra_heavy",100,0.84,0.856855457239075,0.56543740702802,0.530671905265939,0.933505662198861,0.324010229719729,0.292405601517656,0.171621338945756,0.200535644000325,0.333842128556751,0.224112970584348,8.16075740019095,0.369259856354108,0.290727465836238,2.47548115891589,0.23051626695506
"11429-8","extra_heavy",100,0.82,1.17482865290523,0.335996890228595,0.265667898690098,1.23693804760709,0.0385988948637025,-0.884541793998424,0.144414781524128,0.0128332598393347,0.449634730370725,0.668420807507974,5.35718775746973,0.0727076381354535,0.276087231342466,2.02453425438658,0.226796675389289
"11429-9","extra_heavy",100,0.82,1.0887766967102,0.5145792861848,0.243438989906437,1.1799344613804,0.0183224051040661,0.350218811676591,0.150838556719263,0.103103853248656,0.360618956525508,1.03304379936874,1.03887830916382,0.318591570238415,0.238512115222153,1.27767124075778,0.219509333220991
"11429-10","extra_heavy",100,0.85,0.734353291765532,0.629020501707279,0.540886397450144,0.846130090440755,0.017259031300431,0.0100432777163391,0.137296092290357,0.010036352297563,0.482370839843788,0.659192221117721,1.43868228055895,0.661914896568679,0.263664287921512,1.5306351649223,0.227535426472171
