"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11430-1","heavy",2000,0.5025,1.01127649448584,0.459157409727735,0.284497147771083,0.983866425052917,0.544015733758574,0.287381505838266,0.0374771583327563,0.0657502037528694,0.0482162989427797,0.977380809703318,0.571634179622514,0.298693199952825,0.0380931496672397,0.0701965927373537,0.0478516395715035
"11430-2","heavy",2000,0.4695,1.06979214559814,0.505219491254045,0.182699613784396,1.05668500100847,0.537688109189685,0.201582074231733,0.0378957373684261,0.0636269956669219,0.0493778012899981,1.0426361303371,0.602205413195384,0.213096830094228,0.038705038998446,0.071064799653296,0.0489402716601617
"11430-3","heavy",2000,0.491,0.964313984146691,0.570300987056404,0.289667586801858,0.967474063044179,0.569257127719726,0.272615718879092,0.0381349883725125,0.0582186712868322,0.0506235334996231,0.952293144542492,0.62398717406459,0.282578632124194,0.0388628368816149,0.063612677840133,0.0502230501871376
"11430-4","heavy",2000,0.486,1.00713937668352,0.500984471196334,0.210596035125273,0.987276932789408,0.586743633294348,0.215820841214353,0.0378171334184902,0.0700651942666339,0.050228118858489,0.968848098457936,0.665897013195657,0.230257902027004,0.0389602220213159,0.07920249367618,0.0495957951769592
"11430-5","heavy",2000,0.4965,1.01521004030104,0.47094692298467,0.241281832298866,0.986512643012943,0.57950527162688,0.209016278635501,0.0376160254087367,0.0660590662494929,0.0492730131327598,0.967032720834645,0.664083281727085,0.225022065464917,0.0387904837341398,0.0757134277782491,0.0486263280571295
"11430-6","heavy",2000,0.4965,0.963702905464012,0.503515948633895,0.279803854554129,0.978284326851147,0.439922193905341,0.286897127476868,0.0366585207203456,0.0572383029320179,0.049858569028667,0.974015528038668,0.444234673277237,0.291998965737625,0.0369089143573322,0.0577799196572447,0.0495933972867255
"11430-7","heavy",2000,0.4995,1.08368201339794,0.540993103175576,0.141875907295071,1.08553115538671,0.552778769821142,0.156192770051887,0.0390056855983245,0.0660616680963958,0.0513163837055184,1.07588354726754,0.593684126885859,0.173330045218443,0.0399005443398436,0.0726099593000647,0.0507668320487696
"11430-8","heavy",2000,0.47,1.01013435743638,0.446801213943328,0.232433057900352,1.00149349002424,0.473428396645796,0.2331938942535,0.0372304380193909,0.0656382082408949,0.0498090028139999,0.991133899877802,0.520423649870055,0.24642382176501,0.0382164678136873,0.0738479522572303,0.049336103035733
"11430-9","heavy",2000,0.48,1.03004049289794,0.513590877822749,0.259004658604131,1.0112933887915,0.600232939210338,0.254299472152624,0.0377170549203565,0.0670445443201903,0.0489757095374886,0.996378887825332,0.666059640197488,0.266261659653094,0.0385700292128765,0.0744748581741063,0.0485271990203423
"11430-10","heavy",2000,0.489,1.00707253815104,0.553712456541553,0.219670033727491,0.990327807138642,0.54713427220494,0.207951696886082,0.0369915471111095,0.0535979392218646,0.0484538027686265,0.972099450626871,0.62800299479616,0.222563649601,0.0378310938589121,0.0613052361996149,0.0479784140506064
"11430-11","heavy",2000,0.4785,1.07020494477762,0.483298336076226,0.26078947833273,1.0691555907282,0.490993259234339,0.258067868844143,0.0364433474189887,0.0594671850979141,0.0478712490537192,1.05372062949988,0.560340203435645,0.275260639413925,0.0375646835415046,0.0688854196152187,0.0472894962176865
"11430-12","heavy",2000,0.497,1.00925815834987,0.450820188024991,0.269975642769476,1.01307167956747,0.433315111035117,0.310220032888476,0.0371580165854922,0.0655316631636423,0.0467327547990176,1.01042028667997,0.446039715260589,0.313875667815821,0.0374353981461334,0.0677704553237274,0.0465851865123567
"11430-13","heavy",2000,0.491,1.01891798672956,0.454422873486748,0.286228468395339,1.01176864365663,0.450843496486004,0.293103399832618,0.0380152480184797,0.0627627971988436,0.0487600905563825,1.0016393923091,0.489405050400199,0.301258704753899,0.0387215819149332,0.0679792539269924,0.0483784871855484
"11430-14","heavy",2000,0.4845,1.00363870028687,0.530278036104348,0.188826512534847,1.0081931621437,0.501817801820214,0.174277213153836,0.0374509021187246,0.0606688379791762,0.0504579492722482,0.993526133228088,0.565476696536311,0.185569073629863,0.0382706225553161,0.0680410315188359,0.0499238701922173
"11430-15","heavy",2000,0.474,0.957715025922522,0.484076092813927,0.28565112646418,0.970526333888322,0.450551246546699,0.26076334845517,0.0356665100574932,0.0531469383746764,0.0502127326078095,0.946809203790718,0.55525413783408,0.284543539503127,0.0371572200367446,0.0668360253384351,0.0492981071827145
"11430-16","heavy",2000,0.497,1.03423745295109,0.532755710731413,0.2563642982614,1.02966677918938,0.545491764172034,0.243154715920166,0.0367862504883543,0.0561655818606153,0.0517676806377546,1.00500950692802,0.649040121490593,0.275307675207511,0.0382401795386438,0.0685596067239092,0.050663328814843
"11430-17","heavy",2000,0.494,0.980934194027812,0.515847590442262,0.236923146699096,0.958092103702751,0.620950624546117,0.249023109329022,0.0380521465434729,0.0734984266970103,0.0488186512028879,0.951474953963744,0.651101765124321,0.25765904285635,0.0385408918905577,0.0775038980518213,0.0484994572228232
"11430-18","heavy",2000,0.495,0.978917634396509,0.4558032879546,0.328051884610484,0.962950797557476,0.509921360039837,0.32012276843128,0.0368062140979297,0.0623873459791235,0.0483665551748423,0.96058418031832,0.515777883481956,0.322949297462881,0.0370144144309168,0.0634249126703277,0.0482801032504446
