"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"11431-1","extra_heavy",500,0.794,0.971085072541944,0.543869388963561,0.276210335908432,0.92474825414687,1.23931023515067,0.256122362390226,0.859419507229617,2.00934800196138,0.332040182284611
"11431-2","extra_heavy",500,0.828,0.9318884361154,0.584369005217597,0.162651425075625,0.935104610860677,0.558749307273674,0.0163095936817318,0.781547313421653,1.99461558594135,0.2324866488879
"11431-3","extra_heavy",500,0.812,1.00130828750419,0.423473363101987,0.351988806747898,1.04168414781448,0.312357457297258,0.388117348027099,1.00615682131037,0.812042896027468,0.449143425359622
"11431-4","extra_heavy",500,0.824,0.926128690176861,0.542253452908807,0.272119541280873,0.781650943636522,2.09511323794842,0.27875286252487,0.714462591175457,2.75769278358964,0.382858024287585
"11431-5","extra_heavy",500,0.814,0.955099871121345,0.469085035686791,0.346362721977926,0.946490574504056,0.662595630609688,0.372541919881466,0.888416499964061,1.51918845232288,0.438613724596808
"11431-6","extra_heavy",500,0.814,1.04053341809535,0.484422552718165,0.160520084415095,1.01865482581319,0.378877924473532,-0.0200685623632787,0.889006749342446,2.22350506479869,0.208419658184312
"11431-7","extra_heavy",500,0.812,1.02090296334807,0.390574091032309,0.28697715705144,0.959029522201939,0.533748754781661,0.233145429118188,0.881697892668988,1.5164790360958,0.330589110246552
"11431-8","extra_heavy",500,0.822,1.03917407427171,0.490053222471282,0.275029604967373,1.05028704707353,0.215073059093361,0.261697196941977,0.960806721400105,1.4118118602691,0.3573329996407
"11431-9","extra_heavy",500,0.806,1.03712628051028,0.589584987516258,0.195800776691527,0.937698336607033,0.702528623678042,0.224947382885257,0.878257998052538,1.69884104976168,0.314212788821011
"11431-10","extra_heavy",500,0.81,1.07844023817258,0.526509959963525,0.173246750090895,1.02452645500401,0.290450257259484,0.178270612554183,0.972990876743709,1.40305957725578,0.292015355333995
"11431-11","extra_heavy",500,0.804,0.993533158887994,0.547202326806498,0.214480701225859,1.11022008945928,0.265910562412782,0.374547681997167,1.09679024516938,0.371054955937537,0.37656896464088
"11431-12","extra_heavy",500,0.806,1.03419385332235,0.47800440638091,0.257767142240676,1.16817036158369,-0.00215704033520395,0.397894917275457,1.16318670985046,0.0278036796675964,0.395267677241771
"11431-13","extra_heavy",500,0.846,0.969516749679539,0.487554810280134,0.27072755393415,0.916081872420762,0.68100425022736,0.330610125437462,0.858316811561551,1.58704040236231,0.387752905968288
"11431-14","extra_heavy",500,0.828,1.10851766879549,0.43101365353783,0.101701001464489,1.14052526274209,0.228057787733942,-0.19857626722779,0.966034801063096,1.34536920810369,0.0761665269245059
"11431-15","extra_heavy",500,0.828,0.996469064400739,0.582054578680577,0.258311853807187,1.05765900402672,0.359648858462759,0.174931769251722,0.940597255851464,1.51781585632599,0.339349667112447
"11431-16","extra_heavy",500,0.77,0.990901023155085,0.373344787802358,0.441558338685888,1.04840828215822,0.203938446527206,0.49059947530269,1.03916463051805,0.42589052587456,0.544136665101467
"11431-17","extra_heavy",500,0.836,0.920143436518377,0.602700280939005,0.226140703162769,1.01922752949525,0.121513548327194,0.131606101733809,0.785635281966933,2.125142336481,0.295278207639522
"11431-18","extra_heavy",500,0.804,1.02525423769292,0.56486243880779,0.144631908591244,1.06833034458904,0.683380479760159,0.24813177792509,1.01655563796003,1.22371911641927,0.294078320923025
"11431-19","extra_heavy",500,0.824,1.03886930841043,0.492870825417517,0.179571022528471,1.06873129165664,0.463283115018312,0.192803873464015,0.996111859706518,1.05884262093046,0.26819366014679
"11431-20","extra_heavy",500,0.77,0.9592020513666,0.571321201087996,0.194100623758952,0.891600528781597,0.974913499184644,0.126128149080372,0.745488157522551,2.71922036028623,0.27294232046667
"11431-21","extra_heavy",500,0.824,1.06590722499008,0.464387898750512,0.135835520574792,1.09384086036199,0.0691137928053449,-0.118282986648032,0.916055281909355,1.39169124264893,0.193574163057429
