"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"11425-1","light",1000,0.169,1.03543986099824,0.487974732692957,0.188269902215802,1.00986713657878,0.567268149873004,0.193718844818867,1.0020417598951,0.5972672668368,0.199182072562482
"11425-2","light",1000,0.143,0.995442751605202,0.41729335041284,0.337851589260286,0.982510739055781,0.449747502789542,0.337851576148748,0.978135598189518,0.46646529343856,0.338719001313448
"11425-3","light",1000,0.163,0.999278301835669,0.505629526226928,0.242400368224275,1.01189723849881,0.475539489191197,0.238889707223228,1.0102055255085,0.481664450428215,0.24024167560339
"11425-4","light",1000,0.162,1.05619402074391,0.530737987096472,0.209939433072348,1.07491238517054,0.460599661158216,0.224156484920791,1.06301304205677,0.498022214590925,0.223904406035089
"11425-5","light",1000,0.148,1.0337591387432,0.439193445388633,0.306163349799828,1.01888805706722,0.500610562756451,0.282638584888379,1.00787243706885,0.542412863582319,0.280963381696823
"11425-6","light",1000,0.18,1.01053572651735,0.560922497626148,0.24557165263402,1.0062219997054,0.55868866377084,0.249174774591179,0.987111341406646,0.619551696499307,0.251065811103309
"11425-7","light",1000,0.16,0.979569891558433,0.564691121576555,0.270270807103736,0.993396543855402,0.51625615879031,0.271969767250395,0.984529483477355,0.546636419183478,0.273727398531754
"11425-8","light",1000,0.16,0.972857933992742,0.577744502301042,0.229680390227894,0.960678842330068,0.611627774349653,0.226234248005257,0.9490782490375,0.650540558561515,0.23064893411904
"11425-9","light",1000,0.181,1.03823854110818,0.435559447561217,0.218632596155913,1.04395433996255,0.430103419313618,0.205230896384494,1.03397234248481,0.467566753265637,0.206612183440527
"11425-10","light",1000,0.165,0.984424168232466,0.483895982785555,0.166840309980826,0.98987873687602,0.474122751915653,0.16329430184954,0.984309614825694,0.496896706957097,0.164695808915257
"11425-11","light",1000,0.147,1.03297540016099,0.508303297315217,0.236851600522425,1.03851196333604,0.462270775659214,0.247543272733623,1.02560254171628,0.505102319447687,0.248357492809912
"11425-12","light",1000,0.164,1.01166371142622,0.466490914237609,0.202979122028007,0.994585951821573,0.516912276593924,0.171571151661772,0.985574528584683,0.550137411915516,0.172087438129873
"11425-13","light",1000,0.165,0.891036997317888,0.530475321060756,0.383182774022372,0.892937044379195,0.51413258274016,0.385380131446554,0.887208721135654,0.534925733806978,0.386100128293257
"11425-14","light",1000,0.173,1.02389743588096,0.509485619986289,0.0926430869065138,1.04343509318934,0.422269180058387,0.108169236368355,1.03551734146927,0.45240057160059,0.111157646061695
"11425-15","light",1000,0.163,1.03986275881874,0.486246735178188,0.215819995042741,1.02525583157009,0.526215223664265,0.210676049053043,1.01882234166785,0.551650376061017,0.21590665345614
