"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11424-1","light",500,0.188,1.02751450709635,0.478267735783292,0.223904337703204,1.01389338310148,0.52313642054134,0.206141108319694,0.0678619445291624,0.0793295222195661,0.0937729359496802,1.00272854482596,0.565097242028947,0.208749014583326,0.0687676406756127,0.0877503902169837,0.0940105584293175
"11424-2","light",500,0.156,0.987520875397112,0.517445725259003,0.198833774369063,0.996302642833391,0.499631765805264,0.195156755351243,0.0700577035690056,0.0939337034101948,0.0972010213123287,0.990737706372028,0.522317742058962,0.194131673594518,0.0702460897217346,0.0967676502916903,0.097049163293304
"11424-3","light",500,0.18,1.01042186479795,0.426011504401785,0.252524172551938,1.02205622014524,0.437425453700616,0.23499544926497,0.0755151760166144,0.0885049531764387,0.0969537172033795,1.02077238681649,0.443544042850529,0.237704273255715,0.0758268580483437,0.0912194485442563,0.0969815424910437
"11424-4","light",500,0.176,1.01893599438971,0.536880378703244,0.188992172556275,1.03705392773529,0.468321989786902,0.184365452535888,0.0682667651517135,0.0758824878887924,0.0969993807837314,1.00618766811058,0.58256624728609,0.188594634148646,0.0702949131678907,0.0963230930076096,0.0970812567025902
"11424-5","light",500,0.164,0.980144589215075,0.491608829758142,0.338295941059103,0.976843024957194,0.466221794711681,0.367071260756068,0.0670835398648524,0.0666490350721227,0.0949541880250494,0.952868899450952,0.550974505748681,0.370056140072698,0.0684723983649419,0.0806140512148695,0.0951822399688195
"11424-6","light",500,0.158,1.01496942104473,0.490884851336329,0.415139395306186,1.07134125920099,0.289079776694619,0.420158807874198,0.065389804521121,0.0592871599616176,0.0967836853277756,1.03123457099753,0.423721533984188,0.419934303625978,0.0675737394741075,0.0818605355505518,0.0961333069584204
"11424-7","light",500,0.138,0.972595745702322,0.49559810955703,0.231060554542831,0.981121332718505,0.469229710259004,0.269041936296562,0.070025605883021,0.11292484110213,0.0970186094754522,0.978208348742914,0.481946281164638,0.273696292609697,0.0709287089394497,0.121306297663628,0.0971258672314283
"11424-8","light",500,0.186,0.957340798439087,0.587962186700959,0.244559655064141,0.968262305808655,0.606534277871426,0.242721208717099,0.0704819136771297,0.100836913662763,0.0966808434766701,0.966802083123746,0.615388533529027,0.246414193644762,0.0707513199746062,0.103331004898594,0.0966488666917222
"11424-9","light",500,0.18,1.05650251843843,0.539873227707041,0.145919962244867,1.09172950546181,0.440345584196425,0.149041404821978,0.0667115143361302,0.0758494802091112,0.0960393542813258,1.08379346148724,0.473827916057461,0.149598012959671,0.0671561247438791,0.0816791043895872,0.0960216565241921
"11424-10","light",500,0.176,1.0457558535884,0.508245619390731,0.166698066101101,1.07631140455043,0.393317115432309,0.166708724912235,0.0636486576089171,0.0524398753839569,0.0888446555646901,1.03486883034852,0.531083524324611,0.170037753595533,0.0654631676645087,0.0707930008934192,0.0887535004391279
"11424-11","light",500,0.212,1.01948381447597,0.431908694704037,0.286265854103588,1.00231739305381,0.456853898104779,0.310291422298468,0.0681713994904245,0.0742752433444169,0.0915779871850408,0.995668786957575,0.480196932957965,0.315499820384936,0.0688230522930943,0.0795025528024643,0.0915759935008107
"11424-12","light",500,0.198,1.04134068518414,0.402375929724206,0.312169447348685,1.05949503398447,0.33146511665453,0.294647143783166,0.0632383203970562,0.0595283522401681,0.088324687840336,1.03742984867872,0.405647734049777,0.290573179447762,0.0643021533289758,0.0715812574942354,0.0883189136006353
"11424-13","light",500,0.18,1.07963471211852,0.536940685805918,0.219153526974151,1.09369202807147,0.486836300428918,0.220584947438818,0.0682622837501451,0.0704860926920651,0.0965536404927348,1.07088382920839,0.564511959022084,0.212351572866891,0.069119230209172,0.0803025299362291,0.096608615845808
