"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","conv_msg_aq","time_tr"
11623,"light",2000,0.1675,0.968852582706191,0.552398644016563,0.238536506422446,0.978196418247381,0.513349100176174,0.246897816700379,0.047095535105852,0.0523989287327455,0.0671249371504332,0.969013512945865,0.548316024227959,0.245380176472456,0.0476674619161666,0.0573782932022599,0.0663509023859542,69.2269999999999,NA,0.142000000000053
11624,"light",2000,0.172,0.97325482394022,0.504675958024833,0.280170474236953,0.98468970467998,0.457988343032492,0.286053958951219,0.0500854200583955,0.0544260988440068,0.0683369086655742,0.968852832355756,0.50655209025446,0.283474404751302,0.0494820722357974,0.0586748401597478,0.0668202042528311,59.981,NA,0.146000000000186
11625,"light",2000,0.1665,1.01877624944263,0.498973695354447,0.238033789162232,1.01344902784228,0.514579140890896,0.235577942475233,0.0478077314223955,0.0577077837607508,0.0668865373530225,1.01202977558567,0.520381305330681,0.234308593763301,0.0475994575685007,0.0585602553324532,0.0669679362307969,63.8889999999999,NA,0.143000000000029
11626,"light",2000,0.1695,0.983415704902472,0.53192123447588,0.211243682924628,1.00202429672526,0.465358661105556,0.228120743736737,0.0474769730093261,0.0549635472202774,0.0679212403875312,0.993128657344408,0.500954859972068,0.225432480379258,0.0481998528588805,0.05761642133392,0.0675291793477893,62.8249999999998,NA,0.143000000000029
11627,"light",2000,0.182,0.948469907397068,0.568849109741927,0.247819259152753,0.951301752503365,0.562215712513775,0.222738686826048,0.0500776359383722,0.0587205964663375,0.0680547245008898,0.944331072702965,0.586764437034355,0.217581032408875,0.0511004297313941,0.0646134230964526,0.0706841968843872,74.317,NA,0.149000000000115
11628,"light",2000,0.1765,1.02004858479364,0.516038212241291,0.228297703581374,1.02262718617832,0.528028142165937,0.221604027560964,0.0510755984626064,0.061768685694832,0.0683657500161071,1.01117685562819,0.558466296852551,0.220808416836543,0.051455648146442,0.0659572706968414,0.0671681011229869,62.296,NA,0.145999999999958
11629,"light",2000,0.1745,1.00004782902221,0.462639842282687,0.304436380823346,0.984014491138763,0.496582387741787,0.304845854669687,0.0476863959988221,0.0586252358571017,0.0639716703090059,0.979973503866086,0.517000281994822,0.302719007586535,0.0491629569220987,0.0624565564596778,0.0650579888281508,69.7759999999998,NA,0.150000000000091
11630,"light",2000,0.159,1.02590048411599,0.477631435423072,0.277509814051262,1.02787973562771,0.474579462232002,0.282288627524015,0.0486035893250281,0.0611137252651533,0.067089039563684,1.01810598017997,0.502311670407077,0.285307762883553,0.0489557414285789,0.0669411758275756,0.0658731354145118,53.723,NA,0.139000000000124
11631,"light",2000,0.1655,0.964072630366629,0.459129988454283,0.280933079317478,0.96285794622234,0.467026279868296,0.279864628431469,0.0470791909251384,0.0597157860488012,0.0660051157632917,0.958674823980706,0.475949981073116,0.285362985393917,0.0489804665918406,0.0608354521578375,0.0665459626963442,64.462,NA,0.142000000000053
11632,"light",2000,0.163,0.969873894848661,0.532118305779211,0.254716407082132,0.979801283242895,0.471560559549883,0.256358194940209,0.0481421953952925,0.0484172048452697,0.0670594645675701,0.967224513727558,0.521016083210362,0.255578338633573,0.0492748032181884,0.0550438806148023,0.0665577870373597,88.5640000000001,NA,0.142000000000053
11633,"light",2000,0.1675,1.00972532705567,0.511341665104245,0.239703265013395,0.989709446121043,0.574633503546308,0.233375174350036,0.0493822390087492,0.0692220648362335,0.0666233157277442,0.986053598907679,0.584457490038729,0.233930027672491,0.0485282860767067,0.0688760577007623,0.0669890554661505,62.2270000000003,NA,0.141000000000076
11634,"light",2000,0.183,0.993625541755733,0.46740223779661,0.273674216040015,0.996137614190422,0.456981397061847,0.267565261538602,0.0487866112579736,0.0567200995343798,0.0668843907680912,0.99444185254927,0.466471872769231,0.268655739057422,0.0482425694074521,0.0579453811038324,0.0673322739922123,77.2269999999999,NA,0.151000000000295
11635,"light",2000,0.1685,1.00102619995458,0.482180009649327,0.298896228181548,1.00683121500782,0.448462472501946,0.304323799905665,0.049023832838502,0.0567275339695458,0.0662103433058143,0.994104853133298,0.494135783207275,0.297894856329298,0.04902685331039,0.0610580435046847,0.0665446457325138,68.0430000000001,NA,0.14200000000028
11636,"light",2000,0.1745,1.03101602462197,0.458439015979196,0.221073445497285,1.04476490278031,0.409234665238902,0.226397225670851,0.049454383561898,0.060391718829519,0.0685865552723439,1.03379828569399,0.441184051429729,0.230283006704653,0.0495291344129034,0.0651153422720441,0.0680499553375778,67.8919999999998,NA,0.146999999999935
11637,"light",2000,0.1705,0.999647210364894,0.52377468646768,0.233703180922891,1.0134989077411,0.471303809479815,0.230484336877695,0.0473965541393205,0.0538474159294034,0.0650246950937174,0.995443661648063,0.534807088519712,0.229063843035939,0.0490377458877314,0.0602674330582513,0.0659060266643269,61.9629999999997,NA,0.146000000000186
11638,"light",2000,0.154,0.982503449318456,0.459858500432692,0.287700373477491,0.997985487177491,0.416015132741254,0.299987206587002,0.0469948483270322,0.0602482397677786,0.0663953027281316,0.990297258562209,0.441000315655531,0.300361780799642,0.0480220654267853,0.0651839111927145,0.0656098602342026,53.0799999999999,NA,0.134000000000015
11639,"light",2000,0.176,1.07095098861043,0.495715104416853,0.1387562302643,1.06053328816257,0.533813951353298,0.128176683452605,0.0499468086099516,0.0639244961530603,0.067774858692635,1.05550371530686,0.548210463347143,0.132545235195212,0.0492417561751311,0.0660917311007792,0.0670458069547229,57.0879999999997,NA,0.145999999999731
11640,"light",2000,0.1785,1.02498112621744,0.475682068928806,0.221162443427713,1.01628097111523,0.50566620340708,0.228532778523306,0.0471860083565822,0.0608241234745471,0.0642974543621775,1.01403690928895,0.515621582167453,0.228359479120237,0.0474077945762305,0.0613729406127402,0.0635426206987024,63.4580000000001,NA,0.146000000000186
11641,"light",2000,0.1615,1.02965461233228,0.478161367133443,0.22660137423642,1.02560925181849,0.497750931808993,0.241874388182079,0.0483828067138912,0.0667116106637865,0.0639786713868722,1.02262650003231,0.501256974324246,0.243890565805064,0.0483141923355764,0.069949896583533,0.0638444485848016,49.549,NA,0.139999999999873
