"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11423-1","extra_heavy",100,0.84,1.0248460865611,0.326754213357616,0.459904748383452,1.32825809045421,-0.94582148934009,0.626237721012951,0.328675624651115,1.26212200748684,0.268154147354225,1.34868973507807,-1.3169505313802,0.609401387341695,0.341322684284681,1.71765834297094,0.260003542401073
"11423-2","extra_heavy",100,0.81,1.18282870326493,-0.0943154083429033,0.330139109868633,1.09529512209602,0.0631618125480431,-0.0199540498863758,0.194190569660344,0.0788686138941916,0.474258144228636,1.16035638091861,0.0256872298951784,0.314868932708044,0.352488909204519,3.09547196996947,0.289614245016844
"11423-3","extra_heavy",100,0.81,0.876804913898347,0.295159322201011,0.627623416597702,0.948924559171224,0.0040858358429854,0.590777094080241,0.174925786212788,0.0171245030940626,0.864659511026626,0.752128584638203,1.67877849066417,0.632691129350068,0.336639072275209,2.20235936048532,0.332144419415845
"11423-4","extra_heavy",100,0.84,0.842103724257064,0.401173840482196,0.475548231404886,1.06837354520974,-0.23019313851847,0.742672161800663,0.349204813087997,0.486445115118288,0.415394343579476,1.18951010141589,-1.41981119548029,0.633975790719322,0.474541511375442,2.41990906401947,0.306171663881114
"11423-5","extra_heavy",100,0.78,1.26763070959329,0.267482940461752,0.219369941455155,1.43670415097586,-0.63104336745237,0.532340345881555,0.219912492513457,0.853715857652734,0.424293578409404,1.5271309157034,-1.70793241023739,0.337041048391037,0.298346462980931,2.3206845396443,0.275251135753657
"11423-6","extra_heavy",100,0.84,1.02138264128774,0.579938056359865,0.159846611901938,1.19597485798243,0.0691149720559825,0.183741668100619,0.232361241621278,0.214561897714634,0.593026246549415,0.971711528209153,2.5103043714576,0.27854804443429,0.442003339942263,3.64937205535125,0.31333006070944
"11423-7","extra_heavy",100,0.83,1.03209503477026,0.548559822165974,0.232871347896973,1.14619526555116,0.0363370999541186,0.118522363819144,0.265863601042786,0.0527921755051502,0.653096581321112,1.31437746840255,-0.77643728733908,0.517661356883924,0.528039098351033,3.54063050399976,0.353450044562581
"11423-8","extra_heavy",100,0.8,0.866693757331707,0.872252608551762,0.428280963018844,1.09676406736865,0.00256390709389779,0.63431995430874,0.236974540019186,0.0215476467230506,0.801065428356674,0.928357999715358,1.16418419151634,0.555097249924852,0.368816007299792,1.83475090089876,0.406318310664502
"11423-9","extra_heavy",100,0.84,1.09241338152963,0.444959778561427,0.0372271448458683,1.18783728958005,0.000550016685524708,-0.198960435883875,0.18426312693098,0.000945960545964325,0.720241721659601,0.933595053918806,1.51493582116485,0.109865491901314,0.386887332839992,1.9100184343603,0.286495598506567
"11423-10","extra_heavy",100,0.8,1.17771023594887,0.318202366799594,0.204621509777545,1.18550868116877,0.750018915484357,0.290317893483806,0.371152905657082,2.4957471247213,0.324346946215574,1.12428332225466,1.41721291608912,0.30439615025375,0.39365809977309,3.31064346734833,0.307605571981618
