<<<<<<< HEAD
"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull"
"11423-1","heavy",100,"gamma",0.44,1.21556928171741,0.429356147424018,0.34034793958986,1.12291847194044,0.446753493252759,0.516459701891473,0.348737334120543,0.101575016927864,0.392693637873439
"11423-2","heavy",100,"gamma",0.49,1.06098750320087,0.477418872542066,0.415015336310228,0.892465010373271,0.46948139949466,0.665665455174668,0.400782134656952,0.0830646876115107,0.399074662417259
"11423-3","heavy",100,"gamma",0.49,0.998130713919056,0.498774118127047,-0.0440438856045556,1.46904098812835,0.354392890264773,-0.054219396529776,0.356981775759919,0.0810031473628926,0.428019076226123
"11423-4","heavy",100,"gamma",0.47,0.990547865984826,0.497635317565952,0.361070626306629,0.985537689580658,0.602423542132327,0.304262832101789,0.435058485967844,0.157288092099769,0.50440956719592
"11423-5","heavy",100,"gamma",0.45,1.09785996792658,0.558571912486068,-0.111298252938805,1.24205438584942,0.388688431848971,0.438444800649501,0.467664966971495,0.098734707879296,0.437377043939485
"11423-6","heavy",100,"gamma",0.51,0.686571781481847,0.526615479232525,0.668071736344936,1.05646950583983,0.368726205767468,0.00904234685385077,0.336625276874351,0.0717593822904105,0.433200144834266
"11423-7","heavy",100,"gamma",0.48,0.747529746340032,0.496381233141115,0.520385680335665,0.844631748690759,0.499967887739687,0.337252539969718,0.35186798145972,0.10003728135807,0.472213914418327
"11423-8","heavy",100,"gamma",0.54,1.02772790785118,0.518232977494647,0.162446638226677,1.08887211380046,0.417877850202011,0.278554643066299,0.34114494672575,0.0705950972510879,0.373815851215351
"11423-9","heavy",100,"gamma",0.47,0.905398223979504,0.543181503112301,0.178944332196869,1.06897476206218,0.546506276603943,0.151200505245545,0.366638097676856,0.113708701407807,0.381435619159939
"11423-10","heavy",100,"gamma",0.51,0.605109227583556,0.577250635392853,0.284146403631748,1.23925131456921,0.289129144769283,0.341169545356537,0.423221280625389,0.0778161360172227,0.485316823773944
