"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11422-1","heavy",2000,"gamma",0.4915,0.979067205206039,0.497996437130592,0.234471630430462,1.03536878912277,0.471501073598103,0.131700534041718,0.081195346278833,0.0200001464418985,0.0851743198605751,1.00380373229116,0.483111494458995,0.152345068851416,0.0808592843836613,0.0202350630927307,0.086931873380684,0.992760914265791,0.486824255597993,0.160468222924888,0.080404769725251,0.0199935145521793,0.0861435681672904,NA,NA,NA
"11422-2","heavy",2000,"gamma",0.5215,1.05870912688904,0.490578452985537,0.242509767044504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11422-3","heavy",2000,"gamma",0.511,0.970478041265199,0.492651950695785,0.263426768734495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11422-4","heavy",2000,"gamma",0.5025,0.991180754768849,0.49580321352302,0.298364454201108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11422-5","heavy",2000,"gamma",0.508,0.995572892215771,0.496723230587238,0.314972058126785,1.11354984038562,0.468974283677445,0.199677427825298,0.0822339404150649,0.0198909764434003,0.0887172136494177,1.08410738729119,0.480178501377158,0.2202854902893,0.0811765743245061,0.0204303464286551,0.0885563724391339,1.07155944812432,0.484514304851347,0.223155006749291,0.084139721431599,0.0205754169111902,0.0900624058756059,NA,NA,NA
"11422-6","heavy",2000,"gamma",0.5085,0.958094170069225,0.512526058420305,0.193667560615034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11422-7","heavy",2000,"gamma",0.5025,1.03509606193205,0.490552602826075,0.26270212842799,1.18639785454662,0.427887752727654,0.239899771781997,0.08694987472414,0.0223744574192686,0.0852005146491014,1.07016993365099,0.472403842647842,0.269426936723056,0.0858945756071077,0.0223009178155341,0.0859485437635736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11422-8","heavy",2000,"gamma",0.4905,1.02704804236692,0.492796644254034,0.20775451263581,1.01561936730408,0.517608158969264,0.201742799043368,0.0877361588570996,0.0221206346036244,0.0880298501027307,0.99773922429363,0.524004260488338,0.211342458913766,0.0871746525859008,0.0222448851986263,0.0878090278183948,0.994575834424013,0.527474105712291,0.214745936320531,0.0879636259106951,0.022804979413276,0.0876290230443643,NA,NA,NA
"11422-9","heavy",2000,"gamma",0.51,1.06912738477255,0.485834647647982,0.219406140629662,1.30836742041269,0.366094594117368,0.181550627739553,0.07758045414935,0.0156803510622416,0.0868223434805702,1.12299945530169,0.436783847553653,0.239010283505161,0.0838214531949319,0.0196132960795566,0.0843937879952389,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11422-10","heavy",2000,"gamma",0.4985,0.981931990593387,0.497223351124411,0.314981444559272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
