"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull"
"11422-1","heavy",100,"normal",0.44,0.96520765356296,0.340082295766468,0.631540832937672,NA,NA,NA,NA,NA,NA
"11422-2","heavy",100,"normal",0.53,1.03912119199787,0.517362715788101,0.135860798916355,0.331714653903607,0.913362396162757,-0.0483695171474891,0.62376452452868,0.36921302278583,0.335661662214569
"11422-3","heavy",100,"normal",0.47,0.257919874841199,0.978192877086173,-0.0939051154064622,0.630714754041934,0.739158307892868,0.0449825622687128,0.621991545434605,0.415596430884106,0.399015940953909
"11422-4","heavy",100,"normal",0.47,1.41709379610918,0.350583897194024,0.100907855927321,1.24969777191582,0.447760707670772,0.0391994551727638,0.590545865706193,0.374761744195356,0.394448161665758
"11422-5","heavy",100,"normal",0.54,1.28644836412115,0.315083608296604,0.230919011579621,1.34452485712029,0.282330035995177,0.209164713151005,0.578671538456969,0.357640066468647,0.3409347586061
"11422-6","heavy",100,"normal",0.53,1.29834557032611,0.36864562106395,0.110375074677851,0.912798332514141,0.609899071195785,-0.130387097534024,0.619202202280212,0.395315796686913,0.445060003404931
"11422-7","heavy",100,"normal",0.56,1.51584210346534,0.107392757253927,0.545513303416024,1.25707079884523,0.268905778954023,0.475029770335537,0.657154661045108,0.393843548906904,0.343739498716286
"11422-8","heavy",100,"normal",0.44,1.41296176946561,0.0155170008952181,0.754167368066873,1.57549018895601,-0.0867056246557011,0.801541366270578,0.657732231748611,0.416727215511426,0.324729271110293
"11422-9","heavy",100,"normal",0.45,1.24893517959698,0.229686591916682,0.93895208925892,1.22564310785795,0.250436881283399,0.930171419536616,0.512456728420378,0.32907822687167,0.320625375767654
"11422-10","heavy",100,"normal",0.49,0.852501147098371,0.693884636871396,-0.0321805295070035,0.538301115088753,0.855683629414548,-0.135153291655765,0.592362958844111,0.344729199536188,0.322990815593363
"11422-11","heavy",100,"normal",0.52,1.21058323371638,0.262233515063027,0.416164095080896,1.19718748026752,0.270908757109512,0.403552341741606,0.57746710146631,0.332906795205326,0.336486310445607
"11422-12","heavy",100,"normal",0.48,1.04104730499975,0.303376048386185,0.707979183337607,0.820513471748241,0.453496801196713,0.61901712208445,0.608777017054827,0.371874324099144,0.322236549085322
"11422-13","heavy",100,"normal",0.49,1.19083245569297,0.230491938307458,0.795663875659727,1.14304468180315,0.259808420933013,0.801304039321629,0.583216978144202,0.37784391781716,0.341150528422202
"11422-14","heavy",100,"normal",0.55,0.558972383974597,0.783338335348608,0.269961674530953,0.403217152371998,0.82905306471626,0.321907402370689,0.435568588371373,0.2567879345292,0.265319716634666
"11422-15","heavy",100,"normal",0.53,1.14783788591798,0.428381768356744,0.0653893438540458,1.2314959897891,0.364191163155716,0.0499023307820571,0.535984177685986,0.339776556634523,0.357076489498838
"11422-16","heavy",100,"normal",0.44,0.860059398196107,0.556106428444489,0.364922947349113,0.686320929377348,0.669050614680402,0.268347400258913,0.379460471609415,0.240058725606803,0.302670910541807
"11422-17","heavy",100,"normal",0.37,1.30527548394655,0.433049389388411,0.0480189688989895,0.882338146746431,0.704050383271664,-0.0653185710716338,0.533298110358155,0.331853995158715,0.31874133462104
"11422-18","heavy",100,"normal",0.52,0.887631157984429,0.517298102699095,0.0660499384493827,0.942688750666317,0.488652630754437,0.085862978099468,0.494329247716352,0.287294008091572,0.299473951834889
"11422-19","heavy",100,"normal",0.48,0.440919448774443,0.821991945826522,0.135163303226083,0.525084037876005,0.717723290087927,0.221528325505122,0.539177634238426,0.334128837861437,0.339783290069463
"11422-20","heavy",100,"normal",0.46,1.37945840989316,0.289136479425589,0.0891411401659171,1.29968277309086,0.346311450166137,0.0223969004811469,0.537163233582805,0.358675501485645,0.398499303168691
"11422-21","heavy",100,"normal",0.49,0.501741540651198,0.585591142299254,0.762008879377058,0.621273412890487,0.509410132487631,0.821743844272802,0.609156388951112,0.393654835508663,0.403864503765281
"11422-22","heavy",100,"normal",0.5,0.806465616987431,0.728602996749219,0.231390930387013,0.799803855615938,0.736490155575929,0.247880906043406,0.606822494775647,0.380865855418964,0.34635625208085
"11422-23","heavy",100,"normal",0.54,1.26988478613574,0.360910924634153,0.270330120056997,0.43090238712425,1.00874579090364,-0.177306782805075,0.697330445686225,0.484459806443298,0.43937374635062
"11422-24","heavy",100,"normal",0.38,0.102763505270343,0.886041466035525,0.164868857649014,0.239764221108988,0.821286057490311,0.115942539676361,0.564749985776635,0.365228450909037,0.367076512089569
"11422-25","heavy",100,"normal",0.52,0.642367529798684,0.609211706988519,0.479297314798381,0.319301296435924,0.831696403075363,0.352451005794043,0.494689411316916,0.323701950625989,0.356529295141735
"11422-26","heavy",100,"normal",0.52,0.665692153195731,0.692195296437523,0.24494471481802,0.565878834412375,0.762631465996048,0.138513606565211,0.499375968648548,0.300372827061069,0.340355313487046
"11422-27","heavy",100,"normal",0.47,0.736600274845057,0.542002800356757,0.456791677875093,1.03233302909866,0.33886941210285,0.553720478254426,0.45298201479985,0.308751130997237,0.361952845057134
"11422-28","heavy",100,"normal",0.56,1.09128211725331,0.353683737519511,0.441508201444198,0.95027395570809,0.467403497474821,0.179275050405657,0.523850885565692,0.365585949512646,0.473583839328706
"11422-29","heavy",100,"normal",0.52,0.938156979433793,0.636233944733674,-0.0117819165222519,0.345685234413997,1.00446305029085,-0.213532775022402,0.576262549523914,0.364080397126527,0.353294163552192
"11422-30","heavy",100,"normal",0.4,0.987130756953473,0.515838725478746,0.385110135166686,0.813276182830471,0.625466636204495,0.300220690882232,0.590308580536515,0.354777492454489,0.362957563557076
"11422-31","heavy",100,"normal",0.51,1.512151729922,0.081180285832967,0.355420556383453,1.04210277897514,0.415984060513248,0.0941139121373462,0.628042991604847,0.434612409153263,0.459242670318465
