"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull"
"11426-1","heavy",100,"t",0.52,0.826749147082674,0.522421756836074,0.394077570114877,NA,NA,NA,NA,NA,NA
"11426-2","heavy",100,"t",0.6,0.815605026582901,0.435282324293197,0.821813856105125,NA,NA,NA,NA,NA,NA
"11426-3","heavy",100,"t",0.46,1.0149898236587,0.331696103832659,-0.0373343594618409,NA,NA,NA,NA,NA,NA
"11426-4","heavy",100,"t",0.47,1.29425376315554,0.599924474874679,-0.159761444548859,NA,NA,NA,NA,NA,NA
"11426-5","heavy",100,"t",0.53,1.20709536940177,0.479451794850698,0.133812280938645,NA,NA,NA,NA,NA,NA
"11426-6","heavy",100,"t",0.55,1.01041191439898,0.527878993829212,0.505234969120993,NA,NA,NA,NA,NA,NA
"11426-7","heavy",100,"t",0.42,1.24147535365236,0.482858063064831,0.033628549956253,NA,NA,NA,NA,NA,NA
"11426-8","heavy",100,"t",0.46,0.916166365024682,0.448357423439259,0.356912531969418,NA,NA,NA,NA,NA,NA
"11426-9","heavy",100,"t",0.48,0.99948973479549,0.410757377655255,0.318866768682942,NA,NA,NA,NA,NA,NA
"11426-10","heavy",100,"t",0.47,0.964887526358274,0.379527772156566,0.569990197009251,NA,NA,NA,NA,NA,NA
"11426-11","heavy",100,"t",0.49,1.23694902611474,0.507403800702555,-0.0594840777333947,NA,NA,NA,NA,NA,NA
"11426-12","heavy",100,"t",0.43,1.03700437627203,0.53238680633679,0.165220336260081,NA,NA,NA,NA,NA,NA
"11426-13","heavy",100,"t",0.52,1.04370710987839,0.555386873561444,0.0171673643011945,NA,NA,NA,NA,NA,NA
"11426-14","heavy",100,"t",0.51,1.05376798753906,0.515774131050919,0.0489089038842333,NA,NA,NA,NA,NA,NA
"11426-15","heavy",100,"t",0.39,0.819059068849003,0.437408493378735,0.405727132015759,NA,NA,NA,NA,NA,NA
"11426-16","heavy",100,"t",0.47,0.999211689518402,0.606003788296326,0.458188931588835,NA,NA,NA,NA,NA,NA
"11426-17","heavy",100,"t",0.48,1.00037322379165,0.527880970235469,0.349092178586794,NA,NA,NA,NA,NA,NA
"11426-18","heavy",100,"t",0.55,1.02394958508022,0.404264421664839,0.279216983551768,NA,NA,NA,NA,NA,NA
"11426-19","heavy",100,"t",0.49,0.881342307162641,0.494176056214044,0.324002041347286,NA,NA,NA,NA,NA,NA
"11426-20","heavy",100,"t",0.53,0.771960933961528,0.492455773251244,0.429185291889682,NA,NA,NA,NA,NA,NA
"11426-21","heavy",100,"t",0.47,0.93166887677661,0.628160819921489,0.542925361811549,NA,NA,NA,NA,NA,NA
"11426-22","heavy",100,"t",0.59,0.942297137392072,0.574442333354493,0.386078418571476,NA,NA,NA,NA,NA,NA
"11426-23","heavy",100,"t",0.52,1.06604288784065,0.539429510983967,0.0164961652893232,NA,NA,NA,NA,NA,NA
"11426-24","heavy",100,"t",0.48,0.633268875728331,0.518128343209581,0.65815012408886,NA,NA,NA,NA,NA,NA
"11426-25","heavy",100,"t",0.57,1.2852992936095,0.435897249690246,-0.146656776900848,NA,NA,NA,NA,NA,NA
"11426-26","heavy",100,"t",0.52,0.924655608343957,0.611469030455417,0.283680927295139,NA,NA,NA,NA,NA,NA
"11426-27","heavy",100,"t",0.45,1.16232285785365,0.554973504360664,0.209171343135549,NA,NA,NA,NA,NA,NA
"11426-28","heavy",100,"t",0.42,0.943170655304646,0.52279534561361,0.280446070652617,NA,NA,NA,NA,NA,NA
"11426-29","heavy",100,"t",0.51,0.761268827872523,0.576086558979909,0.355865585969878,NA,NA,NA,NA,NA,NA
"11426-30","heavy",100,"t",0.46,1.33711356290779,0.343358261739549,0.070488791077195,NA,NA,NA,NA,NA,NA
"11426-31","heavy",100,"t",0.59,0.772615750595305,0.546382605879907,0.440964488610705,NA,NA,NA,NA,NA,NA
"11426-32","heavy",100,"t",0.53,0.969778047855437,0.424244590768472,0.0471224171045016,NA,NA,NA,NA,NA,NA
"11426-33","heavy",100,"t",0.49,1.16527075733905,0.582577677362363,-0.12576271216369,NA,NA,NA,NA,NA,NA
"11426-34","heavy",100,"t",0.52,1.10266460854185,0.399485763956399,0.0302330250120247,NA,NA,NA,NA,NA,NA
"11426-35","heavy",100,"t",0.51,1.13244005708884,0.436315358871238,-0.0294047605446014,NA,NA,NA,NA,NA,NA
"11426-36","heavy",100,"t",0.48,0.976373046655646,0.465970490220158,0.32372659304393,NA,NA,NA,NA,NA,NA
"11426-37","heavy",100,"t",0.46,0.919112937758609,0.560387818486975,0.455230314869303,NA,NA,NA,NA,NA,NA
"11426-38","heavy",100,"t",0.46,1.02228487583313,0.550170742393894,0.125671937742448,NA,NA,NA,NA,NA,NA
"11426-39","heavy",100,"t",0.52,1.16121340024146,0.632578529131825,0.323425754267843,NA,NA,NA,NA,NA,NA
"11426-40","heavy",100,"t",0.59,0.952328145824577,0.448740143945766,0.179056482590871,NA,NA,NA,NA,NA,NA
"11426-41","heavy",100,"t",0.53,0.889918271271241,0.516918950789356,0.587252220356088,NA,NA,NA,NA,NA,NA
"11426-42","heavy",100,"t",0.47,1.1371897866673,0.446210557016137,0.228130891118598,NA,NA,NA,NA,NA,NA
"11426-43","heavy",100,"t",0.49,0.980810780765835,0.572873081874577,0.21003679249488,NA,NA,NA,NA,NA,NA
"11426-44","heavy",100,"t",0.5,1.04347375868107,0.482757837725819,0.242684883222319,NA,NA,NA,NA,NA,NA
"11426-45","heavy",100,"t",0.49,0.897715015107008,0.470882666684287,0.298748524012394,NA,NA,NA,NA,NA,NA
"11426-46","heavy",100,"t",0.5,1.13282477420304,0.579089157099292,0.119980486596085,NA,NA,NA,NA,NA,NA
"11426-47","heavy",100,"t",0.44,1.05180054785726,0.344369408133937,0.13351240784207,NA,NA,NA,NA,NA,NA
"11426-48","heavy",100,"t",0.51,0.961581917311758,0.394345519928756,0.339343723998841,NA,NA,NA,NA,NA,NA
"11426-49","heavy",100,"t",0.52,0.783861436743615,0.378464309464953,0.427985282822122,NA,NA,NA,NA,NA,NA
"11426-50","heavy",100,"t",0.49,0.91568060127826,0.403351598845813,0.382789292372685,NA,NA,NA,NA,NA,NA
"11426-51","heavy",100,"t",0.55,1.16271990453272,0.513192848452687,0.147604061472477,NA,NA,NA,NA,NA,NA
"11426-52","heavy",100,"t",0.5,1.06933884111145,0.48970469818801,-0.101036160070067,NA,NA,NA,NA,NA,NA
"11426-53","heavy",100,"t",0.46,0.866410502897292,0.510223327357571,0.254964239341625,NA,NA,NA,NA,NA,NA
"11426-54","heavy",100,"t",0.56,0.842580909298758,0.550700739128217,0.564314056578283,NA,NA,NA,NA,NA,NA
"11426-55","heavy",100,"t",0.53,1.00314888156177,0.52434518157101,0.611796686212306,NA,NA,NA,NA,NA,NA
"11426-56","heavy",100,"t",0.56,1.07587597796482,0.380596867676847,0.223896352859397,NA,NA,NA,NA,NA,NA
"11426-57","heavy",100,"t",0.58,0.965830521837886,0.506803345015762,0.28077580894225,NA,NA,NA,NA,NA,NA
"11426-58","heavy",100,"t",0.48,0.859973075411861,0.436422946322308,0.174448211133162,NA,NA,NA,NA,NA,NA
"11426-59","heavy",100,"t",0.48,1.06381001752699,0.527451107329203,0.205088692148636,NA,NA,NA,NA,NA,NA
"11426-60","heavy",100,"t",0.48,1.05829300471449,0.540250252362188,0.325033550977441,NA,NA,NA,NA,NA,NA
"11426-61","heavy",100,"t",0.45,0.666777554101676,0.650403983325944,0.834247302701356,NA,NA,NA,NA,NA,NA
"11426-62","heavy",100,"t",0.51,0.899624977008392,0.532128792970292,0.49996568771079,NA,NA,NA,NA,NA,NA
"11426-63","heavy",100,"t",0.42,0.78934467289243,0.403634203527052,0.688581028743954,NA,NA,NA,NA,NA,NA
"11426-64","heavy",100,"t",0.44,1.16019943096057,0.610840256664382,0.0326410769753486,NA,NA,NA,NA,NA,NA
"11426-65","heavy",100,"t",0.5,0.897091353994041,0.56954871355913,0.0744741170960751,NA,NA,NA,NA,NA,NA
"11426-66","heavy",100,"t",0.47,0.88377646372859,0.48861284824145,0.326186207918246,NA,NA,NA,NA,NA,NA
"11426-67","heavy",100,"t",0.5,0.953626689679251,0.341585702484937,0.184309584250117,NA,NA,NA,NA,NA,NA
"11426-68","heavy",100,"t",0.5,0.97966675381719,0.362903274286229,0.282428060970513,NA,NA,NA,NA,NA,NA
"11426-69","heavy",100,"t",0.45,0.848536246885012,0.505066143203358,0.442793765947278,NA,NA,NA,NA,NA,NA
"11426-70","heavy",100,"t",0.41,1.02559976737542,0.403258100343542,0.186068784081676,NA,NA,NA,NA,NA,NA
"11426-71","heavy",100,"t",0.51,0.835954009889229,0.525381875938062,0.430780651717404,NA,NA,NA,NA,NA,NA
"11426-72","heavy",100,"t",0.47,1.10323372143206,0.50520978017136,0.0202500295781494,NA,NA,NA,NA,NA,NA
"11426-73","heavy",100,"t",0.52,1.00795876220171,0.342894816010682,0.200658393412524,NA,NA,NA,NA,NA,NA
"11426-74","heavy",100,"t",0.5,0.819503015333582,0.468280867760148,0.15963924767412,NA,NA,NA,NA,NA,NA
"11426-75","heavy",100,"t",0.52,1.00913963419859,0.540341017000578,0.0376962348260727,NA,NA,NA,NA,NA,NA
"11426-76","heavy",100,"t",0.39,0.868656738539713,0.614763125517765,0.242730886662645,NA,NA,NA,NA,NA,NA
"11426-77","heavy",100,"t",0.51,0.996033050779354,0.558642396965192,0.239125422953693,NA,NA,NA,NA,NA,NA
"11426-78","heavy",100,"t",0.48,0.900730244702166,0.572441679029252,0.249641347794025,NA,NA,NA,NA,NA,NA
"11426-79","heavy",100,"t",0.43,0.981303912176903,0.540889058262631,0.328252334928312,NA,NA,NA,NA,NA,NA
"11426-80","heavy",100,"t",0.5,1.03221991132667,0.546736229029411,0.0349937657634382,NA,NA,NA,NA,NA,NA
"11426-81","heavy",100,"t",0.47,1.00780945819607,0.526702160066574,0.500328393973939,NA,NA,NA,NA,NA,NA
"11426-82","heavy",100,"t",0.54,1.05228366540377,0.519929204926506,0.196036076072579,NA,NA,NA,NA,NA,NA
"11426-83","heavy",100,"t",0.45,0.877125519127563,0.552551328872667,0.363408989501694,NA,NA,NA,NA,NA,NA
"11426-84","heavy",100,"t",0.51,0.923258828906288,0.535068021544246,0.36458819378821,NA,NA,NA,NA,NA,NA
"11426-85","heavy",100,"t",0.45,1.11516701815201,0.538119695928722,0.0700550785310284,NA,NA,NA,NA,NA,NA
"11426-86","heavy",100,"t",0.48,0.835670093827191,0.473451162781729,0.306016943969176,NA,NA,NA,NA,NA,NA
"11426-87","heavy",100,"t",0.53,1.02869228539263,0.626185190216051,0.505553111535231,NA,NA,NA,NA,NA,NA
"11426-88","heavy",100,"t",0.49,0.966820827864993,0.520595239858495,0.316820311435139,NA,NA,NA,NA,NA,NA
"11426-89","heavy",100,"t",0.51,1.08365729066664,0.522746930575871,0.29362605810026,NA,NA,NA,NA,NA,NA
"11426-90","heavy",100,"t",0.52,0.658556309907497,0.501949108431501,0.65506804063445,NA,NA,NA,NA,NA,NA
