"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11423-1","heavy",2000,"t",0.4955,1.01250127852111,0.525533388393244,0.258898541607449,NA,NA,NA,NA,NA,NA,1.39079043105467,0.722135950207406,0.19551143406688,0.051957768255099,0.0380932024127382,0.0681598397923365,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-2","heavy",2000,"t",0.487,0.999732538717371,0.488134376324405,0.281822270552817,NA,NA,NA,NA,NA,NA,1.30912792609993,0.6302772150389,0.250700075379409,0.0520441460301964,0.0381561507549778,0.0686838128373918,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-3","heavy",2000,"t",0.508,1.00652507664576,0.511134618073682,0.248032229729942,NA,NA,NA,NA,NA,NA,1.33818937207799,0.653915598442092,0.236555982126548,0.0539293631078883,0.0354923928659395,0.0710254889064628,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-4","heavy",2000,"t",0.4855,1.03601305911297,0.517473063762079,0.227638546879097,NA,NA,NA,NA,NA,NA,1.38794257047917,0.688022004814219,0.210075872020835,0.0523601971617941,0.04482709709483,0.0649088266861186,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-5","heavy",2000,"t",0.489,0.996588627506721,0.490720250933082,0.214227169437979,NA,NA,NA,NA,NA,NA,1.36934994525573,0.689096227688152,0.195962314922097,0.0556361259346375,0.0413971817590773,0.0701173863977851,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-6","heavy",2000,"t",0.4715,1.01555913990279,0.496883130686166,0.281875110119685,NA,NA,NA,NA,NA,NA,1.35659533550119,0.679232392493186,0.268232774192019,0.0546306991580753,0.0385298481003501,0.0695306999040883,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-7","heavy",2000,"t",0.492,1.03318069059658,0.49709703968925,0.199368799521153,NA,NA,NA,NA,NA,NA,1.37179610566937,0.626331843814516,0.160300984999325,0.0537264801315452,0.0410462634828336,0.0705228728928137,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-8","heavy",2000,"t",0.4935,1.0187385391696,0.493082615321671,0.229785695533824,NA,NA,NA,NA,NA,NA,1.37301752659364,0.625075775244928,0.170868533696239,0.0549539176857634,0.0451297924833173,0.0695319080481642,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-9","heavy",2000,"t",0.483,0.994531243148914,0.472133334442223,0.305816483717625,NA,NA,NA,NA,NA,NA,1.29876219924412,0.626316259869539,0.27261126852571,0.0518448645438842,0.0368270701348221,0.0668042430636071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-10","heavy",2000,"t",0.4775,0.960011056733806,0.485862163045736,0.281042878640785,NA,NA,NA,NA,NA,NA,1.27873486539518,0.631530610400511,0.260964307740611,0.0516737040688648,0.0363517003203326,0.0665882966385269,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-11","heavy",2000,"t",0.505,0.981924736651543,0.519202351271732,0.293659925869279,NA,NA,NA,NA,NA,NA,1.31782905532572,0.646845165693093,0.283259905538731,0.055925729101377,0.0373362596511346,0.0715673107557016,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-12","heavy",2000,"t",0.494,0.993106501709112,0.511049465884778,0.257278570198955,NA,NA,NA,NA,NA,NA,1.33547450199763,0.65866807830942,0.209822989300592,0.0569140471680142,0.0354782332143412,0.0717894328782695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-13","heavy",2000,"t",0.502,0.998101715690901,0.523656940145804,0.207499546890294,NA,NA,NA,NA,NA,NA,1.35816906130341,0.694553188553904,0.177736643505399,0.0555216667827857,0.0396426219890139,0.0707596299647556,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-14","heavy",2000,"t",0.507,0.960654642206427,0.485685947395236,0.304529537270778,NA,NA,NA,NA,NA,NA,1.30369439338073,0.635702309801981,0.2810185465794,0.0509049695361466,0.0362587387998508,0.0670479636272764,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-15","heavy",2000,"t",0.485,0.994135138666955,0.526084674174339,0.196589714877814,NA,NA,NA,NA,NA,NA,1.3518469521937,0.675675343170406,0.165785941088925,0.0563434430785455,0.0416263080219414,0.0710253803158476,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-16","heavy",2000,"t",0.498,0.953228778909267,0.481967878480685,0.265981388152281,NA,NA,NA,NA,NA,NA,1.27629401355081,0.617952972594584,0.24876664192874,0.0530610749395725,0.0352309424686424,0.0703803336178742,NA,NA,NA,NA,NA,NA,NA,NA,NA
