"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull"
"11427-1","heavy",100,"weibull",0.54,1.12012365961736,0.516566593655793,0.135562856193043,1.15138276730437,0.356567694709371,0.14725899526807,0.240502516747545,0.338250638223736,0.335357310757645
"11427-2","heavy",100,"weibull",0.52,0.985799829173928,0.375220454540601,0.136764106442755,0.842184107611856,0.961904226001247,-0.0803011586075949,0.212237248865789,0.418566770635399,0.329523958254728
"11427-3","heavy",100,"weibull",0.49,1.04442457840446,0.249359820797184,0.191846932106548,0.984040436713356,0.601865481557255,0.069188929520901,0.247142133947063,0.493604989290559,0.324439246775677
"11427-4","heavy",100,"weibull",0.48,0.971670333638597,0.511494914546361,0.425863705697419,1.04198687981751,0.263001845001466,0.561074115714352,0.229006406394999,0.421598955168393,0.35202027923906
"11427-5","heavy",100,"weibull",0.5,0.836977895098837,0.676381755474451,0.466031955642154,0.93041023399926,0.395078122321617,0.453903856740276,0.213980346738741,0.348105381300439,0.288007083205177
"11427-6","heavy",100,"weibull",0.54,1.1583152321884,0.460325278909744,0.104690080891572,1.13545960806397,0.840914626510709,-0.02328869664645,0.264645659854377,0.684791078021921,0.351688918262646
"11427-7","heavy",100,"weibull",0.43,0.952892058638759,0.783771221087152,-0.0424009542994295,0.953030240879744,0.740965440124722,-0.0299971815986501,0.193422187127572,0.378055673349603,0.286903462907637
"11427-8","heavy",100,"weibull",0.42,1.06935557295132,0.250647844526237,0.277707151070942,1.22600463009134,-0.234388451146916,0.334152284377026,0.23657362189302,0.469096592811715,0.269816704067719
"11427-9","heavy",100,"weibull",0.45,1.02123526115787,0.778285112936073,0.0923814324237759,0.825043843643444,1.66928521927019,0.205778111198137,0.248958061391297,0.66589624213747,0.309940458845082
"11427-10","heavy",100,"weibull",0.47,1.17838538879299,0.536230596719142,0.300979391421347,1.10077795300389,0.930991494892132,0.265825810655339,0.244483620466222,0.515135529024164,0.329733115985622
"11427-11","heavy",100,"weibull",0.46,0.826318740873389,0.982816468907033,0.0711699066139794,0.791795889643835,1.05339451414057,-0.0114576594196985,0.236303490757744,0.364690377025856,0.301279217273077
"11427-12","heavy",100,"weibull",0.5,1.22292955912946,0.593031294950001,0.0481291225289289,1.19003120863138,0.879839518407981,-0.047254178504088,0.231534400723976,0.479212585361073,0.321174548518665
"11427-13","heavy",100,"weibull",0.55,0.950203688162757,0.710787042216496,0.27205444611719,0.94249086507587,0.740874512285086,0.260107444296433,0.261822457135807,0.488843848292816,0.402456260642121
"11427-14","heavy",100,"weibull",0.51,0.985910298663537,0.707376510099029,0.152093867393372,0.96709362747539,0.938019866173222,0.226995624546364,0.234617395665732,0.554613790398284,0.295990107593072
"11427-15","heavy",100,"weibull",0.54,0.917661625991106,0.500483990077857,0.296881123952967,0.923729583024201,0.428927530157257,0.30661166317009,0.230566099154743,0.278764497507014,0.291802122442655
"11427-16","heavy",100,"weibull",0.41,1.14026889275677,0.245154706744839,0.20625038578079,1.14466619832667,0.269386410134226,0.209810746686138,0.198328240625045,0.455185377920389,0.238069529812754
"11427-17","heavy",100,"weibull",0.43,1.1057569743682,0.455817714499661,0.0241161551779532,1.10431487950229,0.309888654904626,0.151631786009266,0.222271660734692,0.296103359909008,0.286655554527449
"11427-18","heavy",100,"weibull",0.5,1.18852244275411,0.454314410429137,0.248774363464279,1.18446091254716,0.430441065472108,0.247294166647796,0.286551630400129,0.38353117680423,0.294577101855966
"11427-19","heavy",100,"weibull",0.58,1.34305368917739,0.461624529888154,-0.0878431886684752,1.36224575957806,0.370352066375781,-0.0754228149805457,0.234104940627635,0.316766445357801,0.284505764144933
"11427-20","heavy",100,"weibull",0.51,1.08857048681553,0.569510855806601,-0.145113859448934,0.957860820397382,0.985580781236701,-0.148385192079749,0.203775031503942,0.417384697567817,0.275140243661689
"11427-21","heavy",100,"weibull",0.39,0.983780641606645,0.173717308218751,0.521461421142775,1.00945960862282,0.0576652278533789,0.586533241206427,0.216788657040804,0.445649391968512,0.309189470779412
"11427-22","heavy",100,"weibull",0.56,1.28617915199073,0.207918263502369,-0.0631260949581942,1.40517825489803,-0.147542093766711,0.0303583188748527,0.269372725564121,0.406546893294401,0.309030617168861
"11427-23","heavy",100,"weibull",0.47,1.0771521233411,0.328104704287136,0.287703362056434,1.01086867547981,0.486154075010474,0.298003842373441,0.228293191728908,0.425367984475483,0.262096830980926
"11427-24","heavy",100,"weibull",0.48,0.97944215847266,0.517463752932398,0.0855471565326908,1.09053652779184,0.197892137423872,0.0934551366845387,0.293639037706712,0.835478975777821,0.309280424991403
"11427-25","heavy",100,"weibull",0.47,0.986763204485029,0.525060559319446,0.0545834400474015,1.0281614653301,0.367408229529222,0.155852855957573,0.265626689617499,0.607714642062582,0.324601368884886
"11427-26","heavy",100,"weibull",0.6,0.854631484083646,0.522509834128923,0.490909445205627,0.663852480288181,1.25207348808895,0.380299654542872,0.306030793284966,0.584990186417902,0.361168641763311
"11427-27","heavy",100,"weibull",0.52,0.88801352621156,0.565441015466891,0.174809069870081,0.940702733329118,0.407520072168609,0.32992143392675,0.252760340409811,0.654910069401627,0.346659446843717
"11427-28","heavy",100,"weibull",0.52,1.01651616331761,0.39197102346167,0.445411201195718,1.0162063879564,0.397712246283021,0.435338301152658,0.2354647465869,0.400785937789778,0.348020105020482
"11427-29","heavy",100,"weibull",0.46,0.783539041337309,0.459929606769468,0.402377132159023,0.862134365564832,0.259596020218791,0.422370917622877,0.273155416480824,0.453945321147842,0.298109210975638
"11427-30","heavy",100,"weibull",0.54,0.882238784139151,0.693066283173526,0.316354243206037,0.89767717939205,0.753956785158766,0.289073606612784,0.236526712726072,0.490710264372302,0.372123485703974
"11427-31","heavy",100,"weibull",0.42,1.20987609645702,0.422242606423486,-0.016715086573434,1.32853990953766,0.126702563620423,0.0325723868375823,0.259709493640636,0.534728852665961,0.315114825616341
"11427-32","heavy",100,"weibull",0.44,0.979337484187394,0.556054094020319,0.305697740551731,0.978795460511819,0.595000722491651,0.362565906034167,0.207019800441724,0.496069112557653,0.258145950976331
"11427-33","heavy",100,"weibull",0.51,0.892468931657504,0.291073761649057,0.585563212424809,0.964220624134901,0.042548053761741,0.699928369306772,0.230424151392274,0.397943500008144,0.333550577742729
"11427-34","heavy",100,"weibull",0.56,0.845050074614523,0.578293419627996,0.328210966688603,0.852314345442784,0.483629127647134,0.30249155017125,0.21298837390808,0.419234326586889,0.323403352434013
"11427-35","heavy",100,"weibull",0.43,1.19366944343079,0.516837300180945,-0.105187324874043,1.17468614460267,0.657693089203448,-0.00461568358824287,0.264173250936356,0.724896107576694,0.275832555389489
"11427-36","heavy",100,"weibull",0.46,1.15153737337379,0.127686208379699,0.35490228954018,1.15258130273117,0.139049861640121,0.32506988072695,0.205499571207971,0.314894749693382,0.309503191999064
"11427-37","heavy",100,"weibull",0.54,1.23308834970947,0.104775304536152,0.178515761968595,1.24463693857429,0.0909861563648883,0.170507518545367,0.240271874874033,0.375273537670895,0.321045755558324
"11427-38","heavy",100,"weibull",0.55,1.04480934611557,0.348906208368321,0.315224759873845,1.07072655466514,0.216646028537739,0.305757098011775,0.205045486126808,0.251988251351292,0.399094297456139
"11427-39","heavy",100,"weibull",0.49,1.01500887744485,0.376049477527969,0.351703253702833,1.01472046155643,0.483743643374575,0.309852096851587,0.267553727525208,0.473579810203738,0.30411815538973
"11427-40","heavy",100,"weibull",0.48,0.810956437752665,0.819569437619477,0.453344150520129,0.844935637952308,0.647277891886614,0.270473672975041,0.23942248920399,0.336764736076341,0.392987243123774
"11427-41","heavy",100,"weibull",0.5,1.0861073827642,0.541532686213534,0.225995706653827,1.1114111336808,0.550863568387624,0.319189965556243,0.291388433295436,0.606637326915109,0.292787396325016
"11427-42","heavy",100,"weibull",0.42,0.840533905913211,0.495562686992436,0.469768525544187,0.839296166458193,0.531020338056907,0.547771495890495,0.212464618845704,0.384808921369973,0.275502102862122
"11427-43","heavy",100,"weibull",0.58,0.908861500943525,0.558281792188806,0.207808704211114,0.95263592151178,0.373439207830396,0.274044586814848,0.246678878221083,0.368431329110692,0.325895774757089
"11427-44","heavy",100,"weibull",0.47,1.00561331202267,0.813317207070344,0.0973862688408836,0.957354757798862,0.659849782377479,0.216321511102783,0.247175857468411,0.388648675609929,0.297701900512534
"11427-45","heavy",100,"weibull",0.51,1.15545179946254,0.234812352676826,0.364597888687826,1.16925252784893,0.157421809446801,0.40218024255171,0.223725371572617,0.317423833494582,0.308247535095644
"11427-46","heavy",100,"weibull",0.51,0.943766163687998,0.502902785976075,0.176985097171748,0.917779948941987,0.694662235810108,0.258700745013416,0.238840113837233,0.588167182949897,0.296292615070046
"11427-47","heavy",100,"weibull",0.49,0.791089134237032,0.722446209024007,0.244548669159116,0.735146734885476,1.06084431060474,0.159525023975767,0.210383279339131,0.434969574429616,0.290337892587692
"11427-48","heavy",100,"weibull",0.48,0.783011985620471,0.560424533380069,0.578309152291706,0.721086287019045,1.00219966062485,0.425245235012647,0.236258418705321,0.480834037047065,0.353718493615048
"11427-49","heavy",100,"weibull",0.55,0.94297697022164,0.398669886723339,0.517703148707203,0.99452815058591,0.2409317586733,0.375454723083126,0.203593805772408,0.216947752786537,0.357621186654754
"11427-50","heavy",100,"weibull",0.42,0.99287757729162,0.534272962023883,0.284215461857631,1.04017433926014,0.418131554696605,0.388438061893393,0.262163089100069,0.691772601156827,0.322009645457755
"11427-51","heavy",100,"weibull",0.48,1.21185824212913,0.320245856166471,0.0356713481284532,1.15403981761259,0.525435708673373,0.0115679382055713,0.251758257325523,0.455630767724969,0.29079072178327
"11427-52","heavy",100,"weibull",0.44,1.10969446338998,0.554658221988418,-0.0632158768585294,1.11056522617752,0.68888200837898,-0.0485667690053182,0.208525612671259,0.609867685119963,0.305741707846006
"11427-53","heavy",100,"weibull",0.5,0.790878649272888,0.525857368564524,0.235206178084458,0.628757388352191,1.23387037994993,0.110494140116102,0.224232184557392,0.472075849625738,0.310709214368826
"11427-54","heavy",100,"weibull",0.48,1.22801356728161,0.412456918813689,0.16254382258265,1.26974479510495,0.240573227815421,0.203614955231282,0.213097287178407,0.26573036120963,0.296935669059436
"11427-55","heavy",100,"weibull",0.5,1.02413667583191,0.61182496914327,0.128546733130561,1.0532232018783,0.477882824906938,0.12136812908527,0.231135554973655,0.27715483420887,0.325932225583321
"11427-56","heavy",100,"weibull",0.45,0.933487549496767,0.594605440282954,0.280293512705675,0.808456405911228,1.20344800624574,0.316570167705477,0.259477843542281,0.560272528107188,0.31234630778233
"11427-57","heavy",100,"weibull",0.44,0.804638209717997,0.680590029514739,0.521527624540342,0.75360571516196,1.06878922128212,0.631042798562793,0.254551176803575,0.539778931313745,0.303007707595447
"11427-58","heavy",100,"weibull",0.47,0.953836116023906,0.380723723227597,0.363277500842925,0.973304043070969,0.537751270613753,0.320917159883255,0.218934558766231,0.464960283773882,0.313863057702477
