<<<<<<< HEAD
"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull"
"11431-1","heavy",2000,"weibull",0.498,0.939530564874093,0.539758927976873,0.305734601311761,0.96117634939112,0.433625031024895,0.332532961723028,0.0533124181716704,0.0877457348078502,0.0708821829941607
"11431-2","heavy",2000,"weibull",0.475,1.04310893943029,0.473177247644437,0.181059780306481,1.03647359107993,0.495663716766808,0.199647519656952,0.0523379055719692,0.0933858593998718,0.0693720792306621
"11431-3","heavy",2000,"weibull",0.4825,1.0777154764751,0.520111589594799,0.201824730820053,1.04336124595409,0.676272776110112,0.164493670755722,0.0516113078695244,0.09663715997846,0.0714023094057421
"11431-4","heavy",2000,"weibull",0.4905,1.02023646426755,0.508526210661174,0.238496128209045,1.00608551363726,0.555913779312844,0.255760070729445,0.0551211332880951,0.102697238313092,0.0732919225591379
"11431-5","heavy",2000,"weibull",0.494,0.971897955707509,0.54171387495636,0.232035197988137,0.977421574189403,0.525196809681776,0.232232192742577,0.052071488642038,0.085716702827616,0.0698544471921277
"11431-6","heavy",2000,"weibull",0.4775,1.0166816686014,0.479794598537699,0.208124370359108,1.03920373859524,0.351964956711115,0.228969069368231,0.0512298877439991,0.071370367834516,0.0692915757825904
"11431-7","heavy",2000,"weibull",0.501,1.03799623063918,0.479383737214645,0.165386451466865,1.0342091857508,0.458327770088493,0.147930293736046,0.051037625736644,0.0759920783849704,0.0704471052956415
"11431-8","heavy",2000,"weibull",0.482,1.03105770494743,0.464547921683498,0.234211706226168,1.05131627995926,0.388315398684221,0.240619922616417,0.0512690855894621,0.0828859666998963,0.0703843853739074
"11431-9","heavy",2000,"weibull",0.4765,1.02958190536883,0.475191089642125,0.269078775258788,1.00253557849592,0.628606227455023,0.296248291465733,0.0561614500978428,0.115478916458108,0.0687473772056696
"11431-10","heavy",2000,"weibull",0.4645,0.979877803869953,0.525573260960522,0.195766677389116,0.985362616756302,0.559608206942538,0.208720134752725,0.0523158707231809,0.0932738933328117,0.0706433804920496
"11431-11","heavy",2000,"weibull",0.4805,1.10399876511755,0.432454337244616,0.181043506506576,1.10718684112382,0.418246531157904,0.184228857616131,0.0521220653555594,0.0844391407340215,0.0711703163980524
"11431-12","heavy",2000,"weibull",0.4925,0.938044732432364,0.556183111547022,0.214226038435173,0.945358018210766,0.509071635849842,0.201886673799822,0.0538273024884098,0.0795884440725415,0.0691808494148801
"11431-13","heavy",2000,"weibull",0.4875,1.08468398047263,0.411384892913452,0.209624521192135,1.06329435376299,0.446928416780943,0.174938001782231,0.0523790006625373,0.0741547048587848,0.0709415638055187
"11431-14","heavy",2000,"weibull",0.475,1.00278457539582,0.531725420350404,0.213661470003687,0.969914203761935,0.648005759896232,0.213898302090513,0.0523219452160455,0.0901843328852879,0.0665506712696483
"11431-15","heavy",2000,"weibull",0.5065,0.976971992496472,0.4990982474033,0.267070972811556,0.954365002864251,0.589198278174632,0.264398819820332,0.0551267728486699,0.0926056359762358,0.0716098876604156
"11431-16","heavy",2000,"weibull",0.4825,0.953590940201875,0.582670654824914,0.222424602116153,0.926987467496129,0.71604371777934,0.216081151299026,0.0539371352562203,0.100118869419385,0.0712131613338063
"11431-17","heavy",2000,"weibull",0.489,0.963053468892446,0.521817989618325,0.238204113316774,0.976433624754781,0.545132598020153,0.248300052352853,0.0534336667073855,0.0987289780970242,0.0742306999562487
"11431-18","heavy",2000,"weibull",0.498,0.998160074046851,0.470858344377045,0.22637912703116,0.982226512394732,0.517705005917335,0.214777619857198,0.0522359047710862,0.085781563647423,0.0694921320204379
"11431-19","heavy",2000,"weibull",0.49,0.996976683219454,0.460425551578846,0.329676109536315,0.976154553109032,0.556109846802662,0.307834349346894,0.0534913550433608,0.0996429057838695,0.0694806985591843
"11431-20","heavy",2000,"weibull",0.4795,1.01808468935784,0.468941629047294,0.254916470503084,1.01846266648351,0.480731653519756,0.25916350045241,0.0521035818015469,0.0947754277357485,0.067601239612574
"11431-21","heavy",2000,"weibull",0.48,0.987799982069924,0.53107754659161,0.261939704511141,1.00541284632405,0.475086911574659,0.311203327616896,0.0538549307641802,0.102045222414661,0.071200960426124
