"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11428-1","heavy",500,"weibull",0.5,0.897372252611159,0.438492734269562,0.425538406275781,0.91816668918791,0.340308165203983,0.482312353319132,0.102977086345831,0.160227359191413,0.134598544378356,0.913177817574111,0.358809300726044,0.486319896972381,0.105058758184302,0.168352455187478,0.131751103646559,0.906114112710617,0.372903167337104,0.494398268786024,0.106934680673094,0.177294855766504,0.132058221977273,NA,NA,NA
"11428-2","heavy",500,"weibull",0.474,1.05889714562374,0.521173246373975,0.0675303070331701,1.04614561878766,0.652408193261706,0.0555112165191299,0.102592209202336,0.204670765512863,0.131096644440908,1.04323777815517,0.666195727568304,0.0565597771785411,0.103132115240976,0.204581075310043,0.131280144856349,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-3","heavy",500,"weibull",0.472,1.03247812568011,0.592945621464573,0.159406927460136,1.0432560456882,0.424890874234752,0.159515896356422,0.0949861550909041,0.126605600044916,0.130841769489826,1.02759561014687,0.494720143903647,0.171830398296383,0.0969102990056556,0.147285725639061,0.129560138262068,1.01579202555311,0.536512715289172,0.190724686578788,0.0973935829905531,0.159448438676801,0.127189486203733,NA,NA,NA
"11428-4","heavy",500,"weibull",0.482,1.02139762274749,0.510653293032633,0.235020307853791,1.06429492913951,0.446485086047729,0.210029546450328,0.107144199272929,0.190561086698314,0.13866760227837,1.0621908740443,0.463180748447833,0.213121088359101,0.107887791828339,0.198754633147809,0.136953259005153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-5","heavy",500,"weibull",0.46,0.881435097993669,0.593348684596374,0.286040313747422,0.928225624665821,0.503330625847623,0.33271836284118,0.108108227267734,0.230759772027061,0.139373295984742,0.919904244286333,0.520206958237031,0.33237838296206,0.105709899133412,0.230581903870576,0.139560556192783,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-6","heavy",500,"weibull",0.498,0.895871362677774,0.572773294396168,0.262006088430713,0.913030408235637,0.651688295216945,0.263883308386652,0.109891830255168,0.235780218963711,0.151055579554045,0.917106818110425,0.644653356888118,0.255590721080708,0.109520051467135,0.227037934953672,0.152380134985855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-7","heavy",500,"weibull",0.492,0.94097903540261,0.469966567871533,0.23884302532101,0.941878796828109,0.437357992901848,0.23524331255835,0.104721021069104,0.173002720829419,0.142499266277748,0.937457549195913,0.46959409623284,0.242337552388074,0.107648201707651,0.189953738386125,0.143223851442895,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-8","heavy",500,"weibull",0.458,1.13216166437025,0.414426613236403,0.181842281231221,1.13860057884061,0.368921878309638,0.191942806260925,0.105079941369637,0.171066779888145,0.131687552849734,1.13461324663165,0.396170849033326,0.198417450026338,0.10727258291271,0.185942695397408,0.130186127651983,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-9","heavy",500,"weibull",0.5,1.00232572068235,0.540956491010723,0.308864847495197,1.02842627998129,0.547465742469588,0.350499127707043,0.108527875139382,0.228870045450081,0.144188349764383,1.01976658521315,0.565028114300892,0.354029030115391,0.110437239997616,0.230887565184437,0.1447404546474,1.01051350485881,0.635863609696386,0.364355222746088,0.11501923387992,0.258941269014995,0.14200838935146,NA,NA,NA
"11428-10","heavy",500,"weibull",0.498,0.953131810970555,0.51696492620799,0.384131727278412,0.971621917566376,0.493187928713223,0.373558863790047,0.108067201879565,0.189137535041715,0.138090319091704,0.97116910930713,0.510182162701718,0.37371613496044,0.109744409881204,0.196238032329315,0.138852043612951,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-11","heavy",500,"weibull",0.532,0.998982296793021,0.545446145295954,0.201329413405512,0.986944316774421,0.502016210120337,0.18187284189504,0.102297208909601,0.137440795438688,0.138400419586142,0.969718949028299,0.570336152479385,0.184842560514203,0.104397583525677,0.152125363397074,0.132961375680399,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-12","heavy",500,"weibull",0.486,1.07301378042336,0.432491401965457,0.100375885848329,1.0773627188804,0.456460921950763,0.131503238064531,0.114657079309474,0.226658450209156,0.131664190602612,1.07824872071832,0.455425782165416,0.131530451843586,0.115259355957036,0.231096440323565,0.133807138850547,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-13","heavy",500,"weibull",0.476,1.0793492269429,0.462882815409011,0.128438016394383,1.06017817629075,0.6133786121469,0.101597328221085,0.106424383165508,0.201245873623951,0.140654497636112,1.05953612776782,0.621086084556203,0.102565369449508,0.109540423136136,0.20903962849612,0.140154543189984,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-14","heavy",500,"weibull",0.508,1.14876303584944,0.553125488765923,-0.00230793662392721,1.05754249304685,0.758590153928631,0.0659454078861436,0.108021081339344,0.199173840734153,0.131372479517638,1.05262847497701,0.78108067853705,0.0704065974914525,0.108082118521508,0.201671443503984,0.130124440900859,1.04557764017317,0.831486996596535,0.078780474303239,0.11020782718222,0.214123247739903,0.129354983600304,NA,NA,NA
"11428-15","heavy",500,"weibull",0.5,1.00658215587567,0.468957610077846,0.265441457327253,1.00078441653865,0.545674159359406,0.265070897783306,0.107786910885685,0.190009052170501,0.141302515875174,0.99435217381444,0.557434444101227,0.273747430257237,0.108396355215782,0.198996516187766,0.14054837851529,0.988827212741035,0.574293355758919,0.286748824338334,0.109223372086747,0.209493464416562,0.141656498710021,NA,NA,NA
"11428-16","heavy",500,"weibull",0.452,0.990071511066562,0.539054692757296,0.327985618304372,0.936568208677915,0.676852337137049,0.385830504587671,0.11037556922588,0.192413688863321,0.12581735820781,0.935923881907179,0.704196335930904,0.385665589699823,0.109211514657332,0.200730002754908,0.128234828773634,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-17","heavy",500,"weibull",0.48,1.05418605409475,0.480652221441963,0.152225977685085,1.04341820366147,0.638394784989333,0.144576748943894,0.114432439883041,0.2482330324197,0.139159734975592,1.03969625382532,0.645595649113995,0.145770163546123,0.113366325704092,0.257108537778042,0.138868271311846,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-18","heavy",500,"weibull",0.458,0.850718888348953,0.495960095033381,0.478391994252595,0.880286136361883,0.403053031791086,0.481670785848853,0.10421988209278,0.163416009236166,0.140710519561967,0.871650854748352,0.442246560538306,0.49425667089341,0.107147418415048,0.17817947022028,0.13879282797915,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-19","heavy",500,"weibull",0.506,0.981089521089954,0.442475236401393,0.218351517455925,0.982256404917119,0.472153437241034,0.261559567448005,0.111140237390119,0.221935748539592,0.132482586556389,0.982860992485343,0.478784949281166,0.255974290413791,0.109565506522857,0.222138997596306,0.131146403394675,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-20","heavy",500,"weibull",0.474,0.94149091205069,0.532110702688234,0.318263313559828,0.972853490372494,0.451087765109632,0.37361540047709,0.105620562731536,0.196317534988245,0.133948923313524,0.969086935591088,0.474629718642993,0.373662583392244,0.105814765616913,0.205231183146828,0.132283769271481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-21","heavy",500,"weibull",0.484,0.973228596592012,0.50156338114174,0.203463251036346,0.967626109434582,0.579042495901608,0.169174739843782,0.103141817475155,0.201941640434411,0.150665689112165,0.965770007853861,0.598395067102106,0.166928165038201,0.104845352974153,0.209657879551951,0.150970558993262,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-22","heavy",500,"weibull",0.484,0.97509929187886,0.504712750646877,0.340504472206655,0.965798430153332,0.656871056100408,0.340602477785785,0.110309577458097,0.258433694453426,0.150274076856496,0.967214177070933,0.655194000867868,0.335233477585246,0.110784612419419,0.263596769847595,0.14717879398912,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-23","heavy",500,"weibull",0.468,0.922437243000086,0.507071157375213,0.348243524831951,0.855362792922609,0.763631778103327,0.359088139156025,0.105944994516987,0.203820856072859,0.131452380312351,0.847007164786975,0.796201225892459,0.36798945364446,0.105224506381254,0.215946149609829,0.134426774201088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-24","heavy",500,"weibull",0.466,1.02751016919872,0.547198831048588,0.364339252043347,1.03426580430005,0.615257558425877,0.414401972580867,0.109507040752309,0.214039197305141,0.138755080760611,1.034683416865,0.620212415342201,0.413461090712857,0.110080757480781,0.219621090147121,0.140576186274211,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-25","heavy",500,"weibull",0.51,1.04926148894855,0.542124149981896,0.081247998342146,0.964525444748165,0.819464093343298,0.106634669575964,0.117246861032273,0.225435376491036,0.139552756570971,0.966691247265392,0.828170489616256,0.103021749293787,0.11865524869615,0.228517018640978,0.137196264505475,0.952422525389376,0.865902181884733,0.110210836722714,0.120040796520922,0.236113883180338,0.141370476841289,NA,NA,NA
"11428-26","heavy",500,"weibull",0.504,1.16798411070897,0.418051498554762,0.117509114600879,1.15661249662932,0.466671351106614,0.130175483290668,0.114990241109625,0.197753341457383,0.140242186099162,1.15386027426655,0.490204907765086,0.130826437263279,0.115609935241503,0.211856088905312,0.1413854878477,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-27","heavy",500,"weibull",0.512,1.04009266357799,0.577774230206734,0.11088521207831,1.05517558462829,0.551240224074862,0.145177900712337,0.110655393520521,0.200576180932726,0.140729761853922,1.05566852647578,0.55553915991458,0.149502420755474,0.108475952649026,0.208822500132861,0.143682296526526,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-28","heavy",500,"weibull",0.484,0.98454480473612,0.444758199627749,0.326365485031427,0.945532653515821,0.466058137182519,0.372090210284059,0.115954128134282,0.178704738528877,0.14284411457385,0.936152658404672,0.508586236493097,0.379968125723297,0.11679453708692,0.191856984850991,0.140656955638677,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-29","heavy",500,"weibull",0.478,1.02424368047468,0.527961596194965,0.252668086822594,1.08264815818766,0.304837208403598,0.325863057920293,0.103089979389131,0.157863445524132,0.135357059418322,1.08167894769135,0.311826901576283,0.333664345101807,0.102930247024536,0.167751797356944,0.135828225252518,1.07336583904798,0.338865813917493,0.344577127573187,0.104020978598357,0.183482926202023,0.132943582680181,NA,NA,NA
"11428-30","heavy",500,"weibull",0.506,1.05461580005041,0.475751349428698,0.175261700883671,1.03621170220608,0.460407338154101,0.227139800125348,0.104261551932526,0.157682825693669,0.132497707171326,1.02747865512595,0.499635091192126,0.235771276607273,0.103483251766374,0.170126254514362,0.13229166946495,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-31","heavy",500,"weibull",0.466,1.11742801689326,0.433499402987996,0.232873518526138,1.15295689568211,0.325472285014794,0.282620357649086,0.104212858889234,0.202439119608711,0.140930702976871,1.14788065416079,0.341888201690133,0.283411616681521,0.103681581417357,0.210657292871832,0.139046738299982,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-32","heavy",500,"weibull",0.502,1.02869429073249,0.481859228815791,0.297242268525873,0.987620388480336,0.627074180676931,0.27639471547975,0.103100757112996,0.174769097049799,0.132952316952999,0.977591731628171,0.660506110355287,0.27959601914454,0.104366499052726,0.188521140237379,0.13064805280641,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-33","heavy",500,"weibull",0.486,1.05320505783804,0.456259742512126,0.332580599018066,1.05129193888404,0.496842859577561,0.351896333302207,0.106607004388291,0.173921217003828,0.139930678718023,1.04750271855507,0.507628114246054,0.361122233327336,0.106130063287947,0.178225315086785,0.135227533975205,1.03470238829937,0.550465521630335,0.376827337336752,0.110587967913047,0.198538524220872,0.137067088234493,NA,NA,NA
"11428-34","heavy",500,"weibull",0.482,0.872276221615285,0.509260696571817,0.379483804097444,0.86219486472756,0.544699062056408,0.445164057151004,0.108057489145602,0.204852925437769,0.129046816157988,0.855540714514149,0.555271536218847,0.456141834669492,0.108859365994472,0.213288110231037,0.130401013544797,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-35","heavy",500,"weibull",0.492,0.980136258615897,0.49402261892783,0.426766624061883,0.985414198800225,0.531830656862418,0.446762700666532,0.113252292345258,0.216344243606864,0.14075669658604,0.979750181825912,0.552593317811491,0.445239934274118,0.114089128892011,0.22197682042942,0.139351208280531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-36","heavy",500,"weibull",0.47,1.0583146872218,0.49067200045482,0.188242814667295,1.03147716052322,0.608818159852754,0.20972133079864,0.104743878011095,0.206129982846489,0.138267536486818,1.02599325616333,0.609774575401149,0.216038128724364,0.104495116821943,0.212193802194267,0.13824181162141,1.02415497744502,0.622341594272239,0.214313404005467,0.106088050965024,0.218169442774919,0.140193970148226,NA,NA,NA
