"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11436-1","extra_heavy",100,0.86,1.25163624471966,0.367435930062529,0.234687804483817,1.39921973556188,-0.157925090351503,0.345599717475105,0.273527329315475,3.17264801007819,0.505494172323663,1.2242114458217,1.06730210859964,0.424391897488334,0.459610992600421,3.37381135182312,0.302388090985671
"11436-2","extra_heavy",100,0.82,0.980268637149473,0.483883744119533,0.273520600884273,1.25729748931018,-0.975455373341362,0.23110461892783,0.431622676448801,2.41676937810617,0.511006608489452,1.24859441853267,-0.683878421181338,0.379977116464288,0.480293435035539,3.25341834844507,0.313495070606441
"11436-3","extra_heavy",100,0.8,1.09067660422391,0.421735988282196,0.356158170306765,1.08406298371059,0.757449964712716,-0.529711589326209,0.243483386867435,0.773053634840891,0.588051186696885,0.979168992303805,2.22305715716804,0.471266923624607,0.494165779007459,3.76671004354704,0.290694399638341
"11436-4","extra_heavy",100,0.85,1.08266127865394,0.37205855777113,0.198635448487884,0.674382160853413,0.627241879119247,0.452473241729485,0.526508885014584,1.97045163500664,0.611843933070577,0.666436326832713,4.03132179868975,0.283630455033554,0.521354596458773,3.35817942720339,0.288673170279686
"11436-5","extra_heavy",100,0.81,0.897578710399871,0.70247550679712,0.411561398294741,1.05826129362458,0.000506569819521648,0.465098968530343,0.314507912331646,0.001734973638584,0.452469140435727,1.11983583271426,0.185521802880257,0.534127239279856,0.382675193611854,2.79695308056156,0.282578486285381
"11436-6","extra_heavy",100,0.81,0.856865380704244,0.592040676947858,0.198607873417519,0.923184406988601,0.556927308207111,0.253582195976888,0.349509572900572,2.60637998770447,0.598144381100468,0.805063825696186,1.81909274682121,0.36279431996936,0.443240240889856,2.81670917368664,0.379954374263459
"11436-7","extra_heavy",100,0.72,0.891747640963327,0.246459088301497,0.553404163743308,0.93465537816787,0.0484792921734467,0.482360021763353,0.245788127687486,0.398719058334217,0.479047881338125,0.757512448182808,0.911030628133741,0.699593960673589,0.340963643967863,1.9898817222046,0.317916711206984
"11436-8","extra_heavy",100,0.88,0.979088115983051,0.927824035711859,0.112925833844727,1.03225117382232,0.411310356879421,0.22722565225116,0.538183467902476,1.87547853539576,0.782506201853264,0.697400467536955,3.30727874874845,0.350888481362149,0.465132303275643,2.28988706852616,0.330215817499328
"11436-9","extra_heavy",100,0.86,1.28390240944459,0.30618698266695,0.155178320348167,1.2682495820889,0.156973559776127,0.0386488174807407,0.262157909142897,0.541171330943102,0.654651721426135,1.17471437323956,1.39417198061437,0.250042505628728,0.411367874147797,2.57793315692287,0.260301212473399
"11436-10","extra_heavy",100,0.85,0.773842614414182,0.56325199404045,0.492327356807141,0.934461139230671,-0.337049146099026,0.906713955789795,0.337260496710296,1.95140933205961,0.496092089502092,0.644381236259187,2.46690758487589,0.745505103587822,0.444186838844014,3.02694326999095,0.262713952026177
