"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11422-1","heavy",2000,0.478,0.974700191731677,0.486013165072482,0.312215084858155,1.00536071674636,0.421779439570527,0.339943988803441,0.0494182998902777,0.103053763272844,0.065088976390778,0.965701151764793,0.411613427471752,0.434102551367547,0.0588546959559292,0.0891018708556817,0.0634922747445706
"11422-2","heavy",2000,0.4625,0.997909001648798,0.491117915155004,0.237252600095955,0.996773911134194,0.557605919049225,0.200131014434875,0.0575641472330281,0.104941019474138,0.0673671380348629,0.9317256474115,0.552384082937425,0.361497739952975,0.0587526035678601,0.114047583641001,0.0621229910048351
"11422-3","heavy",2000,0.4795,1.00345085709465,0.493504012988731,0.235931766391272,0.966421721762246,0.655619635708779,0.234165033467018,0.0587794061427144,0.110234883934061,0.0654552387701729,0.925551260340736,0.584217804528841,0.378280709052651,0.0556143418799216,0.0974926801529064,0.0602311963194166
"11422-4","heavy",2000,0.4925,1.00510349811753,0.46695493314217,0.264460062818671,1.00205063157134,0.420978355374677,0.304749088102618,0.0540314373415076,0.094477644474401,0.0716131132359804,0.967096185942319,0.428972419950032,0.38935704811444,0.0489248915419643,0.092442854343372,0.0623874093117171
"11422-5","heavy",2000,0.4815,1.03090050943473,0.432895506826733,0.236240854599867,1.05227685732625,0.3757383404515,0.259401474124311,0.0475129288453298,0.0898402875181662,0.0763072051733096,1.02293431082052,0.30532144184367,0.357838548102504,0.0576485825048166,0.0791850772531628,0.0585907317678955
"11422-6","heavy",2000,0.477,0.953703792031515,0.508013224658476,0.292603930619959,0.956972325897141,0.432875660270015,0.349855705812772,0.0485592379063515,0.100613888136415,0.0716609650384276,0.929370689394375,0.421332595494793,0.435048319144983,0.0541712982947248,0.122434263062176,0.0679951937351019
"11422-7","heavy",2000,0.507,1.02683410307723,0.488937076784205,0.147988617419404,1.02776732376459,0.472547749881043,0.171586036021902,0.0590545990282889,0.0903077890084445,0.0724731369525301,0.993536430862046,0.477700724733559,0.257172259257035,0.0624723302336593,0.0862248490384121,0.0653966700743031
"11422-8","heavy",2000,0.4825,0.980033740748336,0.463194649120269,0.315010892748541,0.96761938806314,0.501879056996386,0.324728433700332,0.0638161969016646,0.135655314788371,0.0715269995251431,0.928026352313718,0.518547179666237,0.418713208101271,0.0550977815538114,0.107529285145436,0.0617351856472453
"11422-9","heavy",2000,0.4765,0.955369524317988,0.481282891081575,0.337761554801961,0.940913976154851,0.571481569886581,0.353695761668031,0.0495583001430198,0.101747407954181,0.0725530373902651,0.919063386800871,0.482282438953124,0.457582753068498,0.0628352881023581,0.1099067577711,0.0776999832048108
"11422-10","heavy",2000,0.51,1.07470523185852,0.481537026275267,0.175787504316602,1.06661506031722,0.481926055527501,0.182250323290473,0.059488430843552,0.109603746500001,0.0745805520675047,1.0308047768559,0.481888214624502,0.285099042221501,0.0587227650189785,0.0966015379786663,0.0725384211664997
"11422-11","heavy",2000,0.4755,0.977633881530085,0.54546532132182,0.258079186688728,0.936859166614995,0.686325660667129,0.235366787206566,0.0600283479231024,0.133238208299482,0.0634077391460594,0.904521495071958,0.597149004608928,0.38676071488267,0.0540742412046161,0.118675460524311,0.0748190398315129
"11422-12","heavy",2000,0.5095,0.996747086291439,0.424779967516323,0.297352980256101,0.972349701797567,0.485959695520036,0.279725981763376,0.0486323254803811,0.105151772064227,0.066897239312322,0.935330999750924,0.460468615777098,0.391228424831322,0.0607906804389727,0.102018548355071,0.0683319765831102
"11422-13","heavy",2000,0.4845,1.01099853896094,0.452656504136558,0.276650692414139,0.960152027748697,0.570239539512904,0.282552364703066,0.053066167013737,0.109657936131271,0.0724295187290297,0.91271636528211,0.646120435857662,0.37873086577573,0.0619886842479409,0.125721549812289,0.067772270969512
