"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11441-1","light",100,0.13,0.89806821446899,0.509918271622747,0.289419087904106,0.936682231891005,0.420560234751852,0.240522437965156,0.252944258893919,0.26281241153429,0.398310202636572,0.893016582797228,0.436805283838754,0.216987865485062,0.240669694321712,0.261509925305469,0.341867439674936
"11441-2","light",100,0.08,1.26032821450989,0.345289431325936,0.10123426258165,1.28419588923151,0.214424401534987,0.0631673289285239,0.19623007101149,0.232645232506434,0.295222244655233,1.29373591238094,0.23323417821516,0.178548334416252,0.206775703828955,0.239234500185715,0.283936194997438
"11441-3","light",100,0.14,0.723888976345631,0.70249913986129,0.519450638855917,0.739694025552266,0.844339214758076,0.458051139381013,0.222635849659381,0.560422594543082,0.259566385686262,0.683862483875683,0.81339981988179,0.573025536950509,0.213044061689226,0.472305428710175,0.254111463644727
"11441-4","light",100,0.16,0.867663136892776,0.500611844929141,0.179438266230802,0.918248436271499,0.4937460852036,0.0936559462351682,0.23936635327379,0.309886692588119,0.276332990767684,0.825974553285561,0.657091371751535,0.110967596224482,0.217919218395627,0.25150816467601,0.277927635019955
"11441-5","light",100,0.21,1.12675375138832,-0.0655678202831196,0.608405071225894,1.2326266320571,-0.18560003402747,0.546587188060086,0.240408999453886,0.392338682069481,0.305383222745193,1.14670397028323,-0.105885305485362,0.606627002656757,0.230755148223723,0.323350908403817,0.280852234353934
"11441-6","light",100,0.23,1.03888036044623,0.509916858126259,0.345144439163973,1.06836185283374,0.357756967548588,0.40022166435647,0.210441160641188,0.280455264893423,0.322875100581497,1.08803861184491,0.351874483474347,0.34079206731303,0.24659050022085,0.272440471177636,0.30409001966657
"11441-7","light",100,0.08,0.629743528113542,0.619787221559787,0.459367614949861,0.592294904633789,0.7216169490029,0.382909777565863,0.211323005895632,0.382018869273897,0.242201087402535,0.57287025509042,0.73407826222441,0.417757607878673,0.171033856894452,0.355537569875082,0.235023839480699
"11441-8","light",100,0.13,1.34018545350763,0.417814961161889,-0.138087950052104,1.3777635851398,0.42451857310174,-0.178566199443847,0.271376505090046,0.422746791163545,0.286985821836447,1.39751640495443,0.404052245714394,-0.191348194790837,0.24008580147262,0.448185708435536,0.307736820240021
"11441-9","light",100,0.15,1.1769138022834,0.371964074025384,0.336695229880312,1.25302513138817,0.280645983207202,0.337983463412674,0.172238024229563,0.322363380318234,0.237676562598051,1.24788107240384,0.294005844549804,0.341308097923801,0.192463183071827,0.301273835119657,0.312099616281122
"11441-10","light",100,0.12,0.976487084765964,0.54172671040748,0.211874047442001,1.06545375694712,0.38124008271631,0.284889409410286,0.234058906839497,0.301162629938613,0.30295238985245,1.0714027886707,0.37724313751977,0.19238420505425,0.255594400711005,0.294660667647337,0.31665382760488
"11441-11","light",100,0.25,1.28937855497689,0.2294164527968,-0.121229028584869,1.24068679806125,0.320671715636238,-0.146250676256829,0.23880040777378,0.269858672096115,0.30967718500945,1.27070359515733,0.280496890028876,-0.161458266455069,0.234799987729165,0.364700777799059,0.308641031324088
"11441-12","light",100,0.2,0.961622305467783,0.449393611963341,0.506896939961179,0.917360068979007,0.430331919702022,0.563402518173099,0.189272167677851,0.182305226641796,0.295351691057594,0.876029887320528,0.357504445069358,0.727544667157779,0.211211837932279,0.171721378847664,0.281088502894268
"11441-13","light",100,0.15,0.859622282408038,0.519552699191665,0.361095224102392,0.867513136933505,0.411765705691494,0.340568871071788,0.16582193959345,0.13189226867177,0.266710300379612,0.86661277978626,0.491025677225137,0.352701761909518,0.193961121809911,0.221347672660574,0.305078131746917
"11441-14","light",100,0.14,0.761157547725994,0.795260602530394,0.312950804025798,0.823203698226999,0.716478237867329,0.383558937507929,0.217212114608831,0.242823860103714,0.330713388763586,0.782010293659859,0.773566624743309,0.428335159703796,0.204443373272771,0.344879848174954,0.328475633461867
"11441-15","light",100,0.2,1.0073719703921,0.608483792027495,0.284206860743909,0.979113419715065,0.385357102010139,0.41434148601806,0.254750929198453,0.339499860335771,0.320113862434456,0.92727205397487,0.588362868522073,0.408524002990183,0.244827784380221,0.319554649890438,0.328936290922711
"11441-16","light",100,0.15,1.00708392885924,0.648419021491705,0.279420597656683,1.07703162854414,0.509636362889791,0.25527064553127,0.269636760554767,0.365698276318432,0.337586933243597,0.987803805990965,0.56624279621265,0.358096469760074,0.24412491602909,0.336919148353504,0.33611029175865
"11441-17","light",100,0.16,1.14192526894202,0.47899432537559,0.0941243642540582,1.18608782247018,0.487187278447069,-0.0188574096114943,0.243880464220627,0.235471163594052,0.300531244697683,1.07872686626838,0.519878801065855,0.128192997812615,0.277544403470833,0.267382545646612,0.307416222978092
"11441-18","light",100,0.19,1.00975986059662,0.538430836681494,0.134503579597988,1.0067908835527,0.540598160677942,0.184110544421449,0.210967795388882,0.27240065424427,0.293632249647535,1.01709317756087,0.378376694054343,0.200102284547057,0.214224355821074,0.223392926319488,0.317783110827326
