"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11425-1","extra_heavy",500,0.798,1.10833885315916,0.46855944273888,0.145371808290014,1.21033334043376,0.235154733825795,0.216719858083733,0.132894405528163,0.354033822411088,0.143527128709238,1.19308212299621,0.584365616624843,0.252647555329988,0.172946740351923,0.97196164050935,0.130872583847241,6.68199999999999,0.751999999999995
"11425-2","extra_heavy",500,0.81,0.998658487269459,0.538096116949978,0.169508071347708,1.0224862249658,0.310605308104019,0.20081283451786,0.123594775610614,0.205822150344279,0.165423090724076,0.95676316533792,1.04554562579066,0.337410558530784,0.180899658187883,0.815596188030828,0.134967803626512,5.136,0.719000000000008
"11425-3","extra_heavy",500,0.816,0.943564720020018,0.498108307562167,0.302542957578265,0.999744430173331,0.180404354534987,0.271933703454742,0.107077792138529,0.124306460647192,0.19554854375596,0.786228009573083,1.62130837044115,0.47657284360312,0.171029542924334,0.80519160445241,0.130463729152347,4.393,0.919000000000011
"11425-4","extra_heavy",500,0.804,0.986672680712484,0.465170157090081,0.269394693918477,0.989343403293472,0.351921503506178,0.256085844250555,0.11886708094286,0.237687913334315,0.165680400406992,0.971189657972885,0.87526509480552,0.410057955934075,0.168054011199942,0.95518983042311,0.128642017161542,5.16900000000001,0.798000000000002
"11425-5","extra_heavy",500,0.822,0.985204824615821,0.4691628668523,0.195139621954677,0.971044651707961,0.206402123538445,0.288682263341814,0.153035893023457,0.148707136793109,0.133475158894483,0.919595776161191,1.14893444463716,0.324681617606673,0.187138535007337,0.827857952356989,0.136795177914938,4.58699999999999,0.98599999999999
"11425-6","extra_heavy",500,0.796,0.916997252193665,0.500124770718843,0.338172890804657,0.890713821975224,0.828492039233314,0.358292187494582,0.13731628593682,0.534102704433489,0.146014595389441,0.891653880827502,0.946886353738752,0.442053838502737,0.161446836169355,0.81275679498483,0.13072875011856,7.62300000000002,0.713999999999999
"11425-7","extra_heavy",500,0.772,0.923158215345308,0.506400540393824,0.338122396586515,0.821267007369783,0.920419090247149,0.253385946128016,0.122639385834391,0.310877519718703,0.144635015435527,0.762947716597187,1.60170294837012,0.461066707903493,0.153372318844731,0.629836619770905,0.125164521375023,6.43000000000001,0.792999999999978
"11425-8","extra_heavy",500,0.776,1.05231248526325,0.388163237408397,0.205514647800957,1.09143097836217,0.249348898396276,0.128545026818241,0.103759308445579,0.187811660610439,0.190932611649264,0.964705254619577,0.989756064152603,0.30992012917033,0.146689154807754,0.596496487989266,0.129059790927612,4.679,0.721000000000004
"11425-9","extra_heavy",500,0.842,0.938085172113387,0.604129309550446,0.320913031326942,1.06887305089163,0.0631885534017222,0.325643921136214,0.119881734974813,0.0678216086439738,0.210112485989057,0.969869849707884,0.983891880755419,0.474043422084772,0.192516430845969,0.956881091716303,0.137690700604837,3.72499999999999,0.907000000000011
"11425-10","extra_heavy",500,0.84,1.17879168444175,0.434713701198077,0.121677064778787,1.13933344588253,0.3183154066309,0.0326772494135049,0.123433420125931,0.144508263036962,0.154023176322078,1.01664861157755,1.46262230853264,0.228778516288473,0.178586242454936,0.691763251321194,0.125402856855009,4.59699999999998,0.814999999999998
"11425-11","extra_heavy",500,0.792,1.00978605184153,0.541969586275687,0.13832513095165,1.03175119606897,0.45514781609601,0.169276275222021,0.111619109344795,0.290572782570219,0.168613887272082,0.927369898463627,1.45988897558989,0.318764084928003,0.162595920611864,0.917831320653715,0.133082783976752,5.07900000000001,0.872000000000014
"11425-12","extra_heavy",500,0.78,1.04170421073405,0.468336896454853,0.251249885216164,0.904819632232343,0.861120145446574,0.296287530912577,0.141806677204916,0.333947986077485,0.1296876515871,0.790254704431815,2.89359923349672,0.379981307176356,0.169288801515043,1.03817830177637,0.127985592940885,5.01499999999999,0.844999999999999
"11425-13","extra_heavy",500,0.808,0.930500725015595,0.471102419281175,0.424934193762569,0.799048587768346,1.73145026475207,0.22486190617707,0.124575195409848,0.555686300392166,0.174101876548379,0.65424138473185,2.76974038442516,0.569609596575869,0.178963633105539,1.02754911555412,0.134510121435143,7.47499999999999,0.743000000000023
"11425-14","extra_heavy",500,0.788,1.01319105188624,0.534183114743459,0.144026560988456,0.941176152265355,0.812858087218975,0.177832088101418,0.148357127528313,0.355171664914837,0.138582308905614,0.889647675929414,1.9785613303236,0.247916391796745,0.175491162231158,0.942420321631295,0.132255765130316,5.285,0.707999999999998
"11425-15","extra_heavy",500,0.798,1.05209243439754,0.440083536612249,0.210483376066778,1.20095314940646,-0.0496145980567321,0.327639622419398,0.123162682116089,0.29480295718735,0.133439965866444,1.20651670609368,-0.124438941504423,0.309133393759919,0.152872992876961,0.839830724397246,0.119800486812621,5.839,0.745000000000005
"11425-16","extra_heavy",500,0.816,0.999299203008945,0.475681958900466,0.280253224874521,1.00133406035166,0.696384582743784,0.0604731429728845,0.106869970168569,0.323136400115766,0.204218778105805,0.803811524721065,2.21270253607721,0.410728081701376,0.183858661220705,1.0345446125309,0.128085263464387,6.12899999999999,0.881
"11425-17","extra_heavy",500,0.822,0.972306807434044,0.529369919538824,0.280742982325269,0.999897937533265,0.422387024088204,0.0808430694634785,0.109251038696438,0.177945073870011,0.180353799205053,0.896073507192887,1.5231800610603,0.410195838890771,0.175945503795871,0.900166771848416,0.130748444541711,5.09,0.807000000000016
"11425-18","extra_heavy",500,0.806,0.874270190201214,0.577211921710762,0.238367646948514,0.830590732602655,1.24320575610791,0.328357279213755,0.145763504565389,0.756173259616012,0.156217234439557,0.833791771286559,1.05564985690728,0.443825896487474,0.168330406193249,0.821233961698989,0.137468801286145,8.184,0.739000000000004
"11425-19","extra_heavy",500,0.826,0.922195485356082,0.544714132117117,0.263852220167209,0.940977198391843,0.390913249928515,0.151330985405403,0.123839733814854,0.208395487542203,0.177737368257688,0.827102680793475,1.69710032087164,0.371450950104723,0.188063349101275,1.005807013677,0.1334439370142,4.68099999999998,0.775999999999982
"11425-20","extra_heavy",500,0.804,0.959966830255954,0.482465449371531,0.332366328022289,0.943483622948213,0.813610367162064,0.409242537774763,0.150570785030098,0.575265066429042,0.142353865432484,0.875011522162316,1.25221198680266,0.487899118613701,0.17709316520865,0.819697108196205,0.133336618782128,8.80300000000003,0.700999999999993
"11425-21","extra_heavy",500,0.81,0.992077373679632,0.556292526225896,0.173645584833778,1.05439578726411,0.304267176847247,0.25687263708509,0.148697740382591,0.340103543688349,0.15029013746746,0.995223631113823,0.880083239515081,0.304817734230993,0.184239005250325,0.842062022860758,0.132164862251728,5.964,0.840000000000003
"11425-22","extra_heavy",500,0.83,0.990462271340133,0.434397852423672,0.267721170792499,0.970754819865381,0.570127038422949,0.291743419483142,0.127269384517885,0.343536426583348,0.156994885213143,0.935045999117579,1.03411371005953,0.445744222208958,0.174584625740654,0.816481791427533,0.128485102760649,6.327,0.718999999999994
"11425-23","extra_heavy",500,0.792,1.1313212673113,0.447066784441966,0.127368015134836,1.03540111944414,1.19751002959179,0.0199121795467253,0.120939359062093,0.481895356421779,0.167429737238187,0.951983942280382,1.67900713239348,0.260875675755752,0.16052606135078,0.772353336562185,0.126887246652515,6.577,0.701999999999998
"11425-24","extra_heavy",500,0.812,1.06288443688302,0.474260031662613,0.164438200064226,1.06829534226701,0.341478097547222,0.168149349499034,0.138502284926584,0.236293099089949,0.170137170672662,1.07465282371466,0.893100601350142,0.294315027179442,0.18693411962961,1.01296486509278,0.136204812830832,4.94499999999999,1.053
"11425-25","extra_heavy",500,0.824,1.03140874133469,0.496310060785453,0.222491679217243,1.11495443021332,0.266437002246187,0.289681157474562,0.128518232842808,0.284313971741311,0.184345680339667,1.08364052250577,0.606666798237843,0.398574911591717,0.171262419131303,0.758553434126877,0.130601569855767,6.76300000000003,1.03899999999999
"11425-26","extra_heavy",500,0.8,1.13660364897385,0.41088318998393,0.115912064677437,1.25571671637018,0.0538449291733215,0.194005671216845,0.112331276759502,0.277512629417267,0.178754301115413,1.20523314775051,0.341289622298661,0.22447673594448,0.164959052997381,0.826558494870416,0.129536395421727,6.39499999999998,0.834000000000003
"11425-27","extra_heavy",500,0.82,0.983260407894874,0.503235611919956,0.310588777337175,1.00790545684977,0.209445544385435,0.230923267228939,0.112616715769807,0.1019436600542,0.165293525115197,0.829809495169379,1.78225956793273,0.443429225445331,0.172700515773451,0.824772689481786,0.129758739920403,3.42199999999997,0.710000000000036
"11425-28","extra_heavy",500,0.802,1.04163635519477,0.603679049909038,0.179939804024056,1.03155998327706,0.552240936229705,0.323240837717628,0.15449678624652,0.348200255243182,0.138379071033258,1.03962497110405,0.761490273422107,0.360965687914874,0.17212801404054,0.566600944842934,0.143314540679895,6.14999999999998,0.721000000000004
"11425-29","extra_heavy",500,0.79,0.981111968486532,0.602996605358414,0.21627210250517,0.889000597914898,1.29405597672386,0.248027888221749,0.145542767144713,0.515708348552346,0.143102680326367,0.825032125054233,2.28329159705182,0.367777947661481,0.184792231463652,1.00772729745615,0.135504674576708,7.30099999999999,0.878000000000043
"11425-30","extra_heavy",500,0.824,0.86790353085441,0.613015572953434,0.297173843082594,0.859274702213345,0.410603761324222,0.306804498451267,0.141182830658946,0.19551015083214,0.154271858574818,0.873572544043134,0.793335643766827,0.465727273460484,0.181446343787054,0.594502764135267,0.139013865047514,4.61900000000003,0.715999999999951
