"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11424-1","heavy",5000,0.494,1.00456966508199,0.482120876301691,0.242588829415912,1.02371504646543,0.418312602122559,0.282548921546798,0.0339012528382673,0.0566394948136317,0.0429366170806608,1.0057888470795,0.338834691251278,0.377742818128074,0.0374004200556061,0.0535179629993619,0.0422420131235257,726.146000000001,2.97199999999975
"11424-2","heavy",5000,0.4944,1.02415469796515,0.488713679613547,0.243299295005919,1.00989643044025,0.560428716984286,0.266350737760512,0.0353236123769339,0.0665600454877953,0.0455929501412997,0.994288547801691,0.445478233595062,0.367539462796537,0.0391174410095033,0.0617342031990586,0.0418037582860529,579.196000000001,3.20200000000023
"11424-3","heavy",5000,0.4922,1.0109224801458,0.477750444314252,0.250677933601062,1.02593803979093,0.392976997424278,0.244865710217727,0.0322503211532153,0.0437288415100551,0.0450695893512515,0.974452688254979,0.393094418665888,0.387861587500925,0.0357193760841816,0.0489719530683842,0.0417165783389262,573.955999999999,3.07700000000114
"11424-4","heavy",5000,0.4886,1.00482957465281,0.498941231691071,0.233283723324762,0.961999094493288,0.654921989471644,0.240840482030599,0.0342547685205717,0.0629779711281656,0.0433516364855922,0.937639544683139,0.527006005819927,0.366421424068808,0.0376074818547786,0.0576234481997576,0.042050663852373,592.219999999999,2.95900000000074
"11424-5","heavy",5000,0.4764,1.00691600087499,0.49861800048444,0.230961870682802,0.990225901769395,0.600274464395055,0.245134902663587,0.0327086520245447,0.0674864811687665,0.0434940292333392,0.964366193921997,0.497981369499858,0.354997648697083,0.0348808992688411,0.0586222648770444,0.0407941825731043,583.68,3.92000000000007
"11424-6","heavy",5000,0.5072,0.993933308563808,0.513708908434826,0.249140259354359,0.988709057711148,0.490323156232253,0.276765075773688,0.0350471874744307,0.0545136711643091,0.0426705162700554,0.95081231343844,0.450952855393924,0.378123858905493,0.0366706842259312,0.0509187209120049,0.0416172801620001,724.584000000001,3.32200000000012
"11424-7","heavy",5000,0.49,1.02575485446601,0.506464266706453,0.25754032858653,1.03466350118457,0.467950016750951,0.265366599932819,0.0327988819771232,0.0535847034398403,0.0444292440276822,0.992035794731307,0.427518174591119,0.389208347166039,0.0363641648049725,0.0512501024558448,0.041670891719453,567.83,3.53199999999924
"11424-8","heavy",5000,0.4824,1.01246161660403,0.49692732899457,0.242353529900379,1.01546996819102,0.457603609177153,0.242897044086876,0.0328685356752215,0.0512912439049719,0.0446274754899707,0.985734873808412,0.376156050757805,0.365337812404181,0.0349976784711085,0.0460323316723431,0.0404188861146306,729.614,3.10699999999997
"11424-9","heavy",5000,0.4904,1.00118857879736,0.472416700041391,0.2615300631682,1.00614061498693,0.438265783206755,0.269833360107019,0.0318716750948868,0.0515445809477355,0.0449460527367861,0.967202219755411,0.413668550640266,0.388152321790688,0.0350487833920164,0.0506707275862789,0.0404522596242592,533.953000000001,3.33799999999974
"11424-10","heavy",5000,0.4938,1.02515061302329,0.501723097887884,0.227568475856643,1.0343043084618,0.476687633192891,0.196462937930426,0.031680012935751,0.0463175189440374,0.0457496367524148,0.979623820409989,0.443548585460576,0.358504542626221,0.0363847092205063,0.0490726903063037,0.0412502133448814,486.369999999999,3.51699999999983
"11424-11","heavy",5000,0.4878,0.988525692516066,0.495654378705296,0.290301239458038,0.962512815998815,0.604292027619331,0.326518818966371,0.0353587261657096,0.0666201788077008,0.0442639741927939,0.942081807586419,0.519017929518629,0.414458665106552,0.0361471498155779,0.0617214546635055,0.0412270183088972,614.599,3.39499999999862
"11424-12","heavy",5000,0.4836,0.988706471433711,0.485891746452707,0.285952319674985,0.992793493771259,0.480368602902774,0.298360026903464,0.0328913183848234,0.0589408761363862,0.0428866077547146,0.955195548530296,0.432474575562247,0.402439551631632,0.0351508023543027,0.0545124788231426,0.0409424162103138,511.741,3.33899999999994
"11424-13","heavy",5000,0.4828,0.993205041346143,0.493465103032679,0.246409525096801,0.990480837791919,0.459544762831278,0.263237657099993,0.0326986529205648,0.0494706569584075,0.0433964464698305,0.95557093985682,0.422144085182528,0.372866443271089,0.0357254754682511,0.0499876584336221,0.0406318001891858,470.844000000001,3.59500000000116
"11424-14","heavy",5000,0.4806,0.987352059505193,0.480103864828603,0.285055001596801,1.00149247990944,0.408203495217837,0.287192899855052,0.0318347293054269,0.0455266465761438,0.0433111945829735,0.962596417550463,0.355367883333651,0.393862605213342,0.0338491122530876,0.0412735669176807,0.0387662749330092,499.107,3.22700000000077
"11424-15","heavy",5000,0.4888,1.02489298344615,0.470138879239648,0.227197059685872,1.0299470439547,0.429801384695475,0.224806616499166,0.0334881611527163,0.0480996552721302,0.0449773733701143,0.993673777495252,0.372342931680069,0.347041739233521,0.0362174234351647,0.0468851124087066,0.0422730964214808,686.165000000001,3.64300000000003
"11424-16","heavy",5000,0.4966,1.01488606542358,0.51269978751617,0.23118400222062,1.034396024775,0.437204724039849,0.218824986189792,0.0322444268404639,0.0488598985048763,0.0442937500967438,0.990712590661774,0.389145306095086,0.363489275661004,0.0370477468450596,0.0475079637844132,0.042072460657307,580.753000000001,3.01899999999841
"11424-17","heavy",5000,0.4884,1.04717934470091,0.432054549140064,0.22924808829354,1.04604415360088,0.393977409492152,0.225634556449172,0.032804999997481,0.0480571097352203,0.0435667596050383,1.00434358649266,0.394191088501348,0.332729982207375,0.0360303916790766,0.0516419969457339,0.0404532458790614,549.360000000001,3.10099999999875
"11424-18","heavy",5000,0.4794,0.971636266601356,0.514815158102156,0.258333991408459,0.99414993427112,0.430243191283015,0.259416583484623,0.0320195966617323,0.0519499060727118,0.0430544100311599,0.950413786515188,0.403327422393509,0.385467895707385,0.035520320459129,0.0502997725500573,0.040507575908588,588.476999999999,2.97699999999895
