"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11437-1","light",10000,0.1696,1.02088296956313,0.486729455637512,0.263393756514451,1.01940853558725,0.488674280698224,0.260896565312904,0.0214421452967666,0.026101063404121,0.029643881679385,1.01117245134091,0.408364781403283,0.330602693904438,0.0218137226627012,0.0246353414304556,0.0286074433970777,1201.303,7.83499999999913
"11437-2","light",10000,0.1731,1.02245349617623,0.481340616330223,0.241720215800605,1.0241786595414,0.476158184945327,0.24687061758027,0.0216255262699705,0.0276248183939342,0.0305580851426266,1.0263035907684,0.356496467246951,0.323239085024141,0.0226601157106555,0.0255353859916666,0.0290265868663201,1111.366,9.0109999999986
"11437-3","light",10000,0.1658,0.997360194326689,0.501220686513389,0.278295640847227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.850999999998749,0.847000000001572
"11437-4","light",10000,0.1737,1.03257638871081,0.490246974909421,0.20213067281915,1.03447680889927,0.477690281553295,0.207428438498874,0.0217474051841216,0.0253118075703479,0.0295497736613231,1.03748972445825,0.351391559206793,0.293886657598905,0.0223501411138374,0.026304993059784,0.0287295658029186,1039.662,6.47599999999875
"11437-5","light",10000,0.1683,1.02428934537344,0.529167549710001,0.22186730002202,1.02761600754678,0.523644158253289,0.220621151720397,0.0214391001443194,0.0276860011028815,0.0297750958403557,1.0304207634135,0.391058364864277,0.308316764836024,0.0227224511734979,0.0273019126098092,0.0298963464579044,876.136000000002,6.34999999999854
"11437-6","light",10000,0.1695,0.974806279016365,0.509251920299378,0.279014848197981,0.983596581670305,0.478038936814066,0.277961043087648,0.0218862231883179,0.0258670694742711,0.0298219706419909,0.984169222773506,0.364907132752794,0.361649998481348,0.0250371614751688,0.0418919806943922,0.0302731895019638,1285.262,6.18700000000172
"11437-7","light",10000,0.1628,1.0179238875798,0.507326492852046,0.218078598315731,1.01231927503677,0.526440975713975,0.219310285738392,0.0215633698591906,0.0281961374015721,0.0286097881055479,1.00848351195011,0.435080690495643,0.290159040369819,0.0223671050825013,0.0272010155467351,0.0284491944189867,903.814999999999,6.28700000000026
"11437-8","light",10000,0.1676,1.01331916294357,0.504019386338488,0.256267221038541,1.01338044219719,0.504240147893192,0.251822389813698,0.0218356651156308,0.0261618780027113,0.0291464966631974,1.00771664803247,0.405312583955835,0.329227142371241,0.0225260582947578,0.0257434193331906,0.0289934389434095,969.251,6.4330000000009
"11437-9","light",10000,0.1725,0.976285588847367,0.487757768858985,0.276408442538919,0.982066974901022,0.469310481303048,0.272701215741283,0.0212091542619472,0.0257272217427119,0.0282845482301135,0.97140962854893,0.389807110305664,0.350432888780034,0.0214865526723079,0.0238432924381254,0.0291593853390731,1183.88,6.33600000000297
"11437-10","light",10000,0.1701,0.994883182080983,0.494853003019676,0.248854843033876,0.998679120750711,0.484090407625759,0.247607982653522,0.0218144028595577,0.026629041536347,0.0305976029472773,0.989263248742328,0.412271263924974,0.313154755468216,0.0221993106611942,0.0255086846153714,0.0292757289201097,780.299000000003,6.28499999999985
"11437-11","light",10000,0.1625,0.980423979163781,0.510502778365433,0.277774645534655,0.983690922300423,0.506598071077201,0.278221129785231,0.0215094961364802,0.0289991378979276,0.0295466742023954,0.980816480146356,0.402225998153706,0.353351145270623,0.0221754933379948,0.0287531735459354,0.0293665266674795,726.468000000004,6.29799999999523
"11437-12","light",10000,0.1699,1.00175732853097,0.493084898032761,0.258980974189057,1.01017120834055,0.471331940196193,0.249934572867102,0.0208115999813915,0.0241585024017777,0.0296854723175292,1.02299255069331,0.312959090785795,0.351269701796709,0.0233143175705959,0.0306855027259238,0.0297714661343063,1183.558,6.38500000000204
"11437-13","light",10000,0.1661,1.02664346269757,0.505061240599249,0.228072879440027,1.02532768660601,0.503749255186922,0.22910848677282,0.0213583873983206,0.0275132118551075,0.0300488556904547,1.03025891961852,0.372547179028938,0.314186887096238,0.0219009640832872,0.0236592767138208,0.0300298640861719,953.216999999997,6.44100000000617
"11437-14","light",10000,0.1692,0.995059677692331,0.536532556853326,0.220836121553875,0.993578791032027,0.536145386536935,0.220995817689816,0.0216134414951631,0.0262243830255027,0.0289600753368305,0.993249976374823,0.425517897917707,0.301627240834022,0.0230142942742026,0.0305596704524973,0.0297034855373541,976.533000000003,6.29099999999744
