"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11425-1","extra_heavy",100,0.83,0.512889514318421,0.42884074371593,0.640770754947783,0.295761836089493,1.42588188787297,0.634456733919398,0.260020276113853,0.494769005593285,0.178163835655529,0.23592945411467,1.90399313798517,0.650108467492958,0.259141327492395,0.602016822901241,0.176524435598204,1.557,0.786
"11425-2","extra_heavy",100,0.76,0.989057838260349,0.524589556731282,0.21012933966485,0.792787297307463,2.05379994724383,0.256302716545097,0.301647185571235,0.695497687138073,0.19849454201565,0.831544692379535,2.50514520140542,0.227431174857816,0.300027074836099,0.892513968282527,0.195032857992735,1.523,0.748999999999999
"11425-3","extra_heavy",100,0.72,1.24176250667413,0.56103300503012,-0.0460013704220019,1.37659820895619,0.339922869552604,-0.0628213904484231,0.294334312151774,0.400121210909384,0.361685237766178,1.02091425926434,3.24322447023522,-0.105901520401682,0.249209855227147,1.13624228334349,0.235138386659518,1.244,0.832000000000001
"11425-4","extra_heavy",100,0.72,0.985998090883106,0.323356369578273,0.453605239572465,0.834017599216335,0.803889829191231,0.397318881046126,0.23658346801277,0.278057445875505,0.176810156265278,0.651548976506781,1.81727402894952,0.494373689646718,0.265107516520066,0.603703258507787,0.173224936324381,2.019,1.314
"11425-5","extra_heavy",100,0.75,1.26221930019502,0.597091995265146,0.00135592285130429,1.08793821586678,0.704582973709856,0.0252944803944913,0.203549877071734,0.225021891233117,0.14902866009366,1.07618122951653,1.92145207249498,-0.0189483719524708,0.20327762705192,0.595178025462711,0.151404689102743,1.963,0.896000000000001
"11425-6","extra_heavy",100,0.82,0.945742187139107,0.539297546515174,0.413366813291245,1.33484669129111,0.0493680127464385,0.243995855045516,0.243162480265399,0.0331832203900201,0.236864395087263,1.03729660834045,0.944678874709553,0.459581310623025,0.250353131487194,0.537475987167323,0.200284057661554,0.948,0.710999999999999
"11425-7","extra_heavy",100,0.87,1.07978748060735,0.436169772116464,0.150902964405793,0.448018776590747,1.20364509269108,0.421729458610965,0.257239297692609,0.318262585449503,0.182396787876253,0.33640976014792,1.98076615716613,0.465803999419713,0.261736487816488,0.469994544531842,0.18494338957031,1.197,0.715999999999998
"11425-8","extra_heavy",100,0.7,1.09945191095173,0.556076678785971,0.0683142137323862,1.13570773350793,0.740375837337072,0.014785067410247,0.232914146023488,0.410257643515531,0.236660838430465,1.07938568299288,1.37481060718275,0.0399771655902681,0.245164415195811,0.765080874150566,0.234832740955731,1.421,0.722999999999999
"11425-9","extra_heavy",100,0.81,0.998432441303024,0.765448775199829,0.284368677302574,1.03117496902502,1.2980119910324,-0.00347691452480554,0.255193359697595,0.343832094676516,0.17768287876057,1.01558574623492,1.95262426025961,-0.0154210595501705,0.268999556789691,0.581633045774164,0.180621150312413,1.338,0.727
"11425-10","extra_heavy",100,0.82,0.764849439852972,0.587503137240434,0.349911752395994,1.00034179080166,1.25690065147805,-0.0638860927037184,0.214543277344818,0.350704185635218,0.210183190904402,0.461554864587332,2.81543141353408,0.322706398154589,0.24945691834356,0.684797946428446,0.203643120315832,1.205,0.727
"11425-11","extra_heavy",100,0.76,0.864447992726946,0.608286957190358,0.270892618537277,0.724704242640528,0.397034985715377,0.44891827782133,0.238510912992212,0.329931978938114,0.2320264013378,0.484523910249207,1.60420109662764,0.487419298496642,0.243528230231543,0.595265325412141,0.211460842730411,1.329,0.710999999999999
"11425-12","extra_heavy",100,0.83,0.88036767278286,0.420706947151593,0.388190741370374,1.10841003494744,0.0016723040935371,0.199775378077342,0.227275298735283,0.00101357337293355,0.199803611177965,0.946545608273286,1.24606898358871,0.310866838319633,0.262081074366002,0.772861533067288,0.206149864369308,0.960999999999999,0.711999999999996
"11425-13","extra_heavy",100,0.81,1.13349605753481,0.691902219829941,0.115063657948107,1.63386675507922,0.00303989817273634,-0.0687708568670077,0.316543401016421,0.00302340141675252,0.315150367264417,1.36971589646589,1.28743107166111,-0.0145293931597059,0.279679232009777,0.801621594917447,0.262862894937804,1.112,0.722999999999999
"11425-14","extra_heavy",100,0.79,0.92814977105122,0.497541077832535,0.278579834446046,0.529477696684703,0.875270618719937,0.510727146032166,0.286671333434686,0.335887795101595,0.205408178303927,0.43322182180259,2.77323668748087,0.476156674918158,0.28870826179051,0.863447298625883,0.201574666053386,1.706,1.055
"11425-15","extra_heavy",100,0.74,1.02114496986268,0.292722801653056,0.293037859688681,0.775172819661973,0.870472975719858,0.339784062006773,0.191018629451444,0.341656793078248,0.129825685917983,0.71907113466484,1.34580379118239,0.368356151304565,0.202413918336223,0.516193779518329,0.129211492627417,1.215,0.710999999999999
"11425-16","extra_heavy",100,0.83,1.14112911701683,0.548266166145817,0.0587140090449429,1.53396281940806,0.161374909246812,-0.13546425378989,0.225039738755214,0.100344128414074,0.215164397715489,1.25367746099783,1.16821922586285,0.0153818263963163,0.211402693554038,1.03639142881695,0.187416228801975,1.992,0.984999999999999
"11425-17","extra_heavy",100,0.79,0.86515606727784,0.489606551289165,0.342090889835569,0.883405078266472,0.318620632652425,0.430413238996885,0.264646191453009,0.250462476110299,0.232715247007185,0.814667499120634,0.673067670474802,0.501809590603655,0.278499680675215,0.659469714049588,0.230368053535693,1.562,0.975000000000001
"11425-18","extra_heavy",100,0.77,0.565518570742555,0.810346245803765,0.299662874426685,1.02923873990368,0.0745546829189565,0.177053094954319,0.224789880310502,0.0961829392084181,0.227717542273593,0.6990500276681,1.74555500059597,0.275126269235523,0.212411318987809,0.798157976967282,0.164163036574708,1.363,0.746000000000002
"11425-19","extra_heavy",100,0.78,0.924453814139099,0.193988362800039,0.439300622893628,0.969949541269336,0.26920264914851,0.308905689922265,0.188550603761149,0.191988084022735,0.207067593355839,0.780326586940033,0.742880827310378,0.408008262575434,0.18602095682672,0.437258768667693,0.155283477953368,1.362,0.769999999999996
"11425-20","extra_heavy",100,0.68,1.08486913903851,0.425034657866909,0.23847093231249,0.990135544998347,1.12428276920692,0.213458154540998,0.20696409680589,0.479773198914571,0.128595158724151,0.997476716349686,1.25922687642162,0.211310067243836,0.207340140031326,0.551157378346425,0.129606229057457,1.43,0.889000000000003
"11425-21","extra_heavy",100,0.83,1.09881073728919,0.374902416284925,0.200099257451831,1.26678209040541,0.286843064285945,0.12396485016736,0.250787887621522,0.249779937320831,0.175124053674514,1.3600456788807,0.287953785329414,0.110501680152339,0.257525267185928,0.697599396344139,0.165185189372293,1.439,0.762
"11425-22","extra_heavy",100,0.75,1.14935061525111,0.423501818646711,0.144383994657816,1.15749832949135,0.292540890722292,0.0485839775283188,0.204898125566716,0.13227955064821,0.188640493412328,0.91295076440004,1.61702673268058,0.142846371051294,0.210643832299187,0.574074793361426,0.15848496949827,1.28899999999999,0.747999999999998
