"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11439-1","heavy",2000,0.4915,0.974218825400299,0.495246946126966,0.259270308326783,1.0469546875228,0.346965231580277,0.324064354546014,0.0755395304214793,0.0594521738959796,0.0604081209161501,0.903437857482901,0.591905634980093,0.297340136132625,0.0765382657914409,0.0735015720547713,0.0589830872215992,45.8900000000001,1.82799999999997
"11439-2","heavy",2000,0.4875,1.06043064213199,0.491406009603019,0.211312518090699,1.24519925138921,0.257967590272906,0.237090643986809,0.0781757940926985,0.0609202323507017,0.0618618263216203,1.03229985656628,0.590417335227083,0.212913849056297,0.0745322739375591,0.0683600665763394,0.0589203350641185,47.923,1.697
"11439-3","heavy",2000,0.481,0.993188754869338,0.528330866037747,0.245159869440177,1.18078515879571,0.215155682558296,0.289514851454218,0.0793039093499712,0.0662308433473291,0.0617437757654363,1.01537693845042,0.545462666915733,0.217639018026065,0.0733245610498762,0.0626394055439738,0.0597498888332486,48.217,1.83999999999992
"11439-4","heavy",2000,0.493,0.979789271666515,0.536261513554499,0.246355595050393,1.02869978162793,0.380485244032889,0.391557943154967,0.0856324828281684,0.0787210441858509,0.0688975066771256,0.883367951749724,0.63865046564452,0.309838125830374,0.0823291767037841,0.0759356081345054,0.0628628931624652,48.8380000000001,1.56299999999999
"11439-5","heavy",2000,0.4935,0.983563618925147,0.505531217543706,0.264506638582138,1.00754380709144,0.532805592339323,0.376863259038432,0.0822599815477095,0.0956726700152916,0.0617332121741213,0.95029358642356,0.566143880644396,0.291551874981142,0.0828990536891147,0.0753442421864096,0.0636720701705413,49.9,1.779
"11439-6","heavy",2000,0.5,1.08767386665798,0.510261174879326,0.192028984475332,1.09958819674292,0.4337285548711,0.308828903936802,0.0744398068616028,0.0622352375473777,0.0566293925790845,0.976580534530104,0.594794984760826,0.271513015315944,0.0768011384853081,0.0704353885276046,0.0552648200980769,47.4970000000001,1.84199999999998
"11439-7","heavy",2000,0.4805,1.07231221602882,0.485550237889773,0.224373236727486,1.14001471626435,0.36791535472041,0.322081812779009,0.0697357796912327,0.0646746381728634,0.0549791080783978,1.07980474478012,0.537270484135333,0.207238189144687,0.070509986081007,0.0659023178843175,0.0562138685098385,47.705,1.73900000000003
"11439-8","heavy",2000,0.486,0.934969030187798,0.516437370297675,0.29074369760552,0.919133443110313,0.383140619918737,0.49482012589176,0.0818026582862893,0.082213644409737,0.0712005674584091,0.841851961006424,0.592352375850429,0.379587211164237,0.0794761566589656,0.0798551750219342,0.0653316254160599,48.9,1.553
"11439-9","heavy",2000,0.48,1.07579762956486,0.496206338085522,0.1976070147682,1.1408786245068,0.344199661173284,0.262543583966596,0.0744240436318879,0.0573991644495754,0.0614408065319749,1.03708880627186,0.580164597559983,0.215887823332592,0.0764477720672962,0.0738045961323916,0.061930214730502,43.634,1.81799999999998
"11439-10","heavy",2000,0.467,0.939522711559619,0.492231602822102,0.296103448677297,0.967592765181153,0.423916894498117,0.391778881977524,0.071962001456278,0.0729924536352294,0.0552241051648622,0.88566832581664,0.613138972289255,0.334467614622393,0.0759313535672479,0.083930122054938,0.05760006535592,45.835,1.89499999999998
