"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11430-1","light",2000,0.1255,1.0114859656482,0.498341281052774,0.263091522032225,1.00433650173284,0.496195727134765,0.308123775877366,0.0679184073142862,0.0468277354053866,0.0526110678889141,1.03328479224032,0.496265238399718,0.251131873819177,0.0670251747215876,0.0458834809687786,0.0528649669358242,17.327,1.41899999999998
"11430-2","light",2000,0.1175,0.982442258492824,0.505909058094882,0.242403502383888,1.01633804832202,0.46558646945728,0.262825662799184,0.0693362578085335,0.0387456632269465,0.0525527212972825,0.983015718171334,0.509837545588708,0.23933297963758,0.0672319058413846,0.0393512430959355,0.0504471231915869,16.681,1.42099999999999
"11430-3","light",2000,0.116,0.935187531467408,0.528825014708752,0.296417896161844,0.92120759239602,0.512102980374621,0.348615806557198,0.0722591653698905,0.0425711892134558,0.0550701013038682,0.919225868981481,0.528859693207749,0.311706084769889,0.0674635280836186,0.0399522308287508,0.0509235826483061,16.739,1.43099999999998
"11430-4","light",2000,0.1125,0.869704735509056,0.52312326027658,0.323000421198568,0.868468573334289,0.484603104183196,0.376417644675417,0.0743578446845628,0.0488079948024652,0.0580787150357125,0.894153967308728,0.50489296987162,0.312940754109264,0.0766207593529451,0.0452157801368591,0.0608137222247918,15.897,1.42099999999999
"11430-5","light",2000,0.1115,1.02633943107251,0.47177767011956,0.256257237633969,0.996482967039572,0.47842885121807,0.306157413004196,0.0717375554562045,0.0411417722413641,0.0555219759987634,1.00450632417724,0.490423998444406,0.262034287120372,0.071995766785425,0.0384047715677715,0.0549215382301408,16.04,1.42200000000003
"11430-6","light",2000,0.124,1.0844802231697,0.528318394387362,0.181085168729895,1.05668400450756,0.536850362255843,0.239097170587397,0.0699004677508905,0.0514513650033133,0.0531443336163504,1.08957387013055,0.544682779065488,0.172018811994605,0.0670209009640077,0.0471753178379672,0.0526093541426059,17.072,1.41999999999996
"11430-7","light",2000,0.113,0.980965241088579,0.469955326594608,0.265874229117503,0.982393643207769,0.464563666643275,0.290199954045188,0.0740674660146537,0.0452813253993086,0.0601929860798768,0.984987270726809,0.474749863478132,0.257899263534769,0.0737798263332744,0.0452700960557097,0.0601771060499454,16.172,1.41900000000004
"11430-8","light",2000,0.1055,1.02553994154244,0.453285838320843,0.245831166811296,1.11304870723648,0.310641608640437,0.25431760919432,0.102997512562206,0.104894083372426,0.0610361415607006,1.05269185407649,0.427993273941585,0.234848188912445,0.07129753707586,0.0460332535904644,0.0570087197892989,15.03,1.41300000000001
"11430-9","light",2000,0.119,1.08819647419708,0.512570820120318,0.162424720733434,1.09062538265028,0.51938690980792,0.184617625329001,0.0660761595981642,0.0444365933440298,0.0515027340738532,1.09402531012255,0.537044708747682,0.150044816996198,0.0681259049451821,0.0461108273422436,0.0532788798768866,16.42,1.42399999999998
"11430-10","light",2000,0.1185,1.01044680561076,0.496937391091492,0.256406391784019,0.988290799386356,0.453022698047477,0.336506686207596,0.0730235795961698,0.03976474875005,0.0623261435446647,1.03606180091828,0.478380217234434,0.241523604134494,0.0724298083115307,0.0408743428624632,0.0605268306749787,17.117,1.55699999999996
"11430-11","light",2000,0.11,0.981068418153068,0.472747252824871,0.269649568487334,0.954132992727419,0.478727586862882,0.321255914449264,0.0725652828303928,0.043780671463036,0.05981587325209,0.941029549124353,0.512458209391287,0.290907714378888,0.0724322639594356,0.0419062183971645,0.0578195241885391,15.235,1.41500000000002
"11430-12","light",2000,0.1095,1.06243438478565,0.523184881315025,0.207563406695141,1.05277450141466,0.449708442257235,0.280495004242815,0.0765737514637053,0.0598196233258218,0.0570254929943179,1.05801698427165,0.513563190751715,0.211505195272885,0.0703175715982172,0.0396982752300555,0.0568526508266565,15.79,1.41199999999998
"11430-13","light",2000,0.1255,0.996223609876157,0.518688506094622,0.234374258937274,1.0427173026073,0.464332262651103,0.258219361873203,0.0788865532091493,0.0487714715226425,0.0618241851813408,1.00570602449516,0.520294196175415,0.228800787802018,0.0746846147689915,0.0409881079948364,0.0604300155613871,17.469,1.42399999999998
"11430-14","light",2000,0.1315,1.01485282882609,0.515898079685507,0.19516378387717,1.02467477763938,0.448462601079531,0.26130504558276,0.0728221230333005,0.0444249915916217,0.0569080423299663,1.00171788993275,0.52515127288087,0.210873099695454,0.0725804851886886,0.0428512858535677,0.0554652792869044,18.038,1.423
"11430-15","light",2000,0.121,0.97923920207306,0.47960461208064,0.258783424788554,0.97016449402985,0.496397369240214,0.291991806636768,0.0693746318378443,0.0438513367873585,0.0549658919639815,0.974608429717034,0.497635750858776,0.257923180654293,0.0696886841464929,0.0429826218486671,0.0538262084502541,17.126,1.423
"11430-16","light",2000,0.1265,1.04221590958678,0.452613595796923,0.233032608076767,1.01460282803576,0.462165294900416,0.282393847308669,0.0702149967263052,0.0405454162829732,0.0536490393901086,1.04414676474995,0.450391121735712,0.225731548083313,0.0689100583484144,0.0379336729781531,0.0536771320841303,17.9690000000001,1.423
"11430-17","light",2000,0.1255,0.938936200789196,0.481915882866908,0.325533379282684,0.920409669771206,0.465345591250253,0.387116569991451,0.0733437280142159,0.0462160218252584,0.0587428896412032,0.918548636869796,0.480726484352205,0.349102187472508,0.0730341593191476,0.0445642994454442,0.0599145138195108,17.6020000000001,1.42200000000003
"11430-18","light",2000,0.124,1.06097363056882,0.478233407818765,0.201390242569906,1.07595787855805,0.407946162251854,0.256373672857095,0.0727159521652389,0.0507592247803556,0.0564238633131337,1.07847339766084,0.462595687400131,0.193030986442885,0.0708421688702577,0.0429158315551201,0.0558392615746858,17.3440000000001,1.4190000000001
"11430-19","light",2000,0.123,0.961504849998595,0.501796452818614,0.288901771037486,0.987138793845929,0.429497993403597,0.326772057769221,0.0701079864179419,0.0484266099130928,0.0524745861768654,0.973825480326312,0.480025454752085,0.287818407865257,0.069077009446502,0.0436326475010432,0.0527198258309084,17.075,1.42600000000004
"11430-20","light",2000,0.136,0.973520639097029,0.49764865313973,0.267442164866189,0.943456249621446,0.51823620326227,0.328423219154156,0.070207592607764,0.049584293079317,0.053125596005513,0.965275720513398,0.534306421445803,0.259634882270712,0.0666730935415143,0.0436628886779741,0.0522678543606354,18.814,1.42600000000004
"11430-21","light",2000,0.117,1.01156759080941,0.526167138927214,0.255190620098855,1.00871767421896,0.487596050148473,0.298822257331244,0.0755543983399257,0.0475975170099976,0.0600297141888454,1.00567669519187,0.513899689135299,0.262809029400317,0.0719051787330457,0.0414231289544684,0.0559976260340175,16.189,1.42200000000003
"11430-22","light",2000,0.119,0.975527296648353,0.474425240892834,0.304470474032241,0.980769566131285,0.466543710332938,0.339792660551018,0.0683744320529919,0.0427526892876983,0.0526567530656326,0.979502605404653,0.459207353724487,0.313959352570552,0.0685226229199071,0.03979739542135,0.0535615475624263,16.885,1.56299999999999
"11430-23","light",2000,0.132,0.897943234301562,0.488587520588294,0.306967029895577,1.04188492484659,0.207593621401783,0.358100735158129,0.115536407688787,0.223940451285588,0.0639064632981215,0.915303634854662,0.510455188845608,0.282271679961891,0.065292257438755,0.0382530579555256,0.05080846300407,18.4010000000001,1.42599999999993
"11430-24","light",2000,0.1315,0.979516002850845,0.457469714051535,0.273225492672218,1.01254621985968,0.398605662772124,0.297666840862916,0.0720882290245786,0.0372960140368978,0.0556096370180224,1.01573134287459,0.441615887575755,0.243217429904469,0.070524775343983,0.0382559657115551,0.0552331100550321,18.188,1.42899999999997
"11430-25","light",2000,0.105,1.02892972673716,0.472580524973377,0.213855170617535,1.03222654846557,0.465328113493371,0.243753591240453,0.0724932154114366,0.0490627690950634,0.0559484105994066,1.02341679599357,0.50002262641542,0.213103923317814,0.0712758564804819,0.0467746789245954,0.0545597107676385,14.49,1.4129999999999
"11430-26","light",2000,0.118,1.02835714976858,0.515494032503208,0.219487650765465,0.992300461042168,0.49726358016612,0.294279756369371,0.0757739206676351,0.0481077256925156,0.0612619781065494,1.00161675436089,0.53232994977375,0.237809132430193,0.0723370574160176,0.0472260999345814,0.0592483112853023,16.633,1.41800000000001
"11430-27","light",2000,0.126,1.06011850422415,0.5161477929981,0.204325961241331,1.05520752485241,0.494334484503673,0.252865595226467,0.0707225380438136,0.0433756147213563,0.0556828041275826,1.06182554720674,0.509323826912879,0.202243162562146,0.0702883472070866,0.0411461643582886,0.0554503330999701,17.827,1.42000000000007
"11430-28","light",2000,0.1195,0.876138101176841,0.536888871192282,0.330689566801582,0.880555723677278,0.482770386000303,0.383615586967342,0.072356771183969,0.0480133838110601,0.0594158626363328,0.915571397025507,0.484255113750302,0.314259228009837,0.078504617663645,0.0379982041184826,0.0641450334528603,17.1129999999999,1.42200000000003
"11430-29","light",2000,0.1075,0.922499072195135,0.479082831059511,0.293797552160623,0.902382415081155,0.51046100133003,0.326058917350211,0.0745185173368023,0.04755525244008,0.0586203186354795,0.915254886593777,0.506696942931726,0.286823114814925,0.071385682690607,0.0470110629135598,0.057430438585174,15.231,1.55700000000002
"11430-30","light",2000,0.1235,1.03986067107927,0.530992838356048,0.218627019481011,1.03975709617568,0.461494193070344,0.285023884316145,0.0721514809666361,0.0453549058787506,0.0569250244258943,1.03488268173146,0.544204176798944,0.218317941726374,0.0715142969175691,0.0433352844352584,0.0557242685444928,17.024,1.423
"11430-31","light",2000,0.1175,1.04584207685892,0.497745932298524,0.223872645217513,1.12164753707585,0.350142318443679,0.254915965163167,0.095982895748525,0.111791967283915,0.0574336344967158,1.03876355686951,0.483947550577503,0.23500211352148,0.0670227783548108,0.0410329987078735,0.0550272900368323,16.636,1.42200000000003
