"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11440-1","extra_heavy",10000,0.8168,1.00776766505199,0.48026815947978,0.243434290403333,1.06734752319919,0.542543202101171,0.320782109752819,0.0285715217208925,0.121627827400788,0.0331509559952777,0.980966687123994,0.84916082946456,0.380514870093939,0.0395294686647003,0.165701199770789,0.0306878741462359,503.823,7.90699999999924
"11440-2","extra_heavy",10000,0.816,0.995351181534944,0.508142897485287,0.230355047977471,1.00022377521015,0.505260558666283,0.237018178428517,0.0299648155759427,0.0762239661481719,0.0356704468266354,0.945137626557619,0.870442752654531,0.371951043856077,0.0394371486961897,0.144723327144976,0.0300673870250562,206.425000000001,9.02800000000025
"11440-3","extra_heavy",10000,0.8139,0.994022114034924,0.475901356528197,0.245440648171468,0.99378632308816,0.543257165382816,0.246671113228584,0.0292629713827227,0.0797821098064067,0.035021315101814,0.930654187865141,0.918156676474773,0.375756455009595,0.0379565376679655,0.142037724055994,0.0293777703574359,301.228000000001,8.14300000000003
"11440-4","extra_heavy",10000,0.8226,0.983361275335663,0.513316272611941,0.251799948734821,1.00188557560116,0.583685642118331,0.255869746256911,0.0294113624091174,0.0858021136970628,0.0371432283185801,0.917527413362007,0.917815081592518,0.402158221516399,0.0384449737600531,0.135873248468535,0.0298814717434994,366.501,8.20200000000114
"11440-5","extra_heavy",10000,0.8164,0.996918853469377,0.503755750580861,0.251941041258628,1.01479787164637,0.585664920897801,0.288779656561099,0.0296715403932166,0.0900674011891562,0.0348440678978002,0.930670816551539,1.01150117836323,0.395919981537424,0.0398265888072528,0.155366963030481,0.0286471976758933,397.085000000001,8.98300000000017
"11440-6","extra_heavy",10000,0.8205,1.00926152969302,0.514105996232878,0.235910778189119,1.06431281599979,0.508662875728618,0.305136963464342,0.0274921307113537,0.0972830892913435,0.0353592843893752,0.993807810288566,0.579377300371115,0.384376885194068,0.0384057787521864,0.112043704287442,0.0294447078129013,472.897999999999,8.79100000000108
"11440-7","extra_heavy",10000,0.8181,1.02040135983628,0.472756354335748,0.244050681728594,1.05773238217194,0.328129101072193,0.265780208149189,0.028168885793984,0.0662411486211029,0.0379059554580296,1.0019291556178,0.728181349850884,0.381664715460374,0.0377807537221605,0.149845776295326,0.0291459523935396,196.774000000001,8.43000000000029
"11440-8","extra_heavy",10000,0.8174,0.965951998209241,0.515704418860547,0.263864097462158,0.972418075992502,0.527182871123221,0.279699990011018,0.0299489162705746,0.0766828562611006,0.0359545873306201,0.896231294270793,0.897530502846034,0.41867878984427,0.0388133285170165,0.13403520913954,0.0296488226356239,312.447,8.3739999999998
"11440-9","extra_heavy",10000,0.8185,1.01528305031628,0.486283644610173,0.249925399343192,1.06410082722438,0.477027375066981,0.278904032817867,0.0267979587122811,0.087365249760245,0.0349280101011116,0.972600548642678,0.832785561277749,0.386225434903709,0.0409159144980247,0.149342321267588,0.0305880822297564,445.826000000001,8.4989999999998
"11440-10","extra_heavy",10000,0.8113,1.01836536239543,0.499269222344514,0.241238097517933,1.04673331076994,0.43146777605442,0.254181155640384,0.028079117021981,0.0678573644690874,0.0348589941847761,0.971061288017649,0.868024166069303,0.383127503161499,0.0375535030185376,0.139307659452357,0.0283003587507329,206.246999999999,8.38400000000001
"11440-11","extra_heavy",10000,0.8097,1.02656521696627,0.489886718532205,0.217328109896203,1.10051899850461,0.467270178934029,0.273889655231414,0.0267901162869933,0.0982800794312629,0.033827669359159,0.979852868315295,0.901147411558122,0.346201376065829,0.0378780721249079,0.149976815110904,0.0288776181880755,471.300999999999,8.11499999999978
"11440-12","extra_heavy",10000,0.8184,1.00381663620875,0.528464230283998,0.262456205132848,1.01233991077958,0.698717122416707,0.279566916831787,0.0291227193765808,0.0962476059493624,0.0356762083069065,0.930465340498207,1.08243486270755,0.417875097070202,0.0387775985230789,0.155704481825837,0.0304486271326647,331.743,7.06800000000112
"11440-13","extra_heavy",10000,0.8162,1.01806336436669,0.513757478298022,0.226760087550443,1.0196516054395,0.609611566199786,0.242117714062637,0.0289267632920633,0.0854502557376025,0.035376127966373,0.935507961124515,1.03271071728677,0.382001478605194,0.0381326165300724,0.143839168413147,0.0302880720766199,371.773000000001,7.11300000000119
"11440-14","extra_heavy",10000,0.8199,0.996840836309331,0.48215047783256,0.235532788806747,1.00956390391191,0.406312139015265,0.248915446883815,0.0301818680497362,0.0674173588616548,0.0358969182516805,0.934146573309004,0.942463373487622,0.363200937974359,0.0389331448655686,0.148389049397289,0.02991296822028,197.059999999999,6.89999999999964
"11440-15","extra_heavy",10000,0.8163,0.989150066562231,0.514136102252565,0.277241134294487,1.00989638291865,0.650713552018602,0.308524500216507,0.029157504026011,0.0997121190481683,0.0344335915198135,0.923498285444656,0.972479030277178,0.416621745952719,0.0389234750669233,0.145269881847985,0.0291714644522171,351.611000000001,6.96199999999953
"11440-16","extra_heavy",10000,0.8174,0.994193105329695,0.524083585506531,0.247518730936429,0.981542429616734,0.652225554097481,0.252760767389821,0.0297132804319667,0.0840918177480155,0.0348211287445166,0.903918794052598,1.04099955211535,0.401377676368746,0.039266872060924,0.140498835908712,0.0299354667674177,277.928,6.8239999999987
"11440-17","extra_heavy",10000,0.8184,1.01907635103061,0.474384764239964,0.276515536996338,1.01669281686083,0.651769581999349,0.318918827067663,0.0295420259966621,0.0992362030740958,0.0331550716791559,0.932464439259148,1.02439559180996,0.414686826584001,0.0407057209050939,0.159358933277218,0.0289603619391783,406.109,7.03000000000065
"11440-18","extra_heavy",10000,0.8068,0.997676290188913,0.515177771835403,0.240122758211751,0.998437622067592,0.712778685166972,0.246813640384508,0.0294639262431231,0.0978609337064544,0.0352622784591951,0.923774004408304,1.1261066345266,0.383538978586571,0.0382979980185215,0.161192031489798,0.0296448328494436,306.534,6.96799999999894
"11440-19","extra_heavy",10000,0.8235,1.01733853156733,0.516723260953723,0.214295185131052,1.0912428488527,0.44365237728182,0.288462583156314,0.0251491193956677,0.0785814609128494,0.0329718307386762,0.930254426006377,0.871255498329074,0.377254945462421,0.0395299925609815,0.121998833602,0.0302418243968535,452.677,7.10000000000036
"11440-20","extra_heavy",10000,0.8222,0.99517295542356,0.46948428486817,0.269183483142202,0.975586893205276,0.575187337435535,0.28690050313081,0.0308623737230129,0.0830802643163956,0.0344895285849465,0.906629028453481,0.932799935994802,0.408961465456412,0.0402368458119831,0.139627819250439,0.029327823550554,287.380000000001,6.98499999999876
"11440-21","extra_heavy",10000,0.8179,1.01746250512816,0.530024328125786,0.21739491235103,1.07467930821454,0.555271088989541,0.284464588887197,0.027837277345713,0.103453817240332,0.0330602287945007,0.961600114040469,0.977210658223129,0.367345480277441,0.038858721982801,0.15404763240283,0.0292036737027055,421.957,7.05699999999888
"11440-22","extra_heavy",10000,0.8191,0.99583207288463,0.496181784853433,0.259600919586958,0.98998158835214,0.731900752559684,0.263118663066303,0.0297846637673222,0.100417729079098,0.0347537080192543,0.903699304071158,1.04038784485715,0.410000608697584,0.0379625395599246,0.137127692242069,0.0295841393392618,344.92,6.98800000000119
"11440-23","extra_heavy",10000,0.8113,0.986071893818496,0.500194819291535,0.272905821770868,1.0159957352558,0.47390168229568,0.302741760175779,0.0291872626428574,0.0801471025710066,0.0365802335342287,0.945622812195542,0.799570910402624,0.428001904045873,0.0381848704424649,0.13645823597755,0.0291906917375762,306.218000000001,7.02800000000207
"11440-24","extra_heavy",10000,0.8202,0.999258099903575,0.523306723367646,0.205422237727289,1.0546182832405,0.515584874658612,0.257476068469313,0.0267723536186201,0.090062329203861,0.0353820765838061,0.910258461620528,1.05005412472515,0.368828223117076,0.0380883738688628,0.139504596863441,0.0294334304699697,403.371999999999,6.93700000000172
