"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11434-1","heavy",500,0.464,0.927127614881171,0.692398981448995,0.336424962122939,0.935796390173025,0.809978690085714,0.487332722957378,0.0973483808515344,0.223365435738942,0.129967080073277,0.783018820391624,0.979992815970299,0.505027314831544,0.108385033632166,0.223201445516983,0.127878351451923,7.75,0.701999999999998
"11434-2","heavy",500,0.496,0.984518008027843,0.454998591023438,0.317784661682491,1.02555436710344,0.486236982995253,0.358599330399028,0.103143966411027,0.219287830583563,0.125977586141566,0.896084974876676,0.68366954857408,0.381515165029633,0.114347990594367,0.225711735903267,0.123467687740256,7.98700000000001,0.709000000000003
"11434-3","heavy",500,0.512,1.03611555918476,0.532972599509286,0.331831422905412,1.10896577663056,0.341246537713606,0.442788249094475,0.0970962996214984,0.148188556371643,0.128036096562044,0.9832210640452,0.465819018624064,0.480087280986511,0.117062564146462,0.160746354100912,0.128990740874958,8.03399999999999,0.707999999999998
"11434-4","heavy",500,0.506,0.936383487279481,0.49310508539777,0.316318694628266,0.95599490751646,0.600908988591812,0.380641804058951,0.0956799626785577,0.187494882541967,0.129138072221823,0.851622020055656,0.614856848193884,0.425783446467665,0.113212097878741,0.184273596845868,0.135051012317839,7.93299999999999,0.700999999999993
"11434-5","heavy",500,0.492,1.04210123596618,0.416496822915699,0.257640839507981,1.07009078090333,0.428750622202002,0.337306824853376,0.101149178347346,0.24706025137824,0.132447313732715,1.0215724836693,0.394009820207514,0.376287142313893,0.122958326324722,0.214133605915026,0.1334035419269,7.67699999999999,0.706999999999994
"11434-6","heavy",500,0.488,0.864302355261503,0.564853473874162,0.415412374272684,0.912923350936948,0.488331744208376,0.488037082836073,0.0938074120203458,0.131547149472262,0.128699341408525,0.731606058043516,0.674797383472935,0.561318146021252,0.112176566405735,0.151376021074138,0.125006174890146,7.81800000000001,0.705999999999989
"11434-7","heavy",500,0.504,1.01031485824084,0.430511334146843,0.288441611849094,1.04754870212909,0.494062513675065,0.36972594125211,0.106223617292846,0.214391399644749,0.134648453373879,0.956773169822677,0.529073893183211,0.393672055751297,0.122795342794783,0.213060214756526,0.131398704849423,8.14100000000002,0.704000000000008
"11434-8","heavy",500,0.49,1.01950742443634,0.583660066857333,0.274404918754408,1.13425617305861,0.272249965358422,0.404030728197254,0.0937755261956561,0.208840314426554,0.123894060293299,1.06117044349906,0.381132006882153,0.406614410784115,0.107009006742699,0.192220882264487,0.124676820750557,7.81299999999999,0.701999999999998
"11434-9","heavy",500,0.46,1.10158619900572,0.574298365638111,0.0882234034432799,1.13378783761834,0.559324737567751,0.211235857882642,0.0957847677295273,0.206576530371991,0.128711710893713,1.03580305476312,0.592187493395877,0.260801873557375,0.109055385831199,0.184874002994298,0.124841357315874,7.01400000000001,0.705000000000013
"11434-10","heavy",500,0.492,0.974099975638614,0.592727354376974,0.143010482817336,1.01126712104812,0.676804840403198,0.241093941262565,0.0987552773374263,0.182701780720985,0.128004378832438,0.816822675392086,0.90179653906089,0.262811014610725,0.115658700899856,0.189654617846123,0.122759861443009,8.10799999999998,0.84699999999998
