"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11431-1","light",5000,0.1698,0.998948640898615,0.497888710208716,0.292461950682071,1.00340715777451,0.506703125578241,0.332710657120899,0.0313212234422853,0.0406902897602888,0.0419998038310063,0.997010566702613,0.396659679403897,0.367979579731133,0.0322657703238597,0.0384755497204398,0.0419943128888453,91.663,2.81200000000013
"11431-2","light",5000,0.1704,0.962449883865679,0.489543093204296,0.253749518828196,0.968613026786495,0.493810334879801,0.297089075069164,0.030369745973223,0.0409200556610914,0.0408260554274925,0.953271396523292,0.406406830134385,0.327191637319264,0.0322920132586865,0.0366314377683541,0.0417173079921228,92.6309999999999,2.77800000000002
"11431-3","light",5000,0.1696,1.0069347258648,0.49004962887994,0.278137062903593,1.01354551532088,0.496244122849435,0.323315583236412,0.030402718516285,0.0413813638253524,0.0410761123063972,0.999038930030855,0.409664474129978,0.352475212603435,0.0317289741577027,0.0401641183752459,0.0415068042761815,92.626,2.70800000000008
"11431-4","light",5000,0.1678,0.975476485680253,0.488965264274351,0.266921855791304,0.97491236568659,0.530649508453569,0.297825276044158,0.0302555560929101,0.0402322028287902,0.0412001433652832,0.961618224376508,0.422653351048421,0.339434529348458,0.03051338181915,0.0352572289018968,0.0406867522281856,93.258,2.90599999999995
"11431-5","light",5000,0.1702,0.976711482307596,0.494007131307529,0.253258989550802,0.99155048733903,0.464651393937199,0.302420639684285,0.0325570266651327,0.0429375722973566,0.0441807090093353,0.979545741923061,0.355738299565473,0.343323199581328,0.0325277622665965,0.0362104170041317,0.0421210903447785,94.8009999999999,3.44300000000021
"11431-6","light",5000,0.1702,1.01027627092531,0.503735157858126,0.228519082657803,1.01162939582786,0.529844705128513,0.271202402420998,0.0304941716265575,0.0378599808642958,0.0402790576859051,0.992786001113195,0.437687536156684,0.293198177451004,0.0311562968930926,0.0330009594093461,0.0416960394602256,97.482,2.84699999999998
"11431-7","light",5000,0.1708,1.03381566727319,0.462633318414316,0.201757560463071,1.04591417865546,0.446474426851132,0.245166633801806,0.0299747683058007,0.0396564634680733,0.0413539161704479,1.02883365138862,0.378649177638424,0.270938223577644,0.0307417592276385,0.037069052306691,0.0402475287622961,93.1380000000001,2.89100000000008
"11431-8","light",5000,0.1638,0.957356370761447,0.508002549985153,0.236944038674373,0.962056962470348,0.531241450377942,0.271767561573692,0.0314922163901542,0.0412281660397064,0.0415454627736749,0.942179442444552,0.461049694168246,0.301873022396748,0.0311909112160164,0.0361856765910842,0.0397367266129401,86.6379999999999,2.85100000000011
"11431-9","light",5000,0.1658,0.984170214089447,0.507056286280997,0.234019919337231,0.988675654601385,0.511704863294374,0.280165174334714,0.0310133105478305,0.0383798062441559,0.0416243237748124,0.980038985752271,0.402090924570075,0.314760147636702,0.0323245627078377,0.0429241044044619,0.0412385454377579,91.6689999999999,2.70499999999993
"11431-10","light",5000,0.1672,0.998753365920931,0.531698233592952,0.215048275556789,1.00915903818973,0.509097630424768,0.268657617306965,0.0299482520266852,0.0397057204430183,0.043082132252381,0.994186215675595,0.403218932780004,0.304830852574305,0.0318837615186102,0.0338319794128054,0.0420220282086079,93.386,2.70800000000008
"11431-11","light",5000,0.169,1.0033027442396,0.488983932928432,0.270762716768636,1.03212493954949,0.425364019480685,0.316620714525071,0.0291750418986732,0.0368527521154331,0.0407985040478283,1.00627050954195,0.397442694293983,0.334090781080166,0.0314904281585313,0.0397349863647887,0.0411902553094929,92.8830000000003,3.11599999999999
"11431-12","light",5000,0.1712,0.98105961856446,0.481631346423204,0.29678835154812,0.996054175543289,0.451857085976418,0.333655297255669,0.0303884380364724,0.0382547899540568,0.0408741661999544,0.986426883729727,0.356620583540593,0.372652731335095,0.0331420594654132,0.0431180902637202,0.0402553031776059,90.5839999999998,2.83899999999994
"11431-13","light",5000,0.1686,0.99209002279438,0.478068265964695,0.282147245878918,1.00700077652358,0.45956501359647,0.324706339072701,0.0309892265382306,0.0367844342355666,0.0421305176491397,0.997346935223682,0.360851965450968,0.352430979765119,0.0332667405263105,0.0407878094170349,0.0420903563279354,97.174,2.83199999999988
"11431-14","light",5000,0.1634,1.03502062978754,0.492808483672691,0.214109099177938,1.04302586601093,0.496725415039455,0.259798917260082,0.0316948853499493,0.0411572832194199,0.0409435150105953,1.02974351979395,0.407003730134199,0.281370589724098,0.030678476187817,0.0382082952913559,0.0415820198049769,89.4050000000002,3.02600000000029
"11431-15","light",5000,0.1706,0.992690829053819,0.521925917763832,0.244280415161628,0.997319785776202,0.53256360478883,0.292628326125404,0.0320873508491025,0.0430953017168545,0.0419972300011682,0.971459489386146,0.487371705113671,0.310974376068203,0.032917252311085,0.0364575375980048,0.0401805895705159,93.4119999999998,2.84799999999996
"11431-16","light",5000,0.1694,0.980511667112165,0.506546578222727,0.280889089144057,0.993267148666356,0.490703988267684,0.33294077376436,0.0311038449766171,0.0380750507161121,0.0415999415596887,0.977910457551007,0.391096925039578,0.363053888803358,0.0318808769243049,0.0367735388782081,0.042087565063667,96.672,2.91400000000021
"11431-17","light",5000,0.1606,0.982551967005971,0.511269833122668,0.245089336050246,1.0081006001178,0.446515526659494,0.321347709131373,0.0307802295054813,0.0390416136849049,0.0418859627970937,1.00118617787763,0.338822099835181,0.345951116945421,0.0321897419650507,0.0478679516603897,0.0423407643875995,93.634,2.82799999999997
"11431-18","light",5000,0.1718,0.963813984537413,0.470934631543864,0.309458182115114,0.982953431740968,0.434305783233914,0.363511658489886,0.0306216691347295,0.0407918629742042,0.0418570492605127,0.969895374581192,0.35468076167334,0.387453270964222,0.03147296384516,0.0358724341657784,0.0426564207329022,94.2090000000003,2.84900000000016
"11431-19","light",5000,0.1674,1.00297132409061,0.453004561639671,0.270948894235925,1.02029270246593,0.424655091207704,0.316022229849291,0.0311164473294973,0.038722366954442,0.0423244818912086,1.00390172158659,0.357711827951383,0.342934687651218,0.0323699409692004,0.0365675392997588,0.0433282978275032,88.6820000000002,2.83500000000004
"11431-20","light",5000,0.1708,0.99996727923968,0.487689091064439,0.246262573119947,1.01253702249592,0.482978226445134,0.273227829773093,0.0304683443040662,0.0393551810431413,0.0406509508328651,0.987902168496314,0.422145858684266,0.306067375091483,0.0306283656875441,0.0349396409131964,0.0414808438134741,95.1990000000001,3.32199999999966
"11431-21","light",5000,0.1554,1.02016060108449,0.476366889982381,0.257772292359159,1.03108302096846,0.449660912969312,0.296268091259338,0.0306500905133505,0.0400612221444801,0.0407986637416127,1.02434126156356,0.349943874110024,0.334988840823861,0.0321722262856744,0.0444415187617343,0.0420268857594721,86.1410000000001,2.86099999999988
"11431-22","light",5000,0.169,1.00346930263375,0.501536244646681,0.244833787256846,1.01816859551393,0.479609107776161,0.292720408904743,0.0307002537916479,0.0412684892275646,0.0421876418586966,0.998858729713634,0.400079171948466,0.31956116844701,0.0309555337681136,0.0328447303568098,0.040801756760142,92.6480000000001,2.86300000000028
"11431-23","light",5000,0.1646,1.01631314798842,0.519102171185546,0.229689163909246,1.02538194758833,0.518867701343273,0.285008625041156,0.0304366821594217,0.0417312729052746,0.0418102707352085,1.01450757888345,0.393820614789149,0.318664321258114,0.0314911278032742,0.0323857961541848,0.0421294851392918,94.1059999999998,2.84799999999996
"11431-24","light",5000,0.1656,1.02286769639852,0.467810649450789,0.240410949931247,1.03920429218649,0.453059077467529,0.277010779477904,0.0304842299395722,0.0400782829389333,0.0403452721205659,1.0214348029655,0.386354096806278,0.298756102028945,0.0314690972980817,0.0389363669066427,0.0410461863758238,93.2339999999999,2.71599999999989
"11431-25","light",5000,0.1686,1.01282301731015,0.526648076182218,0.206737222400765,1.03674053835452,0.467823140771596,0.251603417998485,0.0304712581091973,0.035771219773158,0.0415800490416323,1.03549099296813,0.320927360208475,0.307790853186911,0.0313764994783098,0.0375169729689038,0.0420092263609736,95.3409999999999,2.84299999999985
"11431-26","light",5000,0.16,0.978216593718632,0.490266500471898,0.2702668767701,0.994413149810053,0.464096400918776,0.313035882692583,0.0300498069219881,0.0449888754012112,0.0408366680143478,0.974547675331705,0.413216724632955,0.336606039016309,0.0307024169588281,0.0389771982434994,0.0408875520697487,86.201,2.92200000000003
"11431-27","light",5000,0.1706,0.994311819020171,0.523560428666874,0.238150511050705,1.01631000037368,0.488487402560627,0.286081682431826,0.0304018364073373,0.0386332903453888,0.0413908790181246,0.99234973198199,0.408212735873114,0.314963701803913,0.0312311166280622,0.0341407187101791,0.0419866809073676,97.393,2.79700000000003
"11431-28","light",5000,0.175,1.00653472011068,0.447873649397638,0.274641995058372,1.01670856023966,0.424492316379518,0.327749020768076,0.0324194377162551,0.0414602343970652,0.0428656291808188,1.00844355406882,0.33096546303442,0.353198532490291,0.0313648709097313,0.0354273300690624,0.0405455490554194,94.5810000000001,2.69700000000012
"11431-29","light",5000,0.1646,0.966250221985829,0.544340184735417,0.284470501676644,0.986903725195384,0.517143172214076,0.329445592638135,0.0310365915972589,0.0389138562038633,0.041109283233159,0.962232576179344,0.440180070458293,0.36395858488731,0.030457723791915,0.0348487536754844,0.0413607649814562,88.9619999999995,2.70100000000002
"11431-30","light",5000,0.161,0.998881132130895,0.498247129583229,0.228107605162011,1.01045475785134,0.483845648734072,0.281871593455252,0.0308182454263246,0.0436514825441698,0.0410697961621956,1.00033154750069,0.384483938762761,0.311942565710755,0.0318759896065122,0.0397327600222127,0.0420090708316847,88.643,2.84299999999985
"11431-31","light",5000,0.1692,1.01258435409516,0.524046457591472,0.225236471800752,1.03247768493007,0.491617694895052,0.279141450078303,0.0311160905573712,0.0395673920740033,0.0425217672013274,1.0223549010239,0.375697610138331,0.321390182019105,0.0312603379253011,0.0356710719103182,0.0413441738965942,93.8220000000001,2.83600000000024
"11431-32","light",5000,0.178,1.00348438798479,0.507497379836998,0.227097264328511,1.03635904125018,0.440122940231447,0.272535162601089,0.0297667748112754,0.0368473420105226,0.040673207492498,1.00616174403575,0.373775526219088,0.310723514668602,0.0305566491741357,0.0345762793778086,0.0416405387285095,99.9719999999998,2.94999999999982
"11431-33","light",5000,0.169,1.01722699467675,0.46188852234227,0.229813727412774,1.03580717423771,0.423276198132434,0.26835987264205,0.0301513185345178,0.0363146280364887,0.0415544134520386,1.02762604891078,0.306813104589551,0.321254956389309,0.0308274663801527,0.0331627302961195,0.040286158149776,94.7070000000003,2.67200000000048
"11431-34","light",5000,0.173,1.02240202080052,0.474456972011944,0.236980119119666,1.03170907998027,0.460299326022178,0.282345405918247,0.0309197176502045,0.0416523769356513,0.0412852577001673,1.00818599489927,0.413213115820676,0.308449453222219,0.0308835847435477,0.0337387572401789,0.0410028734286639,92.7039999999997,3.26600000000053
"11431-35","light",5000,0.1664,0.998491429455465,0.492800854242152,0.268020716747461,1.0127371151832,0.479571330266925,0.305049980014603,0.0317723200789053,0.0386647414143688,0.0416627449179535,0.994344586121694,0.390597463500839,0.346967334716551,0.0313245834391773,0.0339462418144143,0.0405377030217715,91.8609999999999,2.78799999999956
"11431-36","light",5000,0.1686,0.985707108962519,0.523824936424399,0.264296715768572,1.00828034345721,0.479271003724878,0.30457088369088,0.0294337552894704,0.0414565981189466,0.0419844859764318,0.987948622199072,0.414264828644101,0.333629386558964,0.0316818344567858,0.0436422078630851,0.0420309638021435,91.5929999999998,2.93100000000049
"11431-37","light",5000,0.1642,0.983164420955224,0.524982108198524,0.24438343195724,0.984662692808511,0.544449084750059,0.289094780736264,0.0309496918413812,0.0430344357183223,0.0416508642101622,0.978388422757582,0.416367086678897,0.331787509887838,0.0316109216038473,0.0410070645428386,0.040952223592834,87.5240000000003,2.59900000000016
"11431-38","light",5000,0.166,0.987136371484847,0.520720652872428,0.264348161358078,0.994921078689452,0.520204289520025,0.314572822451609,0.0314974209543745,0.0416200161169491,0.040234339528359,0.976403137590558,0.452761764003436,0.336129074605117,0.032153989069665,0.0360502518597609,0.0420613038518992,93.0640000000003,2.87899999999991
"11431-39","light",5000,0.1662,0.971104113654045,0.482347665031892,0.313876646756871,0.983075152612313,0.470009340794695,0.35527584812484,0.0314426488999243,0.0392293592921161,0.0417086352751403,0.976346154566179,0.374089291338552,0.380990805530128,0.0305665332747421,0.0362405993610363,0.0402367980176056,93.2600000000002,2.85099999999966
"11431-40","light",5000,0.1672,1.00618200957023,0.49436373292296,0.23727664739249,1.01529815488983,0.498575184639525,0.280925164433525,0.030307033891039,0.0379555792289254,0.0417354328828794,1.00220574710647,0.393444964151367,0.32090449291094,0.0308314616976519,0.0355811743582022,0.0412720781908159,91.0750000000007,2.83799999999974
"11431-41","light",5000,0.1666,1.00986620376864,0.490513366336754,0.261605719893011,1.02171130604903,0.487366198649421,0.30437023722081,0.0310627381552447,0.0401737265649854,0.0413685497328451,1.00804599171932,0.395392188186215,0.331789045674237,0.030908420828383,0.0331555964258612,0.0418265192031477,96.1019999999999,2.70299999999952
"11431-42","light",5000,0.1706,0.994801039364255,0.503582349418745,0.245606999329423,1.00230125494723,0.513802536871919,0.286379075689461,0.0303902557177932,0.0374115995270151,0.0408777790693721,0.980364234341154,0.420551140019521,0.320780527051722,0.0315051530532761,0.0359539869393714,0.0411748671836582,99.1840000000002,2.78999999999996
