"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11429-1","heavy",500,0.498,0.955242595169614,0.572371946390059,0.207025849551696,0.965884853773569,0.524423080966388,0.243707151731092,0.114594208395249,0.18048310007038,0.138315952180831,0.927502428608492,0.562261559917179,0.332659829294102,0.129036553819709,0.202702904433815,0.137370905249844,12.8,0.724999999999994
"11429-2","heavy",500,0.466,1.11705534669177,0.48530343405486,0.179265425346016,1.08903754243211,0.604461749886086,0.183851200173389,0.10900890942387,0.183996170517789,0.141214638515924,1.0382989391248,0.652015754689515,0.285112637725044,0.121646364943604,0.19823398641075,0.135538672456474,14.843,0.727000000000004
"11429-3","heavy",500,0.514,1.0287159722937,0.624468459575297,0.143034334391869,1.07574151560977,0.573214154397892,0.160102172030354,0.118878746477207,0.219930075263177,0.151139747380628,1.02212731728127,0.583685906476748,0.297573956921033,0.131202003801402,0.230433692156945,0.142458580196285,12.968,0.725999999999999
"11429-4","heavy",500,0.488,1.05649677931711,0.457222056922226,0.160506678047668,1.09887126331878,0.332661456569121,0.218923671263556,0.112439448621706,0.1898814092114,0.13694604060865,1.05885224782426,0.391158704493262,0.269218051043296,0.12389796107592,0.2072370715825,0.13607147941776,13.941,0.730999999999995
"11429-5","heavy",500,0.474,0.910016740557276,0.537275502422323,0.347011572561666,0.876856017421137,0.73056296007308,0.321716222883836,0.103531951373299,0.195060850551652,0.14464609463712,0.835464036985191,0.623560652143617,0.490091940969725,0.111780334831907,0.179279271955954,0.131518933318283,14.606,0.725999999999999
"11429-6","heavy",500,0.492,1.03747107636517,0.444089888630553,0.228505050164443,0.971070818719761,0.690655877798033,0.255247025158197,0.116949707689916,0.255186340808342,0.138836973498765,0.940049459288046,0.708789104723751,0.303688853788858,0.124344610257902,0.251262511805783,0.134490062413772,12.203,0.724999999999994
"11429-7","heavy",500,0.48,0.951082358765345,0.51290220972721,0.270429334090459,0.95021654337045,0.475844010490828,0.268455006499853,0.101237056569449,0.151541685292892,0.13270434815065,0.905293321416781,0.397551075312037,0.415187235367933,0.107657766121708,0.137554667796169,0.124361796416417,16.192,0.727000000000004
"11429-8","heavy",500,0.486,0.924680212235821,0.462352106131987,0.390850896786436,0.931732745629478,0.455867706622913,0.428496937252962,0.109670776839325,0.205923636517017,0.139459695574793,0.886416611177973,0.536782484930694,0.496347461390848,0.120311860534537,0.235763376863116,0.134974063805944,13.132,0.858000000000004
"11429-9","heavy",500,0.468,0.988683230220733,0.587059930812519,0.247825063724214,0.985717224329696,0.521846973477349,0.22575164377621,0.104939168943389,0.138415302571808,0.141058734585635,0.959095272669925,0.423430091330278,0.41744114969715,0.112794241648819,0.139764791238691,0.13186156135612,14.688,0.946999999999946
"11429-10","heavy",500,0.462,1.14700827148823,0.488166600026129,0.146427763249787,1.15691812647145,0.51639479591712,0.154351322016656,0.107152549993968,0.19847828714631,0.149096630590616,1.11004800223071,0.474957289911735,0.291278425771277,0.118731984851442,0.184680073880494,0.134534872844979,13.873,1.108
"11429-11","heavy",500,0.434,1.02621643753735,0.496810634946741,0.35236058722882,1.02292070592528,0.624202332280025,0.350005881226881,0.101814538027992,0.247576277273424,0.135009255806903,1.01916505420537,0.478447086820245,0.440010199796672,0.110612996556389,0.23259155379314,0.137046050055738,13.056,0.968999999999994
"11429-12","heavy",500,0.474,0.975458436658076,0.500814394459032,0.281897352150466,0.951505628488496,0.547781861232862,0.306897416528736,0.110733422367701,0.18359183109991,0.134448644882546,0.932651986242474,0.53794359396133,0.387658376844903,0.118666018423172,0.210265843381688,0.133897776814684,14.047,0.761000000000024
"11429-13","heavy",500,0.478,1.07376891446462,0.383652084716448,0.157801856963984,1.10405679960847,0.290972734431747,0.141813099214514,0.105057579497315,0.167560127590753,0.148440298790681,1.04147256891917,0.301732115746728,0.240453608398413,0.113692818953495,0.13085547972417,0.135506085181434,14.607,0.729999999999961
"11429-14","heavy",500,0.504,1.01260200382889,0.478556635626731,0.259297879275843,1.03603301047202,0.401032493260173,0.281017613687235,0.0965266406770529,0.179774304359546,0.130430543674251,1.02762900096056,0.316195647364762,0.377777214048403,0.111464759763293,0.191468926255052,0.119324694210584,17.808,1.35899999999998
"11429-15","heavy",500,0.512,0.980474333271139,0.385856342096447,0.265527426643708,0.98853009193874,0.328464008555035,0.247013444036243,0.0970907686428261,0.150504225159867,0.138978754693795,0.936140285831565,0.38843017572168,0.349760039490233,0.111050365726339,0.17046685185742,0.126611071781632,11.516,0.724999999999966
"11429-16","heavy",500,0.466,0.912576478327258,0.680535425636258,0.263465286181943,0.923632293955237,0.696594372172399,0.335826382112119,0.110865110082552,0.252854227300128,0.137673373522067,0.906287236028134,0.67533597430468,0.409734605388121,0.116764544527807,0.255685536588282,0.131962042471842,10.753,0.726999999999975
"11429-17","heavy",500,0.476,0.986512402588305,0.535084395731078,0.248701375822326,0.975834285037324,0.585548932366373,0.280450117950145,0.110530861806391,0.227982586216205,0.137604077709781,0.937380843858421,0.636752314754418,0.335838622217987,0.120284418747572,0.231554311790141,0.13261592165691,12.674,0.835000000000036
"11429-18","heavy",500,0.464,1.04092979162192,0.46033487534917,0.272146014840434,1.02552989364025,0.554297625700815,0.31444164206842,0.116536964197037,0.264190286517281,0.13594990021444,1.01829162030758,0.538952810490518,0.348353558829357,0.120182273327781,0.258754091540227,0.13076864166596,14.093,0.831000000000017
"11429-19","heavy",500,0.482,0.950101279441804,0.573407427667086,0.302150426629074,0.947584803292836,0.560472858371854,0.288602129999694,0.0974723942788333,0.153930330426361,0.147673354716663,0.927596987426515,0.370850138755484,0.51230873500093,0.110756799270317,0.13509699510376,0.132681799829117,11.984,0.805000000000007
"11429-20","heavy",500,0.51,0.985921002291854,0.437070234770517,0.344229864422234,0.958556083363212,0.524209240215866,0.378072817963548,0.110808701135784,0.207746807711709,0.133697801390367,0.896772482565403,0.527687555843293,0.470483927973883,0.117202675109764,0.183541443942093,0.126120986658839,11.592,0.712999999999965
"11429-21","heavy",500,0.506,1.08075515769789,0.56025169507839,0.0487465686178187,1.07911557355225,0.513324716755591,0.077350394412169,0.10462876050052,0.169473747830451,0.130081900404336,1.03029393310433,0.604533201105837,0.154510044846207,0.110423311280661,0.204058560306367,0.122997050396522,12.602,0.725999999999999
"11429-22","heavy",500,0.49,0.954248573003707,0.551037356848353,0.310163066408205,0.960813944295165,0.535356566798957,0.323002762571673,0.100063766861456,0.166842770713862,0.135400493087845,0.917288045252895,0.502209355395985,0.466112036891841,0.111057304114097,0.167080573614438,0.125050004044463,14.32,0.728000000000009
"11429-23","heavy",500,0.51,1.16484694386996,0.342657443918586,0.157129197011817,1.17056022908757,0.359858286455433,0.181687779940235,0.117862561986211,0.212248072359992,0.14427708628261,1.16191845344141,0.298362735870603,0.231066592988427,0.124029701639533,0.200638941950014,0.137162635959277,13.613,0.728999999999985
"11429-24","heavy",500,0.486,1.04601746663147,0.445298390147385,0.203433613305602,1.06621776124162,0.38920541279889,0.249071199353452,0.112631689321245,0.195017080717164,0.13573385799875,1.04708826567812,0.373504195764126,0.299527668907685,0.117205003715007,0.19361566026446,0.129498849348292,12.559,0.728000000000009
"11429-25","heavy",500,0.534,0.985485173328779,0.485614136277559,0.313016518852992,0.982927862682677,0.503568410183185,0.250428921266766,0.106654730869831,0.161929932284822,0.14913057478152,0.966439761519408,0.383390085200476,0.444897014808007,0.124105678344566,0.185084685256852,0.13659591790517,9.58700000000005,0.975999999999999
"11429-26","heavy",500,0.488,0.988996741115552,0.612044283417789,0.127599079419896,1.03629000784381,0.469301285682953,0.188114738826115,0.108564211771361,0.21649310800058,0.142443482542727,0.979350965638091,0.528021417513049,0.269682521125439,0.117547605232304,0.217636033740399,0.13176067833752,15.002,0.716000000000008
"11429-27","heavy",500,0.438,0.945676042889181,0.502332310207114,0.354535799410857,0.866213263895499,0.867843418563617,0.407096498120885,0.110095407578292,0.262359225836909,0.131714125428191,0.832575991617048,0.83862970424811,0.470721230376396,0.114854239066839,0.254421774370109,0.125370446718899,11.716,0.730999999999995
"11429-28","heavy",500,0.472,0.992864290686761,0.490384745176076,0.309527499922104,1.01402522771424,0.431206739651166,0.335123505159042,0.10403490580715,0.202772926789384,0.148255615923074,0.959263967042129,0.458009104796858,0.439741998417184,0.110939354507047,0.195694719897913,0.13341743626606,13.3150000000001,0.936000000000035
"11429-29","heavy",500,0.476,1.11129497652811,0.514989392967814,0.0855671690420339,1.10860447065313,0.513886089604112,0.11789466564745,0.107209478611628,0.169240029015976,0.145915628891446,1.06280491257835,0.357063385856503,0.272542120484463,0.110282419130997,0.133459265509499,0.136277522298773,12.0940000000001,0.734000000000037
"11429-30","heavy",500,0.508,0.871650027570986,0.522808572611013,0.288520022982252,0.87324410876636,0.526337045715617,0.295898789464966,0.10457767839431,0.181066123545136,0.132189576177607,0.814458113418411,0.544960125300378,0.401258671375077,0.113372586967082,0.179884824896134,0.129744847299164,10.481,0.725000000000023
"11429-31","heavy",500,0.536,0.969849092886642,0.548369901563906,0.208240444486494,0.958853627250542,0.618890141355898,0.212482844550202,0.106322649750046,0.18855356175352,0.130488556767897,0.926485748407491,0.609404110666035,0.324042177310519,0.122864374977866,0.22402036047789,0.127828622203932,17.769,0.730000000000018
"11429-32","heavy",500,0.48,1.02915474395363,0.381909698263851,0.333216501442125,0.995769404822843,0.539605499897604,0.301271077382051,0.105453298025508,0.194403927430283,0.135828342993613,0.953548895389286,0.562304339998506,0.407135737752405,0.117257458756437,0.205621517077787,0.127338335086363,13.475,1.08100000000002
"11429-33","heavy",500,0.538,1.07294020658898,0.440479092299553,0.23039270594947,1.04739387831994,0.398312136389642,0.244889997751231,0.110945197071898,0.138383456751769,0.133879943107514,0.982634549542094,0.539637340307927,0.342883899625598,0.126425176199999,0.191843339806105,0.131601891866772,13.2080000000001,1.13600000000008
"11429-34","heavy",500,0.502,1.02430156921117,0.42352201781577,0.333426325776835,0.987691948615709,0.619801023865705,0.273087958387794,0.107761385322021,0.227617681540283,0.152328491235711,0.920065294075871,0.634614650405423,0.412682804979024,0.117901593216202,0.203302655711997,0.131922934406771,12.069,0.725999999999999
"11429-35","heavy",500,0.492,0.961119409197978,0.567295242932473,0.352812591322202,0.967520384651804,0.573841627220539,0.345308591202062,0.10712797132914,0.183261100115994,0.134633052724241,0.943016135032973,0.48641550281215,0.472177202395706,0.114488309922257,0.166387439242266,0.13004911944834,11.6189999999999,0.724000000000046
"11429-36","heavy",500,0.5,1.0222003942726,0.428400721852979,0.216591860278128,1.00827628004843,0.463247116073427,0.236497869572628,0.101370331812578,0.184976260201515,0.134831626161519,0.97576858957708,0.435354354544967,0.33460492073059,0.11423366996588,0.172330828182636,0.128212745673022,15.694,0.731999999999971
"11429-37","heavy",500,0.51,0.921366361881638,0.539756984563844,0.305912014548143,0.937880792148625,0.53722078430489,0.320948159397939,0.101232873342029,0.198598323314063,0.141914835332509,0.925023145239894,0.357805494879873,0.463257872885164,0.109517400526041,0.162377505030817,0.12588501535084,12.64,0.721000000000004
"11429-38","heavy",500,0.474,1.04021139047189,0.51565910555403,0.177443620418036,1.00487912144485,0.619495405994859,0.244072927285598,0.108745805973896,0.212267255684769,0.140490934147106,0.97914137080819,0.555458411918787,0.358458094270278,0.120734632182149,0.203053200023417,0.134308287479584,16.556,0.730000000000018
"11429-39","heavy",500,0.466,1.03106944470199,0.488279761522336,0.29668709593697,1.02463104266738,0.594367621228743,0.256829253172482,0.111433836676002,0.203528493412304,0.146631890859819,0.971419858010631,0.63668949931091,0.394015908417157,0.117288578313394,0.219360561820889,0.139575422192528,11.6180000000001,0.984000000000037
"11429-40","heavy",500,0.528,0.946484038667765,0.489176712358334,0.310297524013844,0.970821809138818,0.413880476366456,0.364645349883046,0.115852309907661,0.203514540961257,0.13337930977538,0.971172993076543,0.329029779892415,0.43933056778799,0.127460190696188,0.208294636277786,0.132189601873627,15.39,1.048
"11429-41","heavy",500,0.506,1.00533756950565,0.378648506471509,0.300145534277324,0.91902752318398,0.510589562931072,0.328546908865829,0.107428950692683,0.152245226224828,0.132786367587838,0.870166232724807,0.643797565252839,0.416803768808303,0.120366148564612,0.20790554743219,0.128679112908125,11.5459999999999,1.05700000000002
"11429-42","heavy",500,0.52,1.06195771829572,0.555819125304563,0.221647471957781,1.02376826294187,0.616127321238818,0.164636478862067,0.106054086980196,0.150649177586211,0.140156418755572,0.960000146188912,0.582715714805263,0.346295548503438,0.114432550180885,0.14712097923004,0.129093468608778,14.2380000000001,0.708999999999946
"11429-43","heavy",500,0.49,0.893750473677342,0.447333512042535,0.367768017134715,0.948032995583297,0.269522979451693,0.40062642319564,0.103761398934895,0.164637479523341,0.137360031287183,0.924276138043878,0.292889261633914,0.465775344086843,0.111090589176678,0.186593943694883,0.124696940014206,17.885,1.09900000000005
"11429-44","heavy",500,0.484,0.935233196831551,0.561643815933449,0.322508809644552,0.894083068955569,0.732092702922216,0.27189009360379,0.110881431295133,0.205505719747385,0.147280909157406,0.830129942386381,0.731141354983809,0.441964865802485,0.124032433778401,0.20276543635477,0.13679234013657,16.7180000000001,0.766999999999939
"11429-45","heavy",500,0.492,0.928753298732922,0.45243668794,0.419559706538828,0.923253130610374,0.496332329016037,0.396076506628434,0.110673422248847,0.170054587819689,0.138910855008591,0.871936099809314,0.520772061896153,0.496685654535196,0.122583821198626,0.187575617941121,0.132305449447433,10.732,0.897000000000048
"11429-46","heavy",500,0.47,0.939501784233652,0.450207339845863,0.360723759782892,0.848435205604139,0.736458560624745,0.292460494587977,0.0980108381904949,0.163296775576901,0.136156241446218,0.793172667869805,0.733677302870208,0.497443597725213,0.107369695457534,0.17271334632449,0.126756632455342,12.52,0.718999999999937
"11429-47","heavy",500,0.476,1.03089244570694,0.443000363698406,0.179413192575469,1.05330365007603,0.343655531478982,0.164444121815313,0.0960166187340727,0.138841361243566,0.124185088203426,0.960188417997518,0.496979180525175,0.269538164614869,0.10722099801766,0.156395204899209,0.121869451429506,16.1270000000001,0.711000000000013
