"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11430-1","extra_heavy",5000,0.8136,1.02680519650272,0.483625132225934,0.236680823449332,1.04765870998716,0.49219773377067,0.240921167204278,0.0413592015666949,0.122008312081156,0.0549917063564604,0.994636189716695,0.911117848013468,0.38856329807298,0.0560741868071801,0.263007022164374,0.0413339104104319,100.994,3.4699999999998
"11430-2","extra_heavy",5000,0.8326,0.982646515891902,0.464369412248658,0.278678611281567,0.962999516708193,0.431717041170662,0.251797024380317,0.0431069729077098,0.0891706095726809,0.0547287659420073,0.87421506551754,0.988442168313227,0.420505356590805,0.0547470932563811,0.19498249107675,0.0411659403371965,80.0099999999998,3.4970000000003
"11430-3","extra_heavy",5000,0.8062,0.991265616731448,0.484460211979986,0.238490248401507,0.975625179219957,0.657074848612267,0.250960664235416,0.0442284289267078,0.125131473543319,0.0489287421204109,0.89967363776782,1.09195422635417,0.379329170199888,0.0525739618005899,0.200181720915782,0.0418562170331152,124.162,3.44500000000016
"11430-4","extra_heavy",5000,0.8166,1.00056620279456,0.49255964011453,0.252115967163662,1.01015976224143,0.463395922078039,0.267086214909314,0.0420231806083999,0.100874660196069,0.0509574605988952,0.947170781134493,0.900329616047256,0.395154706785308,0.0566394946360769,0.211202556632297,0.0429263478562776,101.953,3.51499999999987
"11430-5","extra_heavy",5000,0.8152,0.983159645371185,0.510251030412779,0.267315420798134,0.95006913259696,0.818157140906356,0.258591204910612,0.0426520839033536,0.138674263497866,0.049936868096945,0.881009813046843,1.07934747657816,0.416707112285553,0.0524972936479909,0.186789207901458,0.0415070478761749,109.563,3.7170000000001
"11430-6","extra_heavy",5000,0.8152,0.975547862650528,0.507965389349246,0.248471996681252,0.982122023045925,0.525814983577707,0.234238083944985,0.0401827343317545,0.104855995669223,0.0549485406291891,0.901825229550604,1.1245406226413,0.403418904199458,0.0569889013899725,0.24763245743872,0.0416157624538456,79.8220000000001,3.45300000000043
"11430-7","extra_heavy",5000,0.8112,1.02211579257296,0.499538829763594,0.22930817637664,1.02526751342065,0.565483628075338,0.23322215419748,0.0417210827318609,0.115867726729513,0.0531080912239045,0.954091654512245,0.82739381241473,0.388542224747588,0.0536418739307266,0.173968016980227,0.04298782315786,113.434,3.62699999999995
"11430-8","extra_heavy",5000,0.8174,1.01230162637868,0.503668892689092,0.227117137650267,1.02156429764622,0.784341888327444,0.29301064318713,0.0473759037465098,0.21342778747666,0.0473951009569926,1.00011700337503,0.856822075145839,0.363834452975878,0.0550441992998398,0.254728484091265,0.041948086304456,186.567,3.30600000000004
"11430-9","extra_heavy",5000,0.8154,0.999422119310116,0.491164260303904,0.261239390621069,0.9266440689744,1.39174629899812,0.299233155618458,0.0508897160215816,0.261031389464046,0.046806700748214,0.891666463792564,1.36124394075342,0.400060380097565,0.0567283592934552,0.259509558826324,0.0426050076560989,190.858,4.38599999999997
"11430-10","extra_heavy",5000,0.8124,1.02452617766654,0.483298512934813,0.22371346451166,1.01640228741183,0.7183188168168,0.238277025273503,0.044048093665271,0.157710058292221,0.049114542224385,0.972073372926849,0.933488805860689,0.358207772675775,0.0535794611922818,0.217715134046754,0.0419195213221091,150.085,3.47699999999986
"11430-11","extra_heavy",5000,0.8172,1.02050444336715,0.531089889866355,0.223005478036691,1.04799660708951,0.397109040646593,0.308316388468336,0.045047844296511,0.106235095518566,0.0464024810321406,1.00359656712477,0.816990168189692,0.387894922737392,0.055125439348648,0.221330281459143,0.0426072754076425,101.092,3.47200000000021
"11430-12","extra_heavy",5000,0.8092,0.972675119008074,0.512726253755764,0.274068545627339,0.958161586412687,0.779773430449084,0.235989645138476,0.04062307466987,0.135136927254552,0.0513586616032255,0.892315902203393,1.13280373932009,0.422013884220142,0.0528709316064516,0.22120305228134,0.041022165770808,121.248,3.44399999999996
"11430-13","extra_heavy",5000,0.817,1.00471747615386,0.499263618731443,0.22482430498636,0.990762892371824,0.540441745028778,0.246774822224234,0.0445907135730286,0.10718240796035,0.0480435558806341,0.91575992091761,1.15758673788946,0.363616697524958,0.0539349595779802,0.220461777714074,0.0420937559782526,100.77,3.45900000000029
"11430-14","extra_heavy",5000,0.8102,0.987966960852079,0.518365903187258,0.222853666932046,0.962541668789183,0.644216050114512,0.173668963663205,0.0398763197174235,0.103780356549434,0.0517869615223369,0.890842331042227,1.21531571300775,0.371771663547726,0.0547050393406443,0.227035759733166,0.0423326241153616,85.4079999999999,3.85899999999992
"11430-15","extra_heavy",5000,0.8084,0.98425900735594,0.525100418287549,0.268575105289117,0.990653643875283,0.561181332888489,0.305701741244304,0.0432980485728616,0.117845681169791,0.0482944351158008,0.938917878992415,0.771772125079985,0.418188697159276,0.0523331572442574,0.170606066982985,0.0423813932388163,119.914,3.45899999999983
"11430-16","extra_heavy",5000,0.8202,0.99354205678586,0.489051255199356,0.314361236886368,0.91978844147028,1.00542814962923,0.313987811057858,0.0448142937331178,0.157801681572963,0.0477582011182772,0.870143010119423,1.29964828095425,0.465573858168367,0.0566583863065105,0.231691455025107,0.0412922814128637,165.332,4.36900000000014
"11430-17","extra_heavy",5000,0.8126,1.02093430356517,0.479493549560219,0.272715280944243,1.01624483642254,0.632625184729383,0.279249718186899,0.042240685305297,0.134664178969673,0.0521465814672393,0.960453186204926,0.813502260010007,0.430841202603658,0.0536427177978708,0.18607921249373,0.0408235297748874,129.371,3.46100000000024
